town,ratio
板橋鎮,111.334
三重鎮,107.6603
中和鄉,117.8562
新莊鎮,107.242
新店鎮,121.0493
樹林鎮,104.1507
鶯歌鎮,99.6468
三峽鎮,107.6948
淡水鎮,102.8344
汐止鎮,101.565
瑞芳鎮,104.2927
土城鄉,114.9024
蘆洲鄉,106.6461
五股鄉,109.0877
泰山鄉,104.437
林口鄉,109.4713
深坑鄉,107.32
石碇鄉,105.177
坪林鄉,105.811
三芝鄉,108.8235
石門鄉,111.5688
八里鄉,102.9131
平溪鄉,103.3477
雙溪鄉,107.3028
貢寮鄉,110.7477
金山鄉,110.1182
萬里鄉,110.8831
烏來鄉,109.4515
宜蘭市,107.1698
羅東鎮,102.8172
蘇澳鎮,107.2967
頭城鎮,108.2453
礁溪鄉,109.0224
壯圍鄉,106.5936
員山鄉,119.3719
冬山鄉,105.4669
五結鄉,104.0348
三星鄉,120.1001
太平鄉,109.7846
南澳鄉,102.8204
桃園鎮,101.7201
中壢鎮,102.4241
大溪鎮,101.3287
楊梅鎮,102.3184
蘆竹鄉,102.3348
大園鄉,98.4181
龜山鄉,105.0965
八德鄉,101.5911
龍潭鄉,107.4833
平鎮鄉,106.1968
新屋鄉,100.5675
觀音鄉,101.2897
復興鄉,104.4645
竹北鄉,100.4522
竹東鎮,110.3287
新埔鎮,102.2015
關西鎮,104.5058
湖口鄉,107.4411
新豐鄉,103.461
芎林鄉,105.4168
橫山鄉,103.6625
北埔鄉,100.1776
寶山鄉,103.5309
峨眉鄉,98.0515
尖石鄉,106.863
五峰鄉,107.9737
苗栗鎮,102.6505
苑裡鎮,98.2699
通霄鎮,97.9397
竹南鎮,105.2378
頭份鎮,101.6422
後龍鎮,96.7699
卓蘭鎮,102.3728
大湖鄉,98.3247
公館鄉,97.3825
銅鑼鄉,101.3756
南庄鄉,101.4254
頭屋鄉,98.8607
三義鄉,99.7967
西湖鄉,98.422
造橋鄉,99.836
三灣鄉,98.6276
獅潭鄉,99.3731
泰安鄉,106.6011
豐原鎮,101.0657
東勢鎮,104.3232
大甲鎮,96.6532
清水鎮,98.9774
沙鹿鎮,99.8878
梧棲鎮,101.804
后里鄉,100.1192
神岡鄉,100.1601
潭子鄉,99.7132
大雅鄉,103.1079
新社鄉,119.5818
石岡鄉,100.8944
外埔鄉,98.9714
大安鄉,96.807
烏日鄉,98.3272
大肚鄉,99.8872
龍井鄉,98.629
霧峰鄉,99.3121
太平鄉,100.3276
大里鄉,100.6613
和平鄉,140.2107
彰化市,99.7673
鹿港鎮,99.25
和美鎮,98.1788
線西鄉,98.5801
新港鄉,95.2026
福興鄉,97.9515
秀水鄉,97.0935
花壇鄉,99.3088
芬園鄉,99.6796
員林鎮,103.22
溪湖鎮,97.6397
田中鎮,101.599
大村鄉,101.0672
埔鹽鄉,97.4386
埔心鄉,100.4051
永靖鄉,101.5974
社頭鄉,101.634
二水鄉,101.2746
北斗鎮,98.2825
二林鎮,97.9798
田尾鄉,100.3899
埤頭鄉,96.2579
芳苑鄉,100.2295
大城鄉,96.8938
竹塘鄉,96.9538
溪州鄉,98.0488
南投鎮,101.2555
埔里鎮,105.8412
草屯鎮,98.5487
竹山鎮,97.9825
集集鎮,99.3775
名間鄉,99.7
鹿谷鄉,98.6065
中寮鄉,102.0412
魚池鄉,99.7719
國姓鄉,105.0041
水裡鄉,105.3188
信義鄉,102.8744
仁愛鄉,101.9714
斗六鎮,99.1771
斗南鎮,99.0947
虎尾鎮,98.8701
西螺鎮,99.4972
土庫鎮,97.9052
北港鎮,102.6137
古坑鄉,98.7676
大埤鄉,100.2352
莿桐鄉,95.8706
林內鄉,97.9688
二崙鄉,97.7958
崙背鄉,96.9444
麥寮鄉,97.9105
東勢鄉,98.7459
褒忠鄉,96.5186
臺西鄉,97.6435
元長鄉,97.1602
四湖鄉,95.6752
口湖鄉,96.7057
水林鄉,96.6172
太保鄉,95.7472
朴子鎮,118.7182
布袋鎮,80.7443
大林鎮,99.2811
民雄鄉,98.7625
溪口鄉,96.6421
新港鄉,98.6224
六腳鄉,97.0028
東石鄉,97.9339
義竹鄉,95.2544
鹿草鄉,98.8257
水上鄉,98.5663
中埔鄉,102.2381
竹崎鄉,106.3571
梅山鄉,99.4139
番路鄉,104.2734
大埔鄉,134.2324
吳鳳鄉,109.023
新營鎮,99.8052
鹽水鎮,96.8727
白河鎮,100.7341
柳營鄉,96.9222
後壁鄉,97.8627
東山鄉,99.1162
麻豆鎮,97.5228
下營鄉,97.3765
六甲鄉,97.2628
官田鄉,98.5475
大內鄉,100.9387
佳里鎮,95.5505
學甲鄉,96.7038
西港鄉,93.8353
七股鄉,93.7079
將軍鄉,97.1067
北門鄉,100.2136
新化鎮,99.7496
善化鎮,95.6823
新市鄉,96.9504
安定鄉,98.4883
山上鄉,100.3962
玉井鄉,99.4587
楠西鄉,99.7551
南化鄉,98.7635
左鎮鄉,103.6638
仁德鄉,104.4124
歸仁鄉,99.2342
關廟鄉,102.864
龍崎鄉,102.0219
永康鄉,101.8862
鳳山鎮,104.4038
林園鄉,99.9373
大寮鄉,99.8042
大樹鄉,101.5321
大社鄉,102.7229
仁武鄉,100.6723
鳥松鄉,101.5483
岡山鎮,101.9428
橋頭鄉,98.7589
燕巢鄉,119.6987
田寮鄉,100.0272
阿蓮鄉,99.6562
路竹鄉,98.552
湖內鄉,100.7454
茄萣鄉,105.6916
彌陀鄉,100.2521
永安鄉,103.1427
梓官鄉,101.4916
旗山鎮,98.8117
美濃鎮,94.5129
六龜鄉,102.5369
甲仙鄉,102.1303
杉林鄉,99.9128
內門鄉,98.768
多納鄉,113.4737
雅彌鄉,109.6658
瑪雅鄉,106.1837
屏東市,106.4679
潮州鎮,102.9064
東港鎮,101.2819
恆春鎮,101.6291
萬丹鄉,100.7961
長治鄉,98.6839
麟洛鄉,94.9134
九如鄉,101.0238
里港鄉,98.3662
鹽埔鄉,96.6969
高樹鄉,102.4497
萬巒鄉,96.955
內埔鄉,102.9609
竹田鄉,97.7413
新埤鄉,100.3636
枋寮鄉,101.0696
新園鄉,100.1574
崁頂鄉,101.6181
林邊鄉,97.0628
溪州鄉,98.1547
佳冬鄉,96.7386
琉球鄉,107.7386
車城鄉,100.6106
滿州鄉,101.4547
枋山鄉,97.3372
三地鄉,95.6976
霧臺鄉,100.0655
瑪家鄉,100.2601
泰武鄉,98.0503
來義鄉,101.8876
春日鄉,105.7368
獅子鄉,106.6116
牡丹鄉,101.4151
臺東鎮,116.3007
成功鎮,104.2143
里瓏鎮,114.3168
卑南鄉,123.5803
鹿野鄉,117.9184
池上鄉,124.071
東河鄉,110.8931
長濱鄉,102.4722
太麻里鄉,105.3969
大武鄉,108.067
綠島鄉,130.8537
海端鄉,96.5235
延平鄉,97.36
金山鄉,96.7809
達仁鄉,103.0588
蘭嶼鄉,118.3486
花蓮市,120.6411
鳳林鎮,107.3108
玉里鎮,109.3956
新城鄉,171.4363
吉安鄉,110.0619
壽豐鄉,119.8453
光復鄉,107.5283
豐濱鄉,99.6295
瑞穗鄉,102.5046
富里鄉,109.1007
秀林鄉,112.8301
萬里鄉,102.535
卓溪鄉,99.1516
馬公鎮,104.2691
湖西鄉,91.819
白沙鄉,85.6105
西嶼鄉,83.7911
望安鄉,94.9975
七美鄉,89.4508
中正區,120.8054
七堵區,105.1093
暖暖區,106.6783
仁愛區,105.5313
中山區,131.1802
安樂區,107.5564
信義區,108.8371
新竹市,106.9327
香山鄉,101.3105
中區,100.0428
東區,104.459
南區,104.1851
西區,113.0175
北區,105.6057
西屯區,102.5118
南屯區,97.5289
北屯區,100.9371
嘉義市,103.0786
東區,304.6857
南區,111.9299
西區,98.3274
北區,102.8889
中區,102.9922
安南區,96.1758
安平區,112.6039
鹽埕區,111.5476
鼓山區,106.3543
左營區,107.9557
楠梓區,103.741
三民區,106.8853
新興區,106.0305
前金區,110.6238
苓雅區,106.1313
前鎮區,117.2011
旗津區,108.3254
小港鄉,104.617
大安區,126.4465
大同區,103.7742
松山區,114.2752
南港鎮,118.3266
內湖鄉,105.8905
中山區,118.0017
北投鎮,110.9786
士林鎮,112.0351
城中區,139.1132
延平區,103.6385
建成區,99.9087
古亭區,124.4007
龍山區,108.164
雙園區,109.6398
景美鎮,121.4796
木柵鄉,114.9727
