town,busi
板橋鎮,10.8500
三重市,17.0100
中和鄉,6.7600
永和鎮,14.6300
新莊鎮,8.5900
新店鎮,6.3400
樹林鎮,6.2900
鶯歌鎮,8.9200
三峽鎮,7.3500
淡水鎮,8.6400
汐止鎮,7.6100
瑞芳鎮,8.3800
土城鄉,5.6200
蘆洲鄉,12.1000
五股鄉,4.4100
泰山鄉,5.1300
林口鄉,3.5400
深坑鄉,6.0800
石碇鄉,4.7600
坪林鄉,3.4900
三芝鄉,4.5100
石門鄉,2.9700
八里鄉,3.2200
平溪鄉,5.6100
雙溪鄉,7.5100
貢寮鄉,5.3700
金山鄉,8.7100
萬里鄉,4.4400
烏來鄉,7.7800
宜蘭市,15.2200
羅東鎮,18.1000
頭城鎮,9.2400
蘇澳鎮,7.9800
礁溪鄉,6.1200
壯圍鄉,3.4800
員山鄉,3.7700
冬山鄉,4.2500
五結鄉,6.0000
三星鄉,4.2300
大同鄉,1.6500
南澳鄉,2.2600
桃園鎮,14.6300
中壢鎮,9.4000
大溪鎮,6.2300
楊梅鎮,6.0200
蘆竹鄉,3.7100
大園鄉,4.4800
龜山鄉,4.7400
八德鄉,3.7700
龍潭鄉,3.7600
平鎮鄉,5.6700
新屋鄉,3.3600
觀音鄉,3.6200
復興鄉,4.0600
竹北鄉,4.6900
竹東鎮,10.2100
新埔鎮,6.2400
關西鎮,5.0500
湖口鄉,3.8000
新豐鄉,3.9800
芎林鄉,3.7200
橫山鄉,3.9300
北埔鄉,3.9900
寶山鄉,1.4700
峨眉鄉,2.0600
尖石鄉,4.3900
五峰鄉,3.8100
苗栗鎮,9.0500
苑裡鎮,5.3300
通霄鎮,3.7600
竹南鎮,8.1300
頭份鎮,5.2700
後龍鎮,4.7200
卓蘭鎮,4.0600
大湖鄉,4.9700
公館鄉,3.2000
銅鑼鄉,3.4900
南庄鄉,5.5200
頭屋鄉,2.9600
三義鄉,4.6000
西湖鄉,2.3400
造橋鄉,2.7100
三灣鄉,3.2100
獅潭鄉,2.5500
泰安鄉,1.9900
豐原鎮,12.0800
東勢鎮,7.5500
大甲鎮,7.7900
清水鎮,5.8300
沙鹿鎮,7.8400
梧棲鎮,6.3900
后里鄉,4.2100
神岡鄉,3.5000
潭子鄉,4.3500
大雅鄉,2.2900
新社鄉,3.2400
石岡鄉,4.9800
外埔鄉,3.3800
大安鄉,2.6200
烏日鄉,3.7100
大肚鄉,5.1700
龍井鄉,2.7400
霧峰鄉,6.1000
太平鄉,3.2200
大里鄉,4.3600
和平鄉,2.7000
彰化市,15.2600
鹿港鎮,11.9100
和美鎮,7.3200
線西鄉,4.0200
伸港鄉,6.0300
福興鄉,3.3000
秀水鄉,8.4500
花壇鄉,7.5400
芬園鄉,4.0300
員林鎮,14.7000
溪湖鎮,10.1800
田中鎮,8.9500
大村鄉,4.5700
埔鹽鄉,3.1200
埔心鄉,5.8800
永靖鄉,7.5500
社頭鄉,4.7300
二水鄉,7.0800
北斗鎮,12.5700
二林鎮,6.5600
田尾鄉,6.5200
埤頭鄉,3.5600
芳苑鄉,3.9400
大城鄉,2.9300
竹塘鄉,3.9000
溪州鄉,4.3800
南投鎮,7.3200
埔里鎮,8.2800
草屯鎮,7.3700
竹山鎮,7.9100
集集鎮,6.2200
名間鄉,3.8200
鹿谷鄉,4.8600
中寮鄉,3.6800
魚池鄉,5.8600
國姓鄉,4.1000
水里鄉,9.3400
信義鄉,2.3200
仁愛鄉,1.7300
斗六鎮,9.3700
斗南鎮,8.2400
虎尾鎮,8.9800
西螺鎮,8.4400
土庫鎮,5.5000
北港鎮,16.6700
古坑鄉,3.1100
大埤鄉,2.8300
莿桐鄉,3.7000
林內鄉,5.0400
二崙鄉,2.7400
崙背鄉,4.0400
麥寮鄉,4.1800
東勢鄉,2.6000
褒忠鄉,3.7500
臺西鄉,2.5700
元長鄉,3.1500
四湖鄉,2.2700
口湖鄉,2.8800
水林鄉,3.1900
太保市,3.2200
朴子鎮,10.8000
布袋鎮,6.0500
大林鎮,6.3900
民雄鄉,5.2400
溪口鄉,5.0500
新港鄉,5.3900
六腳鄉,4.3200
東石鄉,3.8900
義竹鄉,5.4300
鹿草鄉,3.5400
水上鄉,3.5500
中埔鄉,4.2600
竹崎鄉,4.4700
梅山鄉,6.9500
番路鄉,3.2400
大埔鄉,2.6100
吳鳳鄉,3.9100
新營鎮,12.5400
鹽水鎮,10.6900
白河鎮,7.2200
柳營鄉,4.4500
後壁鄉,4.1500
東山鄉,3.8200
麻豆鎮,9.2300
下營鄉,5.3300
六甲鄉,7.6100
官田鄉,4.0200
大內鄉,4.6800
佳里鎮,10.6600
學甲鄉,9.3100
西港鄉,6.7300
七股鄉,5.2000
將軍鄉,6.4000
北門鄉,6.8200
新化鎮,5.2900
善化鎮,6.9200
新市鄉,4.8500
安定鄉,5.0700
山上鄉,5.0500
玉井鄉,7.7200
楠西鄉,4.8400
南化鄉,2.7800
左鎮鄉,3.1200
仁德鄉,4.7500
歸仁鄉,8.3200
關廟鄉,5.7200
龍崎鄉,3.0800
永康鄉,6.0100
鳳山鎮,11.5400
林園鄉,5.8900
大寮鄉,3.9900
大樹鄉,3.9600
大社鄉,7.3700
仁武鄉,2.1000
鳥松鄉,3.1000
岡山鎮,8.1500
橋頭鄉,6.1500
燕巢鄉,3.0700
田寮鄉,2.4300
阿蓮鄉,4.3100
路竹鄉,6.8500
湖內鄉,10.7800
茄萣鄉,12.3000
永安鄉,7.7900
彌陀鄉,9.3300
梓官鄉,9.0700
旗山鎮,10.3000
美濃鎮,4.4800
六龜鄉,4.6600
甲仙鄉,4.5000
杉林鄉,2.7700
內門鄉,2.4000
茂林鄉,0.0000
桃源鄉,1.2200
三民鄉,1.6600
屏東市,13.8900
潮州鎮,14.6100
東港鎮,11.7700
恆春鎮,6.6800
萬丹鄉,6.1400
長治鄉,5.2700
麟洛鄉,4.6000
九如鄉,4.0800
里港鄉,6.7900
鹽埔鄉,3.8800
高樹鄉,3.9300
萬巒鄉,4.9800
內埔鄉,6.2600
竹田鄉,4.6100
新埤鄉,3.8100
枋寮鄉,7.1800
新園鄉,4.5300
崁頂鄉,3.9800
林邊鄉,9.6200
南州鄉,9.0200
佳冬鄉,4.8300
琉球鄉,4.2300
車城鄉,5.0300
滿州鄉,3.8600
枋山鄉,4.6100
三地鄉,0.4700
霧臺鄉,0.3100
瑪家鄉,0.8700
泰武鄉,0.3600
來義鄉,0.4700
春日鄉,0.8800
獅子鄉,1.0100
牡丹鄉,1.2100
臺東鎮,15.2000
成功鎮,5.0300
關山鎮,6.9600
卑南鄉,3.9200
鹿野鄉,4.9900
池上鄉,6.4000
東河鄉,2.9400
長濱鄉,3.7000
太麻里鄉,4.1300
大武鄉,5.9800
綠島鄉,1.8000
海端鄉,1.2800
延平鄉,1.0100
金峰鄉,2.3800
達仁鄉,1.4200
蘭嶼鄉,0.2800
花蓮市,14.6500
鳳林鎮,5.8800
玉里鎮,7.6200
新城鄉,5.3800
吉安鄉,3.3700
壽豐鄉,4.1800
光復鄉,5.5800
豐濱鄉,2.6600
瑞穗鄉,6.6600
富里鄉,4.7300
秀林鄉,1.9100
萬榮鄉,1.1700
卓溪鄉,1.4000
馬公鎮,7.5800
湖西鄉,1.7400
白沙鄉,2.6600
西嶼鄉,4.3000
望安鄉,1.6400
七美鄉,2.0700
中正區,11.3500
七堵區,6.3500
暖暖區,7.9600
仁愛區,24.4400
中山區,6.4100
安樂區,10.4500
信義區,9.2500
新竹市,10.2500
香山鄉,5.1400
中區,37.0000
東區,14.7300
南區,11.8900
西區,14.2400
北區,15.9300
西屯區,4.5900
南屯區,5.3400
北屯區,5.9400
嘉義市,18.0700
東區,10.3700
南區,11.6200
西區,26.7300
北區,14.8000
中區,25.3700
安南區,4.6800
安平區,5.8800
鹽埕區,29.8300
鼓山區,11.0300
左營區,5.8200
楠梓區,9.5300
三民區,13.9200
新興區,17.5300
前金區,14.5900
苓雅區,11.2900
前鎮區,5.4200
旗津區,6.1300
小港鄉,4.2600
