town,cons
板橋鎮,6.4400
三重市,7.2600
中和鄉,5.2900
永和鎮,5.9000
新莊鎮,6.3700
新店鎮,2.7100
樹林鎮,2.8500
鶯歌鎮,2.8300
三峽鎮,1.8000
淡水鎮,3.4000
汐止鎮,1.8800
瑞芳鎮,2.9000
土城鄉,3.2100
蘆洲鄉,8.3100
五股鄉,1.5100
泰山鄉,3.5600
林口鄉,1.1600
深坑鄉,2.2100
石碇鄉,0.6500
坪林鄉,1.4000
三芝鄉,1.1000
石門鄉,1.3500
八里鄉,1.6800
平溪鄉,0.7300
雙溪鄉,1.4100
貢寮鄉,0.7500
金山鄉,1.5200
萬里鄉,1.0000
烏來鄉,3.6200
宜蘭市,3.1600
羅東鎮,2.6400
頭城鎮,2.2100
蘇澳鎮,1.4100
礁溪鄉,1.1500
壯圍鄉,0.7900
員山鄉,1.4600
冬山鄉,1.4900
五結鄉,1.8300
三星鄉,1.0500
大同鄉,9.1300
南澳鄉,1.2800
桃園鎮,4.4800
中壢鎮,2.4000
大溪鎮,2.1600
楊梅鎮,1.5600
蘆竹鄉,0.9400
大園鄉,1.1200
龜山鄉,1.8400
八德鄉,1.4200
龍潭鄉,1.6700
平鎮鄉,2.0200
新屋鄉,1.2300
觀音鄉,0.9200
復興鄉,2.7700
竹北鄉,0.9300
竹東鎮,1.9000
新埔鎮,0.7700
關西鎮,0.8600
湖口鄉,0.4300
新豐鄉,1.2500
芎林鄉,0.7900
橫山鄉,0.8700
北埔鄉,1.0100
寶山鄉,0.3600
峨眉鄉,0.3700
尖石鄉,0.3200
五峰鄉,0.5300
苗栗鎮,1.3300
苑裡鎮,0.5700
通霄鎮,1.0800
竹南鎮,1.7900
頭份鎮,1.0300
後龍鎮,1.2100
卓蘭鎮,0.5700
大湖鄉,0.8900
公館鄉,0.9100
銅鑼鄉,1.4700
南庄鄉,0.5900
頭屋鄉,1.2200
三義鄉,1.0000
西湖鄉,0.5700
造橋鄉,0.8800
三灣鄉,0.9400
獅潭鄉,0.7000
泰安鄉,0.2900
豐原鎮,2.6300
東勢鎮,2.2400
大甲鎮,1.3100
清水鎮,1.8200
沙鹿鎮,1.1500
梧棲鎮,1.9900
后里鄉,0.9500
神岡鄉,2.4900
潭子鄉,1.1500
大雅鄉,0.8300
新社鄉,0.5200
石岡鄉,2.4900
外埔鄉,0.4200
大安鄉,0.5900
烏日鄉,0.9800
大肚鄉,2.4600
龍井鄉,0.7600
霧峰鄉,1.0200
太平鄉,0.4900
大里鄉,1.4300
和平鄉,2.3500
彰化市,2.7300
鹿港鎮,1.7300
和美鎮,1.1600
線西鄉,0.3300
伸港鄉,0.3600
福興鄉,0.4600
秀水鄉,3.9100
花壇鄉,5.6400
芬園鄉,0.7200
員林鎮,1.4600
溪湖鎮,1.0900
田中鎮,1.2800
大村鄉,1.1200
埔鹽鄉,0.3600
埔心鄉,0.5000
永靖鄉,0.9900
社頭鄉,0.7700
二水鄉,0.7500
北斗鎮,2.2900
二林鎮,0.5500
田尾鄉,0.5600
埤頭鄉,0.5000
芳苑鄉,0.4800
大城鄉,0.3200
竹塘鄉,0.4100
溪州鄉,0.6000
南投鎮,1.3000
埔里鎮,2.7100
草屯鎮,1.2100
竹山鎮,1.1600
集集鎮,1.1100
名間鄉,0.6000
鹿谷鄉,0.4900
中寮鄉,0.2400
魚池鄉,1.4500
國姓鄉,0.4900
水里鄉,2.9200
信義鄉,0.1900
仁愛鄉,0.9900
斗六鎮,1.9500
斗南鎮,1.2900
虎尾鎮,2.2600
西螺鎮,1.4200
土庫鎮,0.5400
北港鎮,2.8600
古坑鄉,0.4700
大埤鄉,0.3400
莿桐鄉,0.6500
林內鄉,0.9000
二崙鄉,0.4500
崙背鄉,0.3300
麥寮鄉,0.3600
東勢鄉,0.3200
褒忠鄉,0.6800
臺西鄉,0.3400
元長鄉,0.4800
四湖鄉,0.3400
口湖鄉,0.2900
水林鄉,0.4600
太保市,0.4500
朴子鎮,2.4000
布袋鎮,0.8200
大林鎮,1.0900
民雄鄉,1.0300
溪口鄉,0.8700
新港鄉,1.3300
六腳鄉,0.6800
東石鄉,0.9500
義竹鄉,1.0000
鹿草鄉,0.4000
水上鄉,1.2400
中埔鄉,0.4700
竹崎鄉,0.9600
梅山鄉,0.7300
番路鄉,0.7700
大埔鄉,0.0900
吳鳳鄉,2.6100
新營鎮,2.7900
鹽水鎮,1.7200
白河鎮,0.8100
柳營鄉,1.4400
後壁鄉,1.2800
東山鄉,0.7200
麻豆鎮,1.7600
下營鄉,0.6600
六甲鄉,1.0900
官田鄉,0.2700
大內鄉,1.0500
佳里鎮,2.5800
學甲鄉,1.1600
西港鄉,1.1200
七股鄉,1.7400
將軍鄉,1.9200
北門鄉,1.4900
新化鎮,0.7800
善化鎮,1.1900
新市鄉,0.8700
安定鄉,1.5000
山上鄉,1.1900
玉井鄉,1.7300
楠西鄉,0.5900
南化鄉,0.3200
左鎮鄉,0.2700
仁德鄉,1.6000
歸仁鄉,1.7500
關廟鄉,0.8600
龍崎鄉,0.4100
永康鄉,1.5100
鳳山鎮,2.3800
林園鄉,1.2700
大寮鄉,0.8000
大樹鄉,0.7900
大社鄉,1.0100
仁武鄉,0.3500
鳥松鄉,1.2500
岡山鎮,2.0500
橋頭鄉,2.6600
燕巢鄉,0.7800
田寮鄉,0.8000
阿蓮鄉,1.0100
路竹鄉,2.4000
湖內鄉,1.8800
茄萣鄉,1.1100
永安鄉,1.1400
彌陀鄉,2.9100
梓官鄉,3.4000
旗山鎮,1.5600
美濃鎮,1.0900
六龜鄉,1.1300
甲仙鄉,0.6200
杉林鄉,0.6100
內門鄉,0.3300
茂林鄉,0.0000
桃源鄉,0.0000
三民鄉,0.0000
屏東市,3.8500
潮州鎮,2.7700
東港鎮,2.8400
恆春鎮,1.3100
萬丹鄉,1.4900
長治鄉,1.4500
麟洛鄉,0.7800
九如鄉,1.0300
里港鄉,1.4200
鹽埔鄉,0.6800
高樹鄉,0.6500
萬巒鄉,1.5400
內埔鄉,1.2300
竹田鄉,1.7100
新埤鄉,0.6100
枋寮鄉,1.3800
新園鄉,1.8700
崁頂鄉,1.8900
林邊鄉,2.8400
南州鄉,2.6300
佳冬鄉,0.9100
琉球鄉,0.7900
車城鄉,0.7000
滿州鄉,0.3600
枋山鄉,1.6100
三地鄉,0.1000
霧臺鄉,0.0000
瑪家鄉,0.1400
泰武鄉,0.0000
來義鄉,0.0600
春日鄉,0.0000
獅子鄉,0.6800
牡丹鄉,0.1200
臺東鎮,3.2100
成功鎮,0.5200
關山鎮,0.9800
卑南鄉,0.6000
鹿野鄉,0.6500
池上鄉,3.3900
東河鄉,0.4600
長濱鄉,0.3300
太麻里鄉,0.5800
大武鄉,1.1700
綠島鄉,0.2700
海端鄉,0.0000
延平鄉,0.0700
金峰鄉,0.2500
達仁鄉,0.2300
蘭嶼鄉,0.8300
花蓮市,4.0500
鳳林鎮,1.8100
玉里鎮,2.1500
新城鄉,3.8300
吉安鄉,1.2300
壽豐鄉,1.3900
光復鄉,1.8500
豐濱鄉,0.3100
瑞穗鄉,1.0100
富里鄉,0.7700
秀林鄉,1.6900
萬榮鄉,0.0300
卓溪鄉,0.1600
馬公鎮,1.7100
湖西鄉,2.1700
白沙鄉,0.8400
西嶼鄉,0.4100
望安鄉,0.1200
七美鄉,3.4400
中正區,2.7900
七堵區,2.0400
暖暖區,2.6200
仁愛區,4.9300
中山區,2.2100
安樂區,3.4200
信義區,3.1900
新竹市,2.8900
香山鄉,2.9500
中區,4.2600
東區,3.9700
南區,4.0100
西區,6.3900
北區,6.7300
西屯區,1.5700
南屯區,1.8500
北屯區,1.9100
嘉義市,4.0400
東區,2.8600
南區,3.0600
西區,4.9400
北區,3.4700
中區,2.8100
安南區,1.3100
安平區,4.9600
鹽埕區,4.0600
鼓山區,2.7000
左營區,1.7800
楠梓區,2.4200
三民區,4.0400
新興區,9.2000
前金區,7.3400
苓雅區,4.2700
前鎮區,2.0100
旗津區,2.4500
小港鄉,0.8800
大安區,4.7100
大同區,7.2100
松山區,3.7600
南港鎮,2.6700
內湖鄉,2.3200
中山區,4.9000
北投鎮,3.2000
士林鎮,3.4100
城中區,2.6100
延平區,3.3600
建成區,5.9300
古亭區,6.9200
龍山區,5.8200
雙園區,10.8400
景美鎮,4.7800
木柵鄉,2.1900
