OBJECTID,town,divorced
1,板橋鎮,1.5108
2,三重市,1.8374
3,中和鄉,1.4715
4,永和鎮,2.2905
5,新莊鎮,1.2926
6,新店鎮,2.5502
7,樹林鎮,0.9953
8,鶯歌鎮,1.3405
9,三峽鎮,1.3698
10,淡水鎮,1.4231
11,汐止鎮,1.2223
12,瑞芳鎮,1.1783
13,土城鄉,1.4719
14,蘆洲鄉,1.6677
15,五股鄉,1.6844
16,泰山鄉,1.5262
17,林口鄉,1.2423
18,深坑鄉,0.7312
19,石碇鄉,1.2157
20,坪林鄉,0.7653
21,三芝鄉,2.3106
22,石門鄉,1.3266
23,八里鄉,1.2136
24,平溪鄉,0.9465
25,雙溪鄉,0.8886
26,貢寮鄉,0.8827
27,金山鄉,1.18
28,萬里鄉,1.3009
29,烏來鄉,1.7994
30,宜蘭市,1.7538
31,羅東鎮,1.9035
32,頭城鎮,1.7555
33,蘇澳鎮,1.0933
34,礁溪鄉,1.5211
35,壯圍鄉,0.8135
36,員山鄉,1.8302
37,冬山鄉,1.167
38,五結鄉,0.8362
39,三星鄉,2.6248
40,大同鄉,1.9483
41,南澳鄉,2.2859
42,桃園鎮,1.6673
43,中壢鎮,1.4808
44,大溪鎮,1.1257
45,楊梅鎮,1.2838
46,蘆竹鄉,1.2733
47,大園鄉,1.0564
48,龜山鄉,1.9301
49,八德鄉,1.054
50,龍潭鄉,1.116
51,平鎮鄉,1.1503
52,新屋鄉,0.9023
53,觀音鄉,0.9608
54,復興鄉,1.6548
55,竹北鄉,0.8457
56,竹東鎮,1.7448
57,新埔鎮,1.2497
58,關西鎮,1.1157
59,湖口鄉,3.393
60,新豐鄉,1.1765
61,芎林鄉,1.1651
62,橫山鄉,1.2797
63,北埔鄉,1.5515
64,寶山鄉,0.9084
65,峨眉鄉,0.8011
66,尖石鄉,2.3372
67,五峰鄉,1.0862
68,苗栗鎮,1.5488
69,苑裡鎮,0.5319
70,通霄鎮,0.7499
71,竹南鎮,0.8036
72,頭份鎮,1.0251
73,後龍鎮,0.7842
74,卓蘭鎮,0.9033
75,大湖鄉,1.1617
76,公館鄉,0.6764
77,銅鑼鄉,0.8614
78,南庄鄉,1.0358
79,頭屋鄉,0.6899
80,三義鄉,0.7765
81,西湖鄉,0.8593
82,造橋鄉,0.6301
83,三灣鄉,0.7382
84,獅潭鄉,0.9549
85,泰安鄉,1.0864
86,豐原鎮,1.1526
87,東勢鎮,0.927
88,大甲鎮,1.0606
89,清水鎮,0.5048
90,沙鹿鎮,0.869
91,梧棲鎮,0.5186
92,后里鄉,0.9192
93,神岡鄉,0.831
94,潭子鄉,0.596
95,大雅鄉,0.8776
96,新社鄉,0.9706
97,石岡鄉,0.7249
98,外埔鄉,0.4622
99,大安鄉,0.4897
100,烏日鄉,0.6555
101,大肚鄉,0.4892
102,龍井鄉,0.2876
103,霧峰鄉,1.0506
104,太平鄉,0.9968
105,大里鄉,0.7914
106,和平鄉,2.1614
107,彰化市,1.0387
108,鹿港鎮,0.5237
109,和美鎮,0.4308
110,線西鄉,0.2628
111,伸港鄉,0.5563
112,福興鄉,0.3218
113,秀水鄉,0.4322
114,花壇鄉,0.5287
115,芬園鄉,0.4964
116,員林鎮,0.5288
117,溪湖鎮,0.5831
118,田中鎮,1.2575
119,大村鄉,0.3673
120,埔鹽鄉,0.3774
121,埔心鄉,0.4991
122,永靖鄉,0.5915
123,社頭鄉,0.4206
124,二水鄉,0.4051
125,北斗鎮,0.6014
126,二林鎮,0.5453
127,田尾鄉,0.4104
128,埤頭鄉,0.5252
129,芳苑鄉,0.5763
130,大城鄉,0.4174
131,竹塘鄉,0.594
132,溪州鄉,0.7156
133,南投鎮,0.7778
134,埔里鎮,0.7443
135,草屯鎮,0.6746
136,竹山鎮,0.5797
137,集集鎮,0.5666
138,名間鄉,0.4555
139,鹿谷鄉,0.3786
140,中寮鄉,0.6401
141,魚池鄉,0.6339
142,國姓鄉,0.9997
143,水里鄉,1.1344
144,信義鄉,0.8782
145,仁愛鄉,0.9676
146,斗六鎮,1.5141
147,斗南鎮,0.8703
148,虎尾鎮,0.8744
149,西螺鎮,0.4758
150,土庫鎮,0.4681
151,北港鎮,0.6718
152,古坑鄉,0.417
153,大埤鄉,0.3901
154,莿桐鄉,0.4749
155,林內鄉,0.6736
156,二崙鄉,0.3786
157,崙背鄉,0.3662
158,麥寮鄉,0.3458
159,東勢鄉,0.3818
160,褒忠鄉,0.4465
161,臺西鄉,0.421
162,元長鄉,0.3331
163,四湖鄉,0.3625
164,口湖鄉,0.5304
165,水林鄉,0.4504
166,太保市,0.6714
167,朴子鎮,0.4908
168,布袋鎮,0.3629
169,大林鎮,1.0429
170,民雄鄉,0.4763
171,溪口鄉,0.7363
172,新港鄉,0.5089
173,六腳鄉,0.3434
174,東石鄉,0.2683
175,義竹鄉,0.3766
176,鹿草鄉,0.3113
177,水上鄉,1.2062
178,中埔鄉,0.6058
179,竹崎鄉,1.0229
180,梅山鄉,0.8114
181,番路鄉,0.74
182,大埔鄉,2.6651
183,吳鳳鄉,0.5572
184,新營鎮,0.7024
185,鹽水鎮,0.3747
186,白河鎮,0.8347
187,柳營鄉,0.443
188,後壁鄉,0.3127
189,東山鄉,0.3887
190,麻豆鎮,0.4627
191,下營鄉,0.244
192,六甲鄉,0.388
193,官田鄉,0.6485
194,大內鄉,0.5067
195,佳里鎮,0.4623
196,學甲鄉,0.2511
197,西港鄉,0.444
198,七股鄉,0.2547
199,將軍鄉,0.4194
200,北門鄉,0.2759
201,新化鎮,1.0184
202,善化鎮,0.632
203,新市鄉,0.7015
204,安定鄉,0.3237
205,山上鄉,0.9343
206,玉井鄉,0.7118
207,楠西鄉,0.9468
208,南化鄉,0.7337
209,左鎮鄉,0.7095
210,仁德鄉,0.6718
211,歸仁鄉,0.4879
212,關廟鄉,0.5954
213,龍崎鄉,0.5676
214,永康鄉,1.1306
215,鳳山鎮,1.4929
216,林園鄉,0.6881
217,大寮鄉,0.5941
218,大樹鄉,0.7473
219,大社鄉,0.705
220,仁武鄉,0.9211
221,鳥松鄉,1.2341
222,岡山鎮,1.1105
223,橋頭鄉,0.8497
224,燕巢鄉,2.7066
225,田寮鄉,0.5536
226,阿蓮鄉,0.627
227,路竹鄉,0.5991
228,湖內鄉,0.6501
229,茄萣鄉,0.5849
230,永安鄉,0.5175
231,彌陀鄉,0.5698
232,梓官鄉,0.4983
233,旗山鎮,1.1523
234,美濃鎮,0.5312
235,六龜鄉,1.2002
236,甲仙鄉,0.8015
237,杉林鄉,0.687
238,內門鄉,0.5887
239,茂林鄉,1.3799
240,桃源鄉,0.5205
241,三民鄉,0.7869
242,屏東市,1.2869
243,潮州鎮,0.8995
244,東港鎮,0.5965
245,恆春鎮,0.7256
246,萬丹鄉,0.3842
247,長治鄉,0.9188
248,麟洛鄉,1.6634
249,九如鄉,0.4053
250,里港鄉,0.5938
251,鹽埔鄉,0.658
252,高樹鄉,0.6215
253,萬巒鄉,0.5074
254,內埔鄉,1.7007
255,竹田鄉,0.4881
