town,gao
板橋鎮,16.5151
三重市,12.0805
中和鄉,18.8046
永和鎮,22.8223
新莊鎮,11.4891
新店鎮,15.6519
樹林鎮,12.3551
鶯歌鎮,8.1697
三峽鎮,5.0095
淡水鎮,10.1401
汐止鎮,7.1818
瑞芳鎮,7.8391
土城鄉,10.2757
蘆洲鄉,7.6057
五股鄉,7.1712
泰山鄉,24.2148
林口鄉,7.131
深坑鄉,5.306
石碇鄉,3.2242
坪林鄉,3.1218
三芝鄉,4.4107
石門鄉,6.2902
八里鄉,3.5259
平溪鄉,4.5213
雙溪鄉,5.4655
貢寮鄉,3.7782
金山鄉,4.453
萬里鄉,2.9475
烏來鄉,6.121
宜蘭市,16.7042
羅東鎮,14.301
頭城鎮,7.5818
蘇澳鎮,5.481
礁溪鄉,5.953
壯圍鄉,3.653
員山鄉,3.8656
冬山鄉,4.1213
五結鄉,6.9202
三星鄉,5.0508
大同鄉,4.1969
南澳鄉,4.2755
桃園鎮,14.4188
中壢鎮,18.6169
大溪鎮,9.2789
楊梅鎮,13.3823
蘆竹鄉,9.3478
大園鄉,8.4713
龜山鄉,10.4991
八德鄉,11.3337
龍潭鄉,10.0711
平鎮鄉,16.8078
新屋鄉,6.4247
觀音鄉,6.1254
復興鄉,5.6026
竹北鄉,6.2463
竹東鎮,13.1742
新埔鎮,8.246
關西鎮,8.2282
湖口鄉,14.5047
新豐鄉,6.2171
芎林鄉,7.2606
橫山鄉,7.0858
北埔鄉,7.6085
寶山鄉,6.3096
峨眉鄉,6.5713
尖石鄉,5.1728
五峰鄉,4.9058
苗栗鎮,19.2388
苑裡鎮,5.6249
通霄鎮,4.7335
竹南鎮,10.4455
頭份鎮,12.1507
後龍鎮,6.2271
卓蘭鎮,6.6597
大湖鄉,8.7982
公館鄉,9.502
銅鑼鄉,9.033
南庄鄉,5.0858
頭屋鄉,7.404
三義鄉,7.266
西湖鄉,6.6583
造橋鄉,9.9144
三灣鄉,6.053
獅潭鄉,4.1038
泰安鄉,4.3416
豐原鎮,12.7215
東勢鎮,9.5866
大甲鎮,8.5487
清水鎮,8.7467
沙鹿鎮,6.209
梧棲鎮,6.0529
后里鄉,9.2683
神岡鄉,8.8566
潭子鄉,9.3298
大雅鄉,10.1474
新社鄉,7.0325
石岡鄉,10.403
外埔鄉,4.834
大安鄉,3.1922
烏日鄉,9.5905
大肚鄉,6.5111
龍井鄉,4.519
霧峰鄉,9.9791
太平鄉,12.3219
大里鄉,12.5943
和平鄉,7.5875
彰化市,15.2986
鹿港鎮,7.2461
和美鎮,6.0814
線西鄉,4.7227
伸港鄉,4.0626
福興鄉,4.2174
秀水鄉,6.0882
花壇鄉,6.4448
芬園鄉,5.5286
員林鎮,11.5543
溪湖鎮,8.026
田中鎮,9.1429
大村鄉,4.401
埔鹽鄉,4.5111
埔心鄉,4.3678
永靖鄉,5.102
社頭鄉,6.9197
二水鄉,8.4641
北斗鎮,9.3112
二林鎮,6.1048
田尾鄉,5.884
埤頭鄉,4.965
芳苑鄉,3.6493
大城鄉,3.3434
竹塘鄉,5.3963
溪州鄉,7.7845
南投鎮,17.6017
埔里鎮,6.7683
草屯鎮,9.9448
竹山鎮,7.2359
集集鎮,9.0885
名間鄉,5.9135
鹿谷鄉,5.6191
中寮鄉,3.9089
魚池鄉,5.8305
國姓鄉,3.6801
水里鄉,7.3875
信義鄉,3.5867
仁愛鄉,6.1644
斗六鎮,12.7714
斗南鎮,8.1132
虎尾鎮,13.5137
西螺鎮,7.6262
土庫鎮,6.1683
北港鎮,10.7389
古坑鄉,5.3432
大埤鄉,4.7523
莿桐鄉,5.5796
林內鄉,5.8744
二崙鄉,4.91
崙背鄉,5.1286
麥寮鄉,3.6506
東勢鄉,4.0764
褒忠鄉,6.7193
臺西鄉,2.7456
元長鄉,4.5935
四湖鄉,3.7257
口湖鄉,2.4527
水林鄉,4.099
太保市,4.8132
朴子鎮,9.3922
布袋鎮,5.7233
大林鎮,13.8948
民雄鄉,7.4175
溪口鄉,4.7797
新港鄉,6.3838
六腳鄉,6.4344
東石鄉,2.9896
義竹鄉,5.5402
鹿草鄉,5.4514
水上鄉,11.433
中埔鄉,6.1557
竹崎鄉,4.6786
梅山鄉,5.4215
番路鄉,4.4535
大埔鄉,3.0045
吳鳳鄉,7.6662
新營鎮,16.6639
鹽水鎮,9.5292
白河鎮,7.3556
柳營鄉,7.1757
後壁鄉,9.452
東山鄉,5.8079
麻豆鎮,11.814
下營鄉,5.851
六甲鄉,7.9451
官田鄉,10.649
大內鄉,5.776
佳里鎮,10.8265
學甲鄉,6.6021
西港鄉,5.8475
七股鄉,5.0532
將軍鄉,4.4524
北門鄉,4.8433
新化鎮,9.9359
善化鎮,14.5416
新市鄉,6.42
安定鄉,5.6822
山上鄉,6.7382
玉井鄉,9.6581
楠西鄉,4.9783
南化鄉,3.726
左鎮鄉,5.0252
仁德鄉,11.6306
歸仁鄉,8.5766
