OBJECTID,town,ratio
1,板橋鎮,111.4315
2,三重市,106.5458
3,中和鄉,121.5694
4,永和鎮,113.6878
5,新莊鎮,111.9972
6,新店鎮,146.5598
7,樹林鎮,115.1315
8,鶯歌鎮,109.644
9,三峽鎮,108.3462
10,淡水鎮,119.1377
11,汐止鎮,109.2139
12,瑞芳鎮,107.1101
13,土城鄉,127.1352
14,蘆洲鄉,111.1187
15,五股鄉,108.9542
16,泰山鄉,163.6095
17,林口鄉,172.4151
18,深坑鄉,107.1465
19,石碇鄉,110.9753
20,坪林鄉,107.3986
21,三芝鄉,121.9843
22,石門鄉,141.2116
23,八里鄉,116.8549
24,平溪鄉,105.7424
25,雙溪鄉,107.3963
26,貢寮鄉,119.7552
27,金山鄉,115.4695
28,萬里鄉,115.1225
29,烏來鄉,129.9166
30,宜蘭市,112.1622
31,羅東鎮,101.7285
32,頭城鎮,117.5043
33,蘇澳鎮,107.9965
34,礁溪鄉,113.5481
35,壯圍鄉,106.737
36,員山鄉,128.5142
37,冬山鄉,105.0025
38,五結鄉,103.933
39,三星鄉,119.8776
40,大同鄉,149.7099
41,南澳鄉,121.6935
42,桃園鎮,111.4481
43,中壢鎮,130.7884
44,大溪鎮,125.3049
45,楊梅鎮,125.9863
46,蘆竹鄉,118.3863
47,大園鄉,121.7376
48,龜山鄉,182.1016
49,八德鄉,187.7955
50,龍潭鄉,182.5288
51,平鎮鄉,158.2298
52,新屋鄉,102.8329
53,觀音鄉,115.5683
54,復興鄉,122.1112
55,竹北鄉,101.9933
56,竹東鎮,107.9567
57,新埔鎮,109.7057
58,關西鎮,107.7754
59,湖口鄉,204.0691
60,新豐鄉,108.9738
61,芎林鄉,108.6004
62,橫山鄉,105.7864
63,北埔鄉,107.4522
64,寶山鄉,117.8144
65,峨眉鄉,100.4254
66,尖石鄉,116.3039
67,五峰鄉,109.4483
68,苗栗鎮,117.2875
69,苑裡鎮,97.6491
70,通霄鎮,102.8315
71,竹南鎮,99.3479
72,頭份鎮,113.5398
73,後龍鎮,102.6369
74,卓蘭鎮,103.6769
75,大湖鄉,102.8383
76,公館鄉,106.067
77,銅鑼鄉,104.4649
78,南庄鄉,103.2856
79,頭屋鄉,104.1406
80,三義鄉,101.0079
81,西湖鄉,97.1661
82,造橋鄉,102.7855
83,三灣鄉,98.2798
84,獅潭鄉,104.3847
85,泰安鄉,110.9864
86,豐原鎮,100.657
87,東勢鎮,109.5747
88,大甲鎮,109.5384
89,清水鎮,102.01
90,沙鹿鎮,103.4604
91,梧棲鎮,103.2867
92,后里鄉,135.041
93,神岡鄉,140.8033
94,潭子鄉,127.5687
95,大雅鄉,218.1001
96,新社鄉,126.5001
97,石岡鄉,116.0567
98,外埔鄉,102.048
99,大安鄉,96.8312
100,烏日鄉,136.6147
101,大肚鄉,99.0709
102,龍井鄉,95.8476
103,霧峰鄉,102.1971
104,太平鄉,166.3467
105,大里鄉,135.0221
106,和平鄉,170.1825
107,彰化市,103.1238
108,鹿港鎮,98.6061
109,和美鎮,97.2333
110,線西鄉,103.2472
111,伸港鄉,96.3961
112,福興鄉,98.8768
113,秀水鄉,96.7024
114,花壇鄉,101.1034
115,芬園鄉,101.6367
116,員林鎮,98.938
117,溪湖鎮,96.4423
118,田中鎮,120.1779
119,大村鄉,103.1965
120,埔鹽鄉,96.2816
121,埔心鄉,101.2117
122,永靖鄉,98.4741
123,社頭鄉,108.9037
124,二水鄉,100.8973
125,北斗鎮,101.3804
126,二林鎮,95.1409
127,田尾鄉,100.0648
128,埤頭鄉,103.0922
129,芳苑鄉,100.9202
130,大城鄉,96.3334
131,竹塘鄉,93.6875
132,溪州鄉,108.956
133,南投鎮,109.8127
134,埔里鎮,106.5891
135,草屯鎮,98.6674
136,竹山鎮,97.6617
137,集集鎮,99.509
138,名間鄉,101.2701
139,鹿谷鄉,99.6289
140,中寮鄉,100.7676
141,魚池鄉,101.0934
142,國姓鄉,107.4637
143,水里鄉,108.297
144,信義鄉,104.2848
145,仁愛鄉,112.7603
146,斗六鎮,114.2543
147,斗南鎮,101.9107
148,虎尾鎮,105.6844
149,西螺鎮,98.8358
150,土庫鎮,97.8406
151,北港鎮,99.7589
152,古坑鄉,98.4299
153,大埤鄉,100.8121
154,莿桐鄉,96.9947
155,林內鄉,101.4939
156,二崙鄉,95.7867
157,崙背鄉,93.6907
158,麥寮鄉,97.7247
159,東勢鄉,97.9531
160,褒忠鄉,95.3211
161,臺西鄉,100.7143
162,元長鄉,97.7464
163,四湖鄉,98.3719
164,口湖鄉,95.1023
165,水林鄉,96.0218
166,太保市,100.6008
167,朴子鎮,96.6826
168,布袋鎮,96.8618
169,大林鎮,146.9645
170,民雄鄉,102.153
171,溪口鄉,95.5933
172,新港鄉,96.7007
173,六腳鄉,97.952
174,東石鄉,98.2135
175,義竹鄉,95.2162
176,鹿草鄉,97.3806
177,水上鄉,134.0447
178,中埔鄉,104.3957
179,竹崎鄉,106.7248
180,梅山鄉,98.0431
181,番路鄉,108.0382
182,大埔鄉,147.5847
183,吳鳳鄉,117.088
184,新營鎮,101.5605
185,鹽水鎮,96.0567
186,白河鎮,125.9476
187,柳營鄉,97.1636
188,後壁鄉,98.1781
189,東山鄉,100.6587
190,麻豆鎮,96.8365
191,下營鄉,96.6565
192,六甲鄉,101.299
193,官田鄉,171.3193
194,大內鄉,104.3983
195,佳里鎮,96.358
196,學甲鄉,94.3251
197,西港鄉,92.3141
198,七股鄉,92.2262
199,將軍鄉,95.4554
200,北門鄉,98.6152
201,新化鎮,178.8027
202,善化鎮,143.293
203,新市鄉,98.9112
204,安定鄉,98.6061
205,山上鄉,104.7602
206,玉井鄉,101.0516
207,楠西鄉,103.4141
208,南化鄉,104.3301
209,左鎮鄉,106.6898
210,仁德鄉,105.2755
211,歸仁鄉,101.9321
212,關廟鄉,110.0492
213,龍崎鄉,101.2373
214,永康鄉,143.962
215,鳳山鎮,154.9425
216,林園鄉,149.539
217,大寮鄉,103.1327
218,大樹鄉,134.6419
219,大社鄉,103.5886
220,仁武鄉,221.6394
221,鳥松鄉,128.7
222,岡山鎮,125.4068
223,橋頭鄉,114.5928
224,燕巢鄉,186.3259
225,田寮鄉,110.6637
226,阿蓮鄉,119.5478
227,路竹鄉,99.438
228,湖內鄉,102.5216
229,茄萣鄉,103.1401
230,永安鄉,105.8231
231,彌陀鄉,106.9027
232,梓官鄉,103.4774
233,旗山鎮,115.3098
234,美濃鎮,98.382
235,六龜鄉,112.2858
236,甲仙鄉,115.1467
237,杉林鄉,102.9832
238,內門鄉,100.3661
239,茂林鄉,117.0455
240,桃源鄉,110.929
241,三民鄉,102.0258
242,屏東市,121.7363
243,潮州鎮,117.6785
244,東港鎮,107.4023
245,恆春鎮,120
246,萬丹鄉,100.3928
247,長治鄉,115.339
248,麟洛鄉,110.5582
249,九如鄉,103.2998
250,里港鄉,99.1981
251,鹽埔鄉,101.1925
252,高樹鄉,105.6604
253,萬巒鄉,100.8556
254,內埔鄉,141.6446
255,竹田鄉,99.356
256,新埤鄉,103.8311
257,枋寮鄉,119.6099
258,新園鄉,104.1503
259,崁頂鄉,101.6247
260,林邊鄉,98.2134
261,南州鄉,96.4344
262,佳冬鄉,100.7795
263,琉球鄉,133.8718
264,車城鄉,116.4574
265,滿州鄉,91.9096
