town,sale
板橋鎮,9.85
三重市,16.23
中和鄉,5.89
永和鎮,12.78
新莊鎮,8.74
新店鎮,5.57
樹林鎮,5.5
鶯歌鎮,8.27
三峽鎮,6.6
淡水鎮,6.77
汐止鎮,6.92
瑞芳鎮,7.49
土城鄉,5.03
蘆洲鄉,11.79
五股鄉,4.03
泰山鄉,4.68
林口鄉,3.11
深坑鄉,5.59
石碇鄉,4.08
坪林鄉,3.36
三芝鄉,3.77
石門鄉,2.76
八里鄉,2.94
平溪鄉,5.22
雙溪鄉,7.34
貢寮鄉,5.16
金山鄉,7.71
萬里鄉,3.65
烏來鄉,5.76
宜蘭市,14
羅東鎮,17.16
頭城鎮,8.57
蘇澳鎮,7.33
礁溪鄉,5.12
壯圍鄉,3.07
員山鄉,3.52
冬山鄉,4.12
五結鄉,5.47
三星鄉,3.91
大同鄉,1.59
南澳鄉,2.26
桃園鎮,13.57
中壢鎮,8.65
大溪鎮,5.68
楊梅鎮,5.45
蘆竹鄉,3.65
大園鄉,4.29
龜山鄉,4.15
八德鄉,3.3
龍潭鄉,3.29
平鎮鄉,5.12
新屋鄉,3.09
觀音鄉,3.37
復興鄉,3.52
竹北鄉,4.46
竹東鎮,9.21
新埔鎮,5.19
關西鎮,4.31
湖口鄉,3.26
新豐鄉,3.52
芎林鄉,3.74
橫山鄉,3.47
北埔鄉,3.88
寶山鄉,1.41
峨眉鄉,1.84
尖石鄉,3.96
五峰鄉,3.81
苗栗鎮,8.06
苑裡鎮,5.09
通霄鎮,3.46
竹南鎮,7.98
頭份鎮,5.2
後龍鎮,4.61
卓蘭鎮,3.96
大湖鄉,4.61
公館鄉,3.02
銅鑼鄉,3.32
南庄鄉,5.06
頭屋鄉,2.88
三義鄉,4.14
西湖鄉,2.42
造橋鄉,2.46
三灣鄉,3.07
獅潭鄉,2.81
泰安鄉,1.99
豐原鎮,12.2
東勢鎮,7.28
大甲鎮,8.14
清水鎮,6.31
沙鹿鎮,7.92
梧棲鎮,6.52
后里鄉,4.1
神岡鄉,3.44
潭子鄉,4.52
大雅鄉,2.13
新社鄉,3.08
石岡鄉,4.34
外埔鄉,3.27
大安鄉,2.52
烏日鄉,3.6
大肚鄉,5.02
龍井鄉,2.7
霧峰鄉,6.06
太平鄉,3
大里鄉,4.68
和平鄉,2.23
彰化市,14.73
鹿港鎮,11.86
和美鎮,7.08
線西鄉,4.27
伸港鄉,6.33
福興鄉,3.34
秀水鄉,8.67
花壇鄉,7.67
芬園鄉,4.17
員林鎮,14.39
溪湖鎮,9.51
田中鎮,8.49
大村鄉,4.78
埔鹽鄉,3
埔心鄉,5.65
永靖鄉,7.26
社頭鄉,4.79
二水鄉,7.21
北斗鎮,12.47
二林鎮,6.2
田尾鄉,6.4
埤頭鄉,3.53
芳苑鄉,3.92
大城鄉,2.8
竹塘鄉,3.73
溪州鄉,4.08
南投鎮,6.61
埔里鎮,7.8
草屯鎮,6.86
竹山鎮,7.88
集集鎮,5.67
名間鄉,3.66
鹿谷鄉,4.47
中寮鄉,3.48
魚池鄉,4.06
國姓鄉,3.88
水里鄉,8.47
信義鄉,2.21
仁愛鄉,1.6
斗六鎮,8.86
斗南鎮,7.85
虎尾鎮,8.39
西螺鎮,8.24
土庫鎮,5.53
北港鎮,16.57
古坑鄉,3.02
大埤鄉,2.72
莿桐鄉,3.44
林內鄉,4.55
二崙鄉,2.64
崙背鄉,3.83
麥寮鄉,3.91
東勢鄉,2.39
褒忠鄉,3.82
臺西鄉,2.48
元長鄉,3.13
四湖鄉,2.23
口湖鄉,2.9
水林鄉,3.11
太保市,2.99
朴子鎮,10.63
布袋鎮,5.95
大林鎮,5.87
民雄鄉,4.87
溪口鄉,4.89
新港鄉,5.33
六腳鄉,4.11
東石鄉,3.97
義竹鄉,5.16
鹿草鄉,3.4
水上鄉,3.23
中埔鄉,4.05
竹崎鄉,4.33
梅山鄉,6.68
番路鄉,2.98
大埔鄉,2.88
吳鳳鄉,3.49
新營鎮,11.77
鹽水鎮,9.88
白河鎮,6.11
柳營鄉,4.18
後壁鄉,4.01
東山鄉,3.62
麻豆鎮,8.84
下營鄉,5.1
六甲鄉,7
官田鄉,3.71
大內鄉,4.77
佳里鎮,10.08
學甲鄉,8.93
西港鄉,6.49
七股鄉,4.7
將軍鄉,6.22
北門鄉,6.13
新化鎮,5.17
善化鎮,6.36
新市鄉,4.84
安定鄉,4.83
