town,serv
板橋鎮,27.2500
三重市,19.7400
中和鄉,35.6800
永和鎮,33.5300
新莊鎮,19.0700
新店鎮,32.9700
樹林鎮,20.7000
鶯歌鎮,20.7000
三峽鎮,13.2600
淡水鎮,31.9100
汐止鎮,16.9200
瑞芳鎮,11.1600
土城鄉,28.1100
蘆洲鄉,13.2100
五股鄉,27.7900
泰山鄉,43.7200
林口鄉,50.1000
深坑鄉,11.3400
石碇鄉,8.0500
坪林鄉,7.7400
三芝鄉,19.4200
石門鄉,29.5600
八里鄉,18.0900
平溪鄉,6.5600
雙溪鄉,9.6700
貢寮鄉,8.3600
金山鄉,11.6900
萬里鄉,8.5800
烏來鄉,24.8400
宜蘭市,33.0100
羅東鎮,24.6900
頭城鎮,15.4000
蘇澳鎮,13.1600
礁溪鄉,12.4700
壯圍鄉,9.2100
員山鄉,16.6200
冬山鄉,8.1000
五結鄉,11.1800
三星鄉,7.6900
大同鄉,16.3100
南澳鄉,24.2800
桃園鎮,29.1100
中壢鎮,39.5400
大溪鎮,36.3800
楊梅鎮,38.0900
蘆竹鄉,27.4600
大園鄉,31.3300
龜山鄉,55.4200
八德鄉,60.1800
龍潭鄉,55.7300
平鎮鄉,48.0400
新屋鄉,11.5000
觀音鄉,23.0300
復興鄉,21.3500
竹北鄉,11.4300
竹東鎮,17.0500
新埔鎮,20.9200
關西鎮,14.3700
湖口鄉,60.7300
新豐鄉,16.2200
芎林鄉,13.1000
橫山鄉,10.2500
北埔鄉,14.5600
寶山鄉,17.0900
峨眉鄉,8.3300
尖石鄉,8.2100
五峰鄉,11.4400
苗栗鎮,38.5600
苑裡鎮,9.0100
通霄鎮,12.7800
竹南鎮,11.8300
頭份鎮,23.3700
後龍鎮,19.0500
卓蘭鎮,9.8100
大湖鄉,15.3600
公館鄉,18.8800
銅鑼鄉,13.3000
南庄鄉,11.4300
頭屋鄉,12.7500
三義鄉,8.8300
西湖鄉,7.7700
造橋鄉,12.1200
三灣鄉,11.3200
獅潭鄉,7.7600
泰安鄉,8.6700
豐原鎮,18.9300
東勢鎮,15.9300
大甲鎮,26.8700
清水鎮,21.1400
沙鹿鎮,15.7300
梧棲鎮,12.4500
后里鄉,38.1000
神岡鄉,40.0000
潭子鄉,30.7400
大雅鄉,64.1700
新社鄉,27.9700
石岡鄉,22.7300
外埔鄉,12.7200
大安鄉,7.0700
烏日鄉,37.4800
大肚鄉,7.6200
龍井鄉,7.2700
霧峰鄉,19.7100
太平鄉,33.3800
大里鄉,26.9600
和平鄉,33.9400
彰化市,23.3200
鹿港鎮,11.7200
和美鎮,7.6500
線西鄉,10.9100
伸港鄉,6.8900
福興鄉,6.3500
秀水鄉,10.9900
花壇鄉,11.7800
芬園鄉,8.7200
員林鎮,16.1100
溪湖鎮,11.8400
田中鎮,26.9400
大村鄉,9.4400
埔鹽鄉,5.7400
埔心鄉,8.0900
永靖鄉,9.8900
社頭鄉,18.4500
二水鄉,10.7000
北斗鎮,22.4000
二林鎮,9.4600
田尾鄉,8.9500
埤頭鄉,13.6600
芳苑鄉,7.4300
大城鄉,4.6300
竹塘鄉,8.2500
溪州鄉,15.3900
南投鎮,39.9200
埔里鎮,17.4000
草屯鎮,18.4700
竹山鎮,14.5400
集集鎮,16.5200
名間鄉,9.6200
鹿谷鄉,10.6500
中寮鄉,8.3000
魚池鄉,13.6600
國姓鄉,8.8600
水里鄉,17.0000
信義鄉,7.1200
仁愛鄉,7.1300
斗六鎮,29.9700
斗南鎮,15.9600
虎尾鎮,21.3000
西螺鎮,13.7100
土庫鎮,9.5700
北港鎮,16.8200
古坑鄉,9.1300
大埤鄉,8.1700
莿桐鄉,9.7000
林內鄉,12.2800
二崙鄉,8.3000
崙背鄉,8.1300
麥寮鄉,8.1200
東勢鄉,6.5600
褒忠鄉,10.9100
臺西鄉,6.7100
元長鄉,6.5500
四湖鄉,6.7200
口湖鄉,6.6300
水林鄉,6.5400
太保市,13.7700
朴子鎮,19.3200
布袋鎮,11.7100
大林鎮,24.0400
民雄鄉,15.7500
溪口鄉,8.7300
新港鄉,10.4700
六腳鄉,11.2500
東石鄉,8.3100
義竹鄉,10.1200
鹿草鄉,9.7500
水上鄉,37.8800
中埔鄉,14.3800
竹崎鄉,10.0000
梅山鄉,9.3400
番路鄉,11.6000
大埔鄉,6.9100
吳鳳鄉,13.0800
新營鎮,25.1600
鹽水鎮,13.5500
白河鎮,24.2400
柳營鄉,8.3700
後壁鄉,9.9500
東山鄉,9.7800
麻豆鎮,13.9300
下營鄉,8.3200
六甲鄉,15.7900
官田鄉,35.1700
大內鄉,9.9500
佳里鎮,15.9900
學甲鄉,9.6600
西港鄉,8.6600
七股鄉,8.6700
將軍鄉,9.3300
北門鄉,10.0900
新化鎮,48.5200
善化鎮,25.6800
新市鄉,9.1600
安定鄉,8.7200
山上鄉,12.3900
玉井鄉,12.0600
楠西鄉,7.7700
南化鄉,5.8500
左鎮鄉,8.1900
仁德鄉,23.5100
歸仁鄉,11.9000
關廟鄉,12.2700
龍崎鄉,6.9100
永康鄉,44.1500
鳳山鎮,57.2300
林園鄉,46.5000
大寮鄉,25.9400
大樹鄉,37.3100
大社鄉,14.4800
仁武鄉,59.9800
鳥松鄉,35.6100
岡山鎮,49.6600
橋頭鄉,29.4700
燕巢鄉,42.0100
田寮鄉,14.1800
阿蓮鄉,29.5200
路竹鄉,12.1100
湖內鄉,17.3700
茄萣鄉,17.3700
永安鄉,17.6200
彌陀鄉,19.8200
梓官鄉,15.6800
旗山鎮,26.0800
美濃鎮,12.5600
六龜鄉,11.3400
甲仙鄉,9.6200
杉林鄉,8.9400
內門鄉,6.6400
茂林鄉,14.3400
桃源鄉,8.4900
三民鄉,5.8500
屏東市,44.9300
潮州鎮,32.0200
東港鎮,25.5800
恆春鎮,27.4500
萬丹鄉,10.6600
長治鄉,14.1100
