town,spec
板橋鎮,5.77
三重市,4.45
中和鄉,6.91
永和鎮,10.39
新莊鎮,5.73
新店鎮,5.97
樹林鎮,5.87
鶯歌鎮,3.75
三峽鎮,2.68
淡水鎮,6.13
汐止鎮,4.84
瑞芳鎮,4.27
土城鄉,5.4
蘆洲鄉,3
五股鄉,2.81
泰山鄉,9.84
林口鄉,6.05
深坑鄉,1.77
石碇鄉,1.55
坪林鄉,1.74
三芝鄉,3.01
石門鄉,4.62
八里鄉,2.6
平溪鄉,2.31
雙溪鄉,3.57
貢寮鄉,1.79
金山鄉,2.59
萬里鄉,1.5
烏來鄉,8.32
宜蘭市,9.17
羅東鎮,7.89
頭城鎮,3.3
蘇澳鎮,3.41
礁溪鄉,3.01
壯圍鄉,2.03
員山鄉,2.99
冬山鄉,2.26
五結鄉,3.49
三星鄉,2.47
大同鄉,2.97
南澳鄉,6.83
桃園鎮,8.13
中壢鎮,8.5
大溪鎮,7.23
楊梅鎮,8.35
蘆竹鄉,4.46
大園鄉,5.25
龜山鄉,7.97
八德鄉,8.45
龍潭鄉,8.12
平鎮鄉,10.2
新屋鄉,3.33
觀音鄉,4.16
復興鄉,5.23
竹北鄉,2.96
竹東鎮,6.96
新埔鎮,7.81
關西鎮,4.5
湖口鄉,13.35
新豐鄉,2.74
芎林鄉,5.03
橫山鄉,2.73
北埔鄉,3.41
寶山鄉,3.79
峨眉鄉,2.51
尖石鄉,3.08
五峰鄉,3.22
苗栗鎮,9.46
苑裡鎮,2.73
通霄鎮,3.73
竹南鎮,4.2
頭份鎮,11.11
後龍鎮,2.9
卓蘭鎮,3.52
大湖鄉,3.95
公館鄉,4.51
銅鑼鄉,3.59
南庄鄉,2.83
頭屋鄉,2.55
三義鄉,2.92
西湖鄉,2.15
造橋鄉,3.46
三灣鄉,2.64
獅潭鄉,1.51
泰安鄉,2.28
豐原鎮,5.47
東勢鎮,5.25
大甲鎮,5.33
清水鎮,4.42
沙鹿鎮,3.7
梧棲鎮,3.24
后里鄉,6.96
神岡鄉,7.16
潭子鄉,6.22
大雅鄉,11.04
新社鄉,5.71
石岡鄉,7.66
外埔鄉,2.35
大安鄉,1.84
烏日鄉,5.68
大肚鄉,2.55
龍井鄉,2.17
霧峰鄉,4.52
太平鄉,2.46
大里鄉,3.69
和平鄉,4.56
彰化市,6.55
鹿港鎮,4.11
和美鎮,2.38
線西鄉,1.76
伸港鄉,1.69
福興鄉,1.84
秀水鄉,2.96
花壇鄉,3.3
芬園鄉,2.15
員林鎮,5.99
溪湖鎮,4.18
田中鎮,6.69
大村鄉,1.87
埔鹽鄉,2.07
埔心鄉,1.86
永靖鄉,2.45
社頭鄉,3.31
二水鄉,4.54
北斗鎮,5.34
二林鎮,2.64
田尾鄉,2.46
埤頭鄉,3.1
芳苑鄉,1.53
大城鄉,1.32
竹塘鄉,2.16
溪州鄉,3.87
南投鎮,8.15
埔里鎮,4.72
草屯鎮,4.32
竹山鎮,3.89
集集鎮,4.56
名間鄉,2.47
鹿谷鄉,2.75
中寮鄉,1.75
魚池鄉,3.79
國姓鄉,2.4
水里鄉,3.62
信義鄉,2.58
仁愛鄉,2.95
斗六鎮,7.58
斗南鎮,4.3
虎尾鎮,6.1
西螺鎮,4.42
土庫鎮,2.41
北港鎮,5.77
古坑鄉,2.16
大埤鄉,1.57
莿桐鄉,2.12
林內鄉,3.03
二崙鄉,1.9
崙背鄉,1.79
麥寮鄉,1.41
東勢鄉,1.58
褒忠鄉,2.37
臺西鄉,1.33
元長鄉,1.44
四湖鄉,1.59
口湖鄉,1.42
水林鄉,1.76
太保市,1.52
朴子鎮,5.79
布袋鎮,2.86
大林鎮,4
民雄鄉,4.13
溪口鄉,1.46
新港鄉,2.56
六腳鄉,2.26
東石鄉,1.39
義竹鄉,2.31
鹿草鄉,1.4
水上鄉,4.66
中埔鄉,3.37
竹崎鄉,2.43
梅山鄉,2.29
番路鄉,2.27
大埔鄉,1.24
吳鳳鄉,5.03
新營鎮,6.47
鹽水鎮,4.18
白河鎮,3.75
柳營鄉,2.13
後壁鄉,2.9
東山鄉,2.43
麻豆鎮,4.71
下營鄉,1.71
六甲鄉,2.41
官田鄉,3.84
大內鄉,1.8
佳里鎮,4.12
學甲鄉,2.25
西港鄉,1.86
七股鄉,1.5
將軍鄉,1.57
北門鄉,1.92
新化鎮,8.07
善化鎮,6.53
新市鄉,2.81
