OBJECTID,town,widow
1,板橋鎮,4.4094
2,三重市,4.418
3,中和鄉,4.5003
4,永和鎮,3.5448
5,新莊鎮,4.5696
6,新店鎮,4.2372
7,樹林鎮,5.1789
8,鶯歌鎮,5.9356
9,三峽鎮,5.4202
10,淡水鎮,5.7127
11,汐止鎮,3.7991
12,瑞芳鎮,6.4511
13,土城鄉,5.0902
14,蘆洲鄉,5.6365
15,五股鄉,3.8936
16,泰山鄉,4.5171
17,林口鄉,4.5388
18,深坑鄉,6.1189
19,石碇鄉,5.86
20,坪林鄉,5.4322
21,三芝鄉,6.2611
22,石門鄉,6.6221
23,八里鄉,5.4276
24,平溪鄉,5.5577
25,雙溪鄉,6.0995
26,貢寮鄉,7.1879
27,金山鄉,5.7697
28,萬里鄉,5.696
29,烏來鄉,4.9483
30,宜蘭市,6.0569
31,羅東鎮,5.8335
32,頭城鎮,5.0939
33,蘇澳鎮,6.0469
34,礁溪鄉,5.4477
35,壯圍鄉,5.7815
36,員山鄉,6.2183
37,冬山鄉,5.7592
38,五結鄉,5.7403
39,三星鄉,5.6894
40,大同鄉,4.4824
41,南澳鄉,4.9808
42,桃園鎮,4.9147
43,中壢鎮,3.8
44,大溪鎮,5.6577
45,楊梅鎮,4.2757
46,蘆竹鄉,4.3642
47,大園鄉,4.3567
48,龜山鄉,4.8253
49,八德鄉,4.4521
50,龍潭鄉,4.3461
51,平鎮鄉,4.1362
52,新屋鄉,4.4544
53,觀音鄉,4.4739
54,復興鄉,4.2729
55,竹北鄉,4.7787
56,竹東鎮,4.5354
57,新埔鎮,5.5233
58,關西鎮,5.3293
59,湖口鄉,4.5102
60,新豐鄉,4.494
61,芎林鄉,4.846
62,橫山鄉,4.6164
63,北埔鄉,5.6366
64,寶山鄉,4.8001
65,峨眉鄉,4.7819
66,尖石鄉,4.1229
67,五峰鄉,3.5755
68,苗栗鎮,4.9112
69,苑裡鎮,4.8245
70,通霄鎮,4.9994
71,竹南鎮,4.8878
72,頭份鎮,4.9054
