town,befo
板橋市,2.92
三重市,3.79
永和市,2.33
中和市,2.56
新莊市,3.8
新店市,6.24
樹林鎮,8.06
鶯歌鎮,17.12
三峽鎮,20.59
淡水鎮,16.97
汐止鎮,10.9
瑞芳鎮,27.09
土城鄉,9.98
蘆洲鄉,6.98
五股鄉,9.22
泰山鄉,4.63
林口鄉,21.9
深坑鄉,20.64
石碇鄉,25.24
坪林鄉,54.75
三芝鄉,29.65
石門鄉,26.41
八里鄉,11.48
平溪鄉,28.32
雙溪鄉,28.6
貢寮鄉,36.02
金山鄉,18.83
萬里鄉,10.47
烏來鄉,12.72
宜蘭市,17.11
羅東鎮,20.01
蘇澳鎮,9.63
頭城鎮,21.55
礁溪鄉,19.55
壯圍鄉,20.38
員山鄉,20.69
冬山鄉,12.87
五結鄉,25.16
三星鄉,19.87
大同鄉,7.15
南澳鄉,2.21
桃園市,6.77
中壢市,7.9
大溪鎮,20.4
楊梅鎮,20.48
蘆竹鄉,21.45
大園鄉,17.51
龜山鄉,9.2
八德鄉,5.37
龍潭鄉,15.48
平鎮鄉,7.87
新屋鄉,35.52
觀音鄉,32.86
復興鄉,5.57
新竹市,14.95
關西鎮,39.22
新埔鎮,36.28
竹東鎮,17.99
香山鄉,13.27
竹北鄉,12.45
湖口鄉,19.62
橫山鄉,25.83
新豐鄉,23.39
芎林鄉,26.13
寶山鄉,26.44
北埔鄉,30.81
峨眉鄉,24.4
尖石鄉,4.26
五峰鄉,7.04
苗栗鎮,15.77
苑裡鎮,29.33
通霄鎮,29.9
竹南鎮,20.22
頭份鎮,15.39
後龍鎮,21.57
卓蘭鎮,26.64
大湖鄉,18.69
公館鄉,21.98
銅鑼鄉,22.28
南庄鄉,18.04
頭屋鄉,14.96
三義鄉,18.34
西湖鄉,23.41
造橋鄉,14.72
三灣鄉,15.49
獅潭鄉,7.33
泰安鄉,8.42
豐原市,19.22
東勢鎮,38.37
大甲鎮,22.1
清水鎮,27.66
沙鹿鎮,27.15
梧棲鎮,29.91
后里鄉,23.25
神岡鄉,25.52
潭子鄉,21
大雅鄉,25.33
新社鄉,25.57
石岡鄉,41.28
外埔鄉,26.75
大安鄉,27.91
烏日鄉,16.51
大肚鄉,24.29
龍井鄉,30.4
霧峰鄉,21.29
太平鄉,7.26
大里鄉,9.53
和平鄉,4.58
彰化市,14.02
鹿港鎮,23.13
和美鎮,16.61
北斗鎮,32.65
員林鎮,20.18
溪湖鎮,18.14
田中鎮,18.73
二林鎮,16.4
線西鄉,12.01
伸港鄉,15.53
福興鄉,15.13
秀水鄉,16.59
花壇鄉,19.15
芬園鄉,34.85
大村鄉,16.53
埔鹽鄉,16.81
埔心鄉,18.7
永靖鄉,17.52
社頭鄉,24.08
二水鄉,21.33
田尾鄉,18.14
埤頭鄉,14.36
芳苑鄉,11.21
大城鄉,9.96
竹塘鄉,17.32
溪州鄉,16.97
南投鎮,21.98
埔里鎮,21.37
草屯鎮,29.79
竹山鎮,20.6
集集鎮,50.17
名間鄉,41.98
鹿谷鄉,22.84
中寮鄉,22.82
魚池鄉,44.15
國姓鄉,16.71
水里鄉,12.5
信義鄉,11.58
仁愛鄉,5.61
斗六鎮,18.85
斗南鎮,19.08
虎尾鎮,18.11
西螺鎮,22.51
土庫鎮,17
北港鎮,32.92
古坑鄉,23.46
大埤鄉,18.22
莿桐鄉,15.83
林內鄉,15.49
二崙鄉,16.65
崙背鄉,13.19
麥寮鄉,10.89
東勢鄉,17.04
褒忠鄉,19.55
臺西鄉,10.73
元長鄉,20.08
四湖鄉,13.99
口湖鄉,22.04
水林鄉,25.01
嘉義市,17.22
朴子鎮,35.96
布袋鎮,33.51
大林鎮,17.98
民雄鄉,17.01
溪口鄉,22.26
新港鄉,27.9
六腳鄉,29.77
東石鄉,25.27
義竹鄉,31.81
鹿草鄉,29.32
太保鄉,20.29
水上鄉,16.12
中埔鄉,12.6
竹崎鄉,20.66
梅山鄉,28.25
番路鄉,13.42
大埔鄉,7.04
吳鳳鄉,14.8
新營鎮,20.68
鹽水鎮,30.5
白河鎮,22.1
麻豆鎮,27.68
佳里鎮,19.23
新化鎮,15.69
善化鎮,23.96
學甲鎮,30.86
柳營鄉,27.13
後壁鄉,26.84
東山鄉,23.09
下營鄉,25.8
六甲鄉,26.13
官田鄉,16.91
大內鄉,19.03
西港鄉,18.69
七股鄉,20.57
將軍鄉,23.44
北門鄉,21.53
新市鄉,11.81
安定鄉,17.54
山上鄉,16.21
玉井鄉,15.42
楠西鄉,9.51
南化鄉,16.79
左鎮鄉,24.15
仁德鄉,9.4
歸仁鄉,16
關廟鄉,24.09
龍崎鄉,20.87
永康鄉,7.47
鳳山市,5.66
岡山鎮,20.95
旗山鎮,24.29
美濃鎮,33.18
林園鄉,8.68
大寮鄉,8.99
大樹鄉,13.82
仁武鄉,7.92
大社鄉,10.05
鳥松鄉,9.68
橋頭鄉,14.49
燕巢鄉,15.03
田寮鄉,29.54
阿蓮鄉,16.17
路竹鄉,16.36
湖內鄉,15.45
茄萣鄉,12.85
永安鄉,14.02
彌陀鄉,17.15
梓官鄉,10.96
六龜鄉,12.67
甲仙鄉,9.05
杉林鄉,22.36
內門鄉,26.83
茂林鄉,1.43
桃源鄉,2.08
三民鄉,2.37
屏東市,11.68
潮州鎮,11.22
東港鎮,16.37
恆春鎮,11.8
萬丹鄉,15.98
長治鄉,11.52
麟洛鄉,18.53
九如鄉,16.22
里港鄉,13.79
鹽埔鄉,15.27
高樹鄉,16.19
萬巒鄉,27.99
內埔鄉,19.69
竹田鄉,16.8
新埤鄉,15.06
枋寮鄉,13.54
新園鄉,8.99
崁頂鄉,16.94
林邊鄉,14.19
南州鄉,17.58
佳冬鄉,18.61
琉球鄉,13.91
車城鄉,21.42
滿州鄉,8.39
枋山鄉,10.21
三地門鄉,8.52
霧臺鄉,14.59
瑪家鄉,3.41
泰武鄉,0.93
來義鄉,1.52
春日鄉,1.78
獅子鄉,1.57
牡丹鄉,4.42
臺東市,8.56
成功鎮,5.21
關山鎮,12.08
卑南鄉,2.67
大武鄉,1.8
太麻里鄉,2.4
東河鄉,3.41
長濱鄉,4.36
鹿野鄉,4.34
池上鄉,5.03
綠島鄉,19.92
延平鄉,2.02
海端鄉,5.75
達仁鄉,1.36
金峰鄉,0.75
蘭嶼鄉,0.16
花蓮市,16.54
鳳林鎮,22
玉里鎮,12.07
新城鄉,6.28
吉安鄉,5.79
壽豐鄉,6.12
光復鄉,8.28
豐濱鄉,1.87
瑞穗鄉,9.54
富里鄉,12.11
秀林鄉,4.56
萬榮鄉,3.69
卓溪鄉,2.93
馬公鎮,13.85
湖西鄉,24.02
白沙鄉,32.25
西嶼鄉,20.93
望安鄉,24.26
七美鄉,16.89
中正區,12.99
七堵區,6.62
暖暖區,12.85
仁愛區,12.66
中山區,5.96
安樂區,7.29
信義區,8.06
中區,28.26
東區,5.42
西區,29.49
南區,10.26
北區,6.74
西屯區,15.88
南屯區,25.62
北屯區,11.94
東區,5.42
南區,10.26
西區,29.49
北區,6.74
中區,28.26
安南區,9.61
安平區,22.96
松山區,3.45
大安區,7.78
古亭區,10.88
雙園區,6.64
龍山區,27.25
城中區,23.35
建成區,28.74
延平區,34.96
大同區,12.24
中山區,5.96
內湖區,6.7
南港區,6.12
木柵區,5.16
景美區,3.92
士林區,4.84
北投區,4.99
鹽埕區,24.67
鼓山區,15.24
左營區,10.09
楠梓區,8.02
三民區,3.78
新興區,6.86
前金區,13.31
苓雅區,3.81
前鎮區,2.51
旗津區,11.42
小港區,8.12
