town,fuwu
?¿æ?å¸,8.18
ä¸??å¸,7.3
æ°¸å?å¸,9.43
ä¸­å?å¸,8.43
?°è?å¸,6.47
?°å?å¸,7.96
æ¨¹æ??,5.33
é¶¯æ??,4.86
ä¸?³½?,5.53
æ·¡æ°´?,9.9
æ±?­¢?,6.44
????,7.57
????,6.93
??´²?,5.63
äº???,6.54
æ³°å±±?,6.53
????,7.18
æ·±å??,6.57
?³ç??,5.46
?ªæ??,4.5
ä¸???,5.71
?³é??,8.75
?«é??,4.24
å¹³æºª?,5.92
??ºª?,6.7
è²¢å¯®?,5.81
??±±?,7.89
?¬é??,8.78
????,15.84
å®??å¸,8.52
ç¾???,8.99
??¾³?,5.81
?­å??,5.41
ç¤?ºª?,8.35
å£¯å??,3.83
?¡å±±?,4.63
?¬å±±?,5.43
äº???,5.95
ä¸???,4.45
å¤§å??,3.26
??¾³?,6.13
æ¡??å¸,7.37
ä¸­å£¢å¸,7.45
å¤§æºª?,6.28
æ¥???,5.91
??«¹?,4.35
å¤§å??,5.17
é¾?±±?,8.23
?«å¾·?,8.4
é¾?½­?,8.52
å¹³é??,7.64
?°å??,3.28
è§??³é?,3.11
å¾©è??,4.95
?°ç«¹å¸,6.98
??¥¿?,4.77
?°å??,3.77
ç«¹æ??,5.66
é¦?±±?,4.17
ç«¹å??,3.55
æ¹???,7.75
æ©«å±±?,3.93
?°è??,5.01
????,2.91
å¯¶å±±?,2.85
????,3.18
å³¨ç??,2.33
å°???,3.64
äº?³°?,5.76
????,6.31
??£¡?,3.53
????,4.12
ç«¹å??,5
?­ä»½?,4.36
å¾???,3.36
????,3.71
å¤§æ??,4.47
?¬é¤¨?,3.03
????,3.14
????,4.05
?­å??,5.19
ä¸?¾©?,3.77
è¥¿æ??,2.76
????,3.14
ä¸???,3.19
??½­?,3.34
æ³°å??,5.42
è±??å¸,4.98
?±å??,4.47
å¤§ç??,4.41
æ¸?°´?,3.51
æ²?¹¿?,4.5
æ¢§æ£²?,4.21
????,4.35
ç¥?²¡?,3.33
æ½­å??,4.71
å¤§é??,5.02
?°ç¤¾?,3.72
?³å²¡?,3.88
å¤???,3.33
å¤§å??,2.28
????,4.86
å¤§è??,3.18
é¾???,2.75
?§å³°?,5.45
å¤ªå¹³?,6.01
å¤§é??,5.26
??¹³?,7.58
å½°å?å¸,6.15
é¹¿æ¸¯?,3.38
????,3.62
????,4.49
?¡æ??,5.55
æºªæ??,3.69
?°ä¸­?,6.02
äº???,3.19
ç·?¥¿?,3.08
