town,hyga
?¿æ?å¸,0.5200
ä¸??å¸,0.2500
æ°¸å?å¸,1.1300
ä¸­å?å¸,0.7600
?°è?å¸,0.5400
?°å?å¸,0.9000
æ¨¹æ??,0.6300
é¶¯æ??,0.1800
ä¸?³½?,0.2100
æ·¡æ°´?,1.1500
æ±?­¢?,0.7200
????,1.7600
????,0.3800
??´²?,0.3200
äº???,0.1800
æ³°å±±?,0.4800
????,3.2300
æ·±å??,0.3200
?³ç??,0.0800
?ªæ??,0.2400
ä¸???,1.0200
?³é??,3.3200
?«é??,0.0400
å¹³æºª?,0.4400
??ºª?,0.3400
è²¢å¯®?,0.3000
??±±?,4.1100
?¬é??,2.8900
????,1.9200
å®??å¸,1.1600
ç¾???,0.6900
??¾³?,0.3900
?­å??,0.3000
ç¤?ºª?,0.3600
å£¯å??,0.3100
?¡å±±?,0.3300
?¬å±±?,0.5800
äº???,0.3300
ä¸???,0.8000
å¤§å??,0.1500
??¾³?,0.0500
æ¡??å¸,0.9000
ä¸­å£¢å¸,0.4200
å¤§æºª?,0.3400
æ¥???,0.6100
??«¹?,0.2800
å¤§å??,0.2000
é¾?±±?,0.3100
?«å¾·?,0.4100
é¾?½­?,0.5100
å¹³é??,0.5600
?°å??,0.2500
è§??³é?,0.1500
å¾©è??,0.0700
?°ç«¹å¸,1.0400
??¥¿?,0.2600
?°å??,0.3900
ç«¹æ??,0.4600
é¦?±±?,0.4500
ç«¹å??,0.3100
æ¹???,0.4400
æ©«å±±?,0.2400
?°è??,0.2900
????,0.3500
å¯¶å±±?,0.3000
????,0.3400
å³¨ç??,0.2800
å°???,0.0300
äº?³°?,0.1400
????,0.8700
??£¡?,0.3100
????,1.5800
ç«¹å??,0.3600
?­ä»½?,0.3700
å¾???,0.3200
????,0.4200
å¤§æ??,0.4200
?¬é¤¨?,0.5100
????,0.6700
????,0.2300
?­å??,1.2400
ä¸?¾©?,0.6000
è¥¿æ??,0.5600
????,0.6000
ä¸???,0.1700
??½­?,0.1900
æ³°å??,0.0300
è±??å¸,0.9200
?±å??,1.8300
å¤§ç??,0.4300
æ¸?°´?,0.3000
æ²?¹¿?,0.2400
æ¢§æ£²?,0.2200
????,0.6300
ç¥?²¡?,0.2700
æ½­å??,0.6900
å¤§é??,0.2500
?°ç¤¾?,0.5800
?³å²¡?,1.5300
å¤???,0.2300
å¤§å??,0.1900
????,0.2800
å¤§è??,0.2800
é¾???,0.4400
?§å³°?,0.6500
å¤ªå¹³?,0.3500
å¤§é??,0.4100
??¹³?,2.0000
å½°å?å¸,0.7200
é¹¿æ¸¯?,0.2100
????,0.2400
????,0.5500
?¡æ??,0.4000
æºªæ??,0.3100
?°ä¸­?,0.7400
äº???,0.1900
ç·?¥¿?,0.1000
ä¼¸æ¸¯?,0.1000
ç¦???,0.0900
ç§?æ°´é?,0.4700
?±å??,0.3200
?¬å??,0.1800
å¤§æ??,0.2000
??¹½?,0.2200
????,0.1100
æ°¸é??,0.1600
ç¤¾é??,0.4200
äº?°´?,0.8300
?°å°¾?,0.2500
?¤é??,0.2300
?³è??,0.0600
å¤§å??,0.0800
ç«¹å??,0.0700
æºªå??,0.2100
????,0.8400
????,0.9900
??±¯?,0.7600
ç«¹å±±?,0.4500
????,0.7200
????,0.4300
é¹¿è°·?,0.2700
ä¸­å¯®?,0.2900
é­???,0.8500
????,0.3200
æ°´é??,2.0300
ä¿¡ç¾©?,0.1900
ä»???,0.7800
????,0.6300
????,0.4000
??°¾?,0.5000
è¥¿è??,0.2500
??º«?,0.3000
??¸¯?,0.4100
?¤å??,0.3900
å¤§å??,0.2400
?¿æ??,0.5500
????,0.5400
äº???,0.1600
å´???,0.1200
éº¥å¯®?,0.1200
?±å??,0.0300
è¤???,0.1800
?ºè¥¿?,0.1000
????,0.0900
????,0.0900
????,0.0600
æ°´æ??,0.1400
??¾©å¸,0.9300
?´å??,0.2900
å¸???,0.2000
å¤§æ??,0.3400
æ°???,0.3700
æºªå??,0.1300
?°æ¸¯?,0.2900
?­è??,0.2800
?±ç??,0.1000
ç¾©ç«¹?,0.2400
é¹¿è??,0.2700
å¤ªä??,0.3400
æ°´ä??,0.3200
ä¸­å??,0.4400
ç«¹å??,0.2900
æ¢?±±?,0.2900
?ªè·¯?,0.1200
å¤§å??,0.2300
?³é³³?,0.1400
?°ç??,0.7900
é¹½æ°´?,0.2900
?½æ²³?,0.1900
éº»è??,0.6200
ä½³é??,0.3000
?°å??,0.3500
????,0.4400
å­¸ç??,0.1700
?³ç??,0.2500
å¾???,0.2700
?±å±±?,0.3900
ä¸???,0.2500
?­ç??,0.6200
å®???,0.4300
å¤§å??,0.3300
è¥¿æ¸¯?,0.2600
ä¸???,0.0800
å°???,0.0900
????,0.1800
?°å??,0.2500
å®???,0.2800
å±±ä??,1.6200
????,0.3900
æ¥?¥¿?,0.3100
????,0.0500
å·¦é??,0.2700
ä»?¾·?,0.4000
æ­¸ä??,0.3700
????,0.4800
é¾???,0.0900
æ°¸åº·?,0.6000
é³³å±±å¸,0.7800
å²¡å±±?,0.8600
??±±?,0.4200
ç¾???,0.8400
????,1.0000
å¤§å¯®?,0.9400
å¤§æ¨¹?,0.5700
ä»?­¦?,0.3400
å¤§ç¤¾?,0.5100
é³¥æ??,2.2800
æ©???,1.0800
??·¢?,0.5900
?°å¯®?,0.2200
?¿è??,0.4800
è·¯ç«¹?,0.5500
æ¹???,0.3700
????,0.1200
æ°¸å??,2.6000
å½???,0.4700
æ¢???,0.2600
?­é??,0.4100
?²ä??,0.1400
????,0.1300
?§é??,0.2300
????,0.1300
æ¡???,0.1300
ä¸???,0.0000
å±??å¸,0.8100
æ½®å??,0.4500
?±æ¸¯?,0.4100
????,2.4900
?¬ä¸¹?,0.4100
?·æ²»?,0.3500
éº???,0.5900
ä¹???,0.2600
??¸¯?,0.2400
é¹½å??,0.2800
é«?¨¹?,0.1900
?¬å??,0.4200
?§å??,0.5800
ç«¹ç??,0.3700
?°å??,0.2400
??¯®?,0.3700
?°å??,0.2800
å´???,0.3400
????,0.5800
????,0.4700
ä½³å??,0.2100
????,0.2300
è»???,0.5200
æ»¿å??,0.3400
??±±?,0.2500
ä¸?????,0.0900
?§è??,0.0600
?ªå®¶?,0.1700
æ³°æ­¦?,0.0000
ä¾?¾©?,0.1900
?¥æ??,0.0000
????,0.6000
?¡ä¸¹?,0.0300
?ºæ?å¸,0.9300
????,0.1100
??±±?,0.4800
????,0.3800
å¤§æ­¦?,0.5600
å¤ªéº»???,0.1600
?±æ²³?,0.0800
?·æ¿±?,0.2500
é¹¿é??,0.1700
æ±???,0.3100
ç¶?³¶?,1.5100
å»¶å¹³?,0.1500
æµ·ç«¯?,0.1400
????,0.0400
??³°?,0.0000
?­å¶¼?,0.3200
?±è?å¸,1.5600
é³³æ??,0.5200
????,0.2400
?°å??,1.2800
????,1.2800
å£½è??,0.5900
??¾©?,0.3600
è±?¿±?,0.0800
????,0.3500
å¯???,0.2900
ç§????,1.1500
?¬æ¦®?,0.0300
??ºª?,0.1200
é¦¬å??,1.7600
æ¹?¥¿?,0.6000
?½æ??,0.2000
è¥¿å¶¼?,0.1200
????,0.2500
ä¸???,0.5800
ä¸­æ­£??,1.7900
ä¸????,1.5800
?????,1.6700
ä»????,1.1500
ä¸­å±±??,2.4700
å®????,1.6600
ä¿¡ç¾©??,1.6500
ä¸­å?,0.4800
?±å?,0.5600
è¥¿å?,0.6400
???,0.7100
???,1.2200
è¥¿å±¯??,1.0200
??±¯??,0.3900
??±¯??,0.9600
?±å?,0.7000
???,0.5500
è¥¿å?,0.2900
???,0.6500
ä¸­å?,0.6100
å®????,0.1700
å®?¹³??,0.2600
?¾å±±??,0.9300
å¤§å???,1.1600
?¤äº­??,1.3500
?????,0.4500
é¾?±±??,0.4500
??¸­??,1.0700
å»ºæ???,0.1800
å»¶å¹³??,0.2800
å¤§å???,0.3100
ä¸­å±±??,0.4500
?§æ???,0.5900
??¸¯??,1.0100
?¨æ???,2.3800
?¯ç???,1.5900
å£«æ???,0.5900
?????,0.6500
é¹½å???,0.4400
é¼?±±??,0.7600
å·¦ç???,0.3300
æ¥????,0.6400
ä¸????,0.9500
?°è???,0.7600
?????,0.6300
?????,0.9400
?????,0.7400
??´¥??,0.1800
å°?¸¯??,1.2600
