town,indu
?¿æ?å¸,2.8600
ä¸??å¸,2.0800
æ°¸å?å¸,6.3500
ä¸­å?å¸,3.5900
?°è?å¸,1.6000
?°å?å¸,4.4100
æ¨¹æ??,1.5400
é¶¯æ??,1.0800
ä¸?³½?,0.8700
æ·¡æ°´?,2.1800
æ±?­¢?,2.0200
????,1.5100
????,1.2100
??´²?,1.4300
äº???,1.1400
æ³°å±±?,1.1700
????,1.0700
æ·±å??,1.3400
?³ç??,0.5200
?ªæ??,0.4400
ä¸???,0.8600
?³é??,0.3200
?«é??,0.7900
å¹³æºª?,1.0400
??ºª?,1.1900
è²¢å¯®?,0.7800
??±±?,0.8000
?¬é??,0.7000
????,0.6200
å®??å¸,2.3300
ç¾???,2.8400
??¾³?,1.2300
?­å??,0.9900
ç¤?ºª?,0.8400
å£¯å??,0.6300
?¡å±±?,0.5900
?¬å±±?,1.1100
äº???,1.3300
ä¸???,0.6100
å¤§å??,0.0800
??¾³?,0.3600
æ¡??å¸,2.3300
ä¸­å£¢å¸,1.5200
å¤§æºª?,1.1500
æ¥???,1.0500
??«¹?,0.8000
å¤§å??,1.3300
é¾?±±?,1.1700
?«å¾·?,0.6700
é¾?½­?,1.0900
å¹³é??,1.1100
?°å??,0.9600
è§??³é?,0.5200
å¾©è??,0.2600
?°ç«¹å¸,2.6800
??¥¿?,0.9100
?°å??,0.8600
ç«¹æ??,1.5700
é¦?±±?,0.9800
ç«¹å??,0.9700
æ¹???,1.2000
æ©«å±±?,0.5800
?°è??,0.7300
????,0.9900
å¯¶å±±?,0.6300
????,0.6700
å³¨ç??,0.5000
å°???,0.1400
äº?³°?,0.2900
????,2.0500
??£¡?,0.7000
????,0.6500
ç«¹å??,1.6900
?­ä»½?,1.3600
å¾???,0.6900
????,1.2500
å¤§æ??,0.7400
?¬é¤¨?,0.6200
????,0.7500
????,0.8000
?­å??,0.6500
ä¸?¾©?,0.9400
è¥¿æ??,0.3600
????,0.7700
ä¸???,1.0100
??½­?,0.5400
æ³°å??,0.2400
è±??å¸,1.9000
?±å??,1.6100
å¤§ç??,1.2300
æ¸?°´?,1.3000
æ²?¹¿?,0.9500
æ¢§æ£²?,1.2000
????,0.7400
ç¥?²¡?,0.8100
æ½­å??,1.1500
å¤§é??,0.9400
?°ç¤¾?,0.8600
?³å²¡?,0.9200
å¤???,0.6600
å¤§å??,0.4900
????,1.1200
å¤§è??,0.8800
é¾???,0.8900
?§å³°?,1.7200
å¤ªå¹³?,1.4800
å¤§é??,1.8700
??¹³?,0.3700
å½°å?å¸,2.7900
é¹¿æ¸¯?,1.0300
????,1.0000
????,1.6400
?¡æ??,2.0100
æºªæ??,1.2000
?°ä¸­?,1.2200
äº???,0.6500
ç·?¥¿?,0.6100
ä¼¸æ¸¯?,0.7100
ç¦???,0.4200
ç§?æ°´é?,0.6200
?±å??,0.9700
?¬å??,0.6000
å¤§æ??,0.6200
??¹½?,0.4600
????,0.5400
æ°¸é??,0.6200
ç¤¾é??,0.7200
äº?°´?,1.0600
?°å°¾?,0.8000
?¤é??,0.4900
?³è??,0.3200
å¤§å??,0.3000
ç«¹å??,0.5700
æºªå??,0.6000
????,2.1200
????,1.4500
??±¯?,1.6000
ç«¹å±±?,1.1800
????,1.3000
????,0.8000
é¹¿è°·?,0.9700
ä¸­å¯®?,0.8700
é­???,0.8500
????,0.5900
æ°´é??,0.9900
ä¿¡ç¾©?,0.2100
ä»???,0.1900
????,1.5900
????,1.1900
??°¾?,1.2000
è¥¿è??,0.8600
??º«?,0.6300
??¸¯?,1.6300
?¤å??,0.6900
å¤§å??,0.4700
?¿æ??,0.5800
????,0.7000
äº???,0.4000
å´???,0.3300
éº¥å¯®?,0.3200
?±å??,0.3700
è¤???,0.5200
?ºè¥¿?,0.3800
????,0.4500
????,0.3000
????,0.3300
æ°´æ??,0.3500
??¾©å¸,2.7400
?´å??,0.9800
