town,labor
?¿æ?å¸,50.82
ä¸??å¸,51.38
æ°¸å?å¸,50.69
ä¸­å?å¸,52.29
?°è?å¸,51.22
?°å?å¸,53.17
æ¨¹æ??,55.32
é¶¯æ??,52.26
ä¸?³½?,53.66
æ·¡æ°´?,52.55
æ±?­¢?,52.11
????,52.13
????,50.31
??´²?,51.98
äº???,50.03
æ³°å±±?,52.9
????,49.68
æ·±å??,53.34
?³ç??,55.27
?ªæ??,64.19
ä¸???,59.48
?³é??,53.95
?«é??,50.74
å¹³æºª?,53.95
??ºª?,52.59
è²¢å¯®?,53.35
??±±?,50.47
?¬é??,51.93
????,58.55
å®??å¸,50.97
ç¾???,50.74
??¾³?,49.68
?­å??,52.44
ç¤?ºª?,53.04
å£¯å??,52.66
?¡å±±?,52.73
?¬å±±?,52.05
äº???,52.51
ä¸???,53.64
å¤§å??,62.99
??¾³?,53.61
æ¡??å¸,49.53
ä¸­å£¢å¸,49.84
å¤§æºª?,51.66
æ¥???,54.84
??«¹?,52.1
å¤§å??,51.57
é¾?±±?,47.11
?«å¾·?,50.23
é¾?½­?,52.91
å¹³é??,51.49
?°å??,52.7
è§??³é?,52.8
å¾©è??,52.35
?°ç«¹å¸,48.53
??¥¿?,53.37
?°å??,53.68
ç«¹æ??,51.66
é¦?±±?,54.91
ç«¹å??,52.91
æ¹???,50.1
æ©«å±±?,54.89
?°è??,50.72
????,53.81
å¯¶å±±?,56.73
????,54.87
å³¨ç??,57.53
å°???,59.48
äº?³°?,58.51
????,52.78
??£¡?,53.53
????,54.66
ç«¹å??,51.75
?­ä»½?,54.5
å¾???,51.59
????,54.27
å¤§æ??,56.09
?¬é¤¨?,57.79
????,57.86
????,53.65
?­å??,57.78
ä¸?¾©?,55.02
è¥¿æ??,57.89
????,56.3
ä¸???,56.1
??½­?,65.1
æ³°å??,63.52
è±??å¸,50.35
?±å??,50.94
å¤§ç??,51.23
æ¸?°´?,49.52
æ²?¹¿?,49.29
æ¢§æ£²?,49.16
????,51.31
ç¥?²¡?,52.72
æ½­å??,53.76
å¤§é??,51.34
?°ç¤¾?,52.45
?³å²¡?,56.5
å¤???,53.42
å¤§å??,53.04
????,51.75
å¤§è??,52.72
é¾???,50.19
?§å³°?,52.15
å¤ªå¹³?,50.26
å¤§é??,51.12
??¹³?,62.24
å½°å?å¸,48.83
é¹¿æ¸¯?,51.01
????,50.86
????,50.56
?¡æ??,48.88
æºªæ??,52.92
?°ä¸­?,45.5
äº???,50.98
ç·?¥¿?,55.29
ä¼¸æ¸¯?,50.38
ç¦???,52.88
ç§?æ°´é?,51.25
?±å??,51.4
?¬å??,55.1
å¤§æ??,51.43
??¹½?,49.93
????,53.85
æ°¸é??,55.79
ç¤¾é??,51.73
äº?°´?,47.76
?°å°¾?,54.66
?¤é??,53.79
?³è??,54.96
å¤§å??,56.16
ç«¹å??,60.24
æºªå??,56.11
????,51.13
????,51.08
??±¯?,51.1
ç«¹å±±?,51.31
????,52.78
????,56.31
é¹¿è°·?,57.03
ä¸­å¯®?,54.51
é­???,54.03
????,54.83
æ°´é??,51.62
ä¿¡ç¾©?,59.92
ä»???,69.97
????,51.33
????,55.43
??°¾?,53.51
è¥¿è??,55.86
??º«?,63.88
??¸¯?,53.15
?¤å??,58.02
å¤§å??,58.26
?¿æ??,59.18
????,58.05
äº???,67.57
å´???,63.33
éº¥å¯®?,57.35
?±å??,65.2
è¤???,63.17
?ºè¥¿?,58.34
????,65.75
????,57.05
????,56.54
æ°´æ??,63.38
??¾©å¸,47.52
?´å??,53.74
å¸???,54.89
å¤§æ??,53.12
æ°???,55.5
æºªå??,61.99
?°æ¸¯?,60.85
?­è??,62.04
?±ç??,57.72
ç¾©ç«¹?,57.71
é¹¿è??,63.36
å¤ªä??,61.61
æ°´ä??,56.08
ä¸­å??,55.08
ç«¹å??,53.12
æ¢?±±?,55.18
?ªè·¯?,55.66
å¤§å??,61.62
?³é³³?,61.88
?°ç??,51.3
é¹½æ°´?,55.25
?½æ²³?,55.26
éº»è??,53.88
ä½³é??,53.89
?°å??,55.67
????,56.84
å­¸ç??,54.8
?³ç??,58.18
å¾???,59.55
?±å±±?,61
ä¸???,58.19
?­ç??,52.4
å®???,54.98
å¤§å??,63.74
è¥¿æ¸¯?,62.11
ä¸???,59.56
å°???,59.25
????,56.8
?°å??,59.97
å®???,58.17
å±±ä??,61.99
????,58.34
æ¥?¥¿?,64.63
????,67.79
å·¦é??,66.25
ä»?¾·?,52.15
æ­¸ä??,53.37
????,52.61
é¾???,60.97
æ°¸åº·?,49.51
é³³å±±å¸,50.06
å²¡å±±?,49.19
??±±?,53.58
ç¾???,56.99
????,50.26
å¤§å¯®?,47.44
å¤§æ¨¹?,51.07
ä»?­¦?,53.15
å¤§ç¤¾?,51.68
é³¥æ??,50.21
æ©???,51
??·¢?,51.58
?°å¯®?,59.92
?¿è??,50.46
è·¯ç«¹?,52.37
æ¹???,49.89
????,50.81
æ°¸å??,52.41
å½???,52.62
æ¢???,50.97
?­é??,59.59
?²ä??,56.86
????,60.27
?§é??,59.01
????,68
æ¡???,75.57
ä¸???,70.44
å±??å¸,49.56
æ½®å??,51.09
?±æ¸¯?,48.7
????,52.95
?¬ä¸¹?,58.11
?·æ²»?,59.39
éº???,58.87
ä¹???,61.45
??¸¯?,58.91
é¹½å??,60.1
é«?¨¹?,63.58
?¬å??,56.78
?§å??,52.24
ç«¹ç??,60.26
?°å??,61.64
??¯®?,54.01
?°å??,50.92
å´???,54.02
????,50.56
????,50.68
ä½³å??,51.9
????,44.43
è»???,51.62
æ»¿å??,57.17
??±±?,52.7
ä¸?????,68.47
?§è??,70.25
?ªå®¶?,65.94
æ³°æ­¦?,71.57
ä¾?¾©?,68.27
?¥æ??,70.01
????,65.03
?¡ä¸¹?,69.22
?ºæ?å¸,49.79
????,60.95
??±±?,54.37
????,51.61
å¤§æ­¦?,53.91
å¤ªéº»???,54.59
?±æ²³?,62.4
?·æ¿±?,65.75
é¹¿é??,54.66
æ±???,61
ç¶?³¶?,41.5
å»¶å¹³?,69.62
æµ·ç«¯?,63.56
????,71.58
??³°?,65.87
?­å¶¼?,65.44
?±è?å¸,47.52
é³³æ??,52.61
????,46.87
?°å??,48.86
????,52.65
å£½è??,54.61
??¾©?,56.07
è±?¿±?,64.09
????,54.18
å¯???,54.47
ç§????,60.64
?¬æ¦®?,61.59
??ºª?,59.97
é¦¬å??,49.34
æ¹?¥¿?,63.31
?½æ??,61.64
è¥¿å¶¼?,59.62
????,59.66
ä¸???,56.06
ä¸­æ­£??,49.45
ä¸????,52.52
?????,50.79
ä»????,50.4
ä¸­å±±??,52.22
å®????,48.78
ä¿¡ç¾©??,50.25
ä¸­å?,46.98
?±å?,46.93
è¥¿å?,48.82
???,47.12
???,48.43
è¥¿å±¯??,49.01
??±¯??,50.74
??±¯??,51.54
?±å?,46.93
???,47.12
è¥¿å?,48.82
???,48.43
ä¸­å?,46.98
å®????,55.65
å®?¹³??,51.82
?¾å±±??,51.06
å¤§å???,47.58
?¤äº­??,49.62
?????,50.14
é¾?±±??,50.74
??¸­??,53.15
å»ºæ???,50.4
å»¶å¹³??,51.39
å¤§å???,50.22
ä¸­å±±??,52.22
?§æ???,51.29
??¸¯??,52.35
?¨æ???,50.54
?¯ç???,50.46
å£«æ???,49.84
?????,48.7
é¹½å???,50.5
é¼?±±??,48.14
å·¦ç???,49.37
æ¥????,51.62
ä¸????,49
?°è???,48.41
?????,48.75
?????,48.36
?????,51.17
??´¥??,49.48
å°?¸¯??,51.19
