town,nian
板橋市,41.02
三重市,34.91
永和市,45.37
中和市,56.24
新莊市,55.21
新店市,38.59
樹林鎮,38.85
鶯歌鎮,42.11
三峽鎮,29.4
淡水鎮,36.07
汐止鎮,36.95
瑞芳鎮,17.6
土城鄉,48.9
蘆洲鄉,48.39
五股鄉,33.52
泰山鄉,51.73
林口鄉,29.96
深坑鄉,41.6
石碇鄉,10.79
坪林鄉,10.88
三芝鄉,29.07
石門鄉,21.5
八里鄉,33.54
平溪鄉,10.64
雙溪鄉,9.77
貢寮鄉,20.44
金山鄉,29.96
萬里鄉,29.35
烏來鄉,16.8
宜蘭市,29.81
羅東鎮,26.26
蘇澳鎮,33.45
頭城鎮,34.22
礁溪鄉,29.7
壯圍鄉,26.64
員山鄉,25.72
冬山鄉,34.16
五結鄉,24.69
三星鄉,19.12
大同鄉,24.55
南澳鄉,30.42
桃園市,27.28
中壢市,33.41
大溪鎮,34.18
楊梅鎮,29.9
蘆竹鄉,24.25
大園鄉,27.7
龜山鄉,34.25
八德鄉,47.16
龍潭鄉,43.93
平鎮鄉,45.8
新屋鄉,23.61
觀音鄉,20.58
復興鄉,26.21
新竹市,25.73
關西鎮,18.93
新埔鎮,23.49
竹東鎮,30.15
香山鄉,40.53
竹北鄉,34.42
湖口鄉,34.12
橫山鄉,19.92
新豐鄉,29.88
芎林鄉,30.18
寶山鄉,19
北埔鄉,28.58
峨眉鄉,21.12
尖石鄉,23.88
五峰鄉,14.08
苗栗鎮,25.74
苑裡鎮,22.25
通霄鎮,22.05
竹南鎮,37.34
頭份鎮,31.04
後龍鎮,25.79
卓蘭鎮,18.5
大湖鄉,18
公館鄉,27.39
銅鑼鄉,24.87
南庄鄉,17.85
頭屋鄉,31.18
三義鄉,25.95
西湖鄉,24.85
造橋鄉,34.19
三灣鄉,18.13
獅潭鄉,19.94
泰安鄉,20.72
豐原市,22.53
東勢鎮,17.62
大甲鎮,28.7
清水鎮,21.79
沙鹿鎮,31.56
梧棲鎮,21.46
后里鄉,27.25
神岡鄉,25.7
潭子鄉,33.16
大雅鄉,28.24
新社鄉,23.93
石岡鄉,17.6
外埔鄉,29.71
大安鄉,21.93
烏日鄉,34.93
大肚鄉,29.4
龍井鄉,31.29
霧峰鄉,29.84
太平鄉,52.19
大里鄉,43.9
和平鄉,20.88
彰化市,30.06
鹿港鎮,26.92
和美鎮,25.29
北斗鎮,27.5
員林鎮,25.08
溪湖鎮,23.73
田中鎮,23.98
二林鎮,20.77
線西鄉,23.51
伸港鄉,18.1
福興鄉,24.6
秀水鄉,20.26
花壇鄉,29.4
芬園鄉,20.46
大村鄉,23.05
埔鹽鄉,22.27
埔心鄉,19.72
永靖鄉,22.47
社頭鄉,21.22
二水鄉,22.27
田尾鄉,26.87
埤頭鄉,26.44
芳苑鄉,25.7
大城鄉,21.39
竹塘鄉,21.89
溪州鄉,20.13
南投鎮,28.78
埔里鎮,26.35
草屯鎮,23.77
竹山鎮,25.7
集集鎮,13.44
名間鄉,22.74
鹿谷鄉,19.37
中寮鄉,19.08
魚池鄉,11.15
國姓鄉,20.34
水里鄉,24.18
信義鄉,23.39
仁愛鄉,29.36
斗六鎮,30.93
斗南鎮,24.46
虎尾鎮,26.7
西螺鎮,24.33
土庫鎮,22.37
北港鎮,19.25
古坑鄉,21.74
大埤鄉,20.49
莿桐鄉,24.51
林內鄉,24.59
二崙鄉,23.41
崙背鄉,24.27
麥寮鄉,29.56
東勢鄉,22.37
褒忠鄉,22.21
臺西鄉,27.04
元長鄉,19.48
四湖鄉,23.7
口湖鄉,22.35
