town,ping
板橋市,5.31
三重市,5.75
永和市,4.77
中和市,4.89
新莊市,5.19
新店市,4.84
樹林鎮,5.8
鶯歌鎮,6.53
三峽鎮,7.14
淡水鎮,5.62
汐止鎮,5.86
瑞芳鎮,6.31
土城鄉,5.51
蘆洲鄉,6.02
五股鄉,5.86
泰山鄉,5.16
林口鄉,6.5
深坑鄉,6.1
石碇鄉,5.4
坪林鄉,6.11
三芝鄉,5.55
石門鄉,6.32
八里鄉,6.7
平溪鄉,6.44
雙溪鄉,6.89
貢寮鄉,6.47
金山鄉,6.57
萬里鄉,6.16
烏來鄉,5.23
宜蘭市,5.8
羅東鎮,5.85
蘇澳鎮,6.55
頭城鎮,6.27
礁溪鄉,5.82
壯圍鄉,6.28
員山鄉,6.34
冬山鄉,5.79
五結鄉,5.97
三星鄉,5.69
大同鄉,5.11
南澳鄉,5.67
桃園市,6.42
中壢市,5.7
大溪鎮,5.74
楊梅鎮,6.35
蘆竹鄉,6.7
大園鄉,6.18
龜山鄉,5.95
八德鄉,5.15
龍潭鄉,5.4
平鎮鄉,5.32
新屋鄉,6.32
觀音鄉,6.05
復興鄉,6.74
新竹市,5.81
關西鎮,6.51
新埔鎮,6.34
竹東鎮,6.21
香山鄉,5.97
竹北鄉,6.28
湖口鄉,5.94
橫山鄉,6.3
新豐鄉,6.23
芎林鄉,6.11
寶山鄉,6.22
北埔鄉,6.48
峨眉鄉,5.98
尖石鄉,6.35
五峰鄉,5.87
苗栗鎮,5.63
苑裡鎮,5.99
通霄鎮,6.02
竹南鎮,6.1
頭份鎮,6.36
後龍鎮,6.07
卓蘭鎮,6.1
大湖鄉,6.23
公館鄉,6.25
銅鑼鄉,6.13
南庄鄉,6.33
頭屋鄉,5.94
三義鄉,6.61
西湖鄉,6.27
造橋鄉,6.34
三灣鄉,6.37
獅潭鄉,6.18
泰安鄉,5.24
豐原市,5.92
東勢鎮,6.2
大甲鎮,6.14
清水鎮,6.05
沙鹿鎮,6.26
梧棲鎮,6.19
后里鄉,5.74
神岡鄉,5.62
潭子鄉,5.28
大雅鄉,5.21
新社鄉,5.07
石岡鄉,5.61
外埔鄉,5.9
大安鄉,5.86
烏日鄉,5.56
大肚鄉,5.96
龍井鄉,5.96
霧峰鄉,5.96
太平鄉,5.2
大里鄉,5.48
和平鄉,4.77
彰化市,5.93
鹿港鎮,6.68
和美鎮,6.21
北斗鎮,5.68
員林鎮,5.9
溪湖鎮,5.56
田中鎮,6.06
二林鎮,5.92
線西鄉,5.78
伸港鄉,6.02
福興鄉,5.9
秀水鄉,5.73
花壇鄉,5.99
