OBJECTID,ratio,town
1,106.43,板橋市
2,106.734,三重市
3,103.324,永和市
4,106.074,中和市
5,106.69,新莊市
6,107.858,新店市
7,106.836,樹林鎮
8,106.357,鶯歌鎮
9,116.245,三峽鎮
10,109.119,淡水鎮
11,107.653,汐止鎮
12,109.545,瑞芳鎮
13,122.744,土城鄉
14,110.211,蘆洲鄉
15,111.276,五股鄉
16,108.115,泰山鄉
17,111.775,林口鄉
18,111.889,深坑鄉
19,125.688,石碇鄉
20,115.028,坪林鄉
21,114.035,三芝鄉
22,117.246,石門鄉
23,112.708,八里鄉
24,113.905,平溪鄉
25,109.893,雙溪鄉
26,109.38,貢寮鄉
27,109.909,金山鄉
28,117.095,萬里鄉
29,113.992,烏來鄉
30,108.767,宜蘭市
31,105.597,羅東鎮
32,113.67,蘇澳鎮
33,109.932,頭城鎮
34,110.353,礁溪鄉
35,112.424,壯圍鄉
36,115.09,員山鄉
37,109.168,冬山鄉
38,109.966,五結鄉
39,115.235,三星鄉
40,130.163,大同鄉
41,115.952,南澳鄉
42,105.703,桃園市
43,110.713,中壢市
44,111.982,大溪鎮
45,110.519,楊梅鎮
46,109.395,蘆竹鄉
47,109.843,大園鄉
48,125.76,龜山鄉
49,121.906,八德鄉
50,116.302,龍潭鄉
51,110.964,平鎮鄉
52,111.083,新屋鄉
53,111.894,觀音鄉
54,117.5,復興鄉
55,109.547,新竹市
56,111.491,關西鎮
57,110.094,新埔鎮
58,109.816,竹東鎮
59,109.974,香山鄉
60,108.023,竹北鄉
61,120.778,湖口鄉
62,114.072,橫山鄉
63,108.576,新豐鄉
64,109.481,芎林鄉
65,113.877,寶山鄉
66,114.845,北埔鄉
67,114.194,峨眉鄉
68,121.068,尖石鄉
69,128.447,五峰鄉
70,108.179,苗栗鎮
71,107.851,苑裡鎮
72,109.428,通霄鎮
73,107.172,竹南鎮
74,107.737,頭份鎮
75,107.465,後龍鎮
76,111.307,卓蘭鎮
77,110.428,大湖鄉
78,109.384,公館鄉
79,111.426,銅鑼鄉
80,115.197,南庄鄉
81,108.734,頭屋鄉
82,110.33,三義鄉
83,111.726,西湖鄉
84,112.5,造橋鄉
85,111.99,三灣鄉
86,112.399,獅潭鄉
87,130.698,泰安鄉
88,104.967,豐原市
89,109.716,東勢鎮
90,105.661,大甲鎮
91,105.878,清水鎮
92,104.031,沙鹿鎮
93,106.613,梧棲鎮
94,111.265,后里鄉
95,110.016,神岡鄉
96,106.278,潭子鄉
97,112.986,大雅鄉
98,116.079,新社鄉
99,113.045,石岡鄉
100,108.48,外埔鄉
101,108.18,大安鄉
102,111.018,烏日鄉
103,107.016,大肚鄉
104,105.312,龍井鄉
105,107.115,霧峰鄉
106,109.507,太平鄉
107,105.025,大里鄉
108,143.182,和平鄉
109,106.065,彰化市
110,105.217,鹿港鎮
111,105.878,和美鎮
112,105.043,北斗鎮
113,104.565,員林鎮
114,105.044,溪湖鎮
115,117.54,田中鎮
116,105.982,二林鎮
117,106.055,線西鄉
118,108.023,伸港鄉
119,107.175,福興鄉
120,106.281,秀水鄉
121,107.206,花壇鄉
122,107.05,芬園鄉
123,106.853,大村鄉
124,105.535,埔鹽鄉
125,108.986,埔心鄉
126,106.974,永靖鄉
127,106.538,社頭鄉
128,106.806,二水鄉
129,108.522,田尾鄉
130,107.17,埤頭鄉
131,108.174,芳苑鄉
132,106.282,大城鄉
133,107.348,竹塘鄉
134,109.847,溪州鄉
135,107,南投鎮
136,111.405,埔里鎮
137,105.622,草屯鎮
138,108.424,竹山鎮
139,110.365,集集鎮
140,109.397,名間鄉
141,109.559,鹿谷鄉
142,110.945,中寮鄉
143,112.393,魚池鄉
144,118.004,國姓鄉
145,111.333,水里鄉
146,117.737,信義鄉
147,122.918,仁愛鄉
148,111.008,斗六鎮
149,107.038,斗南鎮
150,108.449,虎尾鎮
151,106.885,西螺鎮
152,107.62,土庫鎮
153,106.862,北港鎮
154,107.91,古坑鄉
155,109.057,大埤鄉
156,107.457,莿桐鄉
157,107.332,林內鄉
158,108.683,二崙鄉
159,107.784,崙背鄉
160,109.049,麥寮鄉
161,109.908,東勢鄉
162,106.43,褒忠鄉
163,108.041,臺西鄉
164,107.862,元長鄉
165,110.072,四湖鄉
166,106.319,口湖鄉
167,108.916,水林鄉
168,106.618,嘉義市
169,106.639,朴子鎮
170,106.956,布袋鎮
171,108.216,大林鎮
172,109.215,民雄鄉
173,107.752,溪口鄉
174,108.72,新港鄉
175,107.725,六腳鄉
176,106.274,東石鄉
177,106.682,義竹鄉
178,109.177,鹿草鄉
179,107.308,太保鄉
180,114.645,水上鄉
181,113.421,中埔鄉
182,113.527,竹崎鄉
183,110.868,梅山鄉
184,115.946,番路鄉
