OBJECTID,unmarried,town
1,120.0146,板橋市
2,120.2384,三重市
3,116.9611,永和市
4,119.7203,中和市
5,119.9073,新莊市
6,123.502,新店市
7,119.4161,樹林鎮
8,119.4273,鶯歌鎮
9,132.7995,三峽鎮
10,122.7479,淡水鎮
11,122.3476,汐止鎮
12,126.8317,瑞芳鎮
13,138.7786,土城鄉
14,125.3101,蘆洲鄉
15,123.3919,五股鄉
16,120.4739,泰山鄉
17,122.6386,林口鄉
18,125.5012,深坑鄉
19,146.5935,石碇鄉
20,125.2475,坪林鄉
21,125.8017,三芝鄉
22,135.233,石門鄉
23,125.6893,八里鄉
24,129.8427,平溪鄉
25,128.1272,雙溪鄉
26,125.2388,貢寮鄉
27,125.2347,金山鄉
28,134.3531,萬里鄉
29,129.198,烏來鄉
30,125.4119,宜蘭市
31,121.345,羅東鎮
32,131.797,蘇澳鎮
33,126.7173,頭城鎮
34,125.5765,礁溪鄉
35,129.9115,壯圍鄉
36,133.5959,員山鄉
37,124.1797,冬山鄉
38,126.6735,五結鄉
39,132.9464,三星鄉
40,147.8645,大同鄉
41,134.2424,南澳鄉
42,119.0452,桃園市
43,124.9402,中壢市
44,127.371,大溪鎮
45,122.6418,楊梅鎮
46,119.8866,蘆竹鄉
47,121.5544,大園鄉
48,142.8144,龜山鄉
49,141.0516,八德鄉
50,133.1182,龍潭鄉
51,124.5527,平鎮鄉
52,123.473,新屋鄉
53,125.4306,觀音鄉
54,129.7046,復興鄉
55,125.0474,新竹市
56,125.3654,關西鎮
57,125.0173,新埔鎮
58,126.5626,竹東鎮
59,123.2622,香山鄉
60,120.5156,竹北鄉
61,143.7494,湖口鄉
62,130.9251,橫山鄉
63,119.9042,新豐鄉
64,123.0045,芎林鄉
65,126.0899,寶山鄉
66,133.3333,北埔鄉
67,127.8377,峨眉鄉
68,133.8441,尖石鄉
69,145.5075,五峰鄉
70,124.5556,苗栗鎮
71,119.2329,苑裡鎮
72,122.2203,通霄鎮
73,121.603,竹南鎮
74,121.7568,頭份鎮
75,119.4332,後龍鎮
76,127.4466,卓蘭鎮
77,126.6097,大湖鄉
78,124.1838,公館鄉
79,126.0417,銅鑼鄉
80,132.6559,南庄鄉
81,123.5465,頭屋鄉
82,125.9774,三義鄉
83,127.7387,西湖鄉
84,128.5916,造橋鄉
85,127.819,三灣鄉
86,123.8161,獅潭鄉
87,144.8653,泰安鄉
88,118.3322,豐原市
89,126.3946,東勢鎮
90,118.1128,大甲鎮
91,116.5485,清水鎮
92,113.2578,沙鹿鎮
93,117.6047,梧棲鎮
94,127.8003,后里鄉
95,125.0312,神岡鄉
96,119.2199,潭子鄉
97,127.6621,大雅鄉
98,134.6681,新社鄉
99,130.2402,石岡鄉
100,120.5141,外埔鄉
101,119.6529,大安鄉
102,126.6238,烏日鄉
103,118.0485,大肚鄉
104,115.514,龍井鄉
105,120.7304,霧峰鄉
106,124.3962,太平鄉
107,118.1695,大里鄉
108,162.4845,和平鄉
109,120.3251,彰化市
110,117.5823,鹿港鎮
111,118.0741,和美鎮
112,117.6933,北斗鎮
