OBJECTID,widow,town
1,4.65,板橋市
2,5.54,三重市
3,4.76,永和市
4,4.52,中和市
5,3.99,新莊市
6,5.54,新店市
7,6.29,樹林鎮
8,7.34,鶯歌鎮
9,8.59,三峽鎮
10,7.56,淡水鎮
11,7.82,汐止鎮
12,11.74,瑞芳鎮
13,5.76,土城鄉
14,6.32,蘆洲鄉
15,5.62,五股鄉
16,4.63,泰山鄉
17,6.88,林口鄉
18,9.22,深坑鄉
19,11.6,石碇鄉
20,11.25,坪林鄉
21,9.48,三芝鄉
22,11.4,石門鄉
23,10.14,八里鄉
24,12.27,平溪鄉
25,13.7,雙溪鄉
26,11.95,貢寮鄉
27,9.74,金山鄉
28,9.81,萬里鄉
29,9.24,烏來鄉
30,9.42,宜蘭市
31,8.74,羅東鎮
32,8.44,蘇澳鎮
33,10.41,頭城鎮
34,9.53,礁溪鄉
35,9.67,壯圍鄉
36,10.21,員山鄉
37,8.56,冬山鄉
38,9.05,五結鄉
39,10.19,三星鄉
40,11.35,大同鄉
41,11.02,南澳鄉
42,5.99,桃園市
43,5.6,中壢市
44,8.49,大溪鎮
45,6.7,楊梅鎮
46,6.7,蘆竹鄉
47,7.58,大園鄉
48,5.83,龜山鄉
49,5.67,八德鄉
50,6.04,龍潭鄉
51,5.53,平鎮鄉
52,8.09,新屋鄉
53,8.47,觀音鄉
54,8.2,復興鄉
55,7.14,新竹市
56,9.94,關西鎮
57,9.17,新埔鎮
58,7.92,竹東鎮
59,7.38,香山鄉
60,7.77,竹北鄉
61,7.07,湖口鄉
62,9.64,橫山鄉
63,7.8,新豐鄉
64,8.65,芎林鄉
65,9.24,寶山鄉
66,9.13,北埔鄉
67,8.41,峨眉鄉
68,8.88,尖石鄉
69,7.56,五峰鄉
70,8.08,苗栗鎮
71,8.35,苑裡鎮
72,8.66,通霄鎮
73,8.18,竹南鎮
74,8.03,頭份鎮
75,9.73,後龍鎮
76,8.35,卓蘭鎮
77,9.62,大湖鄉
78,9.85,公館鄉
79,9.73,銅鑼鄉
80,10.68,南庄鄉
81,9.93,頭屋鄉
82,8.84,三義鄉
83,10.65,西湖鄉
84,8.47,造橋鄉
85,10.22,三灣鄉
86,10.31,獅潭鄉
87,8.8,泰安鄉
88,7.42,豐原市
89,8.18,東勢鎮
90,8.04,大甲鎮
91,7.85,清水鎮
92,7.09,沙鹿鎮
93,7.33,梧棲鎮
94,7.23,后里鄉
95,7.51,神岡鄉
96,6.35,潭子鄉
97,6.53,大雅鄉
98,7.8,新社鄉
99,9.07,石岡鄉
100,7.44,外埔鄉
101,8.68,大安鄉
102,6.69,烏日鄉
103,7.39,大肚鄉
104,6.91,龍井鄉
105,7.71,霧峰鄉
106,5.39,太平鄉
107,5.81,大里鄉
108,5.84,和平鄉
109,7.01,彰化市
110,8.62,鹿港鎮
111,7.91,和美鎮
112,9.52,北斗鎮
113,7.84,員林鎮
114,8.74,溪湖鎮
115,10.09,田中鎮
116,8.12,二林鎮
117,8.68,線西鄉
118,8.17,伸港鄉
119,8.24,福興鄉
120,8.62,秀水鄉
121,8.31,花壇鄉
122,9.25,芬園鄉
123,9.33,大村鄉
124,8.08,埔鹽鄉
125,10.43,埔心鄉
126,10.33,永靖鄉
127,9.37,社頭鄉
128,9.78,二水鄉
129,10.3,田尾鄉
130,8.96,埤頭鄉
131,8.52,芳苑鄉
132,8.28,大城鄉
133,9.3,竹塘鄉
134,9.24,溪州鄉
135,7.92,南投鎮
136,8.54,埔里鎮
137,8.16,草屯鎮
138,8.91,竹山鎮
139,10.18,集集鎮
140,9.29,名間鄉
