OBJECTID,town,work
1,板橋市,0.6117
2,三重市,0.5883
3,永和市,0.4866
4,中和市,0.5439
5,新莊市,0.6858
6,新店市,0.497
7,樹林鎮,0.65
8,鶯歌鎮,0.6472
9,三峽鎮,0.6324
10,淡水鎮,0.5751
11,汐止鎮,0.5843
12,瑞芳鎮,0.5411
13,土城鄉,0.5546
14,蘆洲鄉,0.6197
15,五股鄉,0.6411
16,泰山鄉,0.6946
17,林口鄉,0.6495
18,深坑鄉,0.5712
19,石碇鄉,0.5915
20,坪林鄉,0.6959
21,三芝鄉,0.6462
22,石門鄉,0.6384
23,八里鄉,0.6717
24,平溪鄉,0.6018
25,雙溪鄉,0.5876
26,貢寮鄉,0.6535
27,金山鄉,0.6681
28,萬里鄉,0.6233
29,烏來鄉,0.4851
30,宜蘭市,0.5637
31,羅東鎮,0.542
32,蘇澳鎮,0.5869
33,頭城鎮,0.6187
34,礁溪鄉,0.5937
35,壯圍鄉,0.5864
36,員山鄉,0.6057
37,冬山鄉,0.5666
38,五結鄉,0.5714
39,三星鄉,0.5506
40,大同鄉,0.6302
41,南澳鄉,0.6127
42,桃園市,0.6328
43,中壢市,0.6043
44,大溪鎮,0.6129
45,楊梅鎮,0.548
46,蘆竹鄉,0.6362
47,大園鄉,0.6275
48,龜山鄉,0.5408
49,八德鄉,0.7088
50,龍潭鄉,0.6056
51,平鎮鄉,0.6327
52,新屋鄉,0.5617
53,觀音鄉,0.5782
54,復興鄉,0.7383
55,新竹市,0.5504
56,關西鎮,0.5801
57,新埔鎮,0.5668
58,竹東鎮,0.5537
59,香山鄉,0.6278
60,竹北鄉,0.6198
61,湖口鄉,0.5676
62,橫山鄉,0.5676
63,新豐鄉,0.6319
64,芎林鄉,0.5532
65,寶山鄉,0.5788
66,北埔鄉,0.5575
67,峨眉鄉,0.5222
68,尖石鄉,0.6987
69,五峰鄉,0.62
70,苗栗鎮,0.5497
71,苑裡鎮,0.5958
72,通霄鎮,0.6099
73,竹南鎮,0.6211
74,頭份鎮,0.6072
75,後龍鎮,0.6261
76,卓蘭鎮,0.527
77,大湖鄉,0.533
78,公館鄉,0.5475
79,銅鑼鄉,0.5413
80,南庄鄉,0.5758
81,頭屋鄉,0.5604
82,三義鄉,0.5702
83,西湖鄉,0.5804
84,造橋鄉,0.5571
85,三灣鄉,0.5366
86,獅潭鄉,0.5243
87,泰安鄉,0.4936
88,豐原市,0.5843
89,東勢鎮,0.5454
90,大甲鎮,0.608
91,清水鎮,0.6247
92,沙鹿鎮,0.7376
93,梧棲鎮,0.6687
94,后里鄉,0.6151
95,神岡鄉,0.6419
96,潭子鄉,0.5955
97,大雅鄉,0.6269
98,新社鄉,0.5774
99,石岡鄉,0.5116
100,外埔鄉,0.6206
101,大安鄉,0.6205
102,烏日鄉,0.6053
103,大肚鄉,0.6604
104,龍井鄉,0.6627
105,霧峰鄉,0.5846
106,太平鄉,0.6161
107,大里鄉,0.6291
108,和平鄉,0.4417
109,彰化市,0.6069
110,鹿港鎮,0.6329
111,和美鎮,0.628
112,北斗鎮,0.5937
113,員林鎮,0.6155
114,溪湖鎮,0.5892
115,田中鎮,0.6276
116,二林鎮,0.6084
117,線西鄉,0.6013
118,伸港鄉,0.6191
119,福興鄉,0.6178
120,秀水鄉,0.6097
121,花壇鄉,0.6446
122,芬園鄉,0.6022
123,大村鄉,0.5996
124,埔鹽鄉,0.6002
125,埔心鄉,0.5954
126,永靖鄉,0.6052
127,社頭鄉,0.6142
128,二水鄉,0.5711
129,田尾鄉,0.5808
130,埤頭鄉,0.5851
131,芳苑鄉,0.5963
132,大城鄉,0.6422
133,竹塘鄉,0.5364
134,溪州鄉,0.5555
135,南投鎮,0.5414
136,埔里鎮,0.5459
137,草屯鎮,0.5735
138,竹山鎮,0.5799
139,集集鎮,0.5508
140,名間鄉,0.5824
141,鹿谷鄉,0.55
142,中寮鄉,0.5265
143,魚池鄉,0.5393
144,國姓鄉,0.5457
145,水里鄉,0.5372
146,信義鄉,0.5944
147,仁愛鄉,0.574
148,斗六鎮,0.5685
149,斗南鎮,0.5404
150,虎尾鎮,0.5565
151,西螺鎮,0.5695
152,土庫鎮,0.6088
153,北港鎮,0.5639
154,古坑鄉,0.5495
155,大埤鄉,0.5786
156,莿桐鄉,0.5717
157,林內鄉,0.5721
158,二崙鄉,0.537
159,崙背鄉,0.585
160,麥寮鄉,0.6409
161,東勢鄉,0.6203
162,褒忠鄉,0.6232
163,臺西鄉,0.6447
164,元長鄉,0.5956
165,四湖鄉,0.6447
166,口湖鄉,0.6815
167,水林鄉,0.5965
168,嘉義市,0.5417
169,朴子鎮,0.5626
170,布袋鎮,0.564
171,大林鎮,0.5243
172,民雄鄉,0.5441
173,溪口鄉,0.5458
174,新港鄉,0.5487
175,六腳鄉,0.5289
176,東石鄉,0.6198
177,義竹鄉,0.5079
178,鹿草鄉,0.5083
179,太保鄉,0.5668
180,水上鄉,0.5211
181,中埔鄉,0.5336
182,竹崎鄉,0.5322
183,梅山鄉,0.5228
184,番路鄉,0.5349
185,大埔鄉,0.5845
186,吳鳳鄉,0.5477
187,新營鎮,0.4952
188,鹽水鎮,0.4962
189,白河鎮,0.5265
190,麻豆鎮,0.5234
191,佳里鎮,0.5755
192,新化鎮,0.536
193,善化鎮,0.5384
194,學甲鎮,0.5126
195,柳營鄉,0.509
196,後壁鄉,0.4869
197,東山鄉,0.5065
198,下營鄉,0.5028
199,六甲鄉,0.5074
200,官田鄉,0.479
201,大內鄉,0.556
202,西港鄉,0.5692
203,七股鄉,0.5628
204,將軍鄉,0.5777
205,北門鄉,0.5341
206,新市鄉,0.5872
207,安定鄉,0.5793
208,山上鄉,0.5242
209,玉井鄉,0.4931
210,楠西鄉,0.5091
211,南化鄉,0.5152
212,左鎮鄉,0.5009
213,仁德鄉,0.5863
214,歸仁鄉,0.5911
215,關廟鄉,0.59
216,龍崎鄉,0.5187
217,永康鄉,0.6108
218,鳳山市,0.5917
219,岡山鎮,0.5441
220,旗山鎮,0.5139
221,美濃鎮,0.5164
222,林園鄉,0.6709
223,大寮鄉,0.5556
224,大樹鄉,0.5919
225,仁武鄉,0.658
226,大社鄉,0.6081
227,鳥松鄉,0.5922
228,橋頭鄉,0.571
229,燕巢鄉,0.6979
230,田寮鄉,0.5473
231,阿蓮鄉,0.6097
232,路竹鄉,0.6212
233,湖內鄉,0.6446
234,茄萣鄉,0.6538
235,永安鄉,0.5964
236,彌陀鄉,0.6727
237,梓官鄉,0.6827
238,六龜鄉,0.5897
239,甲仙鄉,0.5823
240,杉林鄉,0.5484
241,內門鄉,0.5922
242,茂林鄉,0.6409
243,桃源鄉,0.7777
244,三民鄉,0.896
245,屏東市,0.5206
246,潮州鎮,0.569
247,東港鎮,0.6314
248,恆春鎮,0.607
249,萬丹鄉,0.5874
250,長治鄉,0.5157
251,麟洛鄉,0.4803
252,九如鄉,0.5417
253,里港鄉,0.5427
254,鹽埔鄉,0.572
255,高樹鄉,0.5072
256,萬巒鄉,0.5247
257,內埔鄉,0.5917
258,竹田鄉,0.5133
259,新埤鄉,0.5119
260,枋寮鄉,0.5531
261,新園鄉,0.6686
262,崁頂鄉,0.5602
263,林邊鄉,0.6018
264,南州鄉,0.5604
265,佳冬鄉,0.5304
266,琉球鄉,0.7962
267,車城鄉,0.5694
268,滿州鄉,0.5831
269,枋山鄉,0.5848
270,三地門鄉,0.5943
271,霧臺鄉,0.6104
272,瑪家鄉,0.5613
273,泰武鄉,0.64
274,來義鄉,0.6546
275,春日鄉,0.5886
276,獅子鄉,0.5396
277,牡丹鄉,0.5541
278,臺東市,0.5543
279,成功鎮,0.6636
280,關山鎮,0.605
281,卑南鄉,0.6021
282,大武鄉,0.5762
283,太麻里鄉,0.593
284,東河鄉,0.5661
285,長濱鄉,0.6309
286,鹿野鄉,0.5676
287,池上鄉,0.5839
288,綠島鄉,0.3935
289,延平鄉,0.7281
290,海端鄉,0.7404
291,達仁鄉,0.6447
292,金峰鄉,0.5723
293,蘭嶼鄉,0.667
294,花蓮市,0.5428
295,鳳林鎮,0.5431
296,玉里鎮,0.5349
297,新城鄉,0.5566
298,吉安鄉,0.5752
299,壽豐鄉,0.5077
300,光復鄉,0.5462
301,豐濱鄉,0.6382
302,瑞穗鄉,0.5972
303,富里鄉,0.5848
304,秀林鄉,0.6587
305,萬榮鄉,0.7643
306,卓溪鄉,0.6952
307,馬公鎮,0.5908
308,湖西鄉,0.6326
309,白沙鄉,0.6306
310,西嶼鄉,0.6441
311,望安鄉,0.7011
312,七美鄉,0.7414
313,中正區,0.5482
314,七堵區,0.5946
315,暖暖區,0.5064
316,仁愛區,0.5247
317,中山區,0.5327
318,安樂區,0.5719
319,信義區,0.4956
320,中區,0.6219
321,東區,0.5714
322,西區,0.5366
323,南區,0.5697
324,北區,0.5071
325,西屯區,0.5477
326,南屯區,0.5848
327,北屯區,0.5741
328,東區,0.5368
329,南區,0.543
330,西區,0.5474
331,北區,0.5434
332,中區,0.5808
333,安南區,0.6463
334,安平區,0.5288
335,松山區,0.4809
336,大安區,0.4509
337,古亭區,0.4716
338,雙園區,0.5343
339,龍山區,0.5173
340,城中區,0.4064
341,建成區,0.5263
342,延平區,0.5013
343,大同區,0.5054
344,中山區,0.431
345,內湖區,0.5216
346,南港區,0.5648
347,木柵區,0.5235
348,景美區,0.4643
349,士林區,0.533
350,北投區,0.5397
351,鹽埕區,0.4965
352,鼓山區,0.5411
353,左營區,0.5084
354,楠梓區,0.5852
355,三民區,0.591
356,新興區,0.5205
357,前金區,0.4996
358,苓雅區,0.5542
359,前鎮區,0.6063
360,旗津區,0.6141
361,小港區,0.66
