OBJECTID,town,adult
1,板橋市,0.6517
2,三重市,0.6634
3,中和市,0.6714
4,永和市,0.6822
5,新莊市,0.6403
6,新店市,0.6846
7,樹林市,0.6398
8,鶯歌鎮,0.6347
9,三峽鎮,0.6487
10,淡水鎮,0.6927
11,汐止市,0.6714
12,瑞芳鎮,0.6795
13,土城市,0.649
14,蘆洲市,0.6334
15,五股鄉,0.6551
16,泰山鄉,0.6759
17,林口鄉,0.6865
18,深坑鄉,0.6658
19,石碇鄉,0.7001
20,坪林鄉,0.7006
21,三芝鄉,0.6655
22,石門鄉,0.6827
23,八里鄉,0.6399
24,平溪鄉,0.7039
25,雙溪鄉,0.6993
26,貢寮鄉,0.7015
27,金山鄉,0.6669
28,萬里鄉,0.666
29,烏來鄉,0.7026
30,宜蘭市,0.6628
31,羅東鎮,0.6574
32,蘇澳鎮,0.6828
33,頭城鎮,0.6749
34,礁溪鄉,0.6549
35,壯圍鄉,0.6612
36,員山鄉,0.659
37,冬山鄉,0.6591
38,五結鄉,0.6651
39,三星鄉,0.6693
40,大同鄉,0.6733
41,南澳鄉,0.636
42,桃園市,0.6439
43,中壢市,0.6757
44,大溪鎮,0.6602
45,楊梅鎮,0.6565
46,蘆竹鄉,0.6351
47,大園鄉,0.658
48,龜山鄉,0.6968
49,八德市,0.618
50,龍潭鄉,0.6613
51,平鎮市,0.649
52,新屋鄉,0.6542
53,觀音鄉,0.6667
54,復興鄉,0.6668
55,竹北市,0.6428
56,竹東鎮,0.6492
57,新埔鎮,0.6416
58,關西鎮,0.6893
59,湖口鄉,0.6955
60,新豐鄉,0.6351
61,芎林鄉,0.6473
62,橫山鄉,0.6657
63,北埔鄉,0.659
64,寶山鄉,0.6517
65,峨眉鄉,0.6652
66,尖石鄉,0.6233
67,五峰鄉,0.6978
68,苗栗市,0.6681
69,苑裡鎮,0.645
70,通霄鎮,0.6387
71,竹南鎮,0.6458
72,頭份鎮,0.6482
73,後龍鎮,0.6528
74,卓蘭鎮,0.646
75,大湖鄉,0.6598
76,公館鄉,0.652
77,銅鑼鄉,0.6509
78,南庄鄉,0.6808
79,頭屋鄉,0.6533
80,三義鄉,0.6453
81,西湖鄉,0.6647
82,造橋鄉,0.6375
83,三灣鄉,0.6637
84,獅潭鄉,0.6856
85,泰安鄉,0.7081
86,豐原市,0.6507
87,東勢鎮,0.6577
88,大甲鎮,0.6283
89,清水鎮,0.6408
90,沙鹿鎮,0.644
91,梧棲鎮,0.6188
92,后里鄉,0.6685
93,神岡鄉,0.6682
94,潭子鄉,0.6592
95,大雅鄉,0.6767
96,新社鄉,0.7127
97,石岡鄉,0.6664
98,外埔鄉,0.642
99,大安鄉,0.6484
100,烏日鄉,0.6657
101,大肚鄉,0.632
102,龍井鄉,0.6395
103,霧峰鄉,0.6483
104,太平市,0.6521
105,大里市,0.6333
106,和平鄉,0.7305
107,彰化市,0.6425
108,鹿港鎮,0.6294
109,和美鎮,0.6284
110,線西鄉,0.6386
111,伸港鄉,0.6267
112,福興鄉,0.629
113,秀水鄉,0.6213
114,花壇鄉,0.6331
115,芬園鄉,0.6581
116,員林鎮,0.6383
117,溪湖鎮,0.628
118,田中鎮,0.6416
119,大村鄉,0.6393
120,埔鹽鄉,0.639
121,埔心鄉,0.6342
122,永靖鄉,0.6358
123,社頭鄉,0.6368
124,二水鄉,0.6699
125,北斗鎮,0.6431
126,二林鎮,0.6449
127,田尾鄉,0.6496
128,埤頭鄉,0.6567
129,芳苑鄉,0.6822
130,大城鄉,0.685
131,竹塘鄉,0.6712
132,溪州鄉,0.6591
133,南投市,0.6543
134,埔里鎮,0.6634
135,草屯鎮,0.652
136,竹山鎮,0.6625
137,集集鎮,0.6872
138,名間鄉,0.6616
139,鹿谷鄉,0.6671
140,中寮鄉,0.6785
141,魚池鄉,0.6835
