town,emplo
?¿æ?å¸,3.54
ä¸??å¸,3.47
ä¸­å?å¸,3.55
æ°¸å?å¸,3.21
?°è?å¸,3.07
?°å?å¸,2.94
æ¨¹æ?å¸,3.15
é¶¯æ??,2.32
ä¸?³½?,2.95
æ·¡æ°´?,3.79
æ±?­¢å¸,3.3
????,4.53
???å¸,2.46
??´²å¸,3.47
äº???,3.76
æ³°å±±?,2.87
????,2.86
æ·±å??,3.03
?³ç??,1.77
?ªæ??,3.1
ä¸???,2.94
?³é??,3.77
?«é??,3.44
å¹³æºª?,5.16
??ºª?,7.02
è²¢å¯®?,7.89
??±±?,3.99
?¬é??,4.2
????,7.85
å®??å¸,5.17
ç¾???,4.96
??¾³?,4.43
?­å??,3.97
ç¤?ºª?,5.6
å£¯å??,4.02
?¡å±±?,4.62
?¬å±±?,3.85
äº???,4.65
ä¸???,4.67
å¤§å??,6.42
??¾³?,3.21
æ¡??å¸,4.05
ä¸­å£¢å¸,4.67
å¤§æºª?,3.11
æ¥???,3.72
??«¹?,2.94
å¤§å??,2.95
é¾?±±?,4.49
?«å¾·å¸,4.75
é¾?½­?,2.82
å¹³é?å¸,3.86
?°å??,3.55
è§??³é?,3.04
å¾©è??,4.86
ç«¹å?å¸,4.36
ç«¹æ??,4.41
?°å??,3.52
??¥¿?,2.88
æ¹???,2.14
?°è??,3.53
????,4.12
æ©«å±±?,3.92
????,5.12
å¯¶å±±?,1.1
å³¨ç??,3.67
å°???,9.99
äº?³°?,5.94
???å¸,5.19
??£¡?,4.49
????,4.43
ç«¹å??,3.43
?­ä»½?,3.94
å¾???,3.18
????,4.15
å¤§æ??,3.6
?¬é¤¨?,3.99
????,3.85
????,5.62
?­å??,4.59
ä¸?¾©?,4.3
è¥¿æ??,4.63
????,3.67
ä¸???,2.89
??½­?,1.82
æ³°å??,8.15
è±??å¸,3.43
?±å??,3.06
å¤§ç??,3.44
æ¸?°´?,3.75
æ²?¹¿?,3.52
æ¢§æ£²?,3.87
????,3.18
ç¥?²¡?,2.54
æ½­å??,3.08
å¤§é??,1.82
?°ç¤¾?,2.75
?³å²¡?,4.48
å¤???,2.35
å¤§å??,2.76
????,3.2
å¤§è??,3.03
é¾???,4.76
?§å³°?,3.82
å¤ªå¹³å¸,3.19
å¤§é?å¸,3.86
??¹³?,1.52
å½°å?å¸,4.49
é¹¿æ¸¯?,4.15
????,4.39
ç·?¥¿?,2.64
ä¼¸æ¸¯?,5.13
ç¦???,4.11
ç§?æ°´é?,2.78
?±å??,3.6
?¬å??,3.07
?¡æ??,3.47
æºªæ??,3.15
?°ä¸­?,3.38
å¤§æ??,2.13
??¹½?,4.86
????,2.81
æ°¸é??,1.94
ç¤¾é??,3.86
äº?°´?,4.54
????,3.13
äº???,4.66
?°å°¾?,4.3
?¤é??,2.7
?³è??,4.33
å¤§å??,3.18
ç«¹å??,3.93
æºªå??,2.84
???å¸,4.39
????,5.98
??±¯?,3.37
ç«¹å±±?,4.96
????,2.53
????,2.86
é¹¿è°·?,4.17
ä¸­å¯®?,3.84
é­???,5.7
????,5.52
