town,farm
?¿æ?å¸,1.48
ä¸??å¸,0.88
ä¸­å?å¸,1.02
æ°¸å?å¸,0.54
?°è?å¸,2.86
?°å?å¸,2.31
æ¨¹æ?å¸,5.49
é¶¯æ??,4.07
ä¸?³½?,20.85
æ·¡æ°´?,13.09
æ±?­¢å¸,2.86
????,5.5
???å¸,2.75
??´²å¸,4.65
äº???,9.9
æ³°å±±?,5.28
????,15.91
æ·±å??,11.66
?³ç??,28.37
?ªæ??,66.11
ä¸???,31.69
?³é??,37.71
?«é??,31.04
å¹³æºª?,12.48
??ºª?,18.38
è²¢å¯®?,35.48
??±±?,23.97
?¬é??,25.17
????,6.77
å®??å¸,10.32
ç¾???,8.38
??¾³?,20.61
?­å??,23.59
ç¤?ºª?,28.81
å£¯å??,37.65
?¡å±±?,39.62
?¬å±±?,22.33
äº???,18.43
ä¸???,38.98
å¤§å??,68.52
??¾³?,48.33
æ¡??å¸,6.35
ä¸­å£¢å¸,7.37
å¤§æºª?,17.69
æ¥???,13.7
??«¹?,28.55
å¤§å??,28.36
é¾?±±?,6.94
?«å¾·å¸,8.01
é¾?½­?,11.75
å¹³é?å¸,7.3
?°å??,34.76
è§??³é?,36.24
å¾©è??,48.36
ç«¹å?å¸,19.78
ç«¹æ??,12.34
?°å??,27.62
??¥¿?,34
æ¹???,13.98
?°è??,21.12
????,33.25
æ©«å±±?,28.47
????,21.09
å¯¶å±±?,42.93
å³¨ç??,45.08
å°???,55.92
äº?³°?,46.84
???å¸,10.44
??£¡?,33.83
????,34.85
ç«¹å??,15.68
?­ä»½?,16.82
å¾???,39.67
????,61.68
å¤§æ??,52.43
?¬é¤¨?,28.15
????,31.76
????,25.48
?­å??,28.02
ä¸?¾©?,20.5
è¥¿æ??,49.54
????,21.8
ä¸???,28.4
??½­?,39.62
æ³°å??,74.92
è±??å¸,12.95
?±å??,42.84
å¤§ç??,22.97
æ¸?°´?,26.03
æ²?¹¿?,17.97
æ¢§æ£²?,17.92
????,29.52
ç¥?²¡?,29.82
æ½­å??,15.49
å¤§é??,19.46
?°ç¤¾?,57.63
?³å²¡?,36.07
å¤???,37.34
å¤§å??,47.16
????,19.65
å¤§è??,20.48
é¾???,25.63
?§å³°?,23.9
å¤ªå¹³å¸,11.04
å¤§é?å¸,10.21
??¹³?,63.8
å½°å?å¸,11.85
é¹¿æ¸¯?,25.56
????,27.07
ç·?¥¿?,39.58
ä¼¸æ¸¯?,39.78
ç¦???,48.46
ç§?æ°´é?,41.36
?±å??,22.51
?¬å??,38.8
?¡æ??,19.18
æºªæ??,41.66
?°ä¸­?,29.06
å¤§æ??,38.11
??¹½?,68.36
????,36.46
æ°¸é??,47.88
ç¤¾é??,34.04
äº?°´?,40.79
????,34.41
äº???,59.81
?°å°¾?,60.29
?¤é??,55.14
?³è??,60.29
å¤§å??,61.21
ç«¹å??,65.14
æºªå??,61.22
???å¸,18.43
????,33.11
??±¯?,29.4
ç«¹å±±?,34.84
????,37.25
????,56.74
é¹¿è°·?,60.99
ä¸­å¯®?,56.25
é­???,45.89
????,54.55
æ°´é??,33.26
ä¿¡ç¾©?,75.3
ä»???,75.67
???å¸,30.82
????,37.08
??°¾?,39.07
è¥¿è??,57.68
??º«?,62.78
??¸¯?,33.43
?¤å??,56.92
å¤§å??,54.69
?¿æ??,55.96
????,41.57
äº???,70.86
å´???,63.46
éº¥å¯®?,63.3
?±å??,68.73
è¤???,67.31
?ºè¥¿?,63.45
????,71.11
????,64.36
????,61.79
æ°´æ??,72.91
å¤ªä?å¸,58.18
?´å?å¸,41.77
å¸???,53.31
å¤§æ??,43.54
æ°???,44.76
æºªå??,55.09
?°æ¸¯?,58.7
?­è??,64.41
?±ç??,68.01
