town,mine
?¿æ?å¸,0.1100
ä¸??å¸,0.0600
ä¸­å?å¸,0.1100
æ°¸å?å¸,0.0900
?°è?å¸,0.0700
?°å?å¸,0.1400
æ¨¹æ?å¸,0.2400
é¶¯æ??,0.3100
ä¸?³½?,0.7800
æ·¡æ°´?,0.0500
æ±?­¢å¸,0.2900
????,1.7500
???å¸,0.2000
??´²å¸,0.0800
äº???,0.1200
æ³°å±±?,0.0200
????,0.1200
æ·±å??,1.0400
?³ç??,4.6000
?ªæ??,0.0400
ä¸???,0.1100
?³é??,0.3000
?«é??,1.1400
å¹³æºª?,12.2000
??ºª?,1.0500
è²¢å¯®?,0.1900
??±±?,0.3700
?¬é??,0.3900
????,0.0800
å®??å¸,0.2100
ç¾???,0.6300
??¾³?,1.4100
?­å??,0.2000
ç¤?ºª?,0.2000
å£¯å??,0.1000
?¡å±±?,0.4800
?¬å±±?,0.5200
äº???,0.5700
ä¸???,0.7900
å¤§å??,0.2900
??¾³?,4.8800
æ¡??å¸,0.0900
ä¸­å£¢å¸,0.0700
å¤§æºª?,0.5500
æ¥???,0.1400
??«¹?,0.1200
å¤§å??,0.2000
é¾?±±?,0.1200
?«å¾·å¸,0.1000
é¾?½­?,0.1500
å¹³é?å¸,0.1700
?°å??,0.1100
è§??³é?,0.1300
å¾©è??,1.1200
ç«¹å?å¸,0.2700
ç«¹æ??,1.0700
?°å??,0.2700
??¥¿?,1.0200
æ¹???,0.1300
?°è??,0.1400
????,0.5000
æ©«å±±?,1.1700
????,1.2200
å¯¶å±±?,0.0700
å³¨ç??,0.4600
å°???,0.4700
äº?³°?,0.1100
???å¸,3.5300
??£¡?,0.2000
????,1.0400
ç«¹å??,0.3500
?­ä»½?,0.9900
å¾???,0.3300
????,0.2000
å¤§æ??,0.3500
?¬é¤¨?,1.9000
????,0.9300
????,2.6200
?­å??,2.4200
ä¸?¾©?,0.7300
è¥¿æ??,0.2000
????,1.5900
ä¸???,0.8100
??½­?,0.5300
æ³°å??,0.0000
è±??å¸,0.1100
?±å??,0.2500
å¤§ç??,0.1900
æ¸?°´?,0.0800
æ²?¹¿?,0.0800
æ¢§æ£²?,0.1100
????,0.1800
ç¥?²¡?,0.0800
æ½­å??,0.0900
å¤§é??,0.0800
?°ç¤¾?,0.2000
?³å²¡?,0.2000
å¤???,0.1200
å¤§å??,0.0500
????,0.4800
å¤§è??,0.3500
é¾???,0.2600
?§å³°?,0.1100
å¤ªå¹³å¸,0.1300
å¤§é?å¸,0.1400
??¹³?,0.2300
å½°å?å¸,0.1100
é¹¿æ¸¯?,0.0400
????,0.1300
ç·?¥¿?,0.1100
ä¼¸æ¸¯?,0.1700
ç¦???,0.1000
ç§?æ°´é?,0.0100
?±å??,0.1000
?¬å??,0.1600
?¡æ??,0.0600
æºªæ??,0.0600
?°ä¸­?,0.0700
å¤§æ??,0.0500
??¹½?,0.0200
????,0.0300
æ°¸é??,0.0500
ç¤¾é??,0.0400
äº?°´?,0.5200
????,0.0700
äº???,0.0400
?°å°¾?,0.0200
?¤é??,0.1300
?³è??,0.0600
å¤§å??,0.0600
ç«¹å??,0.1800
æºªå??,0.2200
???å¸,0.1100
????,0.2300
??±¯?,0.1600
ç«¹å±±?,0.2800
????,0.2500
????,0.0500
é¹¿è°·?,0.1000
ä¸­å¯®?,0.1100
é­???,0.1100
????,0.2000
æ°´é??,0.1800
ä¿¡ç¾©?,0.2800
ä»???,0.1400
???å¸,0.1800
????,0.0700
??°¾?,0.0800
è¥¿è??,0.2000
??º«?,0.0500
??¸¯?,0.0400
?¤å??,0.1800
å¤§å??,0.0400
?¿æ??,0.6800
????,0.2900
äº???,0.0500
å´???,0.0900
éº¥å¯®?,0.0200
?±å??,0.0700
è¤???,0.0300
?ºè¥¿?,0.0600
????,0.0500
????,0.0200
????,0.0400
æ°´æ??,0.0300
å¤ªä?å¸,0.0200
?´å?å¸,0.0800
å¸???,1.7700
å¤§æ??,0.0900
æ°???,0.0900
æºªå??,0.0300
?°æ¸¯?,0.0400
?­è??,0.1000
?±ç??,0.3200
ç¾©ç«¹?,0.0900
é¹¿è??,0.0700
æ°´ä??,0.1000
ä¸­å??,0.2400
ç«¹å??,0.0600
æ¢?±±?,0.0900
?ªè·¯?,0.3300
å¤§å??,0.0000
?³é³³?,0.0300
?°ç?å¸,0.0900
é¹½æ°´?,0.0200
?½æ²³?,0.1100
?³ç??,0.1200
å¾???,0.2700
?±å±±?,0.0200
éº»è??,0.1100
ä¸???,0.0500
?­ç??,0.0800
å®???,0.0600
å¤§å??,0.1100
ä½³é??,0.0300
å­¸ç??,0.0700
è¥¿æ¸¯?,0.0400
ä¸???,0.9200
å°???,0.0400
????,0.7500
?°å??,0.1500
????,2.1400
?°å??,0.0200
å®???,0.0600
å±±ä??,0.2100
????,0.2900
æ¥?¥¿?,0.0300
????,0.1800
å·¦é??,0.1400
ä»?¾·?,0.0600
æ­¸ä??,0.0400
????,0.0700
é¾???,0.2200
æ°¸åº·å¸,0.0700
é³³å±±å¸,0.2000
????,0.2300
å¤§å¯®?,0.4900
å¤§æ¨¹?,1.1300
å¤§ç¤¾?,0.4000
ä»?­¦?,0.4400
é³¥æ??,0.2900
å²¡å±±?,0.2300
æ©???,0.0800
??·¢?,0.1900
?°å¯®?,0.3900
?¿è??,0.3200
è·¯ç«¹?,0.1000
æ¹???,0.3600
????,0.4200
æ°¸å??,0.1200
å½???,0.0800
æ¢???,0.1300
??±±?,0.5100
ç¾???,0.1600
?­é??,0.2300
?²ä??,0.6200
????,0.4500
?§é??,0.1200
????,0.3600
æ¡???,0.0600
ä¸???,0.0000
å±??å¸,0.1300
æ½®å??,0.0800
?±æ¸¯?,0.0600
????,0.1100
?¬ä¸¹?,0.2100
?·æ²»?,0.2000
éº???,0.0400
ä¹???,0.2200
??¸¯?,1.0800
é¹½å??,0.3300
é«?¨¹?,0.1900
?¬å??,0.0200
?§å??,0.1000
ç«¹ç??,0.0600
?°å??,0.3900
??¯®?,0.1100
?°å??,0.1200
å´???,0.0900
????,0.0200
????,0.0400
ä½³å??,0.0700
????,0.0200
è»???,0.1700
æ»¿å??,0.2700
??±±?,1.4200
ä¸???,0.3000
?§è??,0.1400
?ªå®¶?,0.0000
æ³°æ­¦?,0.0000
ä¾?¾©?,0.0000
?¥æ??,0.3300
????,0.0500
?¡ä¸¹?,0.1500
?ºæ?å¸,0.2700
????,0.3800
??±±?,0.5600
????,0.4200
é¹¿é??,0.4400
æ±???,0.2100
?±æ²³?,0.3000
?·æ¿±?,0.2700
å¤ªéº»???,0.1600
å¤§æ­¦?,0.2500
ç¶?³¶?,0.0000
æµ·ç«¯?,0.3400
å»¶å¹³?,0.9400
??³°?,0.1100
????,0.1900
?­å¶¼?,0.0000
?±è?å¸,0.5000
é³³æ??,0.5800
????,0.6600
?°å??,0.8000
????,0.6700
å£½è??,0.9500
??¾©?,0.3400
è±?¿±?,0.2200
????,0.8600
å¯???,0.3000
ç§????,3.1400
?¬æ¦®?,5.3500
??ºª?,1.3400
é¦¬å?å¸,0.1300
æ¹?¥¿?,0.1000
?½æ??,0.1900
è¥¿å¶¼?,0.0900
????,0.0000
ä¸???,0.0000
ä¸­æ­£??,0.1200
ä¸????,0.4900
?????,0.7500
ä»????,0.1200
ä¸­å±±??,0.2800
å®????,0.3100
ä¿¡ç¾©??,0.2900
?±å?,0.2900
???,0.2300
é¦?±±??,0.1800
ä¸­å?,0.0300
?±å?,0.0500
???,0.0400
è¥¿å?,0.0600
???,0.0800
è¥¿å±¯??,0.0600
??±¯??,0.1400
??±¯??,0.0800
?±å?,0.2300
è¥¿å?,0.0800
?±å?,0.1100
???,0.0800
è¥¿å?,0.0300
???,0.0900
ä¸­å?,0.2600
å®????,0.3500
å®?¹³??,0.2000
?¾å±±??,0.1000
ä¿¡ç¾©??,0.0900
å¤§å???,0.0700
ä¸­å±±??,0.0700
ä¸­æ­£??,0.1100
å¤§å???,0.0400
?¬è???,0.0700
??±±??,0.1400
??¸¯??,0.2700
?§æ???,0.1200
å£«æ???,0.0900
?????,0.1100
é¹½å???,0.0400
é¼?±±??,0.1100
å·¦ç???,0.1100
æ¥????,0.0700
ä¸????,0.0700
?°è???,0.0500
?????,0.1700
?????,0.0700
?????,0.1400
??´¥??,0.0300
å°?¸¯??,0.1000
