town,use
板橋市,91.4
三重市,85.9
中和市,94
永和市,93.2
新莊市,88.7
新店市,95.3
樹林市,86.5
鶯歌鎮,85.8
三峽鎮,90.9
淡水鎮,92.6
汐止市,94
瑞芳鎮,93.7
土城市,91.4
蘆洲市,90.2
五股鄉,88.1
泰山鄉,89.7
林口鄉,91.2
深坑鄉,92.8
石碇鄉,93.2
坪林鄉,83.1
三芝鄉,92.4
石門鄉,95.4
八里鄉,91.1
平溪鄉,92.4
雙溪鄉,93.2
貢寮鄉,94.1
金山鄉,91
萬里鄉,94.8
烏來鄉,89.6
宜蘭市,86.9
羅東鎮,81.2
蘇澳鎮,88.5
頭城鎮,91.8
礁溪鄉,91.4
壯圍鄉,94.8
員山鄉,95.1
冬山鄉,90.8
五結鄉,92.9
三星鄉,94.1
大同鄉,97.8
南澳鄉,96.1
桃園市,83.7
中壢市,88.3
大溪鎮,88.9
楊梅鎮,89.6
蘆竹鄉,90.1
大園鄉,90.4
龜山鄉,90.6
八德市,91.5
龍潭鄉,89.8
平鎮市,91.7
新屋鄉,90.5
觀音鄉,93.4
復興鄉,93.5
竹北市,88.7
竹東鎮,92.1
新埔鎮,91.9
關西鎮,88.5
湖口鄉,88.3
新豐鄉,94.2
芎林鄉,89.9
橫山鄉,93.5
北埔鄉,95.4
寶山鄉,90.9
峨眉鄉,94.1
尖石鄉,96.7
五峰鄉,97.6
苗栗市,87.4
苑裡鎮,91.3
通霄鎮,92.7
竹南鎮,87.9
頭份鎮,89.5
後龍鎮,93.1
卓蘭鎮,91.9
大湖鄉,91.7
公館鄉,90.6
銅鑼鄉,92.4
南庄鄉,93.9
頭屋鄉,92.6
三義鄉,85.2
西湖鄉,95.8
造橋鄉,93.1
三灣鄉,91.9
獅潭鄉,93.5
泰安鄉,97.7
豐原市,79
東勢鎮,87.9
大甲鎮,86.1
清水鎮,91.6
沙鹿鎮,85
梧棲鎮,87.6
后里鄉,88.6
神岡鄉,81.1
潭子鄉,85.4
大雅鄉,85.7
新社鄉,94.4
石岡鄉,90.8
外埔鄉,92.1
大安鄉,96.7
烏日鄉,85.3
大肚鄉,89.6
龍井鄉,91.5
霧峰鄉,88.8
太平市,84.1
大里市,84.7
和平鄉,95
彰化市,81.8
鹿港鎮,85.9
和美鎮,86.7
線西鄉,88.6
伸港鄉,85
福興鄉,88
秀水鄉,87.4
花壇鄉,91.7
芬園鄉,93.1
員林鎮,88.8
溪湖鎮,92.7
田中鎮,87.4
大村鄉,88.3
埔鹽鄉,90.8
埔心鄉,92
永靖鄉,95
社頭鄉,88.4
二水鄉,89.7
北斗鎮,88.5
二林鎮,93.1
田尾鄉,94.4
埤頭鄉,92.2
芳苑鄉,95.9
大城鄉,95.5
竹塘鄉,95.1
溪州鄉,93.5
南投市,91.3
埔里鎮,86.9
草屯鎮,87
竹山鎮,87.7
集集鎮,92.4
名間鄉,92
鹿谷鄉,91.3
中寮鄉,94.7
魚池鄉,91.9
國姓鄉,95.5
水里鄉,87.4
信義鄉,94.7
仁愛鄉,95.5
斗六市,88.5
斗南鎮,86.8
虎尾鎮,88.7
西螺鎮,91.6
土庫鎮,92.2
北港鎮,86
古坑鄉,95.3
大埤鄉,94.4
莿桐鄉,93.3
林內鄉,91.3
二崙鄉,94.4
崙背鄉,92.1
麥寮鄉,90.9
東勢鄉,94.7
褒忠鄉,91.7
臺西鄉,95.2
元長鄉,95.9
四湖鄉,96.5
口湖鄉,96.2
水林鄉,96.4
太保市,88.7
朴子市,94.6
布袋鎮,91.2
大林鎮,93
民雄鄉,93.4
溪口鄉,93.8
新港鄉,95.7
六腳鄉,97.6
東石鄉,94.6
義竹鄉,97
鹿草鄉,94.2
水上鄉,93.5
中埔鄉,93.2
竹崎鄉,94.3
梅山鄉,93.4
番路鄉,94.1
大埔鄉,93.1
吳鳳鄉,90.3
新營市,87.3
鹽水鎮,90.5
白河鎮,91.8
柳營鄉,90.5
後壁鄉,89.7
東山鄉,90.1
麻豆鎮,91.4
下營鄉,89.2
六甲鄉,94.1
官田鄉,95.3
大內鄉,95.4
佳里鎮,94.1
學甲鎮,91.5
西港鄉,93.3
七股鄉,95.6
將軍鄉,90.4
北門鄉,94.9
新化鎮,93.9
善化鎮,96.8
新市鄉,92.1
安定鄉,93.6
山上鄉,94.3
玉井鄉,89.7
楠西鄉,93.9
南化鄉,94.4
左鎮鄉,95.5
仁德鄉,88.6
歸仁鄉,91.7
關廟鄉,94
龍崎鄉,96
永康市,84.2
鳳山市,89.3
林園鄉,90.3
大寮鄉,91.1
大樹鄉,94.1
大社鄉,92.6
仁武鄉,93
鳥松鄉,93.2
岡山鎮,91.5
橋頭鄉,92.2
燕巢鄉,93
田寮鄉,90.3
阿蓮鄉,92.6
路竹鄉,96.3
湖內鄉,90.5
茄萣鄉,91.8
永安鄉,91.2
彌陀鄉,90.8
梓官鄉,92.5
旗山鎮,93.3
美濃鎮,93.2
六龜鄉,89.5
甲仙鄉,89.7
杉林鄉,95.8
內門鄉,95.6
茂林鄉,98.4
桃源鄉,96.9
三民鄉,97.3
屏東市,87.7
潮州鎮,85.8
東港鎮,89.9
恆春鎮,90
萬丹鄉,90.9
長治鄉,94.1
麟洛鄉,91.3
九如鄉,94.4
里港鄉,91.8
鹽埔鄉,93
高樹鄉,92.2
萬巒鄉,95.4
內埔鄉,91
竹田鄉,96.8
新埤鄉,94.5
枋寮鄉,91.8
新園鄉,94.6
崁頂鄉,95.3
林邊鄉,88.8
南州鄉,91.9
佳冬鄉,94.6
琉球鄉,93.8
車城鄉,94
滿州鄉,95.9
枋山鄉,94.8
三地鄉,98.4
霧臺鄉,99
瑪家鄉,98.8
泰武鄉,96.3
來義鄉,98.3
春日鄉,97.6
獅子鄉,98.3
牡丹鄉,97.7
臺東市,86.5
成功鎮,92.6
關山鎮,89.5
卑南鄉,94.6
鹿野鄉,92.6
池上鄉,91.5
東河鄉,94.6
長濱鄉,92.8
太麻里鄉,90.8
大武鄉,89.7
綠島鄉,92.8
海端鄉,98.2
延平鄉,96.5
金峰鄉,96.3
達仁鄉,95.9
蘭嶼鄉,95.4
花蓮市,85.6
鳳林鎮,89.4
玉里鎮,86.7
新城鄉,92.3
吉安鄉,91
壽豐鄉,92.8
光復鄉,90.4
豐濱鄉,91.7
瑞穗鄉,87.8
富里鄉,92.6
秀林鄉,93.4
萬榮鄉,96.9
卓溪鄉,98.8
馬公市,85.9
湖西鄉,95.9
白沙鄉,94.3
西嶼鄉,95.7
望安鄉,98.8
七美鄉,94.4
中正區,89
七堵區,95.6
暖暖區,95.2
仁愛區,87
中山區,91.4
安樂區,97.2
信義區,93.8
東區,86.2
北區,84.1
香山區,88.6
中區,71.3
東區,86.2
南區,86.7
西區,69.4
北區,84.1
西屯區,85
南屯區,87.7
北屯區,87.1
東區,86.2
西區,69.4
東區,86.2
南區,86.7
西區,69.4
北區,84.1
中區,71.3
安南區,82.4
安平區,89.1
松山區,93.8
信義區,93.8
大安區,94
中山區,91.4
中正區,89
大同區,84.3
萬華區,90.4
文山區,95.1
南港區,93.5
內湖區,94.9
士林區,93.8
北投區,95.8
鹽埕區,73.4
鼓山區,91.2
左營區,90.5
楠梓區,92.7
三民區,84.2
新興區,75.8
前金區,80.3
苓雅區,87.3
前鎮區,89.3
旗津區,93.4
小港區,93.5
