town,w_lab
?¿æ?å¸,32.19
ä¸??å¸,30.35
ä¸­å?å¸,35.02
æ°¸å?å¸,38.89
?°è?å¸,31.92
?°å?å¸,40.13
æ¨¹æ?å¸,33.62
é¶¯æ??,37.34
ä¸?³½?,34.77
æ·¡æ°´?,32.79
æ±?­¢å¸,36.78
????,32.92
???å¸,35.41
??´²å¸,29.67
äº???,33.64
æ³°å±±?,32.38
????,31.69
æ·±å??,37.18
?³ç??,38.99
?ªæ??,38.03
ä¸???,27.45
?³é??,24.43
?«é??,26.23
å¹³æºª?,37.21
??ºª?,29.17
è²¢å¯®?,29.52
??±±?,28.23
?¬é??,31.93
????,33.07
å®??å¸,34.9
ç¾???,34.91
??¾³?,29.09
?­å??,31.42
ç¤?ºª?,31.29
å£¯å??,29.71
?¡å±±?,28.87
?¬å±±?,30.91
äº???,32.22
ä¸???,30.51
å¤§å??,28.18
??¾³?,29.99
æ¡??å¸,32.79
ä¸­å£¢å¸,35.26
å¤§æºª?,33.89
æ¥???,38.22
??«¹?,32.97
å¤§å??,33.28
é¾?±±?,36.37
?«å¾·å¸,35.03
é¾?½­?,36.98
å¹³é?å¸,35.5
?°å??,31.91
è§??³é?,31.93
å¾©è??,25.04
ç«¹å?å¸,34.47
ç«¹æ??,35.62
?°å??,36.1
??¥¿?,35
æ¹???,36.44
?°è??,31.9
????,37.45
æ©«å±±?,38.8
????,34.91
å¯¶å±±?,31.33
å³¨ç??,36.12
å°???,29.35
äº?³°?,27.04
???å¸,38.13
??£¡?,28.07
????,27.29
ç«¹å??,34.29
?­ä»½?,37.95
å¾???,35.22
????,36.66
å¤§æ??,40.66
?¬é¤¨?,42.85
????,39.28
????,30.95
?­å??,36.97
ä¸?¾©?,37.33
è¥¿æ??,42.25
????,37.1
ä¸???,38.01
??½­?,34.63
æ³°å??,32.78
è±??å¸,31.79
?±å??,34.06
å¤§ç??,30.98
æ¸?°´?,26.99
æ²?¹¿?,22.99
æ¢§æ£²?,27.38
????,28.72
ç¥?²¡?,29.05
æ½­å??,36.31
å¤§é??,31.38
?°ç¤¾?,32.33
?³å²¡?,37.57
å¤???,31.38
å¤§å??,27.53
????,30.49
å¤§è??,33.47
é¾???,26.11
?§å³°?,33.21
å¤ªå¹³å¸,32.1
å¤§é?å¸,29.37
??¹³?,38.37
å½°å?å¸,27.92
é¹¿æ¸¯?,26.4
????,24.82
ç·?¥¿?,25.31
ä¼¸æ¸¯?,23.33
ç¦???,26.45
ç§?æ°´é?,27.72
?±å??,28.64
?¬å??,31.42
?¡æ??,28.58
æºªæ??,27.47
?°ä¸­?,28.44
å¤§æ??,31.18
??¹½?,20.76
????,26.83
æ°¸é??,32.35
ç¤¾é??,32.9
äº?°´?,27.76
????,32.28
äº???,33.43
?°å°¾?,32.32
?¤é??,29.93
?³è??,37.42
å¤§å??,46.05
ç«¹å??,40.24
æºªå??,42.75
???å¸,34.2
????,31.37
??±¯?,31.91
ç«¹å±±?,27.3
????,30.89
????,31.12
é¹¿è°·?,33.81
ä¸­å¯®?,27.92
é­???,26.58
????,26.66
æ°´é??,27.27
ä¿¡ç¾©?,38.25
ä»???,49.82
???å¸,40.6
????,37.21
??°¾?,39.79
è¥¿è??,35.44
??º«?,47.79
??¸¯?,37.22
?¤å??,41.31
å¤§å??,38.41
?¿æ??,43.29
????,45.42
äº???,57.08
å´???,47.31
éº¥å¯®?,40.93
?±å??,58.26
è¤???,54.24
?ºè¥¿?,46.89
????,59.6
????,46.48
????,36.72
æ°´æ??,52.41
å¤ªä?å¸,47.06
?´å?å¸,38.59
å¸???,41.43
å¤§æ??,37.54
æ°???,40.28
æºªå??,49.33
?°æ¸¯?,51.36
?­è??,49.95
?±ç??,41.56
ç¾©ç«¹?,42.72
é¹¿è??,55.31
æ°´ä??,35.89
ä¸­å??,29.04
ç«¹å??,30.95
æ¢?±±?,34.93
?ªè·¯?,41.73
å¤§å??,36.81
?³é³³?,57.78
?°ç?å¸,33.75
é¹½æ°´?,37.38
?½æ²³?,43.72
?³ç??,37.33
å¾???,35.86
?±å±±?,38.01
éº»è??,44.85
ä¸???,32.91
?­ç??,41.74
å®???,46.43
å¤§å??,45.74
ä½³é??,41.06
å­¸ç??,29.74
è¥¿æ¸¯?,44.21
ä¸???,55.82
å°???,45.91
????,45.34
?°å??,40.72
????,36.91
?°å??,47.3
å®???,44.31
å±±ä??,55.56
????,44.17
æ¥?¥¿?,54.71
????,54.87
å·¦é??,54.36
ä»?¾·?,34.06
æ­¸ä??,32.12
????,29.94
é¾???,37.62
æ°¸åº·å¸,33.97
é³³å±±å¸,30.97
????,28.11
å¤§å¯®?,30.39
å¤§æ¨¹?,37.77
å¤§ç¤¾?,32.68
ä»?­¦?,36.35
é³¥æ??,34.13
å²¡å±±?,33.63
æ©???,38.2
??·¢?,41.54
?°å¯®?,42.43
?¿è??,34.84
è·¯ç«¹?,29.41
æ¹???,27.1
????,31.15
æ°¸å??,30.43
å½???,31.19
æ¢???,32.07
??±±?,37.35
ç¾???,48.08
?­é??,47.06
?²ä??,41.47
????,46.77
