town,illiterate
板橋市,2.33
三重市,2.66
中和市,1.93
永和市,1.67
新莊市,1.75
新店市,1.78
樹林市,1.92
鶯歌鎮,3.08
三峽鎮,3.54
淡水鎮,2.74
汐止市,2.02
瑞芳鎮,8.6
土城市,1.79
蘆洲市,2
五股鄉,2.15
泰山鄉,1.68
林口鄉,3.59
深坑鄉,2.69
石碇鄉,7.5
坪林鄉,13.19
三芝鄉,7.44
石門鄉,3.43
八里鄉,3.8
平溪鄉,13.8
雙溪鄉,17.38
貢寮鄉,13.68
金山鄉,9.12
萬里鄉,8.68
烏來鄉,1.92
宜蘭市,3.44
羅東鎮,2.95
蘇澳鎮,7.26
頭城鎮,7.82
礁溪鄉,7.73
壯圍鄉,9.86
員山鄉,11.67
冬山鄉,6.82
五結鄉,4.3
三星鄉,7.38
大同鄉,2.07
南澳鄉,1.22
桃園市,2.25
中壢市,2.31
大溪鎮,4.29
楊梅鎮,3.23
蘆竹鄉,3.59
大園鄉,6.05
龜山鄉,2.34
八德市,3.85
龍潭鄉,2.35
平鎮市,2.15
新屋鄉,7.66
觀音鄉,7.09
復興鄉,3.5
竹北市,3.82
竹東鎮,2.45
新埔鎮,2.96
關西鎮,1.79
湖口鄉,2.57
新豐鄉,5.08
芎林鄉,3.81
橫山鄉,2.91
北埔鄉,6.92
寶山鄉,5.39
峨眉鄉,6.93
尖石鄉,1.47
五峰鄉,1.59
苗栗市,2.18
苑裡鎮,3.42
通霄鎮,7.09
竹南鎮,4.33
頭份鎮,2.34
後龍鎮,3.79
卓蘭鎮,4.23
大湖鄉,4.8
公館鄉,2.63
銅鑼鄉,4.43
南庄鄉,3.15
頭屋鄉,3.94
三義鄉,3.97
西湖鄉,6.22
造橋鄉,2.29
三灣鄉,3
獅潭鄉,8.63
泰安鄉,3.05
豐原市,2.51
東勢鎮,4.09
大甲鎮,5.41
清水鎮,5.65
沙鹿鎮,5.34
梧棲鎮,5.23
后里鄉,4.79
神岡鄉,4.03
潭子鄉,2.36
大雅鄉,2.96
新社鄉,5.19
石岡鄉,3.86
外埔鄉,6.69
大安鄉,7.97
烏日鄉,4.32
大肚鄉,5.18
龍井鄉,5.07
霧峰鄉,5.12
太平市,2.81
大里市,2.63
和平鄉,4.19
彰化市,3.34
鹿港鎮,6.9
和美鎮,5.57
線西鄉,9.22
伸港鄉,8.97
福興鄉,9.35
秀水鄉,6.95
花壇鄉,5.66
芬園鄉,10.57
員林鎮,4.3
溪湖鎮,7.59
田中鎮,4.93
大村鄉,7.03
埔鹽鄉,9.16
埔心鄉,7.29
永靖鄉,7.15
社頭鄉,6.75
二水鄉,6.78
北斗鎮,5.59
二林鎮,13.35
田尾鄉,8.97
埤頭鄉,10.25
芳苑鄉,18.87
大城鄉,23.55
竹塘鄉,12.96
溪州鄉,12.29
南投市,3.49
埔里鎮,3.04
草屯鎮,4.33
竹山鎮,5.5
集集鎮,4.08
名間鄉,4
鹿谷鄉,4.86
中寮鄉,10.26
魚池鄉,6.06
國姓鄉,7.1
水里鄉,5.49
信義鄉,4.07
仁愛鄉,2.01
斗六市,3.49
斗南鎮,3.15
虎尾鎮,4.13
西螺鎮,7.23
土庫鎮,9.33
北港鎮,6.6
古坑鄉,3.53
