OBJECTID,town,old
1,板橋市,0.0594
2,三重市,0.0598
3,中和市,0.0698
4,永和市,0.0873
5,新莊市,0.0384
6,新店市,0.0883
7,樹林市,0.0473
8,鶯歌鎮,0.057
9,三峽鎮,0.0743
10,淡水鎮,0.0636
11,汐止市,0.0578
12,瑞芳鎮,0.1214
13,土城市,0.0416
14,蘆洲市,0.0381
15,五股鄉,0.0514
16,泰山鄉,0.0447
17,林口鄉,0.0593
18,深坑鄉,0.0661
19,石碇鄉,0.1353
20,坪林鄉,0.1988
21,三芝鄉,0.0953
22,石門鄉,0.1277
23,八里鄉,0.0618
24,平溪鄉,0.2007
25,雙溪鄉,0.2029
26,貢寮鄉,0.1666
27,金山鄉,0.1047
28,萬里鄉,0.137
29,烏來鄉,0.0889
30,宜蘭市,0.0914
31,羅東鎮,0.0963
32,蘇澳鎮,0.1043
33,頭城鎮,0.1031
34,礁溪鄉,0.1147
35,壯圍鄉,0.1101
36,員山鄉,0.1181
37,冬山鄉,0.1008
38,五結鄉,0.1042
39,三星鄉,0.1279
40,大同鄉,0.0825
41,南澳鄉,0.0948
42,桃園市,0.0549
43,中壢市,0.0698
44,大溪鎮,0.0967
45,楊梅鎮,0.074
46,蘆竹鄉,0.0528
47,大園鄉,0.072
48,龜山鄉,0.0531
49,八德市,0.081
50,龍潭鄉,0.0795
51,平鎮市,0.067
52,新屋鄉,0.1131
53,觀音鄉,0.0916
54,復興鄉,0.0875
55,竹北市,0.0675
56,竹東鎮,0.092
57,新埔鎮,0.1209
58,關西鎮,0.1276
59,湖口鄉,0.0752
60,新豐鄉,0.072
61,芎林鄉,0.1045
62,橫山鄉,0.1527
63,北埔鄉,0.1439
64,寶山鄉,0.1137
65,峨眉鄉,0.1896
66,尖石鄉,0.0766
67,五峰鄉,0.0778
68,苗栗市,0.1024
69,苑裡鎮,0.1119
70,通霄鎮,0.1367
71,竹南鎮,0.0764
72,頭份鎮,0.0794
73,後龍鎮,0.1218
74,卓蘭鎮,0.1343
75,大湖鄉,0.1624
76,公館鄉,0.1229
77,銅鑼鄉,0.1397
78,南庄鄉,0.168
79,頭屋鄉,0.1347
80,三義鄉,0.1127
81,西湖鄉,0.1855
82,造橋鄉,0.1116
83,三灣鄉,0.1645
84,獅潭鄉,0.2196
85,泰安鄉,0.1309
86,豐原市,0.0727
87,東勢鎮,0.1155
88,大甲鎮,0.0804
89,清水鎮,0.0858
90,沙鹿鎮,0.0665
91,梧棲鎮,0.0653
92,后里鄉,0.0904
93,神岡鄉,0.069
94,潭子鄉,0.0567
95,大雅鄉,0.0558
96,新社鄉,0.1078
97,石岡鄉,0.1215
98,外埔鄉,0.0884
99,大安鄉,0.1035
100,烏日鄉,0.0707
101,大肚鄉,0.0724
102,龍井鄉,0.0628
103,霧峰鄉,0.0799
104,太平市,0.0582
105,大里市,0.0472
106,和平鄉,0.1396
107,彰化市,0.0763
108,鹿港鎮,0.0873
109,和美鎮,0.0741
110,線西鄉,0.0919
111,伸港鄉,0.0794
112,福興鄉,0.0928
113,秀水鄉,0.091
114,花壇鄉,0.0827
115,芬園鄉,0.1199
116,員林鎮,0.0782
117,溪湖鎮,0.0936
118,田中鎮,0.1273
119,大村鄉,0.0843
120,埔鹽鄉,0.118
121,埔心鄉,0.0988
122,永靖鄉,0.1031
123,社頭鄉,0.0971
124,二水鄉,0.1505
125,北斗鎮,0.0947
126,二林鎮,0.112
127,田尾鄉,0.1243
128,埤頭鄉,0.1228
129,芳苑鄉,0.1419
130,大城鄉,0.1543
131,竹塘鄉,0.1554
132,溪州鄉,0.1309
133,南投市,0.0967
134,埔里鎮,0.1058
135,草屯鎮,0.0887
136,竹山鎮,0.1169
137,集集鎮,0.1344
138,名間鄉,0.1186
139,鹿谷鄉,0.1504
140,中寮鄉,0.1619
141,魚池鄉,0.1504
142,國姓鄉,0.134
143,水里鄉,0.1377
144,信義鄉,0.0922
145,仁愛鄉,0.0967
146,斗六市,0.0894
147,斗南鎮,0.1094
148,虎尾鎮,0.1
149,西螺鎮,0.1119
150,土庫鎮,0.1264
151,北港鎮,0.119
152,古坑鄉,0.1313
153,大埤鄉,0.1299
154,莿桐鄉,0.1066
155,林內鄉,0.1158
156,二崙鄉,0.1419
157,崙背鄉,0.1173
158,麥寮鄉,0.087
159,東勢鄉,0.1421
160,褒忠鄉,0.117
161,臺西鄉,0.1328
162,元長鄉,0.1553
163,四湖鄉,0.1612
164,口湖鄉,0.1371
165,水林鄉,0.1734
166,太保市,0.1014
167,朴子市,0.1301
168,布袋鎮,0.1365
169,大林鎮,0.1208
170,民雄鄉,0.0848
171,溪口鄉,0.1506
172,新港鄉,0.132
173,六腳鄉,0.1844
174,東石鄉,0.1705
175,義竹鄉,0.1785
176,鹿草鄉,0.1539
177,水上鄉,0.1005
178,中埔鄉,0.0993
179,竹崎鄉,0.1238
180,梅山鄉,0.1358
181,番路鄉,0.1291
182,大埔鄉,0.1248
183,阿里山鄉,0.1002
184,新營市,0.1
185,鹽水鎮,0.1415
186,白河鎮,0.1674
187,柳營鄉,0.1266
188,後壁鄉,0.1664
189,東山鄉,0.1607
190,麻豆鎮,0.131
191,下營鄉,0.1447
192,六甲鄉,0.1149
193,官田鄉,0.1197
194,大內鄉,0.1526
195,佳里鎮,0.1075
196,學甲鎮,0.1124
197,西港鄉,0.1101
198,七股鄉,0.1813
199,將軍鄉,0.1708
200,北門鄉,0.1272
201,新化鎮,0.0947
202,善化鎮,0.1188
203,新市鄉,0.0748
204,安定鄉,0.1099
205,山上鄉,0.135
206,玉井鄉,0.1464
207,楠西鄉,0.1449
208,南化鄉,0.1633
209,左鎮鄉,0.2171
210,仁德鄉,0.0742
211,歸仁鄉,0.0653
212,關廟鄉,0.1067
213,龍崎鄉,0.2297
214,永康市,0.0567
215,鳳山市,0.0592
216,林園鄉,0.0738
217,大寮鄉,0.0795
218,大樹鄉,0.0874
219,大社鄉,0.064
220,仁武鄉,0.0539
221,鳥松鄉,0.0689
222,岡山鎮,0.0813
223,橋頭鄉,0.0941
224,燕巢鄉,0.1097
225,田寮鄉,0.1984
226,阿蓮鄉,0.0766
227,路竹鄉,0.0808
228,湖內鄉,0.0829
229,茄萣鄉,0.085
230,永安鄉,0.0813
231,彌陀鄉,0.098
232,梓官鄉,0.0726
233,旗山鎮,0.1225
234,美濃鎮,0.1514
235,六龜鄉,0.1369
236,甲仙鄉,0.1451
237,杉林鄉,0.1613
238,內門鄉,0.1181
239,茂林鄉,0.0928
240,桃源鄉,0.0666
241,三民鄉,0.0617
242,屏東市,0.0881
243,潮州鎮,0.0893
244,東港鎮,0.0755
245,恆春鎮,0.1197
246,萬丹鄉,0.0882
247,長治鄉,0.1068
248,麟洛鄉,0.102
249,九如鄉,0.0969
250,里港鄉,0.1042
251,鹽埔鄉,0.0953
252,高樹鄉,0.1465
253,萬巒鄉,0.118
254,內埔鄉,0.1193
255,竹田鄉,0.1074
256,新埤鄉,0.14
257,枋寮鄉,0.1084
258,新園鄉,0.0858
259,崁頂鄉,0.0969
260,林邊鄉,0.1122
261,南州鄉,0.1101
262,佳冬鄉,0.1287
263,琉球鄉,0.0788
264,車城鄉,0.1539
265,滿州鄉,0.1491
266,枋山鄉,0.1218
267,三地門鄉,0.1008
268,霧臺鄉,0.1322
269,瑪家鄉,0.0976
270,泰武鄉,0.107
271,來義鄉,0.0873
272,春日鄉,0.0938
273,獅子鄉,0.1024
274,牡丹鄉,0.1195
275,臺東市,0.0995
276,成功鎮,0.1373
277,關山鎮,0.1353
278,卑南鄉,0.15
279,鹿野鄉,0.1398
280,池上鄉,0.1767
281,東河鄉,0.1578
282,長濱鄉,0.1953
283,太麻里鄉,0.1318
284,大武鄉,0.1501
285,綠島鄉,0.0966
286,海端鄉,0.0954
287,延平鄉,0.0946
288,金峰鄉,0.1175
289,達仁鄉,0.134
290,蘭嶼鄉,0.1309
291,花蓮市,0.1003
292,鳳林鎮,0.2027
293,玉里鎮,0.1567
294,新城鄉,0.085
295,吉安鄉,0.0772
296,壽豐鄉,0.1196
297,光復鄉,0.1538
298,豐濱鄉,0.1619
299,瑞穗鄉,0.1411
300,富里鄉,0.1657
301,秀林鄉,0.0719
302,萬榮鄉,0.0684
303,卓溪鄉,0.0919
304,馬公市,0.108
305,湖西鄉,0.1345
306,白沙鄉,0.1904
307,西嶼鄉,0.188
308,望安鄉,0.2109
309,七美鄉,0.204
310,中正區,0.0868
311,七堵區,0.0758
312,暖暖區,0.0882
313,仁愛區,0.1223
314,中山區,0.0929
