town,priv
板橋市,82.94
三重市,78.94
中和市,83.03
永和市,79
新莊市,82.06
新店市,82.67
樹林市,82.24
鶯歌鎮,84.95
三峽鎮,81.04
淡水鎮,76.8
汐止市,83.87
瑞芳鎮,88.07
土城市,81.06
蘆洲市,81.01
五股鄉,78.49
泰山鄉,77.18
林口鄉,81.14
深坑鄉,83.35
石碇鄉,90.42
坪林鄉,91.54
三芝鄉,91.5
石門鄉,86.07
八里鄉,82.83
平溪鄉,82.62
雙溪鄉,79.94
貢寮鄉,83.11
金山鄉,91.81
萬里鄉,90.37
烏來鄉,80.92
宜蘭市,85.31
羅東鎮,84.92
蘇澳鎮,89.35
頭城鎮,89.02
礁溪鄉,90.23
壯圍鄉,92.05
員山鄉,88.58
冬山鄉,92.27
五結鄉,91.11
三星鄉,94.25
大同鄉,84.97
南澳鄉,85.95
桃園市,82.84
中壢市,83.3
大溪鎮,83.21
楊梅鎮,86.96
蘆竹鄉,80.66
大園鄉,84.52
龜山鄉,80.22
八德市,85.31
龍潭鄉,83.98
平鎮市,85.87
新屋鄉,91.82
觀音鄉,87.63
復興鄉,85.78
竹北市,86.63
竹東鎮,88.62
新埔鎮,91.62
關西鎮,92.74
湖口鄉,90.09
新豐鄉,87.25
芎林鄉,89.18
橫山鄉,92.14
北埔鄉,90.05
寶山鄉,88.68
峨眉鄉,91.33
尖石鄉,92.53
五峰鄉,81.22
苗栗市,85.03
苑裡鎮,91.77
通霄鎮,92.67
竹南鎮,89.3
頭份鎮,90
後龍鎮,90.76
卓蘭鎮,89.25
大湖鄉,90.11
公館鄉,91.76
銅鑼鄉,93.52
南庄鄉,83.34
頭屋鄉,92.56
三義鄉,86.5
西湖鄉,94.76
造橋鄉,90.43
三灣鄉,93.3
獅潭鄉,92.25
泰安鄉,92.74
豐原市,76.66
東勢鎮,79.85
大甲鎮,80.92
清水鎮,82.93
沙鹿鎮,83.84
梧棲鎮,84.02
后里鄉,76.5
神岡鄉,81.95
潭子鄉,78.44
大雅鄉,77.11
新社鄉,87.13
石岡鄉,78.04
外埔鄉,79.28
大安鄉,80.81
烏日鄉,80.5
大肚鄉,85.16
龍井鄉,86.56
霧峰鄉,81.19
太平市,77.86
大里市,76.1
和平鄉,73.19
彰化市,84.47
鹿港鎮,91.72
和美鎮,91.07
線西鄉,93.93
伸港鄉,92.48
福興鄉,94.98
秀水鄉,87.64
花壇鄉,90.68
芬園鄉,94.24
員林鎮,85.4
溪湖鎮,89.48
田中鎮,90.25
大村鄉,91.63
埔鹽鄉,96.33
埔心鄉,92.56
永靖鄉,93.21
社頭鄉,93.45
二水鄉,94.3
北斗鎮,90.66
二林鎮,93.79
田尾鄉,92.42
埤頭鄉,93.89
芳苑鄉,97.64
大城鄉,93.68
竹塘鄉,94.99
溪州鄉,96.47
南投市,79.47
埔里鎮,80.71
草屯鎮,86.02
竹山鎮,90.12
集集鎮,80.55
名間鄉,93.3
鹿谷鄉,91.36
中寮鄉,90.44
魚池鄉,88.06
國姓鄉,86.01
水里鄉,82.05
信義鄉,84.82
仁愛鄉,91.76
斗六市,85.42
斗南鎮,91.98
虎尾鎮,86.05
西螺鎮,93.38
土庫鎮,95.23
北港鎮,90.96
古坑鄉,95.35
大埤鄉,96.13
莿桐鄉,94.61
林內鄉,91.57
二崙鄉,95.93
崙背鄉,93.5
麥寮鄉,90.96
東勢鄉,96.1
褒忠鄉,94.01
臺西鄉,94.9
元長鄉,96.08
四湖鄉,97.3
口湖鄉,93.84
水林鄉,97.38
太保市,92.96
朴子市,90.76
布袋鎮,92.26
大林鎮,89.36
民雄鄉,86.47
溪口鄉,95.68
新港鄉,92.77
六腳鄉,96.51
東石鄉,94.77
義竹鄉,94.05
鹿草鄉,94.02
水上鄉,87.36
中埔鄉,90.55
竹崎鄉,92.88
梅山鄉,93.7
番路鄉,90.55
大埔鄉,81.3
阿里山鄉,68.4
新營市,86.74
鹽水鎮,89.97
白河鎮,90.84
柳營鄉,93.88
後壁鄉,94.19
東山鄉,96.13
麻豆鎮,92.87
下營鄉,94.52
六甲鄉,92.25
官田鄉,91.59
大內鄉,94.4
佳里鎮,89.32
學甲鎮,91.16
西港鄉,92.11
七股鄉,91.72
將軍鄉,92.7
北門鄉,75.9
新化鎮,90.02
善化鎮,91.52
新市鄉,89.74
安定鄉,93.01
山上鄉,93.79
玉井鄉,88.19
楠西鄉,91.4
南化鄉,95.67
左鎮鄉,90.98
仁德鄉,82.74
歸仁鄉,87.3
關廟鄉,92.4
龍崎鄉,93.61
永康市,80.28
鳳山市,82.88
林園鄉,90.32
大寮鄉,80.94
大樹鄉,88.35
大社鄉,87.85
仁武鄉,85.31
鳥松鄉,82.59
岡山鎮,77.88
橋頭鄉,87.31
燕巢鄉,91.12
田寮鄉,95.45
阿蓮鄉,92.18
路竹鄉,91.22
湖內鄉,88.57
茄萣鄉,85.82
永安鄉,87.13
彌陀鄉,80.92
梓官鄉,90.46
旗山鎮,86.63
美濃鎮,95.7
六龜鄉,87.57
甲仙鄉,85.63
杉林鄉,86.53
內門鄉,94.77
茂林鄉,93.26
桃源鄉,94.03
三民鄉,91.66
屏東市,79.62
潮州鎮,85.96
東港鎮,83.98
恆春鎮,88.35
萬丹鄉,91.3
長治鄉,91.35
麟洛鄉,89.8
九如鄉,93.34
里港鄉,88.45
鹽埔鄉,95.14
高樹鄉,86.4
萬巒鄉,94.91
內埔鄉,88.85
竹田鄉,94.17
新埤鄉,95.58
枋寮鄉,89.28
新園鄉,95.63
崁頂鄉,91.75
林邊鄉,86.37
南州鄉,94.17
佳冬鄉,93.19
琉球鄉,78.28
車城鄉,91.06
滿州鄉,93.91
枋山鄉,88.96
三地門鄉,96.65
霧臺鄉,97.16
瑪家鄉,83.57
泰武鄉,93.46
來義鄉,89.37
春日鄉,87.18
獅子鄉,91.73
牡丹鄉,89
臺東市,78.94
成功鎮,88.26
關山鎮,82.16
卑南鄉,86.89
鹿野鄉,87.23
池上鄉,84.6
東河鄉,90.96
長濱鄉,94.35
太麻里鄉,91.41
大武鄉,87.56
綠島鄉,82.7
海端鄉,87.6
延平鄉,94.26
金峰鄉,88.69
達仁鄉,94.01
蘭嶼鄉,95.82
花蓮市,74.99
鳳林鎮,85.28
玉里鎮,88.02
新城鄉,77.1
吉安鄉,85.45
壽豐鄉,81.4
光復鄉,90.59
豐濱鄉,92.23
瑞穗鄉,87.57
富里鄉,87.9
秀林鄉,86.6
萬榮鄉,78.74
卓溪鄉,93.15
馬公市,86.61
湖西鄉,91.57
白沙鄉,91.96
西嶼鄉,91.58
望安鄉,88.42
七美鄉,92.56
中正區,69.17
七堵區,87.52
暖暖區,84.09
仁愛區,85.32
中山區,72.58
安樂區,88.52
信義區,76.4
東區,75.98
北區,75.69
香山區,83.25
中區,64.16
東區,75.98
南區,79.05
西區,78.45
北區,75.69
西屯區,70.67
南屯區,79.52
北屯區,78.24
東區,75.98
西區,78.45
東區,75.98
南區,79.05
西區,78.45
北區,75.69
中區,64.16
安南區,85.09
安平區,81.33
松山區,76.36
信義區,76.4
大安區,77.78
中山區,72.58
中正區,69.17
大同區,75.19
萬華區,73.03
文山區,78.25
南港區,75.78
內湖區,78.34
士林區,75.45
北投區,76.94
鹽埕區,73.45
鼓山區,81.84
左營區,73.78
楠梓區,81.7
三民區,78.36
新興區,76
前金區,72.47
苓雅區,76.07
前鎮區,77
旗津區,82.31
小港區,83.85
