OBJECTID,town,unmarried
1,板橋市,111.7323
2,三重市,111.2842
3,中和市,109.7627
4,永和市,103.4065
5,新莊市,110.3159
6,新店市,108.849
7,樹林市,120.655
8,鶯歌鎮,123.9395
9,三峽鎮,127.3823
10,淡水鎮,115.196
11,汐止市,112.9273
12,瑞芳鎮,134.6694
13,土城市,118.3795
14,蘆洲市,112.7376
15,五股鄉,124.1503
16,泰山鄉,135.306
17,林口鄉,112.7108
18,深坑鄉,128.7587
19,石碇鄉,143.9171
20,坪林鄉,148.191
21,三芝鄉,140.6277
22,石門鄉,151.0687
23,八里鄉,123.8032
24,平溪鄉,159.4241
25,雙溪鄉,137.4582
26,貢寮鄉,154.2711
27,金山鄉,125.5558
28,萬里鄉,159.0338
29,烏來鄉,125.6798
30,宜蘭市,136.8196
31,羅東鎮,111.9062
32,蘇澳鎮,168.4468
33,頭城鎮,132.8362
34,礁溪鄉,117.4168
35,壯圍鄉,122.6264
36,員山鄉,144.8382
37,冬山鄉,120.1322
38,五結鄉,124.5202
39,三星鄉,166.8367
40,大同鄉,141.7989
41,南澳鄉,142.5
42,桃園市,116.6388
43,中壢市,130.3176
44,大溪鎮,144.3414
45,楊梅鎮,130.473
46,蘆竹鄉,126.5113
47,大園鄉,145.8973
48,龜山鄉,122.7717
49,八德市,134.2783
50,龍潭鄉,145.1218
51,平鎮市,132.795
52,新屋鄉,139.3193
53,觀音鄉,166.8157
54,復興鄉,136.3436
55,竹北市,115.7152
56,竹東鎮,117.4466
57,新埔鎮,130.7236
58,關西鎮,170.0422
59,湖口鄉,160.4806
60,新豐鄉,142.3393
61,芎林鄉,122.7848
62,橫山鄉,134.9653
63,北埔鄉,134.7305
64,寶山鄉,128.5022
65,峨眉鄉,126.5182
66,尖石鄉,146.7376
67,五峰鄉,143.6813
68,苗栗市,131.3179
69,苑裡鎮,121.872
70,通霄鎮,128.887
71,竹南鎮,119.9841
72,頭份鎮,127.8909
73,後龍鎮,103.8748
74,卓蘭鎮,128.6028
75,大湖鄉,124.6423
76,公館鄉,124.0235
77,銅鑼鄉,133.5251
78,南庄鄉,151.8393
79,頭屋鄉,121.6411
80,三義鄉,135.8606
81,西湖鄉,150.6762
82,造橋鄉,100.0822
83,三灣鄉,131.0767
84,獅潭鄉,141.0842
85,泰安鄉,147.1471
86,豐原市,115.6103
87,東勢鎮,130.9016
88,大甲鎮,117.1471
89,清水鎮,125.3184
90,沙鹿鎮,100.459
91,梧棲鎮,117.2441
92,后里鄉,153.3714
93,神岡鄉,129.5093
94,潭子鄉,108.8145
95,大雅鄉,161.1488
96,新社鄉,209.8285
97,石岡鄉,130.78
98,外埔鄉,122.1515
99,大安鄉,130.1451
100,烏日鄉,150.6034
101,大肚鄉,120.4275
102,龍井鄉,116.9653
103,霧峰鄉,111.4804
104,太平市,122.6001
105,大里市,119.2532
106,和平鄉,167.6892
107,彰化市,115.0981
108,鹿港鎮,121.3534
109,和美鎮,119.9478
110,線西鄉,123.7161
111,伸港鄉,129.6047
112,福興鄉,118.8065
113,秀水鄉,121.3656
114,花壇鄉,121.0001
115,芬園鄉,134.2646
116,員林鎮,118.4191
117,溪湖鎮,118.3806
118,田中鎮,139.9257
119,大村鄉,132.8864
120,埔鹽鄉,121.618
121,埔心鄉,122.9912
122,永靖鄉,124.4145
123,社頭鄉,114.5777
124,二水鄉,128.9096
125,北斗鎮,118.8096
126,二林鎮,129.1191
127,田尾鄉,121.279
128,埤頭鄉,126.2526
129,芳苑鄉,138.8613
130,大城鄉,139.3671
131,竹塘鄉,122.3466
132,溪州鄉,124.6956
133,南投市,126.9883
134,埔里鎮,120.2332
135,草屯鎮,117.1711
136,竹山鎮,123.6898
137,集集鎮,184.3039
138,名間鄉,126.4521
139,鹿谷鄉,124.9004
140,中寮鄉,137.1767
141,魚池鄉,127.9693
142,國姓鄉,137.6454
143,水里鄉,125.4479
144,信義鄉,133.4433
145,仁愛鄉,134.7284
146,斗六市,114.454
147,斗南鎮,120.4134
148,虎尾鎮,147.9352
149,西螺鎮,107.7055
150,土庫鎮,120.2174
151,北港鎮,124.1279
152,古坑鄉,129.6467
153,大埤鄉,136.3859
154,莿桐鄉,126.7291
155,林內鄉,133.8544
156,二崙鄉,124.2634
157,崙背鄉,128.4308
158,麥寮鄉,217.7621
159,東勢鄉,127.7591
160,褒忠鄉,142.0301
161,臺西鄉,132.6235
162,元長鄉,132.1406
163,四湖鄉,135.0358
164,口湖鄉,127.6795
165,水林鄉,133.801
