OBJECTID,town,women
1,板橋市,0.6341
2,三重市,0.6265
3,中和市,0.6355
4,永和市,0.6151
5,新莊市,0.6514
6,新店市,0.615
7,樹林市,0.6234
8,鶯歌鎮,0.6124
9,三峽鎮,0.5881
10,淡水鎮,0.6564
11,汐止市,0.6339
12,瑞芳鎮,0.525
13,土城市,0.6478
14,蘆洲市,0.6348
15,五股鄉,0.6239
16,泰山鄉,0.6479
17,林口鄉,0.6184
18,深坑鄉,0.6225
19,石碇鄉,0.5656
20,坪林鄉,0.4638
21,三芝鄉,0.572
22,石門鄉,0.538
23,八里鄉,0.6116
24,平溪鄉,0.4177
25,雙溪鄉,0.4646
26,貢寮鄉,0.4779
27,金山鄉,0.5473
28,萬里鄉,0.5389
29,烏來鄉,0.5956
30,宜蘭市,0.5661
31,羅東鎮,0.5534
32,蘇澳鎮,0.5325
33,頭城鎮,0.5501
34,礁溪鄉,0.5336
35,壯圍鄉,0.5277
36,員山鄉,0.5218
37,冬山鄉,0.5531
38,五結鄉,0.5463
39,三星鄉,0.5052
40,大同鄉,0.527
41,南澳鄉,0.5177
42,桃園市,0.6176
43,中壢市,0.6245
44,大溪鎮,0.5721
45,楊梅鎮,0.5941
46,蘆竹鄉,0.6332
47,大園鄉,0.5852
48,龜山鄉,0.6841
49,八德市,0.6218
50,龍潭鄉,0.6023
51,平鎮市,0.6237
52,新屋鄉,0.5133
53,觀音鄉,0.5426
54,復興鄉,0.5253
55,竹北市,0.5883
56,竹東鎮,0.5574
57,新埔鎮,0.5375
58,關西鎮,0.5017
59,湖口鄉,0.5917
60,新豐鄉,0.5902
61,芎林鄉,0.5481
62,橫山鄉,0.4775
63,北埔鄉,0.4732
64,寶山鄉,0.5166
65,峨眉鄉,0.4419
66,尖石鄉,0.5328
67,五峰鄉,0.5435
68,苗栗市,0.5503
69,苑裡鎮,0.521
70,通霄鎮,0.497
71,竹南鎮,0.5765
72,頭份鎮,0.568
73,後龍鎮,0.5591
74,卓蘭鎮,0.513
75,大湖鄉,0.4667
76,公館鄉,0.5137
77,銅鑼鄉,0.4991
78,南庄鄉,0.4361
79,頭屋鄉,0.5072
80,三義鄉,0.5292
81,西湖鄉,0.4404
82,造橋鄉,0.5968
83,三灣鄉,0.4651
84,獅潭鄉,0.4026
85,泰安鄉,0.4864
86,豐原市,0.5868
87,東勢鎮,0.5379
88,大甲鎮,0.5638
89,清水鎮,0.5651
90,沙鹿鎮,0.618
91,梧棲鎮,0.5909
92,后里鄉,0.5662
93,神岡鄉,0.5864
94,潭子鄉,0.6239
95,大雅鄉,0.6036
96,新社鄉,0.5323
97,石岡鄉,0.5499
98,外埔鄉,0.5649
99,大安鄉,0.5221
100,烏日鄉,0.5914
101,大肚鄉,0.5872
102,龍井鄉,0.5881
103,霧峰鄉,0.5944
104,太平市,0.6144
105,大里市,0.6271
106,和平鄉,0.5341
107,彰化市,0.5926
108,鹿港鎮,0.5528
109,和美鎮,0.5829
110,線西鄉,0.5494
111,伸港鄉,0.5619
112,福興鄉,0.5613
113,秀水鄉,0.5579
114,花壇鄉,0.5665
115,芬園鄉,0.5241
116,員林鎮,0.5744
117,溪湖鎮,0.5405
118,田中鎮,0.5403
119,大村鄉,0.5974
120,埔鹽鄉,0.5158
121,埔心鄉,0.5491
122,永靖鄉,0.5368
123,社頭鄉,0.5473
124,二水鄉,0.4894
125,北斗鎮,0.5478
126,二林鎮,0.5006
127,田尾鄉,0.5114
128,埤頭鄉,0.506
129,芳苑鄉,0.4866
130,大城鄉,0.448
131,竹塘鄉,0.4705
132,溪州鄉,0.4935
133,南投市,0.5562
134,埔里鎮,0.555
135,草屯鎮,0.561
136,竹山鎮,0.5185
137,集集鎮,0.4573
138,名間鄉,0.5043
139,鹿谷鄉,0.4711
140,中寮鄉,0.4619
141,魚池鄉,0.4803
142,國姓鄉,0.4822
143,水里鄉,0.5006
144,信義鄉,0.5111
145,仁愛鄉,0.5394
146,斗六市,0.59
147,斗南鎮,0.5233
148,虎尾鎮,0.5439
149,西螺鎮,0.4952
150,土庫鎮,0.4937
151,北港鎮,0.5129
152,古坑鄉,0.4932
153,大埤鄉,0.498
154,莿桐鄉,0.536
155,林內鄉,0.5177
156,二崙鄉,0.4718
157,崙背鄉,0.5101
158,麥寮鄉,0.5207
159,東勢鄉,0.4698
160,褒忠鄉,0.4963
161,臺西鄉,0.4791
162,元長鄉,0.464
163,四湖鄉,0.4623
164,口湖鄉,0.4884
165,水林鄉,0.4425
166,太保市,0.5274
167,朴子市,0.5045
168,布袋鎮,0.4935
169,大林鎮,0.5207
170,民雄鄉,0.5963
171,溪口鄉,0.4652
172,新港鄉,0.4894
173,六腳鄉,0.4389
174,東石鄉,0.4684
175,義竹鄉,0.4473
176,鹿草鄉,0.4391
177,水上鄉,0.5587
178,中埔鄉,0.5468
179,竹崎鄉,0.518
180,梅山鄉,0.486
181,番路鄉,0.5058
182,大埔鄉,0.5246
183,阿里山鄉,0.537
184,新營市,0.5548
185,鹽水鎮,0.5042
186,白河鎮,0.4718
187,柳營鄉,0.54
188,後壁鄉,0.4756
189,東山鄉,0.4604
190,麻豆鎮,0.539
191,下營鄉,0.4989
192,六甲鄉,0.5132
193,官田鄉,0.5464
194,大內鄉,0.4843
195,佳里鎮,0.5572
196,學甲鎮,0.5411
197,西港鄉,0.5374
198,七股鄉,0.4714
199,將軍鄉,0.494
200,北門鄉,0.5088
201,新化鎮,0.5666
202,善化鎮,0.5335
203,新市鄉,0.6135
204,安定鄉,0.5411
205,山上鄉,0.5185
206,玉井鄉,0.4926
207,楠西鄉,0.4917
208,南化鄉,0.4804
209,左鎮鄉,0.4291
210,仁德鄉,0.6396
211,歸仁鄉,0.6254
212,關廟鄉,0.5586
213,龍崎鄉,0.4428
214,永康市,0.6452
215,鳳山市,0.6207
216,林園鄉,0.592
217,大寮鄉,0.6245
218,大樹鄉,0.5882
219,大社鄉,0.613
220,仁武鄉,0.6174
221,鳥松鄉,0.6109
222,岡山鎮,0.5762
223,橋頭鄉,0.5779
224,燕巢鄉,0.6172
225,田寮鄉,0.4472
226,阿蓮鄉,0.5575
227,路竹鄉,0.5867
228,湖內鄉,0.6018
229,茄萣鄉,0.5701
230,永安鄉,0.5794
231,彌陀鄉,0.5658
232,梓官鄉,0.5946
233,旗山鎮,0.5386
234,美濃鎮,0.4716
235,六龜鄉,0.4999
236,甲仙鄉,0.5161
237,杉林鄉,0.4676
238,內門鄉,0.5722
239,茂林鄉,0.5132
240,桃源鄉,0.5728
241,三民鄉,0.5446
242,屏東市,0.5911
243,潮州鎮,0.5603
244,東港鎮,0.5681
245,恆春鎮,0.5199
246,萬丹鄉,0.5584
247,長治鄉,0.5617
248,麟洛鄉,0.5833
249,九如鄉,0.5475
250,里港鄉,0.5277
251,鹽埔鄉,0.5692
252,高樹鄉,0.4856
253,萬巒鄉,0.5155
254,內埔鄉,0.5757
255,竹田鄉,0.5192
256,新埤鄉,0.4985
257,枋寮鄉,0.5346
258,新園鄉,0.5552
259,崁頂鄉,0.5393
260,林邊鄉,0.5395
261,南州鄉,0.5311
262,佳冬鄉,0.5095
263,琉球鄉,0.552
264,車城鄉,0.4618
265,滿州鄉,0.4748
266,枋山鄉,0.4991
267,三地門鄉,0.5465
268,霧臺鄉,0.5301
269,瑪家鄉,0.562
270,泰武鄉,0.5314
271,來義鄉,0.563
272,春日鄉,0.5345
273,獅子鄉,0.5401
274,牡丹鄉,0.523
275,臺東市,0.5511
276,成功鎮,0.4766
277,關山鎮,0.4833
278,卑南鄉,0.5052
279,鹿野鄉,0.4557
280,池上鄉,0.4452
281,東河鄉,0.4361
282,長濱鄉,0.3788
283,太麻里鄉,0.4972
284,大武鄉,0.4731
285,綠島鄉,0.5045
286,海端鄉,0.4674
287,延平鄉,0.5022
288,金峰鄉,0.4955
289,達仁鄉,0.4828
290,蘭嶼鄉,0.4841
291,花蓮市,0.5916
292,鳳林鎮,0.451
293,玉里鎮,0.4774
294,新城鄉,0.6149
295,吉安鄉,0.6068
296,壽豐鄉,0.6111
297,光復鄉,0.4475
298,豐濱鄉,0.4086
299,瑞穗鄉,0.466
300,富里鄉,0.4305
301,秀林鄉,0.5286
302,萬榮鄉,0.491
303,卓溪鄉,0.4785
304,馬公市,0.5294
305,湖西鄉,0.4341
306,白沙鄉,0.3967
307,西嶼鄉,0.4012
308,望安鄉,0.3933
309,七美鄉,0.3764
310,中正區,0.5945
311,七堵區,0.5944
312,暖暖區,0.5865
313,仁愛區,0.5452
314,中山區,0.5831
315,安樂區,0.6072
