town,xiao
板橋市,29.96
三重市,33.99
中和市,26.25
永和市,22.28
新莊市,30.78
新店市,23.53
樹林市,32.6
鶯歌鎮,33.81
三峽鎮,35.24
淡水鎮,24.74
汐止市,27.17
瑞芳鎮,37.16
土城市,31.2
蘆洲市,35.41
五股鄉,33.28
泰山鄉,28.53
林口鄉,30.56
深坑鄉,29.16
石碇鄉,32.68
坪林鄉,41.08
三芝鄉,32.92
石門鄉,40.03
八里鄉,31.41
平溪鄉,37.15
雙溪鄉,34.56
貢寮鄉,37.45
金山鄉,39.44
萬里鄉,38.5
烏來鄉,37.15
宜蘭市,29.98
羅東鎮,32.9
蘇澳鎮,34.27
頭城鎮,33.9
礁溪鄉,38.75
壯圍鄉,39.01
員山鄉,33.91
冬山鄉,36.98
五結鄉,39.42
三星鄉,37.3
大同鄉,45.54
南澳鄉,47.01
桃園市,27.75
中壢市,25.98
大溪鎮,33.8
楊梅鎮,28.67
蘆竹鄉,27.12
大園鄉,30.3
龜山鄉,24.25
八德市,32.14
龍潭鄉,29.4
平鎮市,28.86
新屋鄉,34.59
觀音鄉,30.81
復興鄉,47.07
竹北市,31.28
竹東鎮,33.37
新埔鎮,36.25
關西鎮,36.52
湖口鄉,27.51
新豐鄉,29.85
芎林鄉,33.16
橫山鄉,42.64
北埔鄉,39.18
寶山鄉,36.01
峨眉鄉,38.72
尖石鄉,49.1
五峰鄉,47.63
苗栗市,29.53
苑裡鎮,43.86
通霄鎮,42.67
竹南鎮,32.51
頭份鎮,32.19
後龍鎮,38.79
卓蘭鎮,40.56
大湖鄉,42.25
公館鄉,38.99
銅鑼鄉,36.98
南庄鄉,46.66
頭屋鄉,38.4
三義鄉,37.96
西湖鄉,40.6
造橋鄉,35.2
三灣鄉,44.33
獅潭鄉,44.38
泰安鄉,45.34
豐原市,33.16
東勢鎮,35.74
大甲鎮,35.79
清水鎮,36.22
沙鹿鎮,33.65
梧棲鎮,35.47
后里鄉,33.53
神岡鄉,36.09
潭子鄉,31.38
大雅鄉,31.35
新社鄉,32.06
石岡鄉,35.79
外埔鄉,37.51
大安鄉,41.39
烏日鄉,31.39
大肚鄉,35.46
龍井鄉,33.98
霧峰鄉,31.32
太平市,32.13
大里市,30.68
和平鄉,37.27
彰化市,31.75
鹿港鎮,40.49
和美鎮,38.36
線西鄉,39.44
伸港鄉,37.84
福興鄉,37.54
秀水鄉,36.39
花壇鄉,38.7
芬園鄉,35.35
員林鎮,33.56
溪湖鎮,37.28
田中鎮,37.19
大村鄉,32.14
埔鹽鄉,38.86
埔心鄉,38.99
永靖鄉,39.46
社頭鄉,37.02
二水鄉,39.27
北斗鎮,37.13
二林鎮,34.2
田尾鄉,38.95
埤頭鄉,38.64
芳苑鄉,32.85
大城鄉,29.72
竹塘鄉,39.2
溪州鄉,36.14
南投市,31.48
埔里鎮,37.75
