OBJECTID,town,young
1,板橋市,0.2044
2,三重市,0.2057
3,中和市,0.1904
4,永和市,0.1833
5,新莊市,0.233
6,新店市,0.1891
7,樹林市,0.2434
8,鶯歌鎮,0.2366
9,三峽鎮,0.2559
10,淡水鎮,0.1898
11,汐止市,0.2161
12,瑞芳鎮,0.2034
13,土城市,0.2412
14,蘆洲市,0.2546
15,五股鄉,0.2407
16,泰山鄉,0.2113
17,林口鄉,0.2429
18,深坑鄉,0.2132
19,石碇鄉,0.1261
20,坪林鄉,0.1512
21,三芝鄉,0.2115
22,石門鄉,0.1812
23,八里鄉,0.2354
24,平溪鄉,0.1336
25,雙溪鄉,0.1262
26,貢寮鄉,0.1611
27,金山鄉,0.2185
28,萬里鄉,0.1802
29,烏來鄉,0.2085
30,宜蘭市,0.2108
31,羅東鎮,0.2275
32,蘇澳鎮,0.1934
33,頭城鎮,0.2024
34,礁溪鄉,0.2234
35,壯圍鄉,0.2322
36,員山鄉,0.2325
37,冬山鄉,0.2184
38,五結鄉,0.2239
39,三星鄉,0.1849
40,大同鄉,0.2507
41,南澳鄉,0.2624
42,桃園市,0.2419
43,中壢市,0.2165
44,大溪鎮,0.2218
45,楊梅鎮,0.2388
46,蘆竹鄉,0.2376
47,大園鄉,0.2332
48,龜山鄉,0.1843
49,八德市,0.2279
50,龍潭鄉,0.2261
51,平鎮市,0.2297
52,新屋鄉,0.2293
53,觀音鄉,0.2254
54,復興鄉,0.2477
55,竹北市,0.2528
56,竹東鎮,0.2421
57,新埔鎮,0.2141
58,關西鎮,0.1999
59,湖口鄉,0.2148
60,新豐鄉,0.2356
61,芎林鄉,0.2304
62,橫山鄉,0.2154
63,北埔鄉,0.2269
64,寶山鄉,0.2492
65,峨眉鄉,0.1881
66,尖石鄉,0.2628
67,五峰鄉,0.2276
68,苗栗市,0.2084
69,苑裡鎮,0.234
70,通霄鎮,0.2158
71,竹南鎮,0.2309
72,頭份鎮,0.226
73,後龍鎮,0.2025
74,卓蘭鎮,0.2012
75,大湖鄉,0.2095
76,公館鄉,0.2365
77,銅鑼鄉,0.2157
78,南庄鄉,0.1901
79,頭屋鄉,0.2074
80,三義鄉,0.2289
81,西湖鄉,0.1953
82,造橋鄉,0.1948
83,三灣鄉,0.209
84,獅潭鄉,0.1702
85,泰安鄉,0.2062
86,豐原市,0.2313
87,東勢鎮,0.2042
88,大甲鎮,0.241
89,清水鎮,0.2235
90,沙鹿鎮,0.2279
91,梧棲鎮,0.2378
92,后里鄉,0.2071
93,神岡鄉,0.2342
94,潭子鄉,0.2437
95,大雅鄉,0.2407
96,新社鄉,0.1753
97,石岡鄉,0.1969
98,外埔鄉,0.2385
99,大安鄉,0.2273
100,烏日鄉,0.2168
101,大肚鄉,0.2389
102,龍井鄉,0.2505
103,霧峰鄉,0.2201
104,太平市,0.238
105,大里市,0.2393
106,和平鄉,0.1715
107,彰化市,0.2251
108,鹿港鎮,0.237
109,和美鎮,0.2321
110,線西鄉,0.2339
111,伸港鄉,0.2406
112,福興鄉,0.2295
113,秀水鄉,0.2414
114,花壇鄉,0.2336
115,芬園鄉,0.2114
116,員林鎮,0.2287
117,溪湖鎮,0.2441
118,田中鎮,0.2067
119,大村鄉,0.2031
120,埔鹽鄉,0.223
121,埔心鄉,0.2237
122,永靖鄉,0.2256
123,社頭鄉,0.2296
124,二水鄉,0.18
125,北斗鎮,0.2256
126,二林鎮,0.2186
127,田尾鄉,0.2258
128,埤頭鄉,0.211
129,芳苑鄉,0.1786
130,大城鄉,0.1648
131,竹塘鄉,0.182
132,溪州鄉,0.2006
133,南投市,0.2232
134,埔里鎮,0.2103
135,草屯鎮,0.2247
136,竹山鎮,0.2079
137,集集鎮,0.1829
138,名間鄉,0.222
139,鹿谷鄉,0.2026
140,中寮鄉,0.1777
141,魚池鄉,0.194
142,國姓鄉,0.2036
143,水里鄉,0.1916
144,信義鄉,0.2688
145,仁愛鄉,0.2338
146,斗六市,0.2171
147,斗南鎮,0.2173
148,虎尾鎮,0.1937
149,西螺鎮,0.2264
150,土庫鎮,0.2019
151,北港鎮,0.1989
152,古坑鄉,0.2034
153,大埤鄉,0.2023
154,莿桐鄉,0.2077
155,林內鄉,0.215
156,二崙鄉,0.1916
157,崙背鄉,0.1861
158,麥寮鄉,0.1745
159,東勢鄉,0.1826
160,褒忠鄉,0.1988
161,臺西鄉,0.1918
162,元長鄉,0.1748
163,四湖鄉,0.1723
164,口湖鄉,0.1952
165,水林鄉,0.1757
166,太保市,0.2364
167,朴子市,0.2071
168,布袋鎮,0.1856
169,大林鎮,0.1782
170,民雄鄉,0.2043
171,溪口鄉,0.1919
172,新港鄉,0.2052
173,六腳鄉,0.1695
174,東石鄉,0.1561
175,義竹鄉,0.1724
176,鹿草鄉,0.1474
177,水上鄉,0.1873
178,中埔鄉,0.2157
179,竹崎鄉,0.2034
180,梅山鄉,0.2017
181,番路鄉,0.204
182,大埔鄉,0.1656
183,阿里山鄉,0.2027
184,新營市,0.2128
185,鹽水鎮,0.1895
186,白河鎮,0.1675
187,柳營鄉,0.1919
188,後壁鄉,0.1723
189,東山鄉,0.1766
190,麻豆鎮,0.1923
191,下營鄉,0.1902
192,六甲鄉,0.2041
193,官田鄉,0.1653
194,大內鄉,0.134
195,佳里鎮,0.2093
196,學甲鎮,0.1934
197,西港鄉,0.2179
198,七股鄉,0.177
199,將軍鄉,0.1677
200,北門鄉,0.1731
201,新化鎮,0.1899
202,善化鎮,0.2041
203,新市鄉,0.2146
204,安定鄉,0.2123
205,山上鄉,0.176
206,玉井鄉,0.1887
207,楠西鄉,0.1806
208,南化鄉,0.1749
209,左鎮鄉,0.1403
210,仁德鄉,0.1878
211,歸仁鄉,0.199
212,關廟鄉,0.1951
213,龍崎鄉,0.1143
214,永康市,0.2216
215,鳳山市,0.2047
216,林園鄉,0.2166
217,大寮鄉,0.2043
218,大樹鄉,0.1995
219,大社鄉,0.215
220,仁武鄉,0.2162
221,鳥松鄉,0.1924
222,岡山鎮,0.2019
223,橋頭鄉,0.1967
224,燕巢鄉,0.1618
225,田寮鄉,0.1443
226,阿蓮鄉,0.2094
227,路竹鄉,0.2027
228,湖內鄉,0.194
229,茄萣鄉,0.2013
230,永安鄉,0.2004
231,彌陀鄉,0.2071
232,梓官鄉,0.2053
233,旗山鎮,0.1751
234,美濃鎮,0.1911
235,六龜鄉,0.188
236,甲仙鄉,0.1803
237,杉林鄉,0.1695
238,內門鄉,0.1641
239,茂林鄉,0.2515
240,桃源鄉,0.2629
241,三民鄉,0.2949
242,屏東市,0.2035
243,潮州鎮,0.2184
244,東港鎮,0.2257
245,恆春鎮,0.2115
246,萬丹鄉,0.2262
247,長治鄉,0.2072
248,麟洛鄉,0.1855
249,九如鄉,0.2206
250,里港鄉,0.219
251,鹽埔鄉,0.2138
252,高樹鄉,0.1775
253,萬巒鄉,0.1775
254,內埔鄉,0.1913
255,竹田鄉,0.1639
256,新埤鄉,0.1837
257,枋寮鄉,0.1964
258,新園鄉,0.224
259,崁頂鄉,0.2233
260,林邊鄉,0.1967
261,南州鄉,0.1875
262,佳冬鄉,0.1953
263,琉球鄉,0.1871
264,車城鄉,0.1708
265,滿州鄉,0.1631
266,枋山鄉,0.1819
267,三地門鄉,0.2091
268,霧臺鄉,0.138
269,瑪家鄉,0.2034
270,泰武鄉,0.2298
271,來義鄉,0.2394
272,春日鄉,0.2182
273,獅子鄉,0.2254
274,牡丹鄉,0.1945
275,臺東市,0.2104
276,成功鎮,0.2085
277,關山鎮,0.2256
278,卑南鄉,0.1729
279,鹿野鄉,0.2008
280,池上鄉,0.2018
281,東河鄉,0.1403
282,長濱鄉,0.1956
283,太麻里鄉,0.2061
284,大武鄉,0.2224
285,綠島鄉,0.1682
286,海端鄉,0.3052
287,延平鄉,0.2542
288,金峰鄉,0.2736
289,達仁鄉,0.244
290,蘭嶼鄉,0.2577
291,花蓮市,0.1958
292,鳳林鎮,0.1778
293,玉里鎮,0.187
294,新城鄉,0.1547
295,吉安鄉,0.2099
296,壽豐鄉,0.1579
297,光復鄉,0.2027
298,豐濱鄉,0.1952
299,瑞穗鄉,0.2112
300,富里鄉,0.1961
301,秀林鄉,0.2715
302,萬榮鄉,0.3003
303,卓溪鄉,0.2726
304,馬公市,0.1894
305,湖西鄉,0.1266
306,白沙鄉,0.1902
307,西嶼鄉,0.1713
308,望安鄉,0.1268
309,七美鄉,0.2344
310,中正區,0.1784
311,七堵區,0.2171
312,暖暖區,0.2326
313,仁愛區,0.1813
314,中山區,0.203
315,安樂區,0.2249
316,信義區,0.2024
317,東區,0.2021
318,北區,0.2104
319,香山區,0.2188
320,中區,0.1993
321,東區,0.2088
322,南區,0.2229
323,西區,0.2154
324,北區,0.2085
325,西屯區,0.2298
326,南屯區,0.2393
327,北屯區,0.2423
328,東區,0.2074
329,西區,0.2228
330,東區,0.2097
331,南區,0.1897
332,西區,0.1787
333,北區,0.1898
334,中區,0.1963
335,安南區,0.2297
336,安平區,0.2365
337,松山區,0.1884
338,信義區,0.1812
339,大安區,0.1696
340,中山區,0.1683
341,中正區,0.1854
342,大同區,0.1824
343,萬華區,0.1764
344,文山區,0.1939
345,南港區,0.1984
346,內湖區,0.2206
347,士林區,0.1891
348,北投區,0.19
349,鹽埕區,0.1723
350,鼓山區,0.1798
351,左營區,0.194
352,楠梓區,0.2171
353,三民區,0.207
354,新興區,0.1682
355,前金區,0.1621
356,苓雅區,0.1823
357,前鎮區,0.1981
358,旗津區,0.1845
359,小港區,0.22
