town,chu
板橋區,14.26
三重區,17.39
中和區,12.79
永和區,9.98
新莊區,16.66
新店區,11.1
樹林區,15.98
鶯歌區,18.78
三峽區,18.53
淡水區,12.37
汐止區,11.09
瑞芳區,21.38
土城區,17.45
蘆洲區,16.95
五股區,17.7
泰山區,12.41
林口區,11.84
深坑區,13.48
石碇區,17.6
坪林區,20.13
三芝區,22.61
石門區,26.58
八里區,19.57
平溪區,22.97
雙溪區,21.91
貢寮區,23.26
金山區,22.91
萬里區,22.29
烏來區,20.26
松山區,6.75
信義區,8.65
大安區,5.85
中山區,8.42
中正區,8.24
大同區,11.42
萬華區,13.56
文山區,7.52
南港區,10.33
內湖區,7.66
士林區,10.32
北投區,9.31
七堵區,17.02
暖暖區,13.78
仁愛區,14.89
中山區,16.73
安樂區,15.41
信義區,14.77
東區,8.83
北區,13.76
香山區,14.37
宜蘭市,16.2
羅東鎮,16.53
蘇澳鎮,21.14
頭城鎮,26.36
礁溪鄉,22.38
壯圍鄉,25.43
員山鄉,24.91
冬山鄉,21.38
五結鄉,23.01
三星鄉,25.91
大同鄉,37.7
南澳鄉,24.72
桃園市,11.99
中壢市,11.21
大溪鎮,18.93
楊梅市,13.59
蘆竹鄉,14.17
大園鄉,18.67
龜山鄉,14.21
八德市,16.51
龍潭鄉,14.11
平鎮市,14.34
新屋鄉,16.67
觀音鄉,18.76
復興鄉,30.34
竹北市,9.13
竹東鎮,13.33
新埔鎮,15.59
關西鎮,16.1
湖口鄉,12.14
新豐鄉,13.34
芎林鄉,14.1
橫山鄉,17.44
北埔鄉,18.85
寶山鄉,15.61
峨眉鄉,17.6
尖石鄉,30.33
五峰鄉,34.52
中區,14.34
東區,13.03
南區,9.26
西區,9.38
北區,10.81
西屯區,10.05
南屯區,11.25
北屯區,10.88
豐原區,15.37
東勢區,19.33
大甲區,17.69
清水區,17.6
沙鹿區,14.17
梧棲區,16.13
后里區,17.26
神岡區,17.74
潭子區,15
大雅區,14.34
新社區,16.19
石岡區,19.81
外埔區,20.56
大安區,20.48
烏日區,13.58
大肚區,15.42
龍井區,17.66
霧峰區,14.78
太平區,17.27
大里區,14.85
和平區,26.76
苗栗市,14.19
苑裡鎮,24.11
通霄鎮,21.95
竹南鎮,14.73
頭份鎮,15.4
後龍鎮,19.73
卓蘭鎮,21.83
大湖鄉,22.09
公館鄉,15.97
銅鑼鄉,18.33
南庄鄉,26.35
頭屋鄉,18.15
三義鄉,17.51
西湖鄉,19.3
造橋鄉,14.14
三灣鄉,18.21
獅潭鄉,20.66
泰安鄉,33.19
彰化市,13.36
鹿港鎮,19.41
和美鎮,17.83
線西鄉,20.68
伸港鄉,21.94
福興鄉,21.84
秀水鄉,20.11
花壇鄉,18.82
芬園鄉,18.98
員林鎮,13.64
溪湖鎮,19.35
田中鎮,16.24
大村鄉,17.54
埔鹽鄉,19.6
埔心鄉,18.79
永靖鄉,16.12
社頭鄉,17.66
二水鄉,18.02
北斗鎮,17.3
二林鎮,22.57
田尾鄉,17.58
埤頭鄉,18.25
芳苑鄉,23.43
大城鄉,22.53
竹塘鄉,20.94
溪州鄉,23.17
南投市,16.69
埔里鎮,19.79
草屯鎮,16.68
竹山鎮,22.34
集集鎮,18.11
名間鄉,20.17
鹿谷鄉,21.78
中寮鄉,22.92
魚池鄉,24.15
國姓鄉,25.95
水里鄉,24
信義鄉,31.82
仁愛鄉,24.88
斗六市,15.05
斗南鎮,17.09
虎尾鎮,17.5
西螺鎮,23.58
土庫鎮,20.92
北港鎮,20.87
古坑鄉,19.43
大埤鄉,17.94
莿桐鄉,21.93
林內鄉,18.16
二崙鄉,24.19
崙背鄉,24.17
麥寮鄉,23.85
東勢鄉,22.35
褒忠鄉,20.68
臺西鄉,20.66
元長鄉,25.4
四湖鄉,19.84
口湖鄉,21.28
水林鄉,22.07
東區,9.04
南區,14.7
北區,12.27
安南區,17.76
安平區,12.62
中西區,10.61
新營區,14.61
鹽水區,17.42
白河區,18.27
柳營區,15.33
後壁區,14.82
東山區,20.28
麻豆區,15.29
下營區,17.85
六甲區,16.55
官田區,13.18
大內區,14.28
佳里區,18.17
學甲區,17.48
西港區,19.59
七股區,23.63
將軍區,21.89
北門區,23.29
新化區,15.91
善化區,12.56
新市區,15.01
安定區,17.08
山上區,16.59
玉井區,20.23
楠西區,21.34
南化區,22.25
左鎮區,20.9
仁德區,14.1
歸仁區,17.89
關廟區,18.62
龍崎區,19.09
永康區,13.76
鹽埕區,14.5
鼓山區,11.16
左營區,9.62
楠梓區,11.5
三民區,12.11
新興區,9.67
前金區,11.23
苓雅區,11.13
前鎮區,13.95
旗津區,22.08
小港區,14.57
鳳山區,12.59
林園區,17.28
大寮區,16.3
大樹區,15.97
大社區,14.86
仁武區,15.27
鳥松區,11.61
岡山區,13.38
橋頭區,12.54
燕巢區,17.58
田寮區,21.45
阿蓮區,16.71
路竹區,13.93
湖內區,22.03
茄萣區,20.55
永安區,19.36
彌陀區,18.32
梓官區,16.3
旗山區,16.33
美濃區,16.29
六龜區,26.47
甲仙區,26.25
杉林區,27.15
內門區,23.24
茂林區,20.38
桃源區,26
那瑪夏區,22.48
東區,11.01
西區,14.77
太保市,18.7
朴子市,19.74
布袋鎮,21.92
大林鎮,15.58
民雄鄉,15.63
溪口鄉,20.06
新港鄉,21.04
六腳鄉,20.76
東石鄉,23.64
義竹鄉,18.92
鹿草鄉,28.61
水上鄉,18.24
中埔鄉,21.44
竹崎鄉,20.63
梅山鄉,20.11
番路鄉,19.92
大埔鄉,26.22
阿里山鄉,26.01
屏東市,12.86
潮州鎮,15.18
東港鎮,20.22
恆春鎮,23.01
萬丹鄉,16.77
長治鄉,16.27
麟洛鄉,14.17
九如鄉,19.47
里港鄉,18.28
鹽埔鄉,20.81
高樹鄉,22.27
萬巒鄉,19.12
內埔鄉,14.93
竹田鄉,23.02
新埤鄉,19.8
枋寮鄉,22.3
新園鄉,21.06
崁頂鄉,17.63
林邊鄉,18.74
南州鄉,18.76
佳冬鄉,17.95
琉球鄉,23.81
車城鄉,20.51
滿州鄉,23.66
枋山鄉,23.37
三地門鄉,19.69
霧臺鄉,17.59
瑪家鄉,18.62
泰武鄉,19.18
來義鄉,17.89
春日鄉,19.64
獅子鄉,28.72
牡丹鄉,21.18
馬公市,15.49
湖西鄉,24.08
白沙鄉,22.7
西嶼鄉,18.97
望安鄉,18.02
七美鄉,24.63
臺東市,17.27
成功鎮,22.12
關山鎮,18.55
卑南鄉,18.98
鹿野鄉,24.46
池上鄉,19.41
東河鄉,29.3
長濱鄉,18.92
