OBJECTID,town,pop_den
1,板橋區,25989
2,三重區,24178
3,中和區,21443
4,永和區,41909
5,新莊區,20847
6,新店區,2544
7,樹林區,5737
8,鶯歌區,4169
9,三峽區,535
10,淡水區,2140
11,淡水區,2140
12,汐止區,3222
13,瑞芳區,467
14,瑞芳區,467
15,瑞芳區,467
16,瑞芳區,467
17,瑞芳區,467
18,瑞芳區,467
19,瑞芳區,467
20,瑞芳區,467
21,瑞芳區,467
22,瑞芳區,467
23,瑞芳區,467
24,瑞芳區,467
25,瑞芳區,467
26,瑞芳區,467
27,瑞芳區,467
28,瑞芳區,467
29,瑞芳區,467
30,瑞芳區,467
31,瑞芳區,467
32,土城區,8689
33,蘆洲區,29301
34,五股區,2627
35,泰山區,4672
36,林口區,1546
37,深坑區,1141
38,石碇區,43
39,坪林區,18
40,三芝區,318
41,石門區,129
42,石門區,129
43,石門區,129
44,石門區,129
45,石門區,129
46,石門區,129
47,石門區,129
48,石門區,129
49,石門區,129
50,石門區,129
51,石門區,129
52,石門區,129
53,石門區,129
54,石門區,129
55,八里區,749
56,平溪區,40
57,雙溪區,38
58,貢寮區,80
59,貢寮區,80
60,貢寮區,80
61,貢寮區,80
62,貢寮區,80
63,貢寮區,80
64,貢寮區,80
65,貢寮區,80
66,貢寮區,80
67,貢寮區,80
68,貢寮區,80
69,貢寮區,80
70,貢寮區,80
71,貢寮區,80
72,貢寮區,80
73,貢寮區,80
74,貢寮區,80
75,貢寮區,80
76,貢寮區,80
77,貢寮區,80
78,貢寮區,80
79,貢寮區,80
80,貢寮區,80
81,貢寮區,80
82,貢寮區,80
83,貢寮區,80
84,貢寮區,80
85,貢寮區,80
86,貢寮區,80
87,貢寮區,80
88,貢寮區,80
89,貢寮區,80
90,貢寮區,80
91,貢寮區,80
92,貢寮區,80
93,貢寮區,80
94,貢寮區,80
95,貢寮區,80
96,貢寮區,80
97,貢寮區,80
98,貢寮區,80
99,貢寮區,80
100,貢寮區,80
101,貢寮區,80
102,貢寮區,80
103,貢寮區,80
104,貢寮區,80
105,貢寮區,80
106,貢寮區,80
107,貢寮區,80
108,貢寮區,80
109,貢寮區,80
110,貢寮區,80
111,貢寮區,80
112,貢寮區,80
113,貢寮區,80
114,貢寮區,80
115,貢寮區,80
116,貢寮區,80
117,貢寮區,80
118,貢寮區,80
119,貢寮區,80
120,貢寮區,80
121,貢寮區,80
122,貢寮區,80
123,貢寮區,80
124,貢寮區,80
125,貢寮區,80
126,貢寮區,80
127,貢寮區,80
128,貢寮區,80
129,貢寮區,80
130,貢寮區,80
131,貢寮區,80
132,貢寮區,80
133,貢寮區,80
134,貢寮區,80
135,貢寮區,80
136,貢寮區,80
137,貢寮區,80
138,貢寮區,80
139,金山區,327
140,金山區,327
141,金山區,327
142,金山區,327
143,萬里區,233
144,萬里區,233
145,萬里區,233
146,萬里區,233
147,萬里區,233
148,萬里區,233
149,萬里區,233
150,萬里區,233
151,萬里區,233
152,萬里區,233
153,萬里區,233
154,萬里區,233
155,萬里區,233
156,萬里區,233
157,萬里區,233
158,萬里區,233
159,萬里區,233
160,萬里區,233
161,萬里區,233
162,萬里區,233
163,萬里區,233
164,萬里區,233
165,萬里區,233
166,萬里區,233
167,萬里區,233
168,萬里區,233
169,萬里區,233
170,萬里區,233
171,萬里區,233
172,萬里區,233
173,萬里區,233
174,萬里區,233
175,萬里區,233
176,萬里區,233
177,萬里區,233
178,萬里區,233
179,萬里區,233
180,萬里區,233
181,萬里區,233
182,烏來區,9
183,松山區,20521
184,信義區,20425
185,大安區,26555
186,中山區,15903
187,中正區,19912
188,大同區,20784
189,萬華區,21023
190,文山區,8913
191,南港區,5519
192,內湖區,8889
193,士林區,5029
194,北投區,4625
195,中正區,5626
196,中正區,5626
197,七堵區,998
198,暖暖區,1681
199,仁愛區,9625
200,中山區,4714
