town,total
板橋鎮,0.007
三重鎮,0.027
中和鄉,0.018
新莊鎮,0.005
新店鎮,0.082
樹林鎮,0.008
鶯歌鎮,0.01
三峽鎮,0.006
淡水鎮,0.37
汐止鎮,0.007
瑞芳鎮,0.016
土城鄉,0.036
蘆洲鄉,0.037
五股鄉,0
泰山鄉,0
林口鄉,0
深坑鄉,0
石碇鄉,0
坪林鄉,0
三芝鄉,0
石門鄉,0.01
八里鄉,0.011
平溪鄉,0
雙溪鄉,0
貢寮鄉,0
金山鄉,0.015
萬里鄉,0
烏來鄉,38.598
宜蘭市,0.055
羅東鎮,0.021
蘇澳鎮,0.592
頭城鎮,0.012
礁溪鄉,0.056
壯圍鄉,0.005
員山鄉,0.054
冬山鄉,0.05
五結鄉,0.522
三星鄉,0.8
太平鄉,33.329
南澳鄉,82.849
桃園鎮,0.048
中壢鎮,0.046
大溪鎮,0.223
楊梅鎮,0
蘆竹鄉,0.046
大園鄉,0.037
龜山鄉,0.754
八德鄉,0.021
龍潭鄉,0.036
平鎮鄉,0
新屋鄉,0
觀音鄉,0.03
復興鄉,65.825
竹北鄉,0.01
竹東鎮,0.073
新埔鎮,0.009
關西鎮,0.713
湖口鄉,0.02
新豐鄉,0.444
芎林鄉,0.006
橫山鄉,0.246
北埔鄉,0.428
寶山鄉,0
峨眉鄉,0.275
尖石鄉,67.723
五峰鄉,74.65
苗栗鎮,0.08
苑裡鎮,0.098
通霄鎮,0
竹南鎮,0.003
頭份鎮,0.003
後龍鎮,3.337
卓蘭鎮,0
大湖鄉,0.01
公館鄉,0
銅鑼鄉,0.005
南庄鄉,8.763
頭屋鄉,0.019
三義鄉,0
西湖鄉,0.008
造橋鄉,2.42
三灣鄉,0
獅潭鄉,1.811
泰安鄉,49.626
豐原鎮,0.012
東勢鎮,0.055
大甲鎮,0.01
清水鎮,0
沙鹿鎮,0.036
梧棲鎮,0
后里鄉,0.003
神岡鄉,0.432
潭子鄉,0.011
大雅鄉,0.047
新社鄉,0
石岡鄉,0
外埔鄉,0
大安鄉,0
烏日鄉,0
大肚鄉,0
龍井鄉,0
霧峰鄉,0
太平鄉,0.018
大里鄉,0.005
和平鄉,25.471
彰化市,0.011
鹿港鎮,0
和美鎮,0
線西鄉,0
新港鄉,0
福興鄉,0
秀水鄉,0
花壇鄉,0
芬園鄉,0
員林鎮,0.002
溪湖鎮,0
田中鎮,0
大村鄉,0
埔鹽鄉,0
埔心鄉,0
永靖鄉,0
社頭鄉,0
二水鄉,0.005
北斗鎮,0
二林鎮,0
田尾鄉,0
埤頭鄉,0
芳苑鄉,0
大城鄉,0
竹塘鄉,0
溪州鄉,0
南投鎮,0
埔里鎮,1.735
草屯鎮,0.016
竹山鎮,0.005
集集鎮,0
名間鄉,0.01
鹿谷鄉,0
中寮鄉,0
魚池鄉,0.893
國姓鄉,0.104
水裡鄉,0.353
信義鄉,43.985
仁愛鄉,83.535
斗六鎮,0
斗南鎮,0
虎尾鎮,0
西螺鎮,0
土庫鎮,0
北港鎮,0.002
古坑鄉,0
大埤鄉,0
莿桐鄉,0.232
林內鄉,0
二崙鄉,0
崙背鄉,0
麥寮鄉,0.065
東勢鄉,0
褒忠鄉,0
臺西鄉,0
元長鄉,0
四湖鄉,0
口湖鄉,0
水林鄉,0
太保鄉,0
朴子鎮,0.008
布袋鎮,0.016
大林鎮,0.023
民雄鄉,0
溪口鄉,0
新港鄉,0
六腳鄉,0
東石鄉,0
義竹鄉,0
鹿草鄉,0
水上鄉,0
中埔鄉,0
竹崎鄉,0.012
梅山鄉,0.118
番路鄉,0.026
大埔鄉,0.384
吳鳳鄉,34.907
新營鎮,0
鹽水鎮,0
白河鎮,1.543
柳營鄉,0
後壁鄉,0.006
東山鄉,0
麻豆鎮,0
下營鄉,0
六甲鄉,0
官田鄉,0.013
大內鄉,4.749
佳里鎮,0.005
學甲鄉,0.007
西港鄉,0
七股鄉,0
將軍鄉,0
北門鄉,0
新化鎮,4.708
善化鎮,0.01
新市鄉,0.007
安定鄉,0
山上鄉,2.768
玉井鄉,2.098
楠西鄉,2.329
南化鄉,0.945
左鎮鄉,33.742
仁德鄉,0
歸仁鄉,0
關廟鄉,0.59
龍崎鄉,0.473
永康鄉,0
鳳山鎮,0.113
林園鄉,0.01
大寮鄉,0.011
大樹鄉,0.05
大社鄉,1.62
仁武鄉,0.239
鳥松鄉,0
岡山鎮,0.009
橋頭鄉,0.005
燕巢鄉,0.047
田寮鄉,1.148
阿蓮鄉,0
路竹鄉,0
湖內鄉,0
茄萣鄉,0.009
彌陀鄉,0.013
永安鄉,0
梓官鄉,0
旗山鎮,0.17
美濃鎮,0.014
六龜鄉,21.835
甲仙鄉,10.167
杉林鄉,2.861
內門鄉,8.904
多納鄉,87.771
雅彌鄉,82.938
瑪雅鄉,89.974
屏東市,0.385
潮州鎮,2.436
東港鎮,0.296
恆春鎮,1.961
萬丹鄉,0.695
長治鄉,0.122
麟洛鄉,0
九如鄉,0
里港鄉,0.034
鹽埔鄉,1.171
高樹鄉,0.094
萬巒鄉,17.58
內埔鄉,1.201
竹田鄉,0.097
新埤鄉,4.661
枋寮鄉,0.477
新園鄉,0.004
崁頂鄉,0.887
林邊鄉,0.031
溪州鄉,2.745
佳冬鄉,0.046
琉球鄉,0.186
車城鄉,0.949
滿州鄉,13.697
枋山鄉,0.93
三地鄉,97.432
霧臺鄉,99.705
瑪家鄉,98.896
泰武鄉,99.079
來義鄉,98.476
春日鄉,98.989
獅子鄉,95.714
牡丹鄉,95.246
臺東鎮,12.801
成功鎮,60.443
里瓏鎮,25.239
卑南鄉,28.548
鹿野鄉,24.967
池上鄉,22.314
東河鄉,63.31
長濱鄉,59.877
太麻里鄉,42.665
大武鄉,41.185
綠島鄉,0.581
海端鄉,87.721
延平鄉,91.407
金山鄉,91.926
達仁鄉,94.013
蘭嶼鄉,96.279
花蓮市,4.588
鳳林鎮,9.674
玉里鎮,37.566
新城鄉,6.952
吉安鄉,23.195
壽豐鄉,26.969
光復鄉,41.201
豐濱鄉,91.949
瑞穗鄉,33.837
富里鄉,18.232
秀林鄉,79.133
萬里鄉,95.058
卓溪鄉,91.402
馬公鎮,0.014
湖西鄉,0
白沙鄉,0.026
西嶼鄉,0
望安鄉,0
七美鄉,0
中正區,0.175
七堵區,0
暖暖區,0
仁愛區,0.009
中山區,0.006
安樂區,0.005
信義區,0.08
新竹市,0.046
香山鄉,0
中區,0.003
東區,0.038
南區,0.021
西區,0.006
北區,0.137
西屯區,0.033
南屯區,0
北屯區,0
嘉義市,0.009
東區,0.003
南區,0.029
西區,0.002
北區,0.053
中區,0.009
安南區,0
安平區,0
鹽埕區,0.038
鼓山區,0.095
左營區,0.039
楠梓區,0
三民區,0.098
新興區,0.003
前金區,0.009
苓雅區,0.037
前鎮區,0.058
旗津區,0.04
小港鄉,0.006
大安區,0.037
大同區,0.01
松山區,0.079
南港鎮,0.013
內湖鄉,0
中山區,0.034
北投鎮,0.003
士林鎮,0.04
城中區,0.042
延平區,0.004
建成區,0.025
古亭區,0.036
龍山區,0.016
雙園區,0.017
景美鎮,0.013
木柵鄉,0
