OBJECTID,town,pop_den
1,板橋鎮,1745
2,三重鎮,4522
3,中和鄉,1709
4,新莊鎮,1067
5,新店鎮,344
6,樹林鎮,738
7,鶯歌鎮,910
8,三峽鎮,167
9,淡水鎮,504
10,汐止鎮,383
11,瑞芳鎮,729
12,土城鄉,563
13,蘆洲鄉,1798
14,五股鄉,335
15,泰山鄉,415
16,林口鄉,221
17,深坑鄉,252
18,石碇鄉,69
19,坪林鄉,48
20,三芝鄉,200
21,石門鄉,188
22,八里鄉,231
23,平溪鄉,165
24,雙溪鄉,114
25,貢寮鄉,146
26,金山鄉,264
27,萬里鄉,187
28,烏來鄉,8
29,宜蘭市,1819
30,羅東鎮,2951
31,蘇澳鎮,382
32,頭城鎮,260
33,礁溪鄉,265
34,壯圍鄉,505
35,員山鄉,245
36,冬山鄉,322
37,五結鄉,700
38,三星鄉,150
39,太平鄉,12
40,南澳鄉,6
41,桃園鎮,1499
42,中壢鎮,763
43,大溪鎮,350
44,楊梅鎮,442
45,蘆竹鄉,373
46,大園鄉,406
47,龜山鄉,304
48,八德鄉,428
49,龍潭鄉,334
50,平鎮鄉,471
51,新屋鄉,408
52,觀音鄉,379
53,復興鄉,26
54,竹北鄉,644
55,竹東鎮,715
56,新埔鎮,445
57,關西鎮,284
58,湖口鄉,433
59,新豐鄉,393
60,芎林鄉,381
61,橫山鄉,282
62,北埔鄉,245
63,寶山鄉,199
64,峨眉鄉,202
65,尖石鄉,14
66,五峰鄉,19
67,苗栗鎮,1092
68,苑裡鎮,586
69,通霄鎮,331
70,竹南鎮,782
71,頭份鎮,622
72,後龍鎮,491
73,卓蘭鎮,218
74,大湖鄉,215
75,公館鄉,382
76,銅鑼鄉,276
77,南庄鄉,116
78,頭屋鄉,203
79,三義鄉,184
80,西湖鄉,288
81,造橋鄉,254
82,三灣鄉,221
83,獅潭鄉,116
84,泰安鄉,10
85,豐原鎮,1439
86,東勢鎮,323
87,大甲鎮,698
88,清水鎮,755
89,沙鹿鎮,749
90,梧棲鎮,1213
91,后里鄉,513
92,神岡鄉,714
93,潭子鄉,727
94,大雅鄉,585
95,新社鄉,276
96,石岡鄉,641
97,外埔鄉,392
98,大安鄉,637
99,烏日鄉,538
100,大肚鄉,575
101,龍井鄉,625
102,霧峰鄉,304
103,太平鄉,137
104,大里鄉,704
105,和平鄉,7
106,彰化市,1293
107,鹿港鎮,1360
108,和美鎮,1030
109,線西鄉,929
110,新港鄉,868
111,福興鄉,583
112,秀水鄉,707
113,花壇鄉,619
114,芬園鄉,574
115,員林鎮,1345
116,溪湖鎮,1068
117,田中鎮,867
118,大村鄉,698
119,埔鹽鄉,681
120,埔心鄉,1086
121,永靖鄉,1333
122,社頭鄉,758
123,二水鄉,644
124,北斗鎮,1115
125,二林鎮,472
126,田尾鄉,1005
127,埤頭鄉,638
128,芳苑鄉,453
129,大城鄉,355
130,竹塘鄉,455
131,溪州鄉,407
132,南投鎮,646
133,埔里鎮,435
134,草屯鎮,472
135,竹山鎮,171
136,集集鎮,258
137,名間鄉,377
138,鹿谷鄉,109
139,中寮鄉,134
140,魚池鄉,159
141,國姓鄉,115
142,水裡鄉,290
143,信義鄉,8
144,仁愛鄉,7
145,斗六鎮,555
146,斗南鎮,703
147,虎尾鎮,712
148,西螺鎮,789
149,土庫鎮,589
150,北港鎮,1059
151,古坑鄉,199
152,大埤鄉,501
153,莿桐鄉,365
154,林內鄉,350
155,二崙鄉,474
156,崙背鄉,487
157,麥寮鄉,267
158,東勢鄉,337
159,褒忠鄉,398
160,臺西鄉,598
161,元長鄉,467
162,四湖鄉,388
163,口湖鄉,387
164,水林鄉,528
165,太保鄉,311
166,朴子鎮,875
167,布袋鎮,635
168,大林鎮,480
169,民雄鄉,408
170,溪口鄉,588
171,新港鄉,491
172,六腳鄉,641
173,東石鄉,517
174,義竹鄉,426
175,鹿草鄉,392
176,水上鄉,405
177,中埔鄉,194
178,竹崎鄉,206
179,梅山鄉,185
180,番路鄉,96
181,大埔鄉,20
182,吳鳳鄉,15
183,新營鎮,1197
184,鹽水鎮,617
185,白河鎮,277
186,柳營鄉,326
187,後壁鄉,446
188,東山鄉,202
189,麻豆鎮,805
190,下營鄉,770
191,六甲鄉,270
192,官田鄉,214
193,大內鄉,183
194,佳里鎮,943
195,學甲鄉,554
196,西港鄉,543
197,七股鄉,300
198,將軍鄉,686
199,北門鄉,383
200,新化鎮,373
201,善化鎮,599
202,新市鄉,363
203,安定鄉,605
204,山上鄉,213
205,玉井鄉,198
206,楠西鄉,67
207,南化鄉,51
208,左鎮鄉,119
209,仁德鄉,488
210,歸仁鄉,429
211,關廟鄉,427
212,龍崎鄉,112
213,永康鄉,640
214,鳳山鎮,1758
215,林園鄉,889
216,大寮鄉,402
217,大樹鄉,357
218,大社鄉,345
219,仁武鄉,243
220,鳥松鄉,397
221,岡山鎮,895
222,橋頭鄉,803
223,燕巢鄉,261
224,田寮鄉,159
225,阿蓮鄉,436
226,路竹鄉,569
227,湖內鄉,820
228,茄萣鄉,1357
229,彌陀鄉,944
230,永安鄉,366
231,梓官鄉,1677
232,旗山鎮,393
233,美濃鎮,356
