town,farm
板橋鎮,9.73
三重市,4.56
中和鄉,7.84
永和鎮,3.84
新莊鎮,21.9
新店鎮,12.66
樹林鎮,19.77
鶯歌鎮,17.3
三峽鎮,42.88
淡水鎮,34.94
汐止鎮,13.79
瑞芳鎮,4.43
土城鄉,17.97
蘆洲鄉,26.97
五股鄉,39.03
泰山鄉,22.36
林口鄉,28.01
深坑鄉,40.76
石碇鄉,42.19
坪林鄉,78.18
三芝鄉,63.12
石門鄉,54.55
八里鄉,61.83
平溪鄉,7.12
雙溪鄉,24.59
貢寮鄉,68.89
金山鄉,57.1
萬里鄉,41.62
烏來鄉,35.71
宜蘭市,19.01
羅東鎮,12.11
頭城鎮,40.42
蘇澳鎮,53.91
礁溪鄉,49.07
壯圍鄉,74.37
員山鄉,57.48
冬山鄉,57.49
五結鄉,45.64
三星鄉,63.51
大同鄉,64.17
南澳鄉,64.49
桃園鎮,14.54
中壢鎮,19.24
大溪鎮,30.47
楊梅鎮,27.23
蘆竹鄉,51.2
大園鄉,53.7
龜山鄉,17.78
八德鄉,21.06
龍潭鄉,23.1
平鎮鄉,21.56
新屋鄉,65.58
觀音鄉,58.13
復興鄉,61.7
竹北鄉,53.43
竹東鎮,24.23
新埔鎮,44.95
關西鎮,54.4
湖口鄉,19.42
新豐鄉,58.73
芎林鄉,56.81
橫山鄉,52.47
北埔鄉,51.31
寶山鄉,66.35
峨眉鄉,72.09
尖石鄉,65.26
五峰鄉,74.75
苗栗鎮,13.58
苑裡鎮,44.93
通霄鎮,47.04
竹南鎮,27.02
頭份鎮,29.73
後龍鎮,49.67
卓蘭鎮,62.64
大湖鄉,57.97
公館鄉,46.25
銅鑼鄉,54.25
南庄鄉,38.01
頭屋鄉,52.57
三義鄉,50.52
西湖鄉,65.62
造橋鄉,43.66
三灣鄉,55.86
獅潭鄉,67.99
泰安鄉,82.04
豐原鎮,21.42
東勢鎮,44.91
大甲鎮,37.6
清水鎮,41.72
沙鹿鎮,32.16
梧棲鎮,50.06
后里鄉,35.67
神岡鄉,39.35
潭子鄉,35.77
大雅鄉,24.78
新社鄉,58.37
石岡鄉,43.64
外埔鄉,65.95
大安鄉,71.82
烏日鄉,33.52
大肚鄉,43.28
龍井鄉,58.93
霧峰鄉,52.09
太平鄉,44.14
大里鄉,38.46
和平鄉,48.87
彰化市,21.92
鹿港鎮,42.02
和美鎮,47.83
線西鄉,65.05
伸港鄉,72.09
福興鄉,77.5
秀水鄉,62.11
花壇鄉,43.76
芬園鄉,69.06
員林鎮,36.88
溪湖鎮,60.31
田中鎮,37.83
大村鄉,58.54
埔鹽鄉,83.63
埔心鄉,67.02
永靖鄉,65.37
社頭鄉,52.93
二水鄉,50.39
北斗鎮,38.99
二林鎮,73.8
田尾鄉,71.6
埤頭鄉,75.09
芳苑鄉,79.7
大城鄉,88.11
竹塘鄉,78.89
溪州鄉,65.9
南投鎮,31.39
埔里鎮,42.38
草屯鎮,54.52
竹山鎮,51.14
集集鎮,49.7
名間鄉,73.06
鹿谷鄉,58.95
中寮鄉,77.39
魚池鄉,57.29
國姓鄉,70.74
水里鄉,39.74
信義鄉,85.96
仁愛鄉,85.91
斗六鎮,38.39
斗南鎮,55.25
虎尾鎮,41.26
西螺鎮,60.5
土庫鎮,72.75
北港鎮,37.98
古坑鄉,77.13
大埤鄉,76.43
莿桐鄉,76.09
林內鄉,65.23
二崙鄉,81.74
崙背鄉,80.61
麥寮鄉,79.38
東勢鄉,85.33
褒忠鄉,68.76
臺西鄉,86.25
元長鄉,83
四湖鄉,84.9
口湖鄉,82.27
水林鄉,83.1
太保市,72.77
朴子鎮,47.76
布袋鎮,53.53
大林鎮,50.66
