town,fuwu
板橋鎮,14.24
三重市,9.43
中和鄉,17.59
永和鎮,14.28
新莊鎮,7.51
新店鎮,17.04
樹林鎮,8.5
鶯歌鎮,12.92
三峽鎮,7.33
淡水鎮,16.67
汐止鎮,8.41
瑞芳鎮,5.72
土城鄉,13.53
蘆洲鄉,6.45
五股鄉,22.42
泰山鄉,17.97
林口鄉,34.03
深坑鄉,5.37
石碇鄉,4.25
坪林鄉,2.76
三芝鄉,13.01
石門鄉,10.09
八里鄉,11.94
平溪鄉,3.01
雙溪鄉,4.25
貢寮鄉,4.13
金山鄉,6.75
萬里鄉,5
烏來鄉,9.91
宜蘭市,13.14
羅東鎮,11.39
頭城鎮,8.38
蘇澳鎮,6.65
礁溪鄉,6.81
壯圍鄉,5.05
員山鄉,8.96
冬山鄉,4
五結鄉,5.62
三星鄉,3.17
大同鄉,10.75
南澳鄉,7.14
桃園鎮,11.33
中壢鎮,19.79
大溪鎮,19.91
楊梅鎮,20.7
蘆竹鄉,13.04
大園鄉,16.87
龜山鄉,35.43
八德鄉,35.53
龍潭鄉,33.24
平鎮鄉,23.33
新屋鄉,5.31
觀音鄉,13.77
復興鄉,13.77
竹北鄉,5.77
竹東鎮,8.37
新埔鎮,9.15
關西鎮,7.55
湖口鄉,30.91
新豐鄉,10.13
芎林鄉,5.01
橫山鄉,6.25
北埔鄉,9.09
寶山鄉,10.88
峨眉鄉,3.64
尖石鄉,3.89
五峰鄉,5.13
苗栗鎮,19.08
苑裡鎮,3.72
通霄鎮,7.2
竹南鎮,4.89
頭份鎮,5
後龍鎮,11.95
卓蘭鎮,3.69
大湖鄉,8.02
公館鄉,10.63
銅鑼鄉,5.69
南庄鄉,6.06
頭屋鄉,7.82
三義鄉,3.33
西湖鄉,3.13
造橋鄉,8.17
三灣鄉,6.63
獅潭鄉,3.91
泰安鄉,4.11
豐原鎮,8.12
東勢鎮,7.1
大甲鎮,17.02
清水鎮,11.82
沙鹿鎮,8.46
梧棲鎮,5.29
后里鄉,22.43
神岡鄉,17.68
潭子鄉,13.21
大雅鄉,37.03
新社鄉,16.03
石岡鄉,8.17
外埔鄉,6.2
大安鄉,3.01
烏日鄉,22.4
大肚鄉,4.13
龍井鄉,2.83
霧峰鄉,7.38
太平鄉,27.3
大里鄉,18.84
和平鄉,23.49
彰化市,9.83
鹿港鎮,4.76
和美鎮,3.74
線西鄉,6.89
伸港鄉,2.98
福興鄉,2.27
秀水鄉,4.66
花壇鄉,5.04
芬園鄉,3.99
員林鎮,6.13
溪湖鎮,5.31
