town,hyga
板橋鎮,0.6100
三重市,0.4900
中和鄉,0.5300
永和鎮,1.2100
新莊鎮,0.5600
新店鎮,0.9300
樹林鎮,1.0700
鶯歌鎮,0.2700
三峽鎮,0.1800
淡水鎮,0.2500
汐止鎮,0.6000
瑞芳鎮,2.0000
土城鄉,0.2200
蘆洲鄉,0.5500
五股鄉,0.2400
泰山鄉,0.4700
林口鄉,1.2600
深坑鄉,0.2200
石碇鄉,0.1100
坪林鄉,0.1300
三芝鄉,0.0400
石門鄉,0.0900
八里鄉,0.0300
平溪鄉,0.1200
雙溪鄉,0.2400
貢寮鄉,0.1000
金山鄉,0.1100
萬里鄉,0.2400
烏來鄉,2.9900
宜蘭市,1.1900
羅東鎮,0.4100
頭城鎮,0.2500
蘇澳鎮,0.1200
礁溪鄉,0.1700
壯圍鄉,0.1100
員山鄉,0.1500
冬山鄉,0.1700
五結鄉,0.1100
三星鄉,0.7700
大同鄉,0.0900
南澳鄉,0.1200
桃園鎮,0.9200
中壢鎮,0.2500
大溪鎮,0.3400
楊梅鎮,0.4400
蘆竹鄉,0.1200
大園鄉,0.1200
龜山鄉,0.0800
八德鄉,0.0300
龍潭鄉,0.4700
平鎮鄉,0.4200
新屋鄉,0.1400
觀音鄉,0.0800
復興鄉,0.0900
竹北鄉,0.1300
竹東鎮,0.4400
新埔鎮,0.2400
關西鎮,0.1600
湖口鄉,0.2600
新豐鄉,0.1100
芎林鄉,0.2100
橫山鄉,0.1700
北埔鄉,0.0700
寶山鄉,0.0900
峨眉鄉,0.1700
尖石鄉,0.0000
五峰鄉,0.1300
苗栗鎮,0.5200
苑裡鎮,0.1800
通霄鎮,0.2900
竹南鎮,0.3700
頭份鎮,0.3100
後龍鎮,0.1400
卓蘭鎮,0.3100
大湖鄉,0.2200
公館鄉,0.3300
銅鑼鄉,0.2900
南庄鄉,0.1000
頭屋鄉,0.3800
三義鄉,0.4600
西湖鄉,0.2500
造橋鄉,0.4400
三灣鄉,0.1600
獅潭鄉,0.0500
泰安鄉,0.0000
豐原鎮,1.1500
東勢鎮,2.4200
大甲鎮,0.4300
清水鎮,0.2400
沙鹿鎮,0.1700
梧棲鎮,0.1300
后里鄉,0.4700
神岡鄉,0.1800
潭子鄉,0.2700
大雅鄉,0.0700
新社鄉,0.6900
石岡鄉,2.6100
外埔鄉,0.1100
大安鄉,0.2400
烏日鄉,0.1200
大肚鄉,0.3300
龍井鄉,0.2600
霧峰鄉,0.7000
太平鄉,0.1400
大里鄉,0.2900
和平鄉,2.6500
彰化市,0.9900
鹿港鎮,0.1800
和美鎮,0.2900
線西鄉,0.1500
伸港鄉,0.0300
福興鄉,0.0600
秀水鄉,0.6500
花壇鄉,0.3700
芬園鄉,0.2100
員林鎮,0.3200
溪湖鎮,0.1300
田中鎮,0.2800
大村鄉,0.1100
埔鹽鄉,0.2400
埔心鄉,0.0800
永靖鄉,0.0600
社頭鄉,0.1500
二水鄉,0.3300
北斗鎮,0.3800
二林鎮,0.0600
田尾鄉,0.0800
埤頭鄉,0.0300
芳苑鄉,0.0700
大城鄉,0.0500
竹塘鄉,0.0600
溪州鄉,0.1000
南投鎮,0.5900
埔里鎮,1.4800
草屯鎮,0.4000
竹山鎮,0.2900
集集鎮,0.4400
名間鄉,0.2700
鹿谷鄉,0.1500
中寮鄉,0.0900
魚池鄉,1.0100
國姓鄉,0.2000
水里鄉,2.3500
信義鄉,0.0500
仁愛鄉,1.9200
斗六鎮,0.4000
斗南鎮,0.1900
虎尾鎮,0.3600
西螺鎮,0.1700
土庫鎮,0.1200
北港鎮,0.3000
古坑鄉,0.2300
大埤鄉,0.0600
莿桐鄉,0.1600
林內鄉,0.3600
二崙鄉,0.1200
崙背鄉,0.0700
麥寮鄉,0.0700
東勢鄉,0.0400
褒忠鄉,0.0300
臺西鄉,0.0200
元長鄉,0.0500
四湖鄉,0.0300
口湖鄉,0.0400
