town,indu
板橋鎮,2.4500
三重市,3.4100
中和鄉,2.3700
永和鎮,7.9700
新莊鎮,1.7900
新店鎮,1.7700
樹林鎮,1.0600
鶯歌鎮,1.0800
三峽鎮,0.5300
淡水鎮,1.1900
汐止鎮,0.8500
瑞芳鎮,0.6000
土城鄉,0.7700
蘆洲鄉,1.2500
五股鄉,0.8300
泰山鄉,0.4900
林口鄉,0.2200
深坑鄉,0.6600
石碇鄉,0.0600
坪林鄉,0.0900
三芝鄉,0.1900
石門鄉,0.1400
八里鄉,0.1700
平溪鄉,0.4100
雙溪鄉,0.4400
貢寮鄉,0.3500
金山鄉,0.2200
萬里鄉,0.0700
烏來鄉,0.3200
宜蘭市,1.8700
羅東鎮,1.9300
頭城鎮,0.8200
蘇澳鎮,0.4400
礁溪鄉,0.4000
壯圍鄉,0.1400
員山鄉,0.1700
冬山鄉,0.3100
五結鄉,0.5500
三星鄉,0.2300
大同鄉,0.1500
南澳鄉,0.0600
桃園鎮,1.8400
中壢鎮,0.9600
大溪鎮,0.6300
楊梅鎮,0.5400
蘆竹鄉,0.1900
大園鄉,0.2600
龜山鄉,0.2400
八德鄉,0.1500
龍潭鄉,0.3100
平鎮鄉,0.6100
新屋鄉,0.4600
觀音鄉,0.1900
復興鄉,0.0300
竹北鄉,0.4700
竹東鎮,1.2700
新埔鎮,0.5500
關西鎮,0.5100
湖口鄉,0.2600
新豐鄉,0.3100
芎林鄉,0.3100
橫山鄉,0.2600
北埔鄉,0.5700
寶山鄉,0.2300
峨眉鄉,0.2000
尖石鄉,0.1400
五峰鄉,0.1300
苗栗鎮,1.6300
苑裡鎮,0.4200
通霄鎮,1.0800
竹南鎮,1.0800
頭份鎮,0.8400
後龍鎮,0.4200
卓蘭鎮,0.5700
大湖鄉,0.4200
公館鄉,0.3600
銅鑼鄉,0.4600
南庄鄉,0.2700
頭屋鄉,0.3100
三義鄉,1.0200
西湖鄉,0.3200
造橋鄉,0.2400
三灣鄉,0.2200
獅潭鄉,0.2100
泰安鄉,0.0400
豐原鎮,1.8100
東勢鎮,1.0200
大甲鎮,0.8400
清水鎮,0.8000
沙鹿鎮,0.6600
梧棲鎮,0.4100
后里鄉,0.3100
神岡鄉,0.2500
潭子鄉,0.4800
大雅鄉,0.1700
新社鄉,0.1700
石岡鄉,0.6000
外埔鄉,0.0900
大安鄉,0.1500
烏日鄉,0.4400
大肚鄉,0.3900
龍井鄉,0.3000
霧峰鄉,0.8000
太平鄉,0.2400
大里鄉,1.3500
和平鄉,0.0000
彰化市,2.2600
鹿港鎮,1.0100
和美鎮,0.4800
線西鄉,0.2500
伸港鄉,0.2000
福興鄉,0.2400
秀水鄉,0.4400
花壇鄉,0.2900
芬園鄉,0.3200
員林鎮,1.4800
溪湖鎮,0.4700
田中鎮,0.6000
大村鄉,0.3200
埔鹽鄉,0.2200
埔心鄉,0.1900
永靖鄉,0.2800
社頭鄉,0.3800
二水鄉,0.4400
北斗鎮,1.1600
二林鎮,0.3200
田尾鄉,0.3400
埤頭鄉,0.1300
芳苑鄉,0.1000
大城鄉,0.0600
竹塘鄉,0.2300
溪州鄉,0.2600
南投鎮,1.4500
埔里鎮,0.7800
草屯鎮,0.8600
竹山鎮,0.9100
集集鎮,0.8100
名間鄉,0.1900
鹿谷鄉,0.2400
中寮鄉,0.0900
魚池鄉,0.1700
國姓鄉,0.2000
水里鄉,0.8300
信義鄉,0.0200
仁愛鄉,0.0700
斗六鎮,1.2800
斗南鎮,0.7400
虎尾鎮,0.7100
西螺鎮,0.4400
土庫鎮,0.2600
北港鎮,1.2500
古坑鄉,0.2000
大埤鄉,0.1700
莿桐鄉,0.1600
林內鄉,0.3400
二崙鄉,0.0900
崙背鄉,0.1000
麥寮鄉,0.1100
東勢鄉,0.0500
褒忠鄉,0.1900
臺西鄉,0.0700
元長鄉,0.0700
四湖鄉,0.0700
口湖鄉,0.0200
水林鄉,0.0800
太保市,0.2100
朴子鎮,0.6900
布袋鎮,0.2100
大林鎮,0.3700
民雄鄉,0.3600
溪口鄉,0.2200
新港鄉,0.2700
六腳鄉,0.1700
東石鄉,0.1200
義竹鄉,0.1600
鹿草鄉,0.0900
水上鄉,0.1700
中埔鄉,0.2200
竹崎鄉,0.2000
梅山鄉,0.5000
番路鄉,0.1100
大埔鄉,0.0900
吳鳳鄉,0.0900
新營鎮,1.5700
鹽水鎮,0.5700
白河鎮,0.3800
柳營鄉,0.3100
後壁鄉,0.4100
東山鄉,0.2200
麻豆鎮,0.6200
下營鄉,0.1300
六甲鄉,0.3100
官田鄉,0.1500
大內鄉,0.1300
佳里鎮,0.8700
學甲鄉,0.4700
西港鄉,0.2000
七股鄉,0.3000
將軍鄉,0.1400
北門鄉,0.1800
新化鎮,0.3700
善化鎮,0.5500
新市鄉,0.3200
安定鄉,0.1900
山上鄉,0.2600
玉井鄉,0.5300
楠西鄉,0.0000
南化鄉,0.1700
左鎮鄉,0.0800
仁德鄉,0.3100
歸仁鄉,0.5200
關廟鄉,0.3200
龍崎鄉,0.0800
永康鄉,0.4000
鳳山鎮,1.1200
林園鄉,0.3000
大寮鄉,0.3800
大樹鄉,0.2500
大社鄉,0.4400
仁武鄉,0.0400
鳥松鄉,0.2600
岡山鎮,0.9600
橋頭鄉,0.6100
燕巢鄉,0.1200
田寮鄉,0.0700
阿蓮鄉,0.2500
路竹鄉,0.3900
湖內鄉,0.4400
茄萣鄉,0.3400
永安鄉,0.6000
彌陀鄉,0.3500
梓官鄉,0.2500
旗山鎮,1.4000
美濃鎮,0.6000
六龜鄉,0.1500
甲仙鄉,0.1600
杉林鄉,0.1000
內門鄉,0.1000
茂林鄉,0.0000
桃源鄉,0.0000
三民鄉,0.0000
屏東市,1.5100
潮州鎮,1.0200
東港鎮,1.0400
恆春鎮,0.5600
萬丹鄉,0.4100
長治鄉,0.2500
麟洛鄉,0.5900
九如鄉,0.2800
里港鄉,0.4800
鹽埔鄉,0.2100
高樹鄉,0.2100
萬巒鄉,0.4400
內埔鄉,0.4800
竹田鄉,0.3000
新埤鄉,0.1000
枋寮鄉,0.4900
新園鄉,0.2000
崁頂鄉,0.1800
林邊鄉,0.6000
南州鄉,0.6200
佳冬鄉,0.2300
琉球鄉,0.0900
車城鄉,0.3600
滿州鄉,0.1700
枋山鄉,0.0700
三地鄉,0.0000
霧臺鄉,0.0000
瑪家鄉,0.0500
泰武鄉,0.0000
來義鄉,0.0000
春日鄉,0.0500
獅子鄉,0.0500
牡丹鄉,0.0000
臺東鎮,2.0900
成功鎮,0.4900
關山鎮,0.6400
卑南鄉,0.2500
鹿野鄉,0.2300
池上鄉,0.3300
東河鄉,0.1900
長濱鄉,0.1500
太麻里鄉,0.0700
大武鄉,0.1800
綠島鄉,0.0700
海端鄉,0.0000
延平鄉,0.0000
金峰鄉,0.0000
達仁鄉,0.0600
蘭嶼鄉,0.0000
花蓮市,2.7500
鳳林鎮,0.6400
玉里鎮,0.6500
新城鄉,0.4000
吉安鄉,0.5200
壽豐鄉,0.1000
光復鄉,0.4800
豐濱鄉,3.9600
瑞穗鄉,0.3400
富里鄉,0.3200
秀林鄉,0.0200
萬榮鄉,0.0000
卓溪鄉,0.0000
馬公鎮,1.0400
湖西鄉,0.1200
白沙鄉,0.1500
西嶼鄉,0.0400
望安鄉,0.0000
七美鄉,0.0400
中正區,1.5200
七堵區,0.8000
暖暖區,1.3000
仁愛區,3.9500
中山區,0.6500
安樂區,1.1200
信義區,2.5000
新竹市,2.2400
香山鄉,0.6900
中區,6.1300
東區,2.6100
南區,3.4500
西區,4.9100
北區,3.4400
西屯區,0.5800
南屯區,1.1400
北屯區,0.8600
嘉義市,2.5000
東區,2.2700
南區,1.6100
西區,2.9600
北區,2.7100
中區,6.6500
安南區,0.2800
安平區,0.9200
鹽埕區,3.7900
鼓山區,2.2300
左營區,0.5200
楠梓區,0.8100
三民區,2.3700
新興區,4.0100
前金區,5.5400
苓雅區,2.0000
前鎮區,0.5800
旗津區,0.7400
小港鄉,0.2300
大安區,7.6500
大同區,5.2800
松山區,5.0700
南港鎮,0.8600
內湖鄉,0.6900
中山區,8.9800
北投鎮,2.1600
士林鎮,3.7300
城中區,7.9000
延平區,8.6500
建成區,8.7400
古亭區,6.7900
龍山區,7.7400
雙園區,5.1700
景美鎮,2.7600
木柵鄉,2.7000
