town,labor
板橋鎮,49.181
三重市,49.0802
中和鄉,51.2279
永和鎮,46.27
新莊鎮,49.0631
新店鎮,53.2382
樹林鎮,53.8418
鶯歌鎮,51.7596
三峽鎮,51.6059
淡水鎮,53.1874
汐止鎮,53.1403
瑞芳鎮,49.9536
土城鄉,52.9537
蘆洲鄉,49.9838
五股鄉,53.3898
泰山鄉,53.2395
林口鄉,61.6514
深坑鄉,51.7003
石碇鄉,52.135
坪林鄉,51.1507
三芝鄉,54.3692
石門鄉,58.456
八里鄉,53.05
平溪鄉,50.451
雙溪鄉,46.8634
貢寮鄉,49.8999
金山鄉,50.3913
萬里鄉,51.0792
烏來鄉,55.2618
宜蘭市,49.6623
羅東鎮,47.4481
頭城鎮,50.406
蘇澳鎮,50.6976
礁溪鄉,52.4834
壯圍鄉,51.7618
員山鄉,51.4251
冬山鄉,49.3887
五結鄉,50.8693
三星鄉,53.8596
大同鄉,60.2014
南澳鄉,57.5126
桃園鎮,48.7015
中壢鎮,50.7659
大溪鎮,52.5975
楊梅鎮,51.1445
蘆竹鄉,49.514
大園鄉,49.9357
龜山鄉,57.7915
八德鄉,64.139
龍潭鄉,60.8995
平鎮鄉,52.1645
新屋鄉,47.0119
觀音鄉,51.192
復興鄉,53.2384
竹北鄉,51.0944
竹東鎮,47.291
新埔鎮,50.6606
關西鎮,50.7104
湖口鄉,58.6741
新豐鄉,54.4483
芎林鄉,48.5461
橫山鄉,53.7269
北埔鄉,53.2585
寶山鄉,58.0658
峨眉鄉,55.6247
尖石鄉,54.903
五峰鄉,56.5031
苗栗鎮,51.0574
苑裡鎮,55.067
通霄鎮,57.6369
竹南鎮,48.1968
頭份鎮,50.223
後龍鎮,51.7156
卓蘭鎮,46.5052
大湖鄉,52.9648
公館鄉,53.9734
銅鑼鄉,50.2055
南庄鄉,48.5682
頭屋鄉,55.6014
三義鄉,50.6348
西湖鄉,54.147
造橋鄉,50.8981
三灣鄉,48.4442
