town,mana
板橋鎮,2.24
三重市,3.46
中和鄉,2.57
永和鎮,4.27
新莊鎮,2.87
新店鎮,2.13
樹林鎮,1.51
鶯歌鎮,3.51
三峽鎮,1.21
淡水鎮,1.18
汐止鎮,2.08
瑞芳鎮,2.53
土城鄉,1.29
蘆洲鄉,2.34
五股鄉,0.98
泰山鄉,1.51
林口鄉,0.82
深坑鄉,1.11
石碇鄉,0.62
坪林鄉,0.55
三芝鄉,0.34
石門鄉,1.16
八里鄉,0.45
平溪鄉,1.36
雙溪鄉,1.5
貢寮鄉,0.79
金山鄉,1.05
萬里鄉,0.75
烏來鄉,2.35
宜蘭市,3.12
羅東鎮,4.88
頭城鎮,2.17
蘇澳鎮,0.96
礁溪鄉,1.51
壯圍鄉,0.41
員山鄉,0.75
冬山鄉,1.23
五結鄉,1.88
三星鄉,1.01
大同鄉,0.63
南澳鄉,1.65
桃園鎮,2.8
中壢鎮,2.12
大溪鎮,1.05
楊梅鎮,1.15
蘆竹鄉,0.67
大園鄉,0.48
龜山鄉,0.77
八德鄉,0.68
龍潭鄉,1.16
平鎮鄉,1.12
新屋鄉,0.42
觀音鄉,0.75
復興鄉,0.93
竹北鄉,0.87
竹東鎮,1.88
新埔鎮,0.96
關西鎮,1.09
湖口鄉,0.59
新豐鄉,0.81
芎林鄉,0.63
橫山鄉,0.61
北埔鄉,1.1
寶山鄉,0.25
峨眉鄉,0.42
尖石鄉,0.46
五峰鄉,0.79
苗栗鎮,3.97
苑裡鎮,1.5
通霄鎮,0.93
竹南鎮,4.34
頭份鎮,2.33
後龍鎮,1.4
卓蘭鎮,1.89
大湖鄉,1.68
公館鄉,1.27
銅鑼鄉,1.57
南庄鄉,1.84
頭屋鄉,1.19
三義鄉,2.72
西湖鄉,0.72
造橋鄉,1.41
三灣鄉,1.19
獅潭鄉,0.86
泰安鄉,0.87
豐原鎮,5.14
東勢鎮,1.89
大甲鎮,1.73
清水鎮,1.53
沙鹿鎮,2.31
梧棲鎮,0.89
后里鄉,0.79
神岡鄉,0.9
潭子鄉,1.32
大雅鄉,0.53
新社鄉,0.5
石岡鄉,1.39
外埔鄉,0.42
大安鄉,0.5
烏日鄉,0.88
大肚鄉,1.08
龍井鄉,0.72
霧峰鄉,1.02
太平鄉,0.58
大里鄉,1.13
和平鄉,0.63
彰化市,3.66
鹿港鎮,2.17
和美鎮,1.63
線西鄉,0.74
伸港鄉,0.78
福興鄉,0.4
秀水鄉,0.74
花壇鄉,1.24
芬園鄉,0.5
員林鎮,2.95
溪湖鎮,1.49
田中鎮,1.3
大村鄉,0.69
埔鹽鄉,0.37
埔心鄉,0.6
永靖鄉,0.61
社頭鄉,0.66
二水鄉,1.06
北斗鎮,2.8
二林鎮,0.84
田尾鄉,0.61
埤頭鄉,0.4
芳苑鄉,0.42
大城鄉,0.42
竹塘鄉,0.62
溪州鄉,0.68
南投鎮,1.55
埔里鎮,1.64
草屯鎮,1.66
竹山鎮,1.45
集集鎮,1.2
名間鄉,0.72
鹿谷鄉,1.01
中寮鄉,0.73
魚池鄉,0.74
國姓鄉,1
水里鄉,1.94
信義鄉,0.53
仁愛鄉,0.46
斗六鎮,1.72
斗南鎮,1.53
虎尾鎮,1.98
西螺鎮,1.35
土庫鎮,0.8
北港鎮,2.31
古坑鄉,0.43
大埤鄉,0.36
莿桐鄉,0.66
林內鄉,0.99
二崙鄉,0.41
崙背鄉,0.64
麥寮鄉,0.57
東勢鄉,0.39
褒忠鄉,0.73
臺西鄉,0.3
元長鄉,0.26
四湖鄉,0.32
口湖鄉,0.33
水林鄉,0.35
太保市,0.4
朴子鎮,1.44
布袋鎮,0.5
大林鎮,0.96
民雄鄉,0.66
溪口鄉,0.24
新港鄉,0.52
六腳鄉,0.27
東石鄉,0.25
義竹鄉,0.3
鹿草鄉,0.3
水上鄉,0.35
中埔鄉,0.43
竹崎鄉,0.48
梅山鄉,0.92
番路鄉,0.38
大埔鄉,0.59
吳鳳鄉,1.02
新營鎮,2.58
鹽水鎮,1.37
白河鎮,0.87
柳營鄉,0.37
後壁鄉,0.42
東山鄉,0.35
麻豆鎮,1.17
下營鄉,0.37
六甲鄉,1.48
官田鄉,0.64
大內鄉,0.32
佳里鎮,1.37
學甲鄉,0.81
西港鄉,0.55
七股鄉,0.22
將軍鄉,0.42
北門鄉,0.55
新化鎮,0.82
善化鎮,1.16
新市鄉,0.72
安定鄉,0.38
山上鄉,0.36
玉井鄉,1.01
楠西鄉,0.63
南化鄉,0.4
左鎮鄉,0.33
仁德鄉,0.61
歸仁鄉,0.65
關廟鄉,0.71
龍崎鄉,0.31
永康鄉,0.69
鳳山鎮,1.8
林園鄉,0.55
大寮鄉,0.39
大樹鄉,0.52
大社鄉,0.64
仁武鄉,0.26
鳥松鄉,1.2
岡山鎮,1.34
橋頭鄉,1.33
燕巢鄉,0.28
田寮鄉,0.5
阿蓮鄉,1.28
路竹鄉,0.85
湖內鄉,0.71
茄萣鄉,0.49
永安鄉,0.3
彌陀鄉,0.42
梓官鄉,0.44
旗山鎮,1.21
美濃鎮,0.35
六龜鄉,0.68
甲仙鄉,0.75
杉林鄉,0.34
內門鄉,0.29
茂林鄉,0.98
桃源鄉,0.58
三民鄉,0.55
屏東市,2.51
潮州鎮,1.84
東港鎮,1.31
恆春鎮,0.87
萬丹鄉,0.71
長治鄉,0.4
麟洛鄉,0.51
九如鄉,0.36
里港鄉,0.8
鹽埔鄉,0.21
高樹鄉,0.34
萬巒鄉,0.51
內埔鄉,0.69
竹田鄉,0.23
新埤鄉,0.31
枋寮鄉,0.94
新園鄉,0.36
崁頂鄉,0.34
林邊鄉,0.81
南州鄉,1.21
佳冬鄉,0.3
琉球鄉,0.76
車城鄉,0.55
滿州鄉,0.46
枋山鄉,0.56
三地鄉,0.37
霧臺鄉,0.31
瑪家鄉,0.37
泰武鄉,0.41
來義鄉,0.16
春日鄉,0.24
獅子鄉,0.34
牡丹鄉,0.36
臺東鎮,3.75
成功鎮,1.18
關山鎮,1.73
卑南鄉,0.88
鹿野鄉,2.03
池上鄉,1.42
東河鄉,0.78
長濱鄉,0.91
太麻里鄉,0.77
大武鄉,1.24
綠島鄉,1.13
海端鄉,0.82
延平鄉,0.74
金峰鄉,0.74
達仁鄉,0.74
蘭嶼鄉,1.2
花蓮市,2.96
鳳林鎮,1.56
玉里鎮,1.57
新城鄉,1.29
吉安鄉,0.66
壽豐鄉,0.93
光復鄉,1.52
豐濱鄉,0.55
瑞穗鄉,1.23
富里鄉,0.91
秀林鄉,0.6
萬榮鄉,0.4
卓溪鄉,0.41
馬公鎮,1.1
湖西鄉,0.48
白沙鄉,0.31
西嶼鄉,0.69
望安鄉,0.4
七美鄉,0.28
中正區,2.58
七堵區,1.14
暖暖區,1.48
仁愛區,3.94
中山區,0.75
安樂區,1.24
信義區,2.11
新竹市,2.37
香山鄉,0.67
中區,8.98
東區,3.88
南區,4.56
西區,4
北區,3.49
西屯區,0.8
南屯區,0.86
北屯區,1.03
嘉義市,3.25
東區,2.5
南區,2.08
西區,6.68
北區,3.62
中區,7.32
安南區,0.5
安平區,1.72
鹽埕區,5.3
鼓山區,2.63
左營區,0.99
楠梓區,1.39
三民區,3.12
新興區,4.16
前金區,4.16
苓雅區,1.84
前鎮區,0.86
旗津區,1.13
小港鄉,0.53
大安區,3.97
大同區,4.26
松山區,2.49
南港鎮,1.81
內湖鄉,0.94
中山區,4.61
北投鎮,2.27
士林鎮,2.43
城中區,5.4
延平區,6.82
建成區,6.84
古亭區,3.82
龍山區,7.07
雙園區,2.89
景美鎮,2.78
木柵鄉,2.58
