town,manu
板橋鎮,32.3400
三重市,34.9100
中和鄉,27.9800
永和鎮,17.0600
新莊鎮,34.7700
新店鎮,15.2700
樹林鎮,31.3000
鶯歌鎮,30.6400
三峽鎮,11.6300
淡水鎮,11.0700
汐止鎮,27.9000
瑞芳鎮,6.8100
土城鄉,24.5300
蘆洲鄉,29.6100
五股鄉,16.8600
泰山鄉,16.8400
林口鄉,8.7400
深坑鄉,16.7600
石碇鄉,4.6200
坪林鄉,4.2500
三芝鄉,5.0200
石門鄉,4.1500
八里鄉,6.8200
平溪鄉,3.2800
雙溪鄉,6.6500
貢寮鄉,4.6400
金山鄉,6.0300
萬里鄉,3.6500
烏來鄉,4.2600
宜蘭市,11.9300
羅東鎮,23.0800
頭城鎮,12.1900
蘇澳鎮,5.6600
礁溪鄉,9.2000
壯圍鄉,3.5400
員山鄉,4.4500
冬山鄉,10.7000
五結鄉,20.7700
三星鄉,5.0200
大同鄉,1.5000
南澳鄉,0.6100
桃園鎮,22.8000
中壢鎮,18.5000
大溪鎮,7.8000
楊梅鎮,13.6300
蘆竹鄉,7.4900
大園鄉,5.0000
龜山鄉,9.7300
八德鄉,8.7600
龍潭鄉,4.9200
平鎮鄉,10.4100
新屋鄉,10.0700
觀音鄉,8.5500
復興鄉,2.1000
竹北鄉,18.7800
竹東鎮,23.3400
新埔鎮,12.2800
關西鎮,8.9000
湖口鄉,6.2100
新豐鄉,10.7600
芎林鄉,9.4000
橫山鄉,11.5100
北埔鄉,10.2600
寶山鄉,6.8300
峨眉鄉,4.7700
尖石鄉,0.8800
五峰鄉,1.2500
苗栗鎮,15.9600
苑裡鎮,25.6100
通霄鎮,22.9900
竹南鎮,29.1900
頭份鎮,22.1600
後龍鎮,11.1900
卓蘭鎮,7.1600
大湖鄉,7.4400
公館鄉,14.9500
銅鑼鄉,10.4700
南庄鄉,6.9000
頭屋鄉,13.2000
三義鄉,8.1500
西湖鄉,10.8100
造橋鄉,16.2200
三灣鄉,10.3200
獅潭鄉,6.2800
泰安鄉,1.6200
豐原鎮,29.7800
東勢鎮,6.0300
大甲鎮,10.2100
清水鎮,11.6000
沙鹿鎮,22.0400
梧棲鎮,15.5900
后里鄉,8.2200
神岡鄉,10.0900
潭子鄉,18.5800
大雅鄉,3.4100
新社鄉,2.5300
石岡鄉,9.8000
外埔鄉,4.8400
大安鄉,4.9000
烏日鄉,17.1800
大肚鄉,25.5800
龍井鄉,10.7800
霧峰鄉,6.6400
太平鄉,7.2300
大里鄉,15.3300
和平鄉,0.9600
彰化市,24.5200
鹿港鎮,26.0300
和美鎮,22.1800
線西鄉,12.1900
伸港鄉,6.5000
福興鄉,6.0900
秀水鄉,8.8300
花壇鄉,14.6500
芬園鄉,9.5200
員林鎮,17.4600
溪湖鎮,9.5700
田中鎮,12.1900
大村鄉,13.7600
埔鹽鄉,3.6200
埔心鄉,9.3500
永靖鄉,10.4800
社頭鄉,13.0800
二水鄉,7.3400
北斗鎮,14.4100
二林鎮,3.9900
田尾鄉,8.0400
埤頭鄉,3.6900
芳苑鄉,3.1600
大城鄉,1.7800
竹塘鄉,3.2300
溪州鄉,9.1900
南投鎮,7.9600
埔里鎮,8.7700
草屯鎮,6.5000
竹山鎮,6.2000
集集鎮,5.9900
名間鄉,6.5100
鹿谷鄉,3.4100
中寮鄉,3.3500
魚池鄉,4.6100
國姓鄉,2.8600
水里鄉,5.7600
信義鄉,1.0400
仁愛鄉,0.3800
斗六鎮,9.5000
斗南鎮,8.6000
虎尾鎮,11.9900
西螺鎮,6.8300
土庫鎮,4.3800
北港鎮,15.2000
古坑鄉,3.6000
大埤鄉,3.4700
莿桐鄉,3.4200
林內鄉,5.2700
二崙鄉,2.5100
崙背鄉,2.8600
麥寮鄉,2.0100
東勢鄉,1.7600
褒忠鄉,8.5400
臺西鄉,1.1000
元長鄉,2.7200
四湖鄉,1.6200
口湖鄉,1.8900
水林鄉,2.4200
太保市,3.2200
朴子鎮,8.9300
布袋鎮,5.4800
大林鎮,8.6700
民雄鄉,5.8600
溪口鄉,3.6600
新港鄉,4.6800
六腳鄉,6.1900
東石鄉,2.9900
義竹鄉,5.2000
鹿草鄉,3.0300
水上鄉,6.1800
中埔鄉,3.2100
竹崎鄉,3.3600
梅山鄉,3.7200
番路鄉,2.5800
大埔鄉,0.8700
吳鳳鄉,0.5600
新營鎮,18.7600
鹽水鎮,12.8200
白河鎮,6.6800
柳營鄉,9.6400
後壁鄉,8.2900
東山鄉,4.7600
麻豆鎮,13.4900
下營鄉,5.4000
六甲鄉,11.9600
官田鄉,4.4500
大內鄉,4.9000
佳里鎮,12.1200
學甲鄉,13.0700
西港鄉,7.1100
七股鄉,5.6300
將軍鄉,11.8100
北門鄉,9.2200
新化鎮,4.7700
善化鎮,11.7600
新市鄉,10.5300
安定鄉,10.1300
山上鄉,5.3100
玉井鄉,7.9500
楠西鄉,2.2600
南化鄉,1.9700
左鎮鄉,3.2000
仁德鄉,20.8100
歸仁鄉,13.0800
關廟鄉,28.2300
龍崎鄉,18.9700
永康鄉,13.6700
鳳山鎮,11.9200
林園鄉,7.8600
大寮鄉,6.7700
大樹鄉,6.9200
大社鄉,7.4000
仁武鄉,4.0900
鳥松鄉,10.9400
岡山鎮,9.9400
橋頭鄉,20.9600
燕巢鄉,5.0100
田寮鄉,6.6600
阿蓮鄉,4.7000
路竹鄉,8.4400
湖內鄉,10.4300
茄萣鄉,10.8500
永安鄉,4.9100
彌陀鄉,10.8200
梓官鄉,9.9800
旗山鎮,7.1900
美濃鎮,3.3000
六龜鄉,2.1300
甲仙鄉,1.6200
杉林鄉,1.4800
內門鄉,3.3300
茂林鄉,0.0000
桃源鄉,0.0600
三民鄉,0.0000
屏東市,10.2900
潮州鎮,6.6600
東港鎮,10.2800
恆春鎮,4.2800
萬丹鄉,3.2300
長治鄉,4.2600
麟洛鄉,5.2400
九如鄉,2.5000
里港鄉,3.0200
鹽埔鄉,1.9700
高樹鄉,2.8200
萬巒鄉,4.2700
內埔鄉,4.2700
竹田鄉,4.6400
新埤鄉,2.3300
枋寮鄉,3.9600
新園鄉,3.0200
崁頂鄉,4.6500
林邊鄉,4.4500
南州鄉,11.3700
佳冬鄉,3.3500
琉球鄉,2.1800
車城鄉,1.9400
滿州鄉,2.0000
枋山鄉,1.3300
三地鄉,0.0700
霧臺鄉,0.0600
瑪家鄉,0.0000
泰武鄉,0.0600
來義鄉,0.0000
春日鄉,0.0000
獅子鄉,0.2400
牡丹鄉,0.4800
臺東鎮,11.9900
成功鎮,1.9700
關山鎮,2.8500
卑南鄉,2.8100
鹿野鄉,2.7100
池上鄉,2.8300
東河鄉,2.1700
長濱鄉,1.7100
太麻里鄉,1.3900
大武鄉,1.7900
綠島鄉,0.2000
海端鄉,0.2600
延平鄉,0.0700
金峰鄉,0.0000
達仁鄉,0.0000
蘭嶼鄉,0.0900
花蓮市,12.1000
鳳林鎮,4.9700
玉里鎮,6.8300
新城鄉,5.1100
吉安鄉,4.2400
壽豐鄉,3.1500
光復鄉,8.9100
豐濱鄉,0.5700
瑞穗鄉,4.0400
富里鄉,4.1300
秀林鄉,0.6700
萬榮鄉,0.4000
卓溪鄉,0.2200
馬公鎮,6.5300
湖西鄉,2.3100
白沙鄉,3.8500
西嶼鄉,3.7000
望安鄉,0.7600
七美鄉,0.8100
中正區,11.8700
七堵區,16.9900
暖暖區,11.6200
仁愛區,12.7600
中山區,16.5200
安樂區,14.9100
信義區,11.2500
新竹市,19.3700
香山鄉,16.4200
中區,18.2900
東區,25.1000
南區,30.1100
西區,20.4100
北區,17.5600
西屯區,8.8400
南屯區,17.9900
北屯區,10.4600
嘉義市,18.8400
東區,19.8000
南區,15.8200
西區,34.4500
北區,24.2100
中區,24.1600
安南區,8.6600
安平區,38.3000
鹽埕區,15.5000
鼓山區,23.4800
左營區,6.2300
楠梓區,27.7500
三民區,25.9200
新興區,19.9600
前金區,20.7500
苓雅區,29.5900
前鎮區,57.1000
旗津區,18.9700
小港鄉,24.4200
大安區,12.0100
大同區,32.0300
松山區,24.9200
南港鎮,47.6400
內湖鄉,23.5800
中山區,17.8800
北投鎮,16.9800
士林鎮,18.8600
城中區,9.4500
延平區,24.2600
建成區,23.5700
古亭區,13.1200
龍山區,23.7700
雙園區,23.2200
景美鎮,25.1500
木柵鄉,11.8500
