town,mine
板橋鎮,1.3100
三重市,0.4800
中和鄉,2.8600
永和鎮,1.2400
新莊鎮,0.3700
新店鎮,15.7700
樹林鎮,7.6600
鶯歌鎮,8.9800
三峽鎮,13.8700
淡水鎮,0.2000
汐止鎮,21.3300
瑞芳鎮,58.6600
土城鄉,12.3900
蘆洲鄉,0.2800
五股鄉,0.2500
泰山鄉,0.1900
林口鄉,0.1000
深坑鄉,15.8700
石碇鄉,34.0500
坪林鄉,0.9400
三芝鄉,0.3200
石門鄉,2.7600
八里鄉,0.6400
平溪鄉,73.4300
雙溪鄉,44.5000
貢寮鄉,5.3700
金山鄉,8.7300
萬里鄉,37.5500
烏來鄉,0.2100
宜蘭市,0.5400
羅東鎮,0.4200
頭城鎮,4.5400
蘇澳鎮,1.4600
礁溪鄉,0.8500
壯圍鄉,0.4600
員山鄉,1.2700
冬山鄉,0.6700
五結鄉,0.3500
三星鄉,0.3500
大同鄉,0.4500
南澳鄉,1.1600
桃園鎮,0.5500
中壢鎮,0.2400
大溪鎮,7.8000
楊梅鎮,0.1600
蘆竹鄉,0.1500
大園鄉,0.1200
龜山鄉,3.6300
八德鄉,0.3300
龍潭鄉,0.3500
平鎮鄉,0.4300
新屋鄉,0.2300
觀音鄉,0.1900
復興鄉,0.4200
竹北鄉,0.3700
竹東鎮,3.3500
新埔鎮,0.2400
關西鎮,2.6700
湖口鄉,0.1600
新豐鄉,0.3600
芎林鄉,0.2700
橫山鄉,3.9000
北埔鄉,5.0000
寶山鄉,0.4300
峨眉鄉,1.9200
尖石鄉,12.6300
五峰鄉,0.0000
苗栗鎮,5.0300
苑裡鎮,0.0900
通霄鎮,0.1600
竹南鎮,1.3700
頭份鎮,3.2700
後龍鎮,0.2900
卓蘭鎮,0.0800
大湖鄉,0.5300
公館鄉,3.2800
銅鑼鄉,0.4800
南庄鄉,23.1200
頭屋鄉,1.9500
三義鄉,0.5100
西湖鄉,0.4200
造橋鄉,9.8500
三灣鄉,6.4400
獅潭鄉,1.2500
泰安鄉,0.7100
豐原鎮,0.1400
東勢鎮,0.0500
大甲鎮,0.0900
清水鎮,0.1700
沙鹿鎮,0.1200
梧棲鎮,0.0300
后里鄉,0.2500
神岡鄉,0.0300
潭子鄉,0.0200
大雅鄉,0.0200
新社鄉,0.0900
石岡鄉,0.7400
外埔鄉,0.0700
大安鄉,0.0600
烏日鄉,0.1700
大肚鄉,0.0300
龍井鄉,0.0300
霧峰鄉,0.0500
太平鄉,0.4000
大里鄉,0.1000
和平鄉,0.0000
彰化市,0.1400
鹿港鎮,0.1000
和美鎮,0.0400
線西鄉,0.0800
伸港鄉,0.0300
福興鄉,0.2200
秀水鄉,0.0600
花壇鄉,0.1300
芬園鄉,0.2600
員林鎮,0.0800
溪湖鎮,0.0400
