town,m_lab
板橋鎮,72.5843
三重市,76.5368
中和鄉,76.2932
永和鎮,71.903
新莊鎮,72.8917
新店鎮,76.7696
樹林鎮,80.2251
鶯歌鎮,81.0492
三峽鎮,83.0439
淡水鎮,82.0252
汐止鎮,79.4401
瑞芳鎮,78.6181
土城鄉,76.4821
蘆洲鄉,76.1853
五股鄉,86.1852
泰山鄉,73.5657
林口鄉,89.4433
深坑鄉,83.2301
石碇鄉,84.6743
坪林鄉,87.037
三芝鄉,88.2864
石門鄉,89.8352
八里鄉,87.7385
平溪鄉,80.859
雙溪鄉,79.1483
貢寮鄉,75.6947
金山鄉,84.9621
萬里鄉,84.3478
烏來鄉,83.6697
宜蘭市,75.8465
羅東鎮,73.6064
頭城鎮,76.5306
蘇澳鎮,82.289
礁溪鄉,82.7194
壯圍鄉,85.7216
員山鄉,78.5517
冬山鄉,82.7786
五結鄉,81.275
三星鄉,84.2295
大同鄉,87.2868
南澳鄉,89.1892
桃園鎮,74.0899
中壢鎮,75.667
大溪鎮,83.254
楊梅鎮,78.8888
蘆竹鄉,81.5592
大園鄉,81.9553
龜山鄉,80.1473
八德鄉,89.2368
龍潭鄉,88.0018
平鎮鄉,75.8809
新屋鄉,79.8898
觀音鄉,82.6772
復興鄉,86.3103
竹北鄉,80.0788
竹東鎮,71.0487
新埔鎮,79.349
關西鎮,78.6399
湖口鄉,79.0775
新豐鄉,80.943
芎林鄉,77.3758
橫山鄉,78.3386
北埔鄉,78.8052
寶山鄉,83.536
峨眉鄉,77.577
尖石鄉,83.1235
五峰鄉,83.3018
苗栗鎮,75.1345
苑裡鎮,81.0047
通霄鎮,82.0178
竹南鎮,76.0098
頭份鎮,77.9642
後龍鎮,79.7039
卓蘭鎮,80.0242
大湖鄉,76.6771
公館鄉,78.4911
銅鑼鄉,77.2093
南庄鄉,80.1742
頭屋鄉,79.1262
三義鄉,77.8981
西湖鄉,77.552
造橋鄉,76.2977
三灣鄉,79.2532
獅潭鄉,81.2097
泰安鄉,83.235
豐原鎮,78.1732
東勢鎮,77.4629
大甲鎮,81.7592
清水鎮,79.8298
沙鹿鎮,82.1846
梧棲鎮,79.0654
后里鄉,83.5693
神岡鄉,89.839
潭子鄉,86.1297
大雅鄉,92.136
新社鄉,85.5047
石岡鄉,80.8041
外埔鄉,83.9135
大安鄉,85.8716
烏日鄉,86.6905
大肚鄉,81.403
龍井鄉,81.8799
霧峰鄉,80.3076
太平鄉,73.778
大里鄉,71.3003
和平鄉,88.9985
彰化市,73.1424
鹿港鎮,80.3532
和美鎮,82.2726
線西鄉,85.652
伸港鄉,82.0461
福興鄉,83.6369
秀水鄉,80.3322
花壇鄉,81.7844
芬園鄉,82.3459
員林鎮,78.9846
溪湖鎮,79.3127
田中鎮,74.7464
大村鄉,84.8144
埔鹽鄉,84.1413
埔心鄉,84.7527
永靖鄉,84.1224
社頭鄉,81.8705
二水鄉,76.581
北斗鎮,78.2952
二林鎮,79.0753
田尾鄉,81.3592
埤頭鄉,83.3086
芳苑鄉,81.4509
大城鄉,84.0071
竹塘鄉,81.7013
溪州鄉,80.956
南投鎮,75.6095
埔里鎮,77.0574
草屯鎮,78.0307
竹山鎮,78.9027
集集鎮,79.5737
名間鄉,79.8681
鹿谷鄉,79.2869
中寮鄉,81.7308
魚池鄉,81.4862
