town,suke
板橋鎮,14.63
三重市,10.02
中和鄉,15.01
永和鎮,22.61
新莊鎮,9.84
新店鎮,12.05
樹林鎮,9.99
鶯歌鎮,5.3
三峽鎮,4.18
淡水鎮,7.26
汐止鎮,8.55
瑞芳鎮,8.41
土城鄉,7.03
蘆洲鄉,4.83
五股鄉,3.05
泰山鄉,10.99
林口鄉,4.46
深坑鄉,3.71
石碇鄉,2.87
坪林鄉,2.17
三芝鄉,2.53
石門鄉,3.41
八里鄉,2.27
平溪鄉,5.08
雙溪鄉,4.96
貢寮鄉,2.68
金山鄉,3.16
萬里鄉,3.54
烏來鄉,6.08
宜蘭市,12.75
羅東鎮,10.82
頭城鎮,5.75
蘇澳鎮,3.73
礁溪鄉,3.7
壯圍鄉,1.71
員山鄉,2.31
冬山鄉,2.34
五結鄉,4.79
三星鄉,2.49
大同鄉,2.76
南澳鄉,3.29
桃園鎮,10.89
中壢鎮,8.57
大溪鎮,4.18
楊梅鎮,6.36
蘆竹鄉,5.32
大園鄉,4.31
龜山鄉,4.76
八德鄉,4.94
龍潭鄉,6.27
平鎮鄉,7.6
新屋鄉,2.99
觀音鄉,2.77
復興鄉,2.22
竹北鄉,3.34
竹東鎮,7.46
新埔鎮,3.61
關西鎮,2.93
湖口鄉,5.69
新豐鄉,3.31
芎林鄉,2.74
橫山鄉,3.06
北埔鄉,2.75
寶山鄉,2.13
峨眉鄉,2.37
尖石鄉,3.54
五峰鄉,2.37
苗栗鎮,12.36
苑裡鎮,2.15
通霄鎮,1.89
竹南鎮,7.3
頭份鎮,5.92
後龍鎮,2.9
卓蘭鎮,3.08
大湖鄉,3.29
公館鄉,4.42
銅鑼鄉,3.18
南庄鄉,3.61
頭屋鄉,3.22
三義鄉,3.21
西湖鄉,2.76
造橋鄉,3.32
三灣鄉,2.24
獅潭鄉,2.06
泰安鄉,1.58
豐原鎮,9.39
東勢鎮,5.93
大甲鎮,4.85
清水鎮,5.6
沙鹿鎮,5.15
梧棲鎮,4.43
后里鄉,6.02
神岡鄉,6.53
潭子鄉,6.34
大雅鄉,5.43
新社鄉,4.44
石岡鄉,8.41
外埔鄉,2.73
大安鄉,2.04
烏日鄉,8.26
大肚鄉,4.48
龍井鄉,3.09
霧峰鄉,8.43
太平鄉,3.07
大里鄉,5.57
和平鄉,4.2
彰化市,11.35
鹿港鎮,3.72
和美鎮,3.62
線西鄉,2.59
伸港鄉,2.18
福興鄉,1.99
秀水鄉,3.55
花壇鄉,3.83
芬園鄉,2.39
員林鎮,7.39
溪湖鎮,4.63
田中鎮,5.02
大村鄉,2.11
埔鹽鄉,1.79
埔心鄉,2.35
永靖鄉,2.37
社頭鄉,3.42
二水鄉,3.66
北斗鎮,4.99
二林鎮,2.21
田尾鄉,2.18
埤頭鄉,2.25
芳苑鄉,1.18
大城鄉,1.21
竹塘鄉,1.99
溪州鄉,4.55
南投鎮,19.6
埔里鎮,4.84
草屯鎮,5.56
竹山鎮,4.02
集集鎮,6.41
名間鄉,2.45
鹿谷鄉,2.78
中寮鄉,1.9
魚池鄉,3.45
國姓鄉,1.84
水里鄉,4.41
信義鄉,1.52
仁愛鄉,1.76
斗六鎮,9.1
斗南鎮,3.76
虎尾鎮,6.87
西螺鎮,2.99
土庫鎮,2.02
北港鎮,5.8
古坑鄉,1.98
大埤鄉,1.35
莿桐鄉,2.21
林內鄉,2.33
二崙鄉,1.58
崙背鄉,1.45
麥寮鄉,1.2
東勢鄉,1.3
褒忠鄉,3.8
臺西鄉,1.16
元長鄉,1.05
四湖鄉,1.52
口湖鄉,0.95
水林鄉,1.2
太保市,1.86
朴子鎮,4.56
布袋鎮,2.75
大林鎮,3.97
民雄鄉,3.28
溪口鄉,1.34
新港鄉,2.06
六腳鄉,2.2
東石鄉,1.08
義竹鄉,1.93
鹿草鄉,1.39
水上鄉,7.07
中埔鄉,2.49
竹崎鄉,1.92
梅山鄉,2.37
番路鄉,2.51
大埔鄉,3.16
吳鳳鄉,3.72
新營鎮,11.15
鹽水鎮,4.77
白河鎮,3.56
柳營鄉,2.89
後壁鄉,3.43
東山鄉,2.3
麻豆鎮,4.91
下營鄉,1.84
六甲鄉,3.61
官田鄉,4.08
大內鄉,1.91
佳里鎮,4.78
學甲鄉,2.45
西港鄉,1.73
