town,w_lab
板橋鎮,23.1025
三重市,19.8264
中和鄉,20.7563
永和鎮,17.1284
新莊鎮,22.3756
新店鎮,18.7506
樹林鎮,23.4663
鶯歌鎮,19.6453
三峽鎮,17.544
淡水鎮,18.8308
汐止鎮,24.4173
瑞芳鎮,19.251
土城鄉,23.0408
蘆洲鄉,20.869
五股鄉,17.6579
泰山鄉,19.9839
林口鄉,13.7339
深坑鄉,17.9173
石碇鄉,16.0244
坪林鄉,12.6094
三芝鄉,12.9955
石門鄉,14.145
八里鄉,12.5149
平溪鄉,18.2969
雙溪鄉,12.1905
貢寮鄉,19.0094
金山鄉,10.4726
萬里鄉,12.7796
烏來鄉,18.3552
宜蘭市,20.2935
羅東鎮,20.8376
頭城鎮,19.7085
蘇澳鎮,16.5799
礁溪鄉,18.1509
壯圍鄉,15.5142
員山鄉,16.5636
冬山鄉,14.3285
五結鄉,19.2677
三星鄉,17.4529
大同鄉,19.6518
南澳鄉,18.9643
桃園鎮,20.4065
中壢鎮,18.1982
大溪鎮,14.1835
楊梅鎮,16.1903
蘆竹鄉,11.5769
大園鄉,10.9558
龜山鄉,17.0812
八德鄉,17.0065
龍潭鄉,11.4301
平鎮鄉,14.638
新屋鄉,13.2026
觀音鄉,14.805
復興鄉,12.8538
竹北鄉,21.5323
竹東鎮,21.6431
新埔鎮,19.1877
關西鎮,20.6092
湖口鄉,17.037
新豐鄉,25.5761
芎林鄉,17.237
橫山鄉,27.6912
北埔鄉,25.8079
寶山鄉,28.0582
峨眉鄉,33.5791
尖石鄉,22.0815
五峰鄉,27.1724
苗栗鎮,22.818
苑裡鎮,29.7391
通霄鎮,32.5657
竹南鎮,20.5651
頭份鎮,18.7257
後龍鎮,22.9894
卓蘭鎮,11.7536
大湖鄉,28.5795
公館鄉,27.9683
銅鑼鄉,21.9961
南庄鄉,15.9237
頭屋鄉,31.1026
三義鄉,23.0967
西湖鄉,31.4053
造橋鄉,24.7911
三灣鄉,18.1651
獅潭鄉,37.4452
泰安鄉,28.9855
豐原鎮,18.5458
東勢鎮,11.7675
大甲鎮,11.5932
清水鎮,12.3753
沙鹿鎮,17.5646
梧棲鎮,15.6185
后里鄉,13.6969
神岡鄉,13.2929
潭子鄉,16.9069
大雅鄉,8.4259
新社鄉,12.95
石岡鄉,11.7338
外埔鄉,10.112
大安鄉,7.145
烏日鄉,17.8816
大肚鄉,18.9913
龍井鄉,11.7528
霧峰鄉,13.9991
太平鄉,18.0971
大里鄉,19.0865
和平鄉,14.1606
彰化市,19.3201
鹿港鎮,19.7202
和美鎮,19.9731
線西鄉,20.2181
伸港鄉,16.9577
福興鄉,13.7636
秀水鄉,14.8455
花壇鄉,15.7206
芬園鄉,16.856
員林鎮,19.6866
溪湖鎮,18.0617
田中鎮,18.4401
大村鄉,18.5083
埔鹽鄉,11.5111
埔心鄉,12.9287
永靖鄉,26.5518
社頭鄉,19.4589
二水鄉,9.3719
北斗鎮,21.2156
二林鎮,29.2339
田尾鄉,40.1446
埤頭鄉,35.9706
芳苑鄉,32.6505
大城鄉,37.7932
竹塘鄉,46.3097
溪州鄉,33.6751
南投鎮,17.8711
埔里鎮,21.4066
草屯鎮,19.5378
竹山鎮,15.7981
集集鎮,15.5931
名間鄉,27.2082
鹿谷鄉,10.7488
中寮鄉,21.4043
魚池鄉,16.7566
國姓鄉,17.4229
水里鄉,17.3161
信義鄉,39.7935
仁愛鄉,66.9655
斗六鎮,25.4795
斗南鎮,25.8377
虎尾鎮,27.2471
西螺鎮,21.6248
土庫鎮,50.6858
北港鎮,27.1595
古坑鄉,39.7479
大埤鄉,38.3392
莿桐鄉,36.381
林內鄉,29.8319
二崙鄉,44.9247
崙背鄉,59.4113
麥寮鄉,46.4533
東勢鄉,54.4794
褒忠鄉,45.4765
臺西鄉,50.1389
元長鄉,66.384
四湖鄉,43.642
口湖鄉,49.5111
水林鄉,58.553
太保市,52.7742
朴子鎮,26.3244
布袋鎮,31.5539
大林鎮,26.6252
民雄鄉,29.4941
溪口鄉,53.9687
新港鄉,41.8714
六腳鄉,43.5915
東石鄉,35.0436
義竹鄉,39.2072
鹿草鄉,58.1855
水上鄉,34.1216
中埔鄉,17.6027
竹崎鄉,18.847
梅山鄉,22.6689
番路鄉,21.808
大埔鄉,28.2624
吳鳳鄉,28.6653
新營鎮,32.6025
鹽水鎮,35.0904
白河鎮,47.9658
柳營鄉,51.6822
後壁鄉,47.1166
東山鄉,55.5788
麻豆鎮,47.4463
下營鄉,64.1337
六甲鄉,40.8214
官田鄉,51.5847
大內鄉,62.7386
佳里鎮,46.7444
學甲鄉,51.8085
西港鄉,68.0569
七股鄉,55.7428
將軍鄉,53.6414
北門鄉,50.6837
新化鎮,49.6887
善化鎮,47.2769
新市鄉,66.5873
安定鄉,59.2868
山上鄉,65.2575
玉井鄉,48.0387
楠西鄉,65.3341
南化鄉,70.2703
左鎮鄉,74.6292
仁德鄉,40.9024
歸仁鄉,40.9747
關廟鄉,48.1109
龍崎鄉,70.1162
永康鄉,33.1927
鳳山鎮,18.2105
林園鄉,23.5981
大寮鄉,19.8314
大樹鄉,21.5662
大社鄉,23.4586
仁武鄉,28.8908
鳥松鄉,15.575
岡山鎮,19.2917
橋頭鄉,21.1249
燕巢鄉,37.6039
田寮鄉,34.5265
阿蓮鄉,29.5542
路竹鄉,28.031
湖內鄉,20.9522
茄萣鄉,22.6301
永安鄉,35.4781
彌陀鄉,30.9198
梓官鄉,22.4758
旗山鎮,23.8984
美濃鎮,38.9714
六龜鄉,33.4476
甲仙鄉,30.0555
杉林鄉,43.9518
內門鄉,56.2396
茂林鄉,51.4205
桃源鄉,74.8634
三民鄉,76.7956
屏東市,18.8159
潮州鎮,27.8217
東港鎮,16.4389
恆春鎮,32.9205
萬丹鄉,34.4578
長治鄉,36.0391
麟洛鄉,37.6396
九如鄉,50.2084
里港鄉,33.5877
鹽埔鄉,45.5107
高樹鄉,49.3179
萬巒鄉,36.5481
內埔鄉,39.1711
竹田鄉,53.0188
新埤鄉,46.7301
枋寮鄉,22.3871
新園鄉,22.8481
崁頂鄉,31.1985
林邊鄉,19.1146
南州鄉,19.2623
佳冬鄉,38.9599
琉球鄉,6.9307
車城鄉,32.2646
滿州鄉,35.9012
枋山鄉,27.0166
三地鄉,79.637
霧臺鄉,84.7345
瑪家鄉,75.2372
泰武鄉,64.4231
來義鄉,80.7671
春日鄉,67.86
獅子鄉,57.754
牡丹鄉,72.6296
臺東鎮,24.0166
成功鎮,45.7974
關山鎮,24.1341
卑南鄉,28.7797
鹿野鄉,32.7661
池上鄉,21.9304
東河鄉,46.9084
長濱鄉,57.0011
太麻里鄉,37.4943
大武鄉,27.8215
綠島鄉,40.5651
海端鄉,70.607
延平鄉,60.6352
金峰鄉,72.8
達仁鄉,79.1381
蘭嶼鄉,54.4892
花蓮市,21.7031
鳳林鎮,31.1337
玉里鎮,27.3991
新城鄉,21.6374
吉安鄉,29.9438
壽豐鄉,32.7313
光復鄉,34.9292
豐濱鄉,60.4478
瑞穗鄉,31.1232
富里鄉,30.528
秀林鄉,65.4321
萬榮鄉,80.6271
卓溪鄉,62.1475
馬公鎮,32.5747
湖西鄉,59.4915
白沙鄉,61.6759
西嶼鄉,64.7617
望安鄉,65.5005
七美鄉,72.6223
中正區,13.5816
七堵區,19.6264
