OBJECTID,town,adult
1,板橋市,0.6205
2,三重市,0.6296
3,永和市,0.6727
4,中和市,0.6477
5,新莊市,0.5932
6,新店市,0.668
7,樹林鎮,0.6061
8,鶯歌鎮,0.6071
9,三峽鎮,0.6126
10,淡水鎮,0.6349
11,汐止鎮,0.6312
12,瑞芳鎮,0.6489
13,土城鄉,0.6432
14,蘆洲鄉,0.6174
15,五股鄉,0.6094
16,泰山鄉,0.5901
17,林口鄉,0.6062
18,深坑鄉,0.6364
19,石碇鄉,0.6284
20,坪林鄉,0.5897
21,三芝鄉,0.6075
22,石門鄉,0.6104
23,八里鄉,0.5982
24,平溪鄉,0.6243
25,雙溪鄉,0.6299
26,貢寮鄉,0.6048
27,金山鄉,0.5995
28,萬里鄉,0.616
29,烏來鄉,0.6734
30,宜蘭市,0.6395
31,羅東鎮,0.6485
32,蘇澳鎮,0.6302
33,頭城鎮,0.6178
34,礁溪鄉,0.6275
35,壯圍鄉,0.6304
36,員山鄉,0.6228
37,冬山鄉,0.6383
38,五結鄉,0.6364
39,三星鄉,0.6449
40,大同鄉,0.6134
41,南澳鄉,0.6201
42,桃園市,0.6124
43,中壢市,0.6233
44,大溪鎮,0.62
45,楊梅鎮,0.646
46,蘆竹鄉,0.6112
47,大園鄉,0.6144
48,龜山鄉,0.649
49,八德鄉,0.5852
50,龍潭鄉,0.6228
51,平鎮鄉,0.6125
52,新屋鄉,0.6403
53,觀音鄉,0.6336
54,復興鄉,0.5753
55,新竹市,0.645
56,關西鎮,0.6329
57,新埔鎮,0.6382
58,竹東鎮,0.6436
59,香山鄉,0.6143
60,竹北鄉,0.6174
61,湖口鄉,0.6379
62,橫山鄉,0.6379
63,新豐鄉,0.6128
64,芎林鄉,0.6438
65,寶山鄉,0.6334
66,北埔鄉,0.6421
67,峨眉鄉,0.6569
68,尖石鄉,0.5887
69,五峰鄉,0.6173
70,苗栗鎮,0.6453
71,苑裡鎮,0.6267
72,通霄鎮,0.6211
73,竹南鎮,0.6169
74,頭份鎮,0.6222
75,後龍鎮,0.6149
76,卓蘭鎮,0.6549
77,大湖鄉,0.6523
78,公館鄉,0.6462
79,銅鑼鄉,0.6488
80,南庄鄉,0.6346
81,頭屋鄉,0.6409
82,三義鄉,0.6369
83,西湖鄉,0.6328
84,造橋鄉,0.6422
85,三灣鄉,0.6508
86,獅潭鄉,0.656
87,泰安鄉,0.6695
88,豐原市,0.6312
89,東勢鎮,0.6471
90,大甲鎮,0.6219
91,清水鎮,0.6155
92,沙鹿鎮,0.5755
93,梧棲鎮,0.5993
94,后里鄉,0.6192
95,神岡鄉,0.6091
