town,agri
?¿æ?å¸,2.0300
ä¸??å¸,2.5800
æ°¸å?å¸,1.3800
ä¸­å?å¸,1.7700
?°è?å¸,5.2200
?°å?å¸,4.2300
æ¨¹æ??,7.3000
é¶¯æ??,6.6700
ä¸?³½?,19.8200
æ·¡æ°´?,18.9200
æ±?­¢?,4.7600
????,3.6400
????,5.8500
??´²?,8.7400
äº???,17.0100
æ³°å±±?,8.2400
????,23.4200
æ·±å??,15.3900
?³ç??,26.8700
?ªæ??,60.7800
ä¸???,42.1100
?³é??,32.3800
?«é??,36.8500
å¹³æºª?,2.6200
??ºª?,12.0100
è²¢å¯®?,38.0400
??±±?,27.3800
?¬é??,22.6800
????,18.8100
å®??å¸,12.9200
ç¾???,9.6800
??¾³?,25.3300
?­å??,29.6700
ç¤?ºª?,31.3500
å£¯å??,43.0000
?¡å±±?,36.0600
?¬å±±?,24.3300
äº???,22.3200
ä¸???,39.2700
å¤§å??,70.9400
??¾³?,51.1300
æ¡??å¸,7.2800
ä¸­å£¢å¸,8.5500
å¤§æºª?,17.6800
æ¥???,15.3400
??«¹?,33.5500
å¤§å??,33.5400
é¾?±±?,9.4600
?«å¾·?,9.5500
é¾?½­?,15.1200
å¹³é??,9.9300
?°å??,36.4600
è§??³é?,38.3300
å¾©è??,54.4500
?°ç«¹å¸,5.0900
??¥¿?,25.1400
?°å??,26.3900
ç«¹æ??,12.9900
é¦?±±?,17.2500
ç«¹å??,24.3000
æ¹???,17.1200
æ©«å±±?,25.2600
?°è??,28.1000
????,34.0100
å¯¶å±±?,39.5700
????,27.3200
å³¨ç??,51.6700
å°???,60.9000
äº?³°?,54.6100
????,9.6600
??£¡?,33.0000
????,32.1600
ç«¹å??,14.8700
?­ä»½?,14.8300
å¾???,36.8100
????,48.5700
å¤§æ??,38.7800
?¬é¤¨?,31.8300
????,34.9200
????,20.3900
?­å??,26.9000
ä¸?¾©?,23.0400
è¥¿æ??,42.9900
????,23.6600
ä¸???,28.8200
??½­?,38.4500
æ³°å??,60.2700
è±??å¸,12.4400
?±å??,37.5000
å¤§ç??,24.9500
æ¸?°´?,26.8800
æ²?¹¿?,19.6100
æ¢§æ£²?,23.9100
????,31.0200
ç¥?²¡?,34.1400
æ½­å??,18.9700
å¤§é??,26.3900
?°ç¤¾?,46.1000
?³å²¡?,32.9700
å¤???,37.8900
å¤§å??,41.2800
????,22.2700
å¤§è??,28.2200
é¾???,29.9600
?§å³°?,28.1600
å¤ªå¹³?,16.2800
å¤§é??,14.5000
??¹³?,53.5800
å½°å?å¸,10.8800
é¹¿æ¸¯?,22.3700
????,27.5800
????,32.8700
?¡æ??,19.2800
æºªæ??,38.9600
?°ä¸­?,27.7400
äº???,51.7600
ç·?¥¿?,31.7600
ä¼¸æ¸¯?,39.7900
ç¦???,44.6800
ç§?æ°´é?,41.9900
?±å??,20.7300
?¬å??,39.2200
å¤§æ??,36.6500
??¹½?,57.7800
????,38.1000
æ°¸é??,41.9100
ç¤¾é??,34.4500
äº?°´?,37.5600
?°å°¾?,52.8900
?¤é??,49.8700
?³è??,52.7300
å¤§å??,58.1300
ç«¹å??,54.8300
æºªå??,54.2900
????,17.9400
????,28.7000
??±¯?,31.6200
ç«¹å±±?,30.5700
????,35.0400
????,47.7700
é¹¿è°·?,49.0500
ä¸­å¯®?,40.2500
é­???,41.5500
????,45.1700
æ°´é??,27.4100
ä¿¡ç¾©?,67.3100
ä»???,78.0700
????,27.3400
????,38.3700
??°¾?,35.5800
è¥¿è??,50.4000
??º«?,62.1200
??¸¯?,26.4600
?¤å??,49.4700
å¤§å??,51.9600
?¿æ??,53.7100
????,36.8600
äº???,65.5400
å´???,58.3500
éº¥å¯®?,58.0100
?±å??,59.9900
è¤???,62.1900
?ºè¥¿?,52.5500
????,57.5300
????,49.1400
????,48.7200
æ°´æ??,59.2600
??¾©å¸,8.3200
?´å??,32.4600
å¸???,39.0800
å¤§æ??,35.2900
æ°???,40.0900
æºªå??,47.5700
?°æ¸¯?,50.6000
?­è??,48.8700
?±ç??,51.3700
ç¾©ç«¹?,43.8200
é¹¿è??,52.0600
å¤ªä??,51.1300
æ°´ä??,33.1500
ä¸­å??,45.9900
ç«¹å??,47.3100
æ¢?±±?,46.1600
?ªè·¯?,54.7200
å¤§å??,57.9200
?³é³³?,59.9300
?°ç??,16.9900
é¹½æ°´?,33.4400
?½æ²³?,40.8400
éº»è??,31.4700
ä½³é??,26.5900
?°å??,32.6500
????,31.9100
å­¸ç??,32.8200
?³ç??,42.5600
å¾???,41.0300
?±å±±?,52.3600
ä¸???,47.1000
?­ç??,39.6200
å®???,38.1100
å¤§å??,53.0300
è¥¿æ¸¯?,39.7100
ä¸???,36.6600
å°???,39.7600
????,34.9000
?°å??,40.4500
å®???,39.8700
å±±ä??,43.0900
????,40.6000
æ¥?¥¿?,56.7600
????,53.2700
å·¦é??,46.7900
ä»?¾·?,17.6100
æ­¸ä??,27.2700
????,32.0400
