town,chu
板橋市,24.1
三重市,24.26
永和市,20.39
中和市,22.83
新莊市,24.61
新店市,19.75
樹林鎮,25.25
鶯歌鎮,25.39
三峽鎮,26.35
淡水鎮,24.28
汐止鎮,23.6
瑞芳鎮,26.3
土城鄉,23.51
蘆洲鄉,22.41
五股鄉,25.41
泰山鄉,24.96
林口鄉,25.8
深坑鄉,25.23
石碇鄉,28.32
坪林鄉,28.09
三芝鄉,24.12
石門鄉,22.9
八里鄉,24.74
平溪鄉,30.55
雙溪鄉,28.67
貢寮鄉,25.89
金山鄉,24.11
萬里鄉,25.17
烏來鄉,23.57
宜蘭市,26.08
羅東鎮,26.01
蘇澳鎮,28.57
頭城鎮,28.39
礁溪鄉,27.81
壯圍鄉,28.57
員山鄉,28.65
冬山鄉,29.42
五結鄉,28.49
三星鄉,30.03
大同鄉,24.52
南澳鄉,28.75
桃園市,26.69
中壢市,26.38
大溪鎮,28.31
楊梅鎮,26.39
蘆竹鄉,29.26
大園鄉,28.85
龜山鄉,25.37
八德鄉,25.91
龍潭鄉,28.1
平鎮鄉,26.96
新屋鄉,27.96
觀音鄉,30.41
復興鄉,26.95
新竹市,24.28
關西鎮,29.67
新埔鎮,26.73
竹東鎮,27.96
香山鄉,24.79
竹北鄉,26.96
湖口鄉,26.29
橫山鄉,29.23
新豐鄉,26.29
芎林鄉,28.17
寶山鄉,32.55
北埔鄉,31.72
峨眉鄉,30.98
尖石鄉,23.03
五峰鄉,27.82
苗栗鎮,23.82
苑裡鎮,28.11
通霄鎮,25.16
竹南鎮,25.56
頭份鎮,28.86
後龍鎮,27.72
卓蘭鎮,28.16
大湖鄉,28.82
公館鄉,27.42
銅鑼鄉,28.5
南庄鄉,30.87
頭屋鄉,26.86
三義鄉,27.9
西湖鄉,30.23
造橋鄉,26.68
三灣鄉,31.62
獅潭鄉,29.92
泰安鄉,26.23
豐原市,25.85
東勢鎮,28.04
大甲鎮,25.89
清水鎮,22.08
沙鹿鎮,23.25
梧棲鎮,22.82
后里鄉,26.48
神岡鄉,25.53
潭子鄉,25.57
大雅鄉,26.37
新社鄉,27.79
石岡鄉,26.78
外埔鄉,28.22
大安鄉,26.35
烏日鄉,24.57
大肚鄉,23.19
龍井鄉,24.08
霧峰鄉,24.96
太平鄉,25.05
大里鄉,23.87
和平鄉,24.97
彰化市,23.82
鹿港鎮,21.76
和美鎮,21.22
北斗鎮,25.32
員林鎮,24.17
溪湖鎮,24.82
田中鎮,24.79
二林鎮,26.83
線西鄉,18.92
伸港鄉,20.26
福興鄉,22.22
秀水鄉,26.7
花壇鄉,25.46
芬園鄉,26.59
大村鄉,25.71
埔鹽鄉,24.72
埔心鄉,23.76
永靖鄉,24.33
社頭鄉,25.97
二水鄉,23.2
田尾鄉,25.25
埤頭鄉,24.84
芳苑鄉,23.58
大城鄉,24.62
竹塘鄉,28.16
溪州鄉,25.76
南投鎮,23.67
埔里鎮,27.03
草屯鎮,25.96
竹山鎮,25.8
集集鎮,27.42
名間鄉,27.23
鹿谷鄉,26.25
中寮鄉,29.13
魚池鄉,28.1
國姓鄉,30.62
水里鄉,27.41
信義鄉,23.89
仁愛鄉,20.91
斗六鎮,23.97
斗南鎮,24.91
虎尾鎮,23.92
西螺鎮,25.85
土庫鎮,23.97
北港鎮,25.23
古坑鄉,25.2
大埤鄉,24.88
莿桐鄉,25.11
林內鄉,25.9
二崙鄉,27.5
崙背鄉,26.3
麥寮鄉,22.06
東勢鄉,22
褒忠鄉,25.29
臺西鄉,19.43
元長鄉,23.3
四湖鄉,22.64
口湖鄉,22.38
水林鄉,23.19
嘉義市,23.02
朴子鎮,24.85
布袋鎮,24.84
大林鎮,25.16
民雄鄉,24.36
溪口鄉,24.17
新港鄉,25.09
六腳鄉,24.45
東石鄉,24.04
義竹鄉,24.93
鹿草鄉,25.65
太保鄉,27.32
水上鄉,26.02
中埔鄉,28.6
竹崎鄉,26.92
梅山鄉,25.36
番路鄉,26.53
大埔鄉,23.87
吳鳳鄉,22.59
新營鎮,23.13
鹽水鎮,25.82
白河鎮,23.79
麻豆鎮,23.14
佳里鎮,25.83
新化鎮,23.6
善化鎮,23.32
學甲鎮,26.02
柳營鄉,24.24
後壁鄉,23.61
東山鄉,26.5
下營鄉,23.94
六甲鄉,22.15
官田鄉,23.38
大內鄉,23.08
西港鄉,26.53
七股鄉,28.94
將軍鄉,24.51
北門鄉,26.4
新市鄉,23.75
安定鄉,24.46
山上鄉,22.39
玉井鄉,26.11
楠西鄉,26.26
南化鄉,26.13
左鎮鄉,22.52
仁德鄉,21.78
歸仁鄉,22.41
關廟鄉,22.49
龍崎鄉,24.73
永康鄉,22.05
鳳山市,24.6
岡山鎮,22.96
旗山鎮,28.58
美濃鎮,27.02
林園鄉,25.57
大寮鄉,26.01
大樹鄉,26.27
仁武鄉,23.82
大社鄉,24.38
鳥松鄉,23.75
橋頭鄉,21.75
燕巢鄉,23.37
田寮鄉,28.33
阿蓮鄉,25.35
路竹鄉,24.45
湖內鄉,24.67
茄萣鄉,19.89
永安鄉,25.47
彌陀鄉,21.24
梓官鄉,21.77
六龜鄉,27.05
甲仙鄉,29.31
杉林鄉,32.6
內門鄉,29.01
茂林鄉,20.42
桃源鄉,21.49
三民鄉,14.45
屏東市,24.02
潮州鎮,25.37
東港鎮,23.53
恆春鎮,29.11
萬丹鄉,25.53
長治鄉,25.27
麟洛鄉,22.14
九如鄉,28.09
里港鄉,27.35
鹽埔鄉,27.24
高樹鄉,27.5
萬巒鄉,26.43
內埔鄉,25.56
竹田鄉,25.12
新埤鄉,23.04
枋寮鄉,27.61
新園鄉,25.23
崁頂鄉,25.08
林邊鄉,26.06
南州鄉,25.29
佳冬鄉,24.92
琉球鄉,19.71
車城鄉,30.12
滿州鄉,27.85
枋山鄉,26.53
三地門鄉,18.07
霧臺鄉,18.99
瑪家鄉,19.54
泰武鄉,18.54
來義鄉,11.42
春日鄉,10
獅子鄉,20.03
牡丹鄉,21.76
臺東市,24.87
成功鎮,23.98
關山鎮,25.36
卑南鄉,23.34
大武鄉,22.76
太麻里鄉,24.73
東河鄉,26.37
長濱鄉,25.8
鹿野鄉,26.63
池上鄉,26.67
綠島鄉,21.08
延平鄉,17.57
海端鄉,20.38
達仁鄉,18.93
金峰鄉,25.39
蘭嶼鄉,27.58
花蓮市,21.58
鳳林鎮,25.66
玉里鎮,24.94
新城鄉,23.15
吉安鄉,23.7
壽豐鄉,23.83
光復鄉,26.2
豐濱鄉,24.14
瑞穗鄉,27.15
富里鄉,29.06
秀林鄉,17.47
萬榮鄉,16.71
卓溪鄉,19.6
馬公鎮,25.85
湖西鄉,28.51
白沙鄉,31.14
西嶼鄉,25.09
望安鄉,22.26
七美鄉,24.29
中正區,22.85
七堵區,24.44
暖暖區,24.04
仁愛區,23.26
中山區,24.13
安樂區,24.51
信義區,21.09
中區,24.24
東區,23.16
西區,21.92
南區,22.33
北區,21.19
西屯區,22.63
南屯區,23.87
北屯區,24.08
東區,21.37
南區,22.05
西區,21.27
北區,21.82
中區,22.54
安南區,22.36
安平區,18.75
松山區,19.85
大安區,18.38
古亭區,20.97
雙園區,24.85
龍山區,23.28
城中區,17.6
建成區,23.17
延平區,22.85
大同區,23.23
中山區,21.31
內湖區,21.86
南港區,23.14
木柵區,21.51
景美區,19.21
士林區,21.2
北投區,21.5
鹽埕區,23.63
鼓山區,24.93
左營區,24.13
楠梓區,24.49
三民區,24.58
新興區,22.86
前金區,23.09
苓雅區,24.18
前鎮區,25.88
旗津區,25.6
小港區,23.76
