town,cons
?¿æ?å¸,10.3000
ä¸??å¸,9.1500
æ°¸å?å¸,7.4200
ä¸­å?å¸,9.5300
?°è?å¸,8.1400
?°å?å¸,7.6100
æ¨¹æ??,5.8400
é¶¯æ??,5.6200
ä¸?³½?,6.1700
æ·¡æ°´?,8.1700
æ±?­¢?,7.8000
????,7.7200
????,9.4800
??´²?,10.9300
äº???,6.4200
æ³°å±±?,8.5100
????,9.1200
æ·±å??,10.0700
?³ç??,6.5200
?ªæ??,3.4700
ä¸???,7.8200
?³é??,14.4500
?«é??,9.3700
å¹³æºª?,5.2700
??ºª?,7.7200
è²¢å¯®?,6.5600
??±±?,12.1200
?¬é??,12.0200
????,7.8900
å®??å¸,7.3100
ç¾???,6.4200
??¾³?,7.3800
?­å??,6.8700
ç¤?ºª?,6.6000
å£¯å??,8.3000
?¡å±±?,10.4900
?¬å±±?,9.9900
äº???,8.9800
ä¸???,7.5600
å¤§å??,1.7100
??¾³?,1.4400
æ¡??å¸,7.6400
ä¸­å£¢å¸,6.5100
å¤§æºª?,7.2300
æ¥???,4.5600
??«¹?,5.5600
å¤§å??,6.8600
é¾?±±?,6.3700
?«å¾·?,7.0000
é¾?½­?,7.0000
å¹³é??,7.0900
?°å??,3.5500
è§??³é?,4.7400
å¾©è??,3.4800
?°ç«¹å¸,6.8200
??¥¿?,4.5000
?°å??,4.1800
ç«¹æ??,5.3400
é¦?±±?,9.0600
ç«¹å??,5.9400
æ¹???,5.4800
æ©«å±±?,4.9800
?°è??,4.8300
????,4.1500
å¯¶å±±?,6.4700
????,4.5900
å³¨ç??,2.5100
å°???,2.2500
äº?³°?,1.1100
????,5.2200
??£¡?,5.9600
????,5.9000
ç«¹å??,4.7000
?­ä»½?,4.8800
å¾???,5.4700
????,2.8600
å¤§æ??,4.6300
?¬é¤¨?,4.5000
????,3.7600
????,4.6400
?­å??,4.3100
ä¸?¾©?,5.8900
è¥¿æ??,2.4500
????,3.2400
ä¸???,3.5400
??½­?,6.0900
æ³°å??,2.0500
è±??å¸,4.5700
?±å??,5.3300
å¤§ç??,5.8300
æ¸?°´?,9.4800
æ²?¹¿?,11.5000
æ¢§æ£²?,10.4600
????,5.1600
ç¥?²¡?,6.2300
æ½­å??,4.4700
å¤§é??,6.1700
?°ç¤¾?,4.0000
?³å²¡?,4.9800
å¤???,5.7600
å¤§å??,6.1500
????,5.2300
å¤§è??,5.9100
é¾???,8.0400
?§å³°?,7.0900
å¤ªå¹³?,6.6600
å¤§é??,6.6400
??¹³?,3.6500
å½°å?å¸,4.0200
é¹¿æ¸¯?,4.7200
????,3.6300
????,4.7900
?¡æ??,5.0600
æºªæ??,3.8400
?°ä¸­?,4.5900
äº???,3.5100
ç·?¥¿?,5.4900
ä¼¸æ¸¯?,3.6000
ç¦???,3.8600
ç§?æ°´é?,7.7500
?±å??,10.7300
?¬å??,5.0300
å¤§æ??,6.6500
??¹½?,2.5400
????,3.5600
æ°¸é??,3.2500
ç¤¾é??,3.6900
äº?°´?,3.0700
?°å°¾?,2.2200
?¤é??,3.3300
?³è??,6.2700
å¤§å??,6.1100
ç«¹å??,3.6200
æºªå??,3.0300
????,5.2100
????,7.8100
??±¯?,5.1500
ç«¹å±±?,5.5800
????,4.4500
????,3.9300
é¹¿è°·?,3.6000
ä¸­å¯®?,4.7900
é­???,6.5700
????,4.7300
æ°´é??,9.2400
ä¿¡ç¾©?,1.5400
ä»???,0.9700
????,5.3100
????,4.9400
??°¾?,5.9800
è¥¿è??,4.3000
??º«?,4.3700
??¸¯?,5.9000
?¤å??,6.2300
å¤§å??,4.3600
?¿æ??,4.8600
????,6.5600
äº???,3.1200
å´???,6.3700
éº¥å¯®?,9.7400
?±å??,7.7600
è¤???,6.3100
?ºè¥¿?,9.8800
????,6.4300
????,8.2600
????,6.9300
æ°´æ??,5.1200
??¾©å¸,6.1400
?´å??,6.7900
å¸???,3.9300
å¤§æ??,5.3200
æ°???,5.3200
æºªå??,5.8100
?°æ¸¯?,4.9100
?­è??,4.2500
?±ç??,4.3800
ç¾©ç«¹?,6.1200
é¹¿è??,6.5800
å¤ªä??,6.7700
æ°´ä??,6.3700
ä¸­å??,4.9700
ç«¹å??,4.1900
æ¢?±±?,4.2600
?ªè·¯?,3.0300
å¤§å??,3.4200
?³é³³?,2.6600
?°ç??,6.8800
é¹½æ°´?,5.8300
?½æ²³?,5.5500
éº»è??,4.5000
ä½³é??,5.8300
?°å??,6.9100
????,4.2600
å­¸ç??,4.0100
?³ç??,9.4400
å¾???,5.0000
?±å±±?,6.1800
ä¸???,4.0400
?­ç??,5.2200
å®???,4.2100
å¤§å??,3.3900
è¥¿æ¸¯?,5.5300
ä¸???,5.0900
å°???,4.9800
????,4.1700
?°å??,3.5200
å®???,4.1100
å±±ä??,3.7000
????,4.7300
æ¥?¥¿?,3.8900
????,6.2700
å·¦é??,5.2600
ä»?¾·?,9.0900
æ­¸ä??,6.3100
????,4.6700
é¾???,5.8300
æ°¸åº·?,6.5100
é³³å±±å¸,9.4300
å²¡å±±?,6.7500
??±±?,5.5900
ç¾???,3.7100
????,9.1600
å¤§å¯®?,8.4300
å¤§æ¨¹?,7.0000
ä»?­¦?,8.8300
å¤§ç¤¾?,8.0100
é³¥æ??,6.8500
æ©???,10.1800
??·¢?,8.1800
?°å¯®?,4.8500
?¿è??,6.5200
è·¯ç«¹?,6.6700
æ¹???,9.1300
????,3.2000
æ°¸å??,6.3000
å½???,14.9400
æ¢???,12.0200
?­é??,6.9700
?²ä??,6.4200
????,5.4100
?§é??,6.4100
????,1.9800
æ¡???,2.4400
ä¸???,1.9200
å±??å¸,7.6600
æ½®å??,9.2000
?±æ¸¯?,6.2900
????,10.5600
?¬ä¸¹?,9.5300
?·æ²»?,6.5600
