OBJECTID,divorced,town
1,2.29,板橋市
2,2.34,三重市
3,2.49,永和市
4,2.14,中和市
5,1.78,新莊市
6,2.43,新店市
7,1.46,樹林鎮
8,1.63,鶯歌鎮
9,1.98,三峽鎮
10,2.07,淡水鎮
11,2.3,汐止鎮
12,2.41,瑞芳鎮
13,2.31,土城鄉
14,1.73,蘆洲鄉
15,2.21,五股鄉
16,2,泰山鄉
17,2.43,林口鄉
18,1.98,深坑鄉
19,2.43,石碇鄉
20,0.79,坪林鄉
21,1.73,三芝鄉
22,2.56,石門鄉
23,1.73,八里鄉
24,2.03,平溪鄉
25,1.71,雙溪鄉
26,2.74,貢寮鄉
27,1.75,金山鄉
28,3.41,萬里鄉
29,4.39,烏來鄉
30,2.01,宜蘭市
31,2.18,羅東鎮
32,1.38,蘇澳鎮
33,1.36,頭城鎮
34,1.71,礁溪鄉
35,1.22,壯圍鄉
36,1.66,員山鄉
37,1.41,冬山鄉
38,1.26,五結鄉
39,1.74,三星鄉
40,4.64,大同鄉
41,5.44,南澳鄉
42,2.31,桃園市
43,2.08,中壢市
44,2,大溪鎮
45,1.97,楊梅鎮
46,2.18,蘆竹鄉
47,1.56,大園鄉
48,2.99,龜山鄉
49,3.85,八德鄉
50,2.29,龍潭鄉
51,2.22,平鎮鄉
52,1.8,新屋鄉
53,1.83,觀音鄉
54,6.26,復興鄉
55,1.87,新竹市
56,1.45,關西鎮
57,1.8,新埔鎮
58,2.13,竹東鎮
59,1.45,香山鄉
60,1.17,竹北鄉
61,2.17,湖口鄉
62,1.76,橫山鄉
63,2.06,新豐鄉
64,1.72,芎林鄉
65,1.11,寶山鄉
66,2.11,北埔鄉
67,1.59,峨眉鄉
68,4.45,尖石鄉
69,4.61,五峰鄉
70,1.53,苗栗鎮
71,0.95,苑裡鎮
72,0.85,通霄鎮
73,1.44,竹南鎮
74,1.3,頭份鎮
75,1.34,後龍鎮
76,0.98,卓蘭鎮
77,1.27,大湖鄉
78,1.08,公館鄉
79,1.15,銅鑼鄉
80,2.59,南庄鄉
81,1.23,頭屋鄉
82,1.34,三義鄉
83,1.07,西湖鄉
84,1.28,造橋鄉
85,1.29,三灣鄉
86,1.29,獅潭鄉
87,2.52,泰安鄉
88,1.69,豐原市
89,1.56,東勢鎮
90,1.5,大甲鎮
91,1.24,清水鎮
92,1.15,沙鹿鎮
93,0.99,梧棲鎮
94,1.6,后里鄉
95,1.32,神岡鄉
96,1.57,潭子鄉
97,1.55,大雅鄉
98,1.51,新社鄉
99,1.5,石岡鄉
100,1.09,外埔鄉
101,0.96,大安鄉
102,1.15,烏日鄉
103,1.04,大肚鄉
104,0.76,龍井鄉
105,1.61,霧峰鄉
106,2.05,太平鄉
107,1.43,大里鄉
108,1.97,和平鄉
109,1.37,彰化市
110,0.89,鹿港鎮
111,1.05,和美鎮
112,0.99,北斗鎮
113,1.1,員林鎮
114,0.99,溪湖鎮
115,2.61,田中鎮
116,1.02,二林鎮
117,0.82,線西鄉
118,1.06,伸港鄉
119,0.63,福興鄉
120,0.74,秀水鄉
121,0.71,花壇鄉
122,0.95,芬園鄉
123,0.94,大村鄉
124,0.75,埔鹽鄉
125,0.51,埔心鄉
126,0.67,永靖鄉
127,0.7,社頭鄉
128,0.97,二水鄉
129,0.79,田尾鄉
130,0.8,埤頭鄉
131,0.98,芳苑鄉
132,0.71,大城鄉
133,1,竹塘鄉
134,0.9,溪州鄉
135,1.42,南投鎮
136,1.7,埔里鎮
137,1.57,草屯鎮
138,1.13,竹山鎮
139,1.09,集集鎮
140,1.13,名間鄉
141,0.91,鹿谷鄉
142,1.1,中寮鄉
143,1.2,魚池鄉
144,1.57,國姓鄉
145,1.75,水里鄉
146,2.2,信義鄉
147,4.06,仁愛鄉
148,1.49,斗六鎮
149,1.32,斗南鎮
150,1.47,虎尾鎮
151,0.88,西螺鎮
152,0.9,土庫鎮
153,1.18,北港鎮
154,0.84,古坑鄉
155,0.74,大埤鄉
156,0.81,莿桐鄉
157,1.14,林內鄉
158,0.72,二崙鄉
159,0.71,崙背鄉
160,0.67,麥寮鄉
161,0.86,東勢鄉
162,0.88,褒忠鄉
163,0.71,臺西鄉
164,0.98,元長鄉
165,1.03,四湖鄉
166,0.92,口湖鄉
167,0.67,水林鄉
168,1.85,嘉義市
169,1.03,朴子鎮
170,0.7,布袋鎮
171,1.35,大林鎮
172,1.03,民雄鄉
173,1.04,溪口鄉
174,0.98,新港鄉
175,0.74,六腳鄉
176,0.82,東石鄉
177,0.56,義竹鄉
178,0.86,鹿草鄉
179,0.95,太保鄉
180,1.25,水上鄉
181,1.35,中埔鄉
182,1.09,竹崎鄉
183,1.42,梅山鄉
184,1.13,番路鄉
185,2.77,大埔鄉
186,1.15,吳鳳鄉
187,1.52,新營鎮
188,0.81,鹽水鎮
189,1.1,白河鎮
190,1.06,麻豆鎮
191,0.93,佳里鎮
192,1.42,新化鎮
193,1.07,善化鎮
194,1,學甲鎮
195,0.99,柳營鄉
196,0.83,後壁鄉
197,1.06,東山鄉
198,1,下營鄉
199,1.11,六甲鄉
200,1.9,官田鄉
201,1.23,大內鄉
202,0.83,西港鄉
203,0.59,七股鄉
204,0.82,將軍鄉
205,0.63,北門鄉
206,0.92,新市鄉
207,0.93,安定鄉
208,1.35,山上鄉
209,1.25,玉井鄉
210,2.11,楠西鄉
211,1.24,南化鄉
212,1.15,左鎮鄉
213,1.49,仁德鄉
214,1.27,歸仁鄉
215,1.41,關廟鄉
216,1.06,龍崎鄉
217,1.85,永康鄉
218,2.36,鳳山市
219,2.05,岡山鎮
220,1.75,旗山鎮
221,0.94,美濃鎮
222,1.58,林園鄉
223,2.27,大寮鄉
224,1.86,大樹鄉
225,1.85,仁武鄉
226,1.52,大社鄉
227,1.74,鳥松鄉
228,1.79,橋頭鄉
229,6.49,燕巢鄉
230,1.11,田寮鄉
231,1.52,阿蓮鄉
232,1.27,路竹鄉
233,1.33,湖內鄉
234,1.26,茄萣鄉
235,1.2,永安鄉
236,1.2,彌陀鄉
237,1.31,梓官鄉
238,1.96,六龜鄉
239,2.15,甲仙鄉
240,1.43,杉林鄉
241,1.37,內門鄉
242,2.56,茂林鄉
243,2.11,桃源鄉
244,3.46,三民鄉
245,2.28,屏東市
246,1.91,潮州鎮
247,1.27,東港鎮
248,1.86,恆春鎮
249,1.11,萬丹鄉
250,1.4,長治鄉
251,0.66,麟洛鄉
252,0.97,九如鄉
253,1.23,里港鄉
254,1.29,鹽埔鄉
255,1.3,高樹鄉
256,1.14,萬巒鄉
257,1.75,內埔鄉
258,1.51,竹田鄉
259,1.3,新埤鄉
260,1.69,枋寮鄉
261,1.1,新園鄉
262,1.44,崁頂鄉
263,1.29,林邊鄉
264,1.14,南州鄉
265,1.08,佳冬鄉
266,0.92,琉球鄉
267,1.81,車城鄉
268,2.4,滿州鄉
269,2.18,枋山鄉
270,4.17,三地門鄉
271,2.96,霧臺鄉
272,3.15,瑪家鄉
273,1.28,泰武鄉
274,6.94,來義鄉
275,4.76,春日鄉
276,5.29,獅子鄉
277,2.17,牡丹鄉
278,3.68,臺東市
279,2.57,成功鎮
280,2.14,關山鎮
281,6.46,卑南鄉
282,4.23,大武鄉
283,3.95,太麻里鄉
284,3,東河鄉
285,2.29,長濱鄉
286,3.33,鹿野鄉
287,2.72,池上鄉
288,5.51,綠島鄉
289,2.39,延平鄉
290,3.34,海端鄉
291,4.15,達仁鄉
292,6.63,金峰鄉
293,2.43,蘭嶼鄉
294,4.74,花蓮市
295,3,鳳林鎮
296,5.12,玉里鎮
297,3.32,新城鄉
298,2.61,吉安鄉
299,3.63,壽豐鄉
300,2.73,光復鄉
301,2.1,豐濱鄉
302,2.17,瑞穗鄉
303,2.59,富里鄉
304,5.39,秀林鄉
305,2.94,萬榮鄉
306,3.44,卓溪鄉
307,2.24,馬公鎮
308,1.31,湖西鄉
309,1.04,白沙鄉
