town,emplo
?¿æ?å¸,3.54
ä¸??å¸,4.16
æ°¸å?å¸,4.62
ä¸­å?å¸,4.01
?°è?å¸,3.82
?°å?å¸,4.22
æ¨¹æ??,2.64
é¶¯æ??,2.54
ä¸?³½?,3.43
æ·¡æ°´?,4.15
æ±?­¢?,4.1
????,4.73
????,3.64
??´²?,3.16
äº???,4.37
æ³°å±±?,3.09
????,4.56
æ·±å??,3.94
?³ç??,3.94
?ªæ??,1.52
ä¸???,2.22
?³é??,3.31
?«é??,6.58
å¹³æºª?,5.1
??ºª?,3.57
è²¢å¯®?,5.97
??±±?,3.86
?¬é??,3.6
????,3.69
å®??å¸,6.14
ç¾???,5.89
??¾³?,6.95
?­å??,5.65
ç¤?ºª?,6.96
å£¯å??,6.24
?¡å±±?,4.44
?¬å±±?,6.08
äº???,7.64
ä¸???,4.87
å¤§å??,3.45
??¾³?,8.02
æ¡??å¸,3.51
ä¸­å£¢å¸,3.08
å¤§æºª?,3.3
æ¥???,4.28
??«¹?,3.3
å¤§å??,4.63
é¾?±±?,3.53
?«å¾·?,3.34
é¾?½­?,4.18
å¹³é??,3.04
?°å??,4.03
è§??³é?,4.16
å¾©è??,4.92
?°ç«¹å¸,3.8
??¥¿?,4.57
?°å??,5.32
ç«¹æ??,4.93
é¦?±±?,2.58
ç«¹å??,4.53
æ¹???,5.21
æ©«å±±?,4.49
?°è??,5.41
????,4.69
å¯¶å±±?,5.35
????,4.81
å³¨ç??,3.23
å°???,4.71
äº?³°?,8.01
????,4.64
??£¡?,2.99
????,3.63
ç«¹å??,3.15
?­ä»½?,4.27
å¾???,4.13
????,3.2
å¤§æ??,4.25
?¬é¤¨?,5.56
????,4.01
????,4.58
?­å??,4.58
ä¸?¾©?,3.53
è¥¿æ??,5.59
????,3.57
ä¸???,3.53
??½­?,3.13
æ³°å??,5.67
è±??å¸,3.01
?±å??,3.84
å¤§ç??,2.5
æ¸?°´?,4.2
æ²?¹¿?,2.68
æ¢§æ£²?,3.96
????,3.87
ç¥?²¡?,2.82
æ½­å??,2.41
å¤§é??,2.31
?°ç¤¾?,4.02
?³å²¡?,2.95
å¤???,2.47
å¤§å??,1.86
????,3.65
å¤§è??,3.23
é¾???,4.58
?§å³°?,2.29
å¤ªå¹³?,3.16
å¤§é??,3.41
??¹³?,3.18
å½°å?å¸,4.08
é¹¿æ¸¯?,2.75
????,3.03
????,2.53
?¡æ??,3.28
æºªæ??,3.56
?°ä¸­?,4.54
äº???,5.07
ç·?¥¿?,2.51
ä¼¸æ¸¯?,4.22
ç¦???,2.58
ç§?æ°´é?,3.4
?±å??,3.34
?¬å??,3.79
å¤§æ??,3.07
??¹½?,3.74
????,2.8
æ°¸é??,2.22
ç¤¾é??,3.75
äº?°´?,4.18
?°å°¾?,2.99
?¤é??,2.97
?³è??,6.62
å¤§å??,4.08
ç«¹å??,4.78
æºªå??,4.52
????,3.84
????,5.06
??±¯?,4.71
