town,xiao
板橋市,56.72
三重市,61.65
永和市,38.38
中和市,47.69
新莊市,63.24
新店市,41.5
樹林鎮,59.98
鶯歌鎮,61.71
三峽鎮,63.65
淡水鎮,53.8
汐止鎮,57.23
瑞芳鎮,53.46
土城鄉,58.98
蘆洲鄉,65.26
五股鄉,63.27
泰山鄉,60.79
林口鄉,58.74
深坑鄉,57.45
石碇鄉,58.68
坪林鄉,60.23
三芝鄉,59.82
石門鄉,60.01
八里鄉,64.04
平溪鄉,52.05
雙溪鄉,51.32
貢寮鄉,60.47
金山鄉,60.86
萬里鄉,58.97
烏來鄉,56.39
宜蘭市,47.22
羅東鎮,46.75
蘇澳鎮,53.23
頭城鎮,56.19
礁溪鄉,54.27
壯圍鄉,54.25
員山鄉,52.2
冬山鄉,53.2
五結鄉,55.84
三星鄉,50.84
大同鄉,74.44
南澳鄉,69.05
桃園市,52.96
中壢市,52.25
大溪鎮,56.78
楊梅鎮,46.38
蘆竹鄉,52.96
大園鄉,52.08
龜山鄉,53.86
八德鄉,62.14
龍潭鄉,53.71
平鎮鄉,55.63
新屋鄉,46.39
觀音鄉,46.49
復興鄉,73.31
新竹市,49.27
關西鎮,53.15
新埔鎮,51.02
竹東鎮,50.49
香山鄉,59.47
竹北鄉,54.06
湖口鄉,51.6
橫山鄉,53.51
新豐鄉,53.85
芎林鄉,50.15
寶山鄉,52.62
北埔鄉,49.31
峨眉鄉,47.88
尖石鄉,75.93
五峰鄉,70.15
苗栗鎮,47.74
苑裡鎮,56.59
通霄鎮,57.66
竹南鎮,54.81
頭份鎮,52
後龍鎮,59.78
卓蘭鎮,54.09
大湖鄉,49.91
公館鄉,50.25
銅鑼鄉,50.1
南庄鄉,55.96
頭屋鄉,51.98
三義鄉,52.44
西湖鄉,50.48
造橋鄉,52.33
三灣鄉,51.35
獅潭鄉,53.03
泰安鄉,61.25
豐原市,53.94
東勢鎮,51.9
大甲鎮,54.66
清水鎮,58.74
沙鹿鎮,63.33
梧棲鎮,59.08
后里鄉,58.1
神岡鄉,63.11
潭子鄉,55.35
大雅鄉,61.42
新社鄉,56.18
石岡鄉,51.16
外埔鄉,55.76
大安鄉,63.96
烏日鄉,56.35
大肚鄉,58.1
龍井鄉,59.67
霧峰鄉,50.09
太平鄉,58.4
大里鄉,55.46
和平鄉,52.67
彰化市,53.29
鹿港鎮,61.42
和美鎮,62.91
北斗鎮,53.86
員林鎮,53.87
溪湖鎮,51.86
田中鎮,51.31
二林鎮,49.86
線西鄉,64.09
伸港鄉,60.55
福興鄉,59.17
秀水鄉,52.6
花壇鄉,58.66
芬園鄉,52.86
大村鄉,54.89
埔鹽鄉,55.17
埔心鄉,57.19
永靖鄉,58.13
社頭鄉,54.82
二水鄉,53.12
田尾鄉,54.39
埤頭鄉,51.45
芳苑鄉,50.44
大城鄉,52.56
竹塘鄉,51.47
溪州鄉,51.58
南投鎮,44.94
埔里鎮,55
草屯鎮,52.79
竹山鎮,57.92
集集鎮,53.12
名間鄉,57.84
鹿谷鄉,57.05
中寮鄉,51.97
魚池鄉,53.73
國姓鄉,56.39
水里鄉,53.45
信義鄉,68.23
仁愛鄉,70.05
斗六鎮,50.88
斗南鎮,55.64
虎尾鎮,54.54
西螺鎮,55.4
土庫鎮,56.9
北港鎮,52.49
古坑鄉,61.65
大埤鄉,56.19
莿桐鄉,59
林內鄉,56.12
二崙鄉,55.55
崙背鄉,59.94
麥寮鄉,61.57
東勢鄉,65.09
褒忠鄉,55
臺西鄉,61
元長鄉,56.59
四湖鄉,55.09
口湖鄉,59.73
水林鄉,54.71
嘉義市,47.39
朴子鎮,50.56
布袋鎮,52.42
大林鎮,48.27
民雄鄉,54.79
溪口鄉,57.37
新港鄉,54.66
六腳鄉,51.1
東石鄉,57.57
義竹鄉,52.42
鹿草鄉,50.58
太保鄉,54.43
水上鄉,52.6
中埔鄉,54.21
竹崎鄉,56.52
梅山鄉,59.5
番路鄉,54.95
大埔鄉,70.98
吳鳳鄉,64.43
新營鎮,39.19
鹽水鎮,43.88
白河鎮,51.98
麻豆鎮,49.31
佳里鎮,47.79
新化鎮,56.38
善化鎮,48.9
學甲鎮,52.68
柳營鄉,45.25
後壁鄉,43.93
東山鄉,47.61
下營鄉,50.87
六甲鄉,52.53
官田鄉,51.1
大內鄉,55.98
西港鄉,51.07
七股鄉,50.79
將軍鄉,51.2
北門鄉,54.82
新市鄉,60.68
安定鄉,49.24
山上鄉,51.07
玉井鄉,49.78
楠西鄉,55.73
南化鄉,60.52
左鎮鄉,66.5
仁德鄉,57.83
歸仁鄉,60.18
關廟鄉,61.92
龍崎鄉,67.31
永康鄉,61.64
鳳山市,52.46
岡山鎮,44.45
旗山鎮,46.9
美濃鎮,47.75
林園鄉,56.18
大寮鄉,51.3
大樹鄉,53.63
仁武鄉,59.72
大社鄉,53.92
鳥松鄉,52.24
橋頭鄉,45.83
燕巢鄉,54.82
田寮鄉,54.26
阿蓮鄉,51.37
路竹鄉,49.91
湖內鄉,56.29
茄萣鄉,67.81
永安鄉,55.63
彌陀鄉,55.89
梓官鄉,60.13
六龜鄉,63.08
甲仙鄉,65.36
杉林鄉,56.1
內門鄉,63.27
茂林鄉,81.56
桃源鄉,77.55
三民鄉,90.01
屏東市,44.66
潮州鎮,51.1
東港鎮,56.55
恆春鎮,56.8
萬丹鄉,53.36
長治鄉,50.15
麟洛鄉,48.18
九如鄉,53.66
里港鄉,50.53
鹽埔鄉,50.08
高樹鄉,51.69
萬巒鄉,52.34
內埔鄉,52.26
竹田鄉,50.79
新埤鄉,55.89
枋寮鄉,49.43
新園鄉,54.03
崁頂鄉,51.34
林邊鄉,54.71
南州鄉,50.29
佳冬鄉,50.34
琉球鄉,71.42
車城鄉,53.06
滿州鄉,59.65
枋山鄉,55.58
三地門鄉,79.06
