OBJECTID,town,divorced
1,板橋市,3.3
2,三重市,3.48
3,中和市,3.4
4,永和市,3.74
5,新莊市,2.74
6,新店市,3.28
7,樹林市,2.11
8,鶯歌鎮,2.19
9,三峽鎮,2.75
10,淡水鎮,3.2
11,汐止市,2.89
12,瑞芳鎮,3.17
13,土城市,3.7
14,蘆洲市,2.65
15,五股鄉,3.11
16,泰山鄉,2.26
17,林口鄉,1.98
18,深坑鄉,3.15
19,石碇鄉,3.05
20,坪林鄉,2.68
21,三芝鄉,3.48
22,石門鄉,2.35
23,八里鄉,2.04
24,平溪鄉,1.86
25,雙溪鄉,2
26,貢寮鄉,2.54
27,金山鄉,2.37
28,萬里鄉,3.6
29,烏來鄉,5
30,宜蘭市,2.66
31,羅東鎮,3
32,蘇澳鎮,2.16
33,頭城鎮,1.86
34,礁溪鄉,2.17
35,壯圍鄉,1.67
36,員山鄉,2.15
37,冬山鄉,1.93
38,五結鄉,1.79
39,三星鄉,2.3
40,大同鄉,8.91
41,南澳鄉,4.95
42,桃園市,3.3
43,中壢市,3.06
44,大溪鎮,2.96
45,楊梅鎮,2.46
46,蘆竹鄉,2.23
47,大園鄉,2.62
48,龜山鄉,3.97
49,八德市,4.1
50,龍潭鄉,2.87
51,平鎮市,3.12
52,新屋鄉,1.95
53,觀音鄉,2.43
54,復興鄉,5.68
55,竹北市,1.79
56,竹東鎮,2.99
57,新埔鎮,1.74
58,關西鎮,2.09
59,湖口鄉,1.95
60,新豐鄉,2.07
61,芎林鄉,2.5
62,橫山鄉,2.24
63,北埔鄉,1.72
64,寶山鄉,1.18
65,峨眉鄉,1.77
66,尖石鄉,6.53
67,五峰鄉,4.9
68,苗栗市,2.12
69,苑裡鎮,1.36
70,通霄鎮,1.25
71,竹南鎮,2.06
72,頭份鎮,2.09
73,後龍鎮,1.71
74,卓蘭鎮,1.79
75,大湖鄉,1.82
76,公館鄉,2.67
77,銅鑼鄉,1.85
78,南庄鄉,2.74
79,頭屋鄉,1.35
80,三義鄉,2.13
81,西湖鄉,1.77
82,造橋鄉,1.65
83,三灣鄉,1.52
84,獅潭鄉,1.86
85,泰安鄉,3.98
86,豐原市,2.49
87,東勢鎮,2.19
88,大甲鎮,1.79
89,清水鎮,1.88
90,沙鹿鎮,1.89
91,梧棲鎮,1.82
92,后里鄉,2.62
93,神岡鄉,2.42
94,潭子鄉,2.53
95,大雅鄉,2.19
96,新社鄉,2.56
97,石岡鄉,2.16
98,外埔鄉,2.02
99,大安鄉,1.76
100,烏日鄉,1.97
101,大肚鄉,1.93
102,龍井鄉,1.88
103,霧峰鄉,2.4
104,太平市,2.48
105,大里市,2.14
106,和平鄉,4.21
107,彰化市,1.88
108,鹿港鎮,1.37
109,和美鎮,1.24
110,線西鄉,1.27
111,伸港鄉,1.4
112,福興鄉,1.22
113,秀水鄉,1.24
114,花壇鄉,1.16
115,芬園鄉,1.63
116,員林鎮,1.68
117,溪湖鎮,1.5
118,田中鎮,1.87
119,大村鄉,1.42
120,埔鹽鄉,1.33
121,埔心鄉,1.33
122,永靖鄉,1.2
123,社頭鄉,1.46
124,二水鄉,1.52
125,北斗鎮,1.6
126,二林鎮,1.2
127,田尾鄉,1.02
128,埤頭鄉,1.5
129,芳苑鄉,1.59
130,大城鄉,1.13
131,竹塘鄉,0.94
132,溪州鄉,1.67
133,南投市,1.96
134,埔里鎮,3.31
135,草屯鎮,2.65
136,竹山鎮,2.34
137,集集鎮,2.33
138,名間鄉,1.56
139,鹿谷鄉,1.32
140,中寮鄉,1.63
141,魚池鄉,1.93
142,國姓鄉,3.15
143,水里鄉,2.21
144,信義鄉,2.96
145,仁愛鄉,4.43
146,斗六市,2.06
147,斗南鎮,2.09
148,虎尾鎮,2.65
149,西螺鎮,1.43
150,土庫鎮,1.17
151,北港鎮,1.53
152,古坑鄉,1.64
153,大埤鄉,1.56
154,莿桐鄉,1.59
155,林內鄉,2.13
156,二崙鄉,1.16
157,崙背鄉,1.56
158,麥寮鄉,1.41
159,東勢鄉,1.94
160,褒忠鄉,1.61
161,臺西鄉,1.36
162,元長鄉,1.49
163,四湖鄉,1.6
164,口湖鄉,1.44
165,水林鄉,1.32
166,太保市,1.74
167,朴子市,1.56
168,布袋鎮,1.88
169,大林鎮,1.93
170,民雄鄉,2.13
171,溪口鄉,1.87
172,新港鄉,1.89
173,六腳鄉,1.43
174,東石鄉,1.64
175,義竹鄉,1.66
176,鹿草鄉,1.59
177,水上鄉,2.8
178,中埔鄉,2.36
179,竹崎鄉,1.58
180,梅山鄉,1.98
181,番路鄉,2.38
182,大埔鄉,2.78
183,吳鳳鄉,2.45
184,新營市,2.55
185,鹽水鎮,1.7
186,白河鎮,4.2
187,柳營鄉,1.95
188,後壁鄉,1.99
189,東山鄉,3.27
190,麻豆鎮,2.21
191,下營鄉,2.06
192,六甲鄉,1.76
193,官田鄉,1.75
194,大內鄉,2.16
195,佳里鎮,1.85
196,學甲鎮,2.34
197,西港鄉,2.29
198,七股鄉,2.3
199,將軍鄉,2.03
200,北門鄉,1.86
201,新化鎮,1.99
202,善化鎮,2.15
203,新市鄉,2.02
204,安定鄉,2.12
205,山上鄉,2.52
206,玉井鄉,2.61
207,楠西鄉,2.81
208,南化鄉,1.74
209,左鎮鄉,1.79
210,仁德鄉,2.78
211,歸仁鄉,3.83
212,關廟鄉,2.36
213,龍崎鄉,2.05
214,永康市,2.97
215,鳳山市,3.17
216,林園鄉,3.31
217,大寮鄉,3.47
218,大樹鄉,2.34
219,大社鄉,2.59
220,仁武鄉,2.46
221,鳥松鄉,2.9
222,岡山鎮,3.03
223,橋頭鄉,2.62
224,燕巢鄉,3.53
225,田寮鄉,2.02
226,阿蓮鄉,2.79
227,路竹鄉,2.12
228,湖內鄉,1.85
229,茄萣鄉,1.81
230,永安鄉,1.88
231,彌陀鄉,2.25
232,梓官鄉,2.6
233,旗山鎮,2.82
234,美濃鎮,1.98
235,六龜鄉,3.69
236,甲仙鄉,3.09
237,杉林鄉,2.59
238,內門鄉,2.61
239,茂林鄉,3.49
240,桃源鄉,4.16
241,三民鄉,2.76
242,屏東市,3.56
243,潮州鎮,4.2
244,東港鎮,2.43
245,恆春鎮,3.13
246,萬丹鄉,1.93
247,長治鄉,2.61
248,麟洛鄉,2.1
249,九如鄉,2.49
250,里港鄉,2.63
251,鹽埔鄉,2.86
252,高樹鄉,2.39
253,萬巒鄉,2.35
254,內埔鄉,2.78
255,竹田鄉,2.33
256,新埤鄉,2.54
257,枋寮鄉,2.59
258,新園鄉,1.97
259,崁頂鄉,2.02
260,林邊鄉,2.82
261,南州鄉,2.1
262,佳冬鄉,1.88
263,琉球鄉,0.95
264,車城鄉,2.73
265,滿州鄉,3.8
266,枋山鄉,5.08
267,三地鄉,5.55
268,霧臺鄉,4.61
269,瑪家鄉,4.24
270,泰武鄉,2.9
271,來義鄉,6.74
272,春日鄉,6.57
273,獅子鄉,5.59
274,牡丹鄉,2.95
275,臺東市,5.4
276,成功鎮,4.62
277,關山鎮,3.24
278,卑南鄉,6.79
279,鹿野鄉,6.57
280,池上鄉,5.04
281,東河鄉,3.78
282,長濱鄉,3.88
283,太麻里鄉,4.79
284,大武鄉,4.11
285,綠島鄉,2.93
286,海端鄉,4.53
287,延平鄉,3.92
288,金峰鄉,5.63
289,達仁鄉,7.32
290,蘭嶼鄉,2.65
291,花蓮市,4.01
292,鳳林鎮,3.55
293,玉里鎮,6.52
294,新城鄉,5.19
295,吉安鄉,4.41
296,壽豐鄉,4.67
297,光復鄉,3.78
298,豐濱鄉,3.05
299,瑞穗鄉,3.36
300,富里鄉,3.15
301,秀林鄉,7.42
302,萬榮鄉,5.13
303,卓溪鄉,4.11
304,馬公市,2.37
305,湖西鄉,2.81
306,白沙鄉,2.07
307,西嶼鄉,1.83
308,望安鄉,1.83
309,七美鄉,1
310,中正區,3.52
311,七堵區,3.65
312,暖暖區,4.24
313,仁愛區,4.34
314,中山區,3.88
315,安樂區,3.88
316,信義區,3.48
317,東區,2.69
318,北區,3.1
319,香山區,2.22
320,中區,5.55
321,東區,3.04
322,南區,4.31
323,西區,2.8
324,北區,4.54
325,西屯區,3
326,南屯區,2.41
327,北屯區,3.2
328,東區,2.66
329,西區,2.57
330,東區,3.33
331,南區,3.87
332,西區,3.65
333,北區,4.07
334,中區,4.66
335,安南區,2.27
336,安平區,3.21
337,松山區,4.16
338,信義區,3.68
339,大安區,4.14
340,中山區,6.1
341,中正區,4.86
342,大同區,4.5
343,萬華區,4.13
344,文山區,3.65
345,南港區,3.82
346,內湖區,3.54
347,士林區,3.4
348,北投區,3.94
349,鹽埕區,5.62
350,鼓山區,4.23
351,左營區,3.7
352,楠梓區,3.18
353,三民區,3.8
354,新興區,5.15
355,前金區,4.57
356,苓雅區,4.03
357,前鎮區,3.54
358,旗津區,4.36
359,小港區,3.03
