town,illiterate
板橋市,4.86
三重市,6.13
中和市,4.29
永和市,3.93
新莊市,4.56
新店市,4.37
樹林市,5.2
鶯歌鎮,8.05
三峽鎮,9.77
淡水鎮,7.58
汐止市,6.88
瑞芳鎮,14.47
土城市,4.97
蘆洲市,5.68
五股鄉,6.24
泰山鄉,4.17
林口鄉,9.23
深坑鄉,8.76
石碇鄉,17.95
坪林鄉,16.66
三芝鄉,17.21
石門鄉,17.52
八里鄉,13.48
平溪鄉,20.11
雙溪鄉,22.35
貢寮鄉,21.64
金山鄉,18
萬里鄉,18.27
烏來鄉,5.74
宜蘭市,8.21
羅東鎮,7.34
蘇澳鎮,13.77
頭城鎮,17.06
礁溪鄉,15.47
壯圍鄉,21.25
員山鄉,22
冬山鄉,13.32
五結鄉,10.97
三星鄉,16.86
大同鄉,4.99
南澳鄉,4.69
桃園市,6.24
中壢市,5.55
大溪鎮,10.13
楊梅鎮,7.68
蘆竹鄉,11.86
大園鄉,13.45
龜山鄉,6.57
八德市,7.12
龍潭鄉,6.79
平鎮市,5.88
新屋鄉,15.1
觀音鄉,16.33
復興鄉,6.08
竹北市,9.71
竹東鎮,6.83
新埔鎮,8.56
關西鎮,4.94
湖口鄉,6.88
新豐鄉,11.4
芎林鄉,8.86
橫山鄉,8.03
北埔鄉,12.31
寶山鄉,12.49
峨眉鄉,14.21
尖石鄉,6.68
五峰鄉,4.97
苗栗市,4.81
苑裡鎮,14.51
通霄鎮,15.71
竹南鎮,9.45
頭份鎮,6.54
後龍鎮,15.95
卓蘭鎮,10.3
大湖鄉,9.16
公館鄉,7.34
銅鑼鄉,8.67
南庄鄉,9.87
頭屋鄉,9.28
三義鄉,8.26
西湖鄉,11.37
造橋鄉,11.09
三灣鄉,9.84
獅潭鄉,11.06
泰安鄉,7.05
豐原市,5.6
東勢鎮,8.06
大甲鎮,10.88
清水鎮,11.28
沙鹿鎮,9.22
梧棲鎮,10.16
后里鄉,9.23
神岡鄉,7.68
潭子鄉,6.64
大雅鄉,6.06
新社鄉,10.06
石岡鄉,8.25
外埔鄉,13.14
大安鄉,11.12
烏日鄉,9.03
大肚鄉,10.64
龍井鄉,10.56
霧峰鄉,10.14
太平市,7.12
大里市,6.95
和平鄉,7.34
彰化市,6.99
鹿港鎮,13.37
和美鎮,12.4
線西鄉,17.33
伸港鄉,17.5
福興鄉,17.8
秀水鄉,14.78
花壇鄉,12.21
芬園鄉,17.58
員林鎮,8.68
溪湖鎮,14.98
田中鎮,11
大村鄉,16.49
埔鹽鄉,17.47
埔心鄉,15.47
永靖鄉,13.05
社頭鄉,12.42
二水鄉,11.67
北斗鎮,10.5
二林鎮,21.18
田尾鄉,16.2
埤頭鄉,17.6
芳苑鄉,29.99
大城鄉,30.83
竹塘鄉,20.64
溪州鄉,18
南投市,8.56
埔里鎮,9.98
草屯鎮,10.06
竹山鎮,12.4
集集鎮,9.52
名間鄉,9.43
鹿谷鄉,12.26
中寮鄉,17.03
魚池鄉,14.33
國姓鄉,14.12
水里鄉,11.42
信義鄉,10.7
仁愛鄉,5.87
斗六市,8.84
斗南鎮,6.5
虎尾鎮,11.52
西螺鎮,14.28
土庫鎮,17.13
北港鎮,12.37
古坑鄉,10.66
大埤鄉,16.6
莿桐鄉,13.04
林內鄉,11.6
二崙鄉,18.07
崙背鄉,14.23
麥寮鄉,19.26
東勢鄉,18.11
褒忠鄉,19.33
臺西鄉,22.57
元長鄉,19.69
四湖鄉,26.42
口湖鄉,25.21
水林鄉,23.62
太保市,17.73
朴子市,14.69
布袋鎮,19.31
大林鎮,14.78
民雄鄉,9.39
溪口鄉,19.68
新港鄉,14.86
六腳鄉,22.54
東石鄉,26.07
義竹鄉,15.57
鹿草鄉,16.45
水上鄉,11.47
中埔鄉,13.63
竹崎鄉,14.12
梅山鄉,9.92
番路鄉,16.53
大埔鄉,10.55
吳鳳鄉,9.06
新營市,11.49
鹽水鎮,18.2
白河鎮,13.81
柳營鄉,12.92
後壁鄉,12.1
東山鄉,9.59
麻豆鎮,13.26
下營鄉,15.5
六甲鄉,19.78
官田鄉,19.26
大內鄉,22.62
佳里鎮,16.97
學甲鎮,13.49
西港鄉,12.29
七股鄉,14.33
將軍鄉,17.75
北門鄉,21.16
新化鎮,22.17
善化鎮,19.07
新市鄉,11.1
安定鄉,19.31
山上鄉,14.46
玉井鄉,11.39
楠西鄉,15.53
南化鄉,12.36
左鎮鄉,13.34
仁德鄉,10.2
歸仁鄉,9.03
關廟鄉,13.56
龍崎鄉,11.92
永康市,7.1
鳳山市,6.53
林園鄉,16.33
大寮鄉,12.08
大樹鄉,13.99
大社鄉,9.65
仁武鄉,14.04
鳥松鄉,8.86
岡山鎮,9.67
橋頭鄉,13.23
燕巢鄉,14.11
田寮鄉,19.07
阿蓮鄉,15.44
路竹鄉,15.12
湖內鄉,14.41
茄萣鄉,17.25
永安鄉,16.25
彌陀鄉,22.61
梓官鄉,16.24
旗山鎮,11.34
美濃鎮,7.65
六龜鄉,12.39
甲仙鄉,10.82
杉林鄉,12.41
內門鄉,13.99
茂林鄉,5.71
桃源鄉,10.14
三民鄉,8.57
屏東市,7.77
潮州鎮,8.83
東港鎮,13
恆春鎮,13.03
萬丹鄉,15.43
長治鄉,11.14
麟洛鄉,4.98
九如鄉,12.87
里港鄉,13.43
鹽埔鄉,19.96
高樹鄉,16.89
萬巒鄉,8.77
內埔鄉,8.66
竹田鄉,6.19
新埤鄉,12.52
枋寮鄉,16.35
新園鄉,16.56
崁頂鄉,17.02
林邊鄉,12.04
南州鄉,13.98
佳冬鄉,13.91
琉球鄉,19.65
車城鄉,14.72
滿州鄉,12.95
枋山鄉,17.78
三地鄉,7.97
霧臺鄉,9.82
瑪家鄉,8.01
泰武鄉,2.28
來義鄉,10.03
春日鄉,14.18
獅子鄉,6.95
牡丹鄉,8.9
臺東市,9.01
成功鎮,6.72
關山鎮,13.89
卑南鄉,15.37
鹿野鄉,8.16
池上鄉,16.01
東河鄉,9.44
長濱鄉,6.51
太麻里鄉,15.15
大武鄉,15.48
綠島鄉,4.5
海端鄉,6.87
延平鄉,6.68
金峰鄉,5.7
達仁鄉,6.67
蘭嶼鄉,7.19
花蓮市,7.28
鳳林鎮,11.37
玉里鎮,12.15
新城鄉,10.33
吉安鄉,6.65
壽豐鄉,11.55
光復鄉,9.29
豐濱鄉,7.48
瑞穗鄉,11.72
富里鄉,12.61
秀林鄉,4
萬榮鄉,5.16
卓溪鄉,7.08
馬公市,6.46
湖西鄉,11.91
白沙鄉,10.67
西嶼鄉,9.93
望安鄉,12.47
七美鄉,28.44
中正區,8.4
七堵區,7.88
暖暖區,7.95
仁愛區,8.18
中山區,10.64
安樂區,8.97
信義區,8.09
東區,5.27
北區,6.71
香山區,11.98
中區,3.31
東區,5.89
南區,3.72
西區,4.56
北區,4.09
西屯區,4.82
南屯區,6.11
北屯區,5.32
東區,6.68
西區,10.05
東區,5.35
南區,7.42
西區,6.45
北區,6.33
中區,3.63
安南區,13.15
安平區,7.86
松山區,2.21
信義區,3.95
大安區,2.16
中山區,2.61
中正區,3.02
大同區,4.39
萬華區,5.44
文山區,3.61
南港區,4.89
內湖區,3.73
士林區,3.67
北投區,4.2
鹽埕區,5.66
鼓山區,6.58
左營區,6.16
楠梓區,7.14
三民區,5.36
新興區,3.89
前金區,4.98
苓雅區,4.97
前鎮區,6.87
旗津區,12.03
小港區,9.73
