OBJECTID,town,old
1,板橋市,0.0375
2,三重市,0.0371
3,中和市,0.0467
4,永和市,0.0595
5,新莊市,0.0256
6,新店市,0.0722
7,樹林市,0.0366
8,鶯歌鎮,0.0431
9,三峽鎮,0.0716
10,淡水鎮,0.0527
11,汐止市,0.0577
12,瑞芳鎮,0.0738
13,土城市,0.0336
14,蘆洲市,0.0292
15,五股鄉,0.0434
16,泰山鄉,0.0301
17,林口鄉,0.0473
18,深坑鄉,0.0651
19,石碇鄉,0.1188
20,坪林鄉,0.1111
21,三芝鄉,0.0824
22,石門鄉,0.0879
23,八里鄉,0.0665
24,平溪鄉,0.1095
25,雙溪鄉,0.1068
26,貢寮鄉,0.0999
27,金山鄉,0.078
28,萬里鄉,0.1086
29,烏來鄉,0.061
30,宜蘭市,0.0681
31,羅東鎮,0.0632
32,蘇澳鎮,0.0632
33,頭城鎮,0.0698
34,礁溪鄉,0.0744
35,壯圍鄉,0.0817
36,員山鄉,0.0953
37,冬山鄉,0.0691
38,五結鄉,0.0761
39,三星鄉,0.0972
40,大同鄉,0.0593
41,南澳鄉,0.0604
42,桃園市,0.0425
43,中壢市,0.0495
44,大溪鎮,0.0702
45,楊梅鎮,0.0601
46,蘆竹鄉,0.0587
47,大園鄉,0.0605
48,龜山鄉,0.0435
49,八德市,0.0831
50,龍潭鄉,0.0592
51,平鎮市,0.0484
52,新屋鄉,0.0846
53,觀音鄉,0.0805
54,復興鄉,0.0562
55,竹北市,0.0557
56,竹東鎮,0.0715
57,新埔鎮,0.0865
58,關西鎮,0.0868
59,湖口鄉,0.0588
60,新豐鄉,0.0647
61,芎林鄉,0.0896
62,橫山鄉,0.101
63,北埔鄉,0.1025
64,寶山鄉,0.1067
65,峨眉鄉,0.1128
66,尖石鄉,0.0575
67,五峰鄉,0.0566
68,苗栗市,0.0692
69,苑裡鎮,0.0755
70,通霄鎮,0.0861
71,竹南鎮,0.0577
72,頭份鎮,0.0617
73,後龍鎮,0.0915
74,卓蘭鎮,0.081
75,大湖鄉,0.0909
76,公館鄉,0.0855
77,銅鑼鄉,0.0973
78,南庄鄉,0.0974
79,頭屋鄉,0.0933
80,三義鄉,0.0725
81,西湖鄉,0.1144
82,造橋鄉,0.0836
83,三灣鄉,0.1038
84,獅潭鄉,0.1116
85,泰安鄉,0.0758
86,豐原市,0.0463
87,東勢鎮,0.077
88,大甲鎮,0.0588
89,清水鎮,0.0615
90,沙鹿鎮,0.044
91,梧棲鎮,0.0503
92,后里鄉,0.0619
93,神岡鄉,0.0491
94,潭子鄉,0.0476
95,大雅鄉,0.047
96,新社鄉,0.0781
97,石岡鄉,0.0873
98,外埔鄉,0.0624
99,大安鄉,0.0749
100,烏日鄉,0.0476
101,大肚鄉,0.0495
102,龍井鄉,0.0529
103,霧峰鄉,0.0577
104,太平市,0.0431
105,大里市,0.0348
106,和平鄉,0.1
107,彰化市,0.0504
108,鹿港鎮,0.0624
109,和美鎮,0.0504
110,線西鄉,0.066
111,伸港鄉,0.0583
112,福興鄉,0.0685
113,秀水鄉,0.0645
