town,serv
?¿æ?å¸,17.8700
ä¸??å¸,13.9100
ä¸­å?å¸,19.4800
æ°¸å?å¸,25.1500
?°è?å¸,13.4800
?°å?å¸,24.1900
æ¨¹æ?å¸,10.7700
é¶¯æ??,9.4900
ä¸?³½?,12.3800
æ·¡æ°´?,19.2400
æ±?­¢å¸,16.4900
????,15.8900
???å¸,13.7500
??´²å¸,12.3600
äº???,10.7200
æ³°å±±?,14.9900
????,15.5900
æ·±å??,15.3600
?³ç??,13.0200
?ªæ??,9.8300
ä¸???,10.6700
?³é??,13.5100
?«é??,13.9400
å¹³æºª?,13.1100
??ºª?,15.1900
è²¢å¯®?,13.4900
??±±?,13.9500
?¬é??,13.3900
????,27.0000
å®??å¸,25.2600
ç¾???,26.0000
??¾³?,14.8300
?­å??,12.7100
ç¤?ºª?,14.5500
å£¯å??,9.5600
?¡å±±?,12.4500
?¬å±±?,14.9200
äº???,14.6300
ä¸???,12.5300
å¤§å??,12.7900
??¾³?,15.4900
æ¡??å¸,18.8200
ä¸­å£¢å¸,17.2200
å¤§æºª?,13.7900
æ¥???,12.8600
??«¹?,9.6700
å¤§å??,10.5600
é¾?±±?,15.8300
?«å¾·å¸,12.7700
é¾?½­?,22.9600
å¹³é?å¸,14.7100
?°å??,9.6300
è§??³é?,8.4600
å¾©è??,14.6500
ç«¹å?å¸,12.1500
ç«¹æ??,16.6700
?°å??,12.1100
??¥¿?,12.5800
æ¹???,12.2500
?°è??,10.9600
????,11.0100
æ©«å±±?,12.1700
????,10.5300
å¯¶å±±?,9.4400
å³¨ç??,10.8100
å°???,12.5200
äº?³°?,15.6300
???å¸,21.6900
??£¡?,10.6900
????,9.8400
ç«¹å??,12.1200
?­ä»½?,12.5100
å¾???,9.5200
????,9.5900
å¤§æ??,12.9400
?¬é¤¨?,11.4700
????,11.5500
????,12.4800
?­å??,12.0000
ä¸?¾©?,11.4900
è¥¿æ??,11.7400
????,9.9700
ä¸???,10.4500
??½­?,9.5900
æ³°å??,11.8300
è±??å¸,14.7300
?±å??,12.8500
å¤§ç??,12.9800
æ¸?°´?,12.5100
æ²?¹¿?,14.6900
æ¢§æ£²?,11.5700
????,11.2100
ç¥?²¡?,8.9300
æ½­å??,11.2300
å¤§é??,11.0900
?°ç¤¾?,10.4300
?³å²¡?,11.2700
å¤???,9.4500
å¤§å??,6.8900
????,13.4800
å¤§è??,10.3100
é¾???,11.1700
?§å³°?,17.2400
å¤ªå¹³å¸,14.7400
å¤§é?å¸,16.0300
??¹³?,10.9500
å½°å?å¸,18.8000
é¹¿æ¸¯?,10.0700
????,9.0300
ç·?¥¿?,6.6100
ä¼¸æ¸¯?,7.8500
ç¦???,7.2800
ç§?æ°´é?,9.8800
?±å??,11.2000
?¬å??,10.2600
?¡æ??,17.9800
æºªæ??,12.1400
?°ä¸­?,15.9300
å¤§æ??,9.8900
??¹½?,6.7300
????,9.1700
æ°¸é??,9.0000
ç¤¾é??,10.8700
äº?°´?,14.3200
????,15.5300
äº???,11.7100
?°å°¾?,8.9000
?¤é??,9.3400
?³è??,8.3200
å¤§å??,8.9700
ç«¹å??,8.5900
æºªå??,9.4100
???å¸,29.0900
????,16.5400
??±¯?,18.9800
ç«¹å±±?,16.7900
????,15.2200
????,10.5300
é¹¿è°·?,11.1200
ä¸­å¯®?,9.1500
é­???,14.5700
????,8.7400
æ°´é??,16.4400
ä¿¡ç¾©?,8.9900
ä»???,10.0900
???å¸,18.7300
????,14.9900
??°¾?,18.1800
è¥¿è??,11.6200
??º«?,10.2700
??¸¯?,18.0000
?¤å??,11.9200
å¤§å??,9.6600
?¿æ??,8.3100
????,9.5400
äº???,7.7700
å´???,10.4500
éº¥å¯®?,9.3800
?±å??,8.7600
è¤???,9.4700
?ºè¥¿?,9.8000
????,7.3400
????,9.8500
????,10.5000
æ°´æ??,7.9800
å¤ªä?å¸,9.2300
?´å?å¸,17.3700
å¸???,10.2100
å¤§æ??,13.2300
æ°???,12.6700
æºªå??,8.5200
?°æ¸¯?,10.3200
?­è??,8.9700
?±ç??,9.1100
ç¾©ç«¹?,10.5400
é¹¿è??,8.4700
æ°´ä??,12.6900
ä¸­å??,12.5000
ç«¹å??,10.2400
æ¢?±±?,9.8800
?ªè·¯?,8.1600
å¤§å??,9.6200
?³é³³?,11.0600
?°ç?å¸,24.6400
é¹½æ°´?,12.5900
?½æ²³?,13.6600
?³ç??,14.7900
å¾???,14.9500
?±å±±?,14.5600
éº»è??,12.3500
ä¸???,12.1200
?­ç??,11.8000
å®???,11.0000
å¤§å??,8.7300
ä½³é??,11.3200
å­¸ç??,14.2900
è¥¿æ¸¯?,9.7700
ä¸???,8.4800
å°???,9.1100
????,8.2800
?°å??,8.0100
????,9.3700
?°å??,8.6000
å®???,7.8000
å±±ä??,7.8300
????,12.3700
æ¥?¥¿?,8.5900
????,8.8600
å·¦é??,8.4100
ä»?¾·?,11.0400
æ­¸ä??,11.4600
????,10.8400
é¾???,8.4700
æ°¸åº·å¸,14.8800
é³³å±±å¸,20.8700
????,14.7900
å¤§å¯®?,14.3300
å¤§æ¨¹?,14.8000
å¤§ç¤¾?,15.8100
ä»?­¦?,12.0300
é³¥æ??,20.9500
å²¡å±±?,18.6300
æ©???,12.6900
??·¢?,10.4600
?°å¯®?,8.6200
?¿è??,11.0300
è·¯ç«¹?,10.6400
æ¹???,11.1800
????,10.8200
æ°¸å??,11.0900
å½???,11.1400
æ¢???,10.9800
??±±?,16.9100
ç¾???,14.2900
?­é??,12.7000
?²ä??,12.5400
????,10.4500
?§é??,8.8400
????,14.1500
æ¡???,11.5000
ä¸???,10.5300
å±??å¸,24.2800
æ½®å??,19.4900
?±æ¸¯?,16.1800
????,19.3700
?¬ä¸¹?,11.1400
?·æ²»?,12.7400
éº???,16.1800
ä¹???,9.9600
??¸¯?,11.7600
é¹½å??,9.3000
é«?¨¹?,10.0200
?¬å??,13.0200
?§å??,14.0600
ç«¹ç??,11.8700
?°å??,11.2200
??¯®?,15.6700
?°å??,12.7400
å´???,11.6600
????,17.0900
????,13.6400
ä½³å??,11.6000
????,13.0200
è»???,14.6100
æ»¿å??,14.9200
??±±?,16.1600
ä¸???,10.3200
?§è??,20.9200
?ªå®¶?,17.6200
æ³°æ­¦?,7.3900
ä¾?¾©?,7.4900
?¥æ??,9.7600
????,12.5500
?¡ä¸¹?,18.7700
?ºæ?å¸,27.1600
????,11.8700
??±±?,18.1800
????,13.5600
é¹¿é??,19.6900
æ±???,11.0400
?±æ²³?,9.4300
?·æ¿±?,9.9600
å¤ªéº»???,12.8800
å¤§æ­¦?,15.6800
ç¶?³¶?,32.4100
æµ·ç«¯?,12.2800
å»¶å¹³?,9.3300
??³°?,14.7100
????,17.6300
?­å¶¼?,9.0300
?±è?å¸,29.5400
é³³æ??,19.8000
????,20.0700
?°å??,19.0300
????,20.3500
å£½è??,12.8800
??¾©?,13.4500
è±?¿±?,9.1600
????,14.0500
å¯???,13.3300
ç§????,12.4600
?¬æ¦®?,11.8500
??ºª?,11.1200
é¦¬å?å¸,28.4900
æ¹?¥¿?,13.8700
?½æ??,15.4200
è¥¿å¶¼?,11.2100
????,13.5900
ä¸???,13.9100
ä¸­æ­£??,17.7300
ä¸????,15.5600
?????,17.8300
ä»????,16.6500
ä¸­å±±??,19.1100
å®????,15.7800
ä¿¡ç¾©??,23.9600
?±å?,25.3000
???,20.0800
é¦?±±??,10.6100
ä¸­å?,23.6600
?±å?,18.1800
???,25.5600
è¥¿å?,22.6600
???,26.7500
è¥¿å±¯??,22.7000
??±¯??,20.2700
??±¯??,20.6500
?±å?,28.8400
è¥¿å?,20.1000
?±å?,25.6900
???,17.4200
è¥¿å?,17.7200
???,21.1100
ä¸­å?,27.3200
å®????,10.3700
å®?¹³??,17.1400
?¾å±±??,21.5400
ä¿¡ç¾©??,25.7700
å¤§å???,28.2000
ä¸­å±±??,19.5600
ä¸­æ­£??,27.9000
å¤§å???,15.9400
?¬è???,19.5300
??±±??,27.9700
??¸¯??,21.7700
?§æ???,21.4500
å£«æ???,19.8000
?????,23.0700
é¹½å???,18.3700
é¼?±±??,21.7800
å·¦ç???,22.1500
æ¥????,16.7800
ä¸????,21.4300
?°è???,23.8300
?????,25.9400
?????,24.2300
?????,19.3600
??´¥??,13.0900
å°?¸¯??,15.0300
