town,spec
?¿æ?å¸,8.84
ä¸??å¸,5.82
ä¸­å?å¸,10.13
æ°¸å?å¸,15.29
?°è?å¸,6.45
?°å?å¸,13
æ¨¹æ?å¸,5.96
é¶¯æ??,5.14
ä¸?³½?,4.97
æ·¡æ°´?,9.67
æ±?­¢å¸,8.54
????,7.73
???å¸,6.51
??´²å¸,4.57
äº???,4.61
æ³°å±±?,8.95
????,7.58
æ·±å??,6.59
?³ç??,3.18
?ªæ??,2.43
ä¸???,2.89
?³é??,3.49
?«é??,3.93
å¹³æºª?,4.25
??ºª?,5.44
è²¢å¯®?,4.63
??±±?,4.42
?¬é??,3.52
????,7.38
å®??å¸,11.5
ç¾???,12.68
??¾³?,4.92
?­å??,4.95
ç¤?ºª?,4.46
å£¯å??,3.11
?¡å±±?,3.14
?¬å±±?,5.98
äº???,5.75
ä¸???,3.96
å¤§å??,3.71
??¾³?,4.72
æ¡??å¸,11.1
ä¸­å£¢å¸,10.54
å¤§æºª?,5.73
æ¥???,8.95
??«¹?,4.14
å¤§å??,3.46
é¾?±±?,8.03
?«å¾·å¸,5.51
é¾?½­?,10.63
å¹³é?å¸,8.42
?°å??,4.54
è§??³é?,4.17
å¾©è??,4.22
ç«¹å?å¸,7.92
ç«¹æ??,9.42
?°å??,9.32
??¥¿?,6.42
æ¹???,7.81
?°è??,6.13
????,6.07
æ©«å±±?,5.75
????,5.13
å¯¶å±±?,5.23
å³¨ç??,4.25
å°???,4.69
äº?³°?,5.4
???å¸,11.67
??£¡?,5.45
????,5.47
ç«¹å??,6.78
?­ä»½?,6.75
å¾???,4.06
????,4.87
å¤§æ??,5.14
?¬é¤¨?,5.31
????,5.25
????,4.75
?­å??,5.71
ä¸?¾©?,7.07
è¥¿æ??,6.22
????,3.95
ä¸???,4.05
??½­?,3.48
æ³°å??,3.42
è±??å¸,7.85
?±å??,6.76
å¤§ç??,7.23
æ¸?°´?,6.15
æ²?¹¿?,6.94
æ¢§æ£²?,4.98
????,4.98
ç¥?²¡?,4.29
æ½­å??,5.68
å¤§é??,4.9
?°ç¤¾?,4.72
?³å²¡?,4.68
å¤???,3.91
å¤§å??,3.04
????,6.73
å¤§è??,5.2
é¾???,5.39
?§å³°?,7.5
å¤ªå¹³å¸,6.28
å¤§é?å¸,7.41
??¹³?,3.8
å½°å?å¸,9.94
é¹¿æ¸¯?,5.39
????,3.86
ç·?¥¿?,2.53
ä¼¸æ¸¯?,3.06
ç¦???,3.53
ç§?æ°´é?,4.21
?±å??,4.15
?¬å??,3.89
?¡æ??,9.5
æºªæ??,6.2
?°ä¸­?,6.83
å¤§æ??,3.47
??¹½?,2.83
????,3.26
æ°¸é??,4.24
ç¤¾é??,4.49
äº?°´?,5.56
????,7.54
äº???,5.02
?°å°¾?,4
?¤é??,3.82
?³è??,2.22
å¤§å??,1.84
ç«¹å??,3.14
æºªå??,3.83
???å¸,9.18
????,7.53
??±¯?,7.97
ç«¹å±±?,6.43
????,5.48
????,4.12
é¹¿è°·?,4.04
ä¸­å¯®?,2.98
é­???,5.47
????,3.07
æ°´é??,7.36
ä¿¡ç¾©?,3.2
ä»???,3.85
???å¸,8.06
????,6.36
??°¾?,8.45
è¥¿è??,5.08
??º«?,4.02
??¸¯?,7.68
?¤å??,3.62
å¤§å??,3.35
?¿æ??,3.35
????,3.13
äº???,2.95
å´???,3.43
éº¥å¯®?,3.2
?±å??,2.05
è¤???,3
?ºè¥¿?,3.16
????,2.18
????,3.01
????,2.73
æ°´æ??,2.74
å¤ªä?å¸,2.37
?´å?å¸,7.27
å¸???,4.33
å¤§æ??,6.66
æ°???,4.4
æºªå??,3.01
?°æ¸¯?,3.99
?­è??,2.38
?±ç??,1.39
ç¾©ç«¹?,3.95
é¹¿è??,2.47
æ°´ä??,4.18
ä¸­å??,4.32
ç«¹å??,2.93
æ¢?±±?,3.63
?ªè·¯?,2.01
å¤§å??,2.25
?³é³³?,4.87
?°ç?å¸,12.59
é¹½æ°´?,5.9
?½æ²³?,5.97
?³ç??,7.75
å¾???,7.72
?±å±±?,6.07
éº»è??,7.58
ä¸???,5.44
?­ç??,4.76
å®???,4.89
å¤§å??,3.61
ä½³é??,5.04
å­¸ç??,7.15
è¥¿æ¸¯?,4.05
ä¸???,2.81
å°???,4.23
????,2.91
?°å??,2.86
????,3.37
?°å??,4.34
å®???,3.35
å±±ä??,3.03
????,5.4
æ¥?¥¿?,3
????,3
å·¦é??,2.57
ä»?¾·?,5.21
æ­¸ä??,5.6
????,5.07
é¾???,2.71
æ°¸åº·å¸,7.06
é³³å±±å¸,10.57
????,5.06
å¤§å¯®?,5.6
å¤§æ¨¹?,5.18
å¤§ç¤¾?,5.27
ä»?­¦?,5.86
é³¥æ??,11.32
å²¡å±±?,9.23
æ©???,7.67
??·¢?,4.04
?°å¯®?,2.94
?¿è??,6.11
è·¯ç«¹?,5.48
æ¹???,4.12
????,3.42
æ°¸å??,3.83
å½???,4.1
æ¢???,4.19
??±±?,6.29
ç¾???,6.95
?­é??,4.07
?²ä??,3.99
????,3.1
?§é??,2.49
????,4.56
æ¡???,3.64
ä¸???,3.1
å±??å¸,12.21
æ½®å??,8.91
?±æ¸¯?,6.27
????,5.09
?¬ä¸¹?,4.55
?·æ²»?,4.86
éº???,6.84
ä¹???,3.03
??¸¯?,3.62
é¹½å??,2.46
é«?¨¹?,3.18
?¬å??,5.32
?§å??,5.95
ç«¹ç??,4.54
?°å??,3.82
??¯®?,5.2
?°å??,4.51
å´???,3.7
????,6.39
????,5.36
ä½³å??,4.27
????,4.14
è»???,4.21
æ»¿å??,2.45
??±±?,2.97
ä¸???,4.19
?§è??,7.11
?ªå®¶?,5.67
æ³°æ­¦?,2.43
ä¾?¾©?,2.18
?¥æ??,2.51
????,2.72
?¡ä¸¹?,4.53
?ºæ?å¸,10.94
????,3.9
??±±?,6.78
????,4.44
é¹¿é??,5.07
æ±???,3
?±æ²³?,2.95
?·æ¿±?,3.37
å¤ªéº»???,3.56
å¤§æ­¦?,5.89
ç¶?³¶?,7.41
æµ·ç«¯?,3.62
å»¶å¹³?,2.78
??³°?,4.62
????,5.79
?­å¶¼?,4.43
?±è?å¸,12.54
é³³æ??,7.28
????,8.01
?°å??,6.76
????,7.93
å£½è??,4.24
??¾©?,6.06
è±?¿±?,2.26
????,4.99
å¯???,3.9
ç§????,3.16
?¬æ¦®?,4.14
??ºª?,4.14
é¦¬å?å¸,9.5
æ¹?¥¿?,3.7
?½æ??,3.59
è¥¿å¶¼?,2.72
????,4.38
ä¸???,3.79
ä¸­æ­£??,8.53
ä¸????,6.85
?????,8.67
ä»????,8.84
ä¸­å±±??,7.82
å®????,8.71
ä¿¡ç¾©??,13.78
?±å?,19.03
???,11.6
é¦?±±??,4.24
ä¸­å?,12.41
?±å?,8.72
???,15.67
è¥¿å?,13.85
???,15.31
è¥¿å±¯??,12.98
??±¯??,10.18
??±¯??,11.23
?±å?,15.3
è¥¿å?,9.01
?±å?,16.07
???,8.06
è¥¿å?,8.63
???,11.96
ä¸­å?,18.28
å®????,3.7
å®?¹³??,6.88
?¾å±±??,15.18
ä¿¡ç¾©??,14.52
å¤§å???,19.96
ä¸­å±±??,11.67
ä¸­æ­£??,17.66
å¤§å???,8.31
?¬è???,9.11
??±±??,16.65
??¸¯??,10.67
?§æ???,12.1
å£«æ???,11.84
?????,13.1
é¹½å???,9.24
é¼?±±??,10.42
å·¦ç???,10.73
æ¥????,11.74
ä¸????,12.31
?°è???,16.18
?????,15.17
?????,14.72
?????,8.15
??´¥??,3.71
å°?¸¯??,10.48
