town,trav
?¿æ?å¸,40.62
ä¸??å¸,45.36
ä¸­å?å¸,37.77
æ°¸å?å¸,20.09
?°è?å¸,48.64
?°å?å¸,30.25
æ¨¹æ?å¸,53.28
é¶¯æ??,58
ä¸?³½?,44.12
æ·¡æ°´?,34.22
æ±?­¢å¸,40.28
????,48.2
???å¸,52.04
??´²å¸,48.43
äº???,49.02
æ³°å±±?,47.97
????,38.02
æ·±å??,46.1
?³ç??,43.25
?ªæ??,12.01
ä¸???,40.26
?³é??,30.57
?«é??,36.82
å¹³æºª?,52.39
??ºª?,40.83
è²¢å¯®?,31.4
??±±?,38.85
?¬é??,38.65
????,40.31
å®??å¸,33.82
ç¾???,32.04
??¾³?,41.14
?­å??,41.38
ç¤?ºª?,38.63
å£¯å??,38.17
?¡å±±?,36.42
?¬å±±?,44.53
äº???,46.9
ä¸???,33.45
å¤§å??,15.03
??¾³?,27.8
æ¡??å¸,34.1
ä¸­å£¢å¸,41.22
å¤§æºª?,45.76
æ¥???,44.62
??«¹?,41.14
å¤§å??,41.82
é¾?±±?,46.45
?«å¾·å¸,52.99
é¾?½­?,42.29
å¹³é?å¸,48.56
?°å??,38.44
è§??³é?,37.44
å¾©è??,28.1
ç«¹å?å¸,43.91
ç«¹æ??,45.53
?°å??,40.17
??¥¿?,37.58
æ¹???,46.22
?°è??,45.67
????,41.48
æ©«å±±?,44.56
????,51.3
å¯¶å±±?,33.57
å³¨ç??,33.22
å°???,23.77
äº?³°?,31.32
???å¸,36.55
??£¡?,38.91
????,39.09
ç«¹å??,45.9
?­ä»½?,48.97
å¾???,35.72
????,14.82
å¤§æ??,21.9
?¬é¤¨?,42.55
????,41.02
????,46.91
?­å??,44.17
ä¸?¾©?,42.76
è¥¿æ??,27.43
????,53.12
ä¸???,45.11
??½­?,36.25
æ³°å??,10.08
è±??å¸,38.02
?±å??,23.15
å¤§ç??,38.05
æ¸?°´?,38.35
æ²?¹¿?,40.87
æ¢§æ£²?,43.81
????,38.46
ç¥?²¡?,40.32
æ½­å??,47.57
å¤§é??,43.11
?°ç¤¾?,20.02
?³å²¡?,33.28
å¤???,37.79
å¤§å??,33.54
????,41.07
å¤§è??,43.65
é¾???,41.78
?§å³°?,36.28
å¤ªå¹³å¸,45.16
å¤§é?å¸,41.84
??¹³?,11.21
å½°å?å¸,35.13
é¹¿æ¸¯?,41.71
????,43.04
ç·?¥¿?,37.22
ä¼¸æ¸¯?,35.68
ç¦???,31.65
ç§?æ°´é?,31.11
