OBJECTID,town,unmarried
1,板橋市,113.9967
2,三重市,113.1306
3,中和市,115.0615
4,永和市,108.8773
5,新莊市,111.1547
6,新店市,120.2673
7,樹林市,120.2572
8,鶯歌鎮,121.1086
9,三峽鎮,134.4635
10,淡水鎮,130.6767
11,汐止市,118.3304
12,瑞芳鎮,128.5946
13,土城市,127.7534
14,蘆洲市,115.8986
15,五股鄉,124.4575
16,泰山鄉,129.9902
17,林口鄉,140.5287
18,深坑鄉,123.5407
19,石碇鄉,167.1972
20,坪林鄉,189.3154
21,三芝鄉,148.4652
22,石門鄉,164.8863
23,八里鄉,125.6359
24,平溪鄉,141.3043
25,雙溪鄉,137.8712
26,貢寮鄉,137.6832
27,金山鄉,129.5179
28,萬里鄉,154.1183
29,烏來鄉,130.7571
30,宜蘭市,126.3844
31,羅東鎮,113.4261
32,蘇澳鎮,138.5871
33,頭城鎮,114.2823
34,礁溪鄉,117.1302
35,壯圍鄉,122.6833
36,員山鄉,139.672
37,冬山鄉,116.9431
38,五結鄉,119.0385
39,三星鄉,129.3647
40,大同鄉,141.7195
41,南澳鄉,144.8217
42,桃園市,114.5138
43,中壢市,131.3478
44,大溪鎮,142.1059
45,楊梅鎮,140.2417
46,蘆竹鄉,120.4984
47,大園鄉,140.9244
48,龜山鄉,150.1461
49,八德市,140.4909
50,龍潭鄉,154.6095
51,平鎮市,131.8812
52,新屋鄉,128.7692
53,觀音鄉,137.6353
54,復興鄉,137.6571
55,竹北市,116.3253
56,竹東鎮,120.6841
57,新埔鎮,124.2332
58,關西鎮,170.0105
59,湖口鄉,201.1876
60,新豐鄉,124.1935
61,芎林鄉,126.064
62,橫山鄉,131.7522
63,北埔鄉,132.0039
64,寶山鄉,128.4881
65,峨眉鄉,129.84
66,尖石鄉,130.182
67,五峰鄉,164.9083
68,苗栗市,130.7215
69,苑裡鎮,116.0703
70,通霄鎮,126.7621
71,竹南鎮,118.1888
72,頭份鎮,120.1266
73,後龍鎮,124.8657
74,卓蘭鎮,122.7758
75,大湖鄉,128.3064
76,公館鄉,128.1817
77,銅鑼鄉,126.5236
78,南庄鄉,146.4207
79,頭屋鄉,126.754
80,三義鄉,124.5585
81,西湖鄉,126.4113
82,造橋鄉,121.2269
83,三灣鄉,123.5032
84,獅潭鄉,133.908
85,泰安鄉,154.8611
86,豐原市,113.0937
87,東勢鎮,124.2625
88,大甲鎮,115.1661
89,清水鎮,120.8217
90,沙鹿鎮,94.3491
91,梧棲鎮,111.7613
92,后里鄉,149.0292
93,神岡鄉,149.571
94,潭子鄉,118.964
95,大雅鄉,168.4772
96,新社鄉,194.8961
97,石岡鄉,130.762
98,外埔鄉,127.1149
99,大安鄉,119.3149
100,烏日鄉,143.3169
101,大肚鄉,112.8124
102,龍井鄉,114.1121
103,霧峰鄉,113.3251
104,太平市,130.0499
105,大里市,115.3471
106,和平鄉,203.4071
107,彰化市,114.4848
108,鹿港鎮,112.9856
109,和美鎮,113.1114
110,線西鄉,117.4114
111,伸港鄉,120.1694
112,福興鄉,116.9892
113,秀水鄉,113.4544
114,花壇鄉,116.6396
115,芬園鄉,119.935
116,員林鎮,113.1301
117,溪湖鎮,115.1217
118,田中鎮,162.6126
119,大村鄉,119.4001
120,埔鹽鄉,113.6758
121,埔心鄉,116.395
122,永靖鄉,115.61
123,社頭鄉,113.867
124,二水鄉,121.0348
125,北斗鎮,111.7423
126,二林鎮,114.2494
127,田尾鄉,119.9965
128,埤頭鄉,135.05
129,芳苑鄉,121.5951
130,大城鄉,115.8182
131,竹塘鄉,121.6652
132,溪州鄉,123.014
133,南投市,124.6245
134,埔里鎮,122.7497
135,草屯鎮,113.603
136,竹山鎮,118.5886
137,集集鎮,138.6722
138,名間鄉,122.5994
139,鹿谷鄉,121.9378
140,中寮鄉,124.4103
141,魚池鄉,127.2678
142,國姓鄉,138.4365
143,水里鄉,123.5359
144,信義鄉,138.5488
145,仁愛鄉,139.5117
146,斗六市,131.5839
147,斗南鎮,116.9696
148,虎尾鎮,126.6093
149,西螺鎮,112.8626
150,土庫鎮,117.3973
151,北港鎮,120.33
152,古坑鄉,120.5042
153,大埤鄉,120.9755
154,莿桐鄉,118.4348
155,林內鄉,115.6105
156,二崙鄉,125.1319
157,崙背鄉,124.2241
158,麥寮鄉,125.9845
159,東勢鄉,120.4183
160,褒忠鄉,123.2351
161,臺西鄉,124.1026
162,元長鄉,125.1779
163,四湖鄉,130.7622
164,口湖鄉,122.0926
165,水林鄉,125.2332
166,太保市,121.4591
167,朴子市,120.2902
168,布袋鎮,123.3759
169,大林鎮,159.8968
170,民雄鄉,122.3064
171,溪口鄉,121.3552
172,新港鄉,124.7761
173,六腳鄉,129.321
174,東石鄉,127.6975
175,義竹鄉,123.8917
176,鹿草鄉,123.2238
177,水上鄉,170.5905
178,中埔鄉,125.5607
179,竹崎鄉,124.5285
180,梅山鄉,128.0026
181,番路鄉,134.9043
182,大埔鄉,141.7256
183,吳鳳鄉,136.9376
184,新營市,121.4332
185,鹽水鎮,126.581
186,白河鎮,199.8575
187,柳營鄉,118.6027
188,後壁鄉,113.0998
189,東山鄉,169.4639
190,麻豆鎮,120.4631
191,下營鄉,120.3532
192,六甲鄉,128.4834
193,官田鄉,141.0247
194,大內鄉,145.6517
195,佳里鎮,124.7555
196,學甲鎮,157.0241
197,西港鄉,265.7428
198,七股鄉,196.8999
199,將軍鄉,123.1354
200,北門鄉,160.4221
201,新化鎮,123.5782
202,善化鎮,135.8382
203,新市鄉,117.0389
204,安定鄉,123.3376
205,山上鄉,138.5576
206,玉井鄉,122.5941
207,楠西鄉,138.4914
208,南化鄉,128.0838
209,左鎮鄉,145.4183
210,仁德鄉,118.5218
211,歸仁鄉,144.0763
212,關廟鄉,119.1081
213,龍崎鄉,136.3757
214,永康市,127.0491
215,鳳山市,129.1697
216,林園鄉,137.4364
217,大寮鄉,120.2448
218,大樹鄉,158.0746
219,大社鄉,154.8469
220,仁武鄉,115.6715
221,鳥松鄉,143.0628
222,岡山鎮,157.968
223,橋頭鄉,127.5636
224,燕巢鄉,232.8709
225,田寮鄉,158.5267
226,阿蓮鄉,134.6419
227,路竹鄉,115.6747
228,湖內鄉,100.316
229,茄萣鄉,116.392
230,永安鄉,129.641
231,彌陀鄉,121.6612
232,梓官鄉,122.2616
233,旗山鎮,159.7986
234,美濃鎮,123.8832
235,六龜鄉,134.5404
236,甲仙鄉,133.0076
237,杉林鄉,141.2916
238,內門鄉,153.4685
239,茂林鄉,159.8639
240,桃源鄉,127.3305
241,三民鄉,136.0248
242,屏東市,127.6821
243,潮州鎮,121.893
244,東港鎮,123.3879
245,恆春鎮,142.5574
246,萬丹鄉,119.2556
247,長治鄉,132.5891
248,麟洛鄉,133.6834
249,九如鄉,122.9224
250,里港鄉,114.2444
251,鹽埔鄉,122.2851
252,高樹鄉,131.9599
253,萬巒鄉,180.9212
254,內埔鄉,167.8501
255,竹田鄉,134.107
256,新埤鄉,136.0489
257,枋寮鄉,145.4617
258,新園鄉,114.6572
259,崁頂鄉,123.6815
260,林邊鄉,119.4394
261,南州鄉,113.6106
262,佳冬鄉,130.0516
263,琉球鄉,128.7345
264,車城鄉,139.2801
265,滿州鄉,160.9101
266,枋山鄉,157.4983
267,三地鄉,129.2285
268,霧臺鄉,149.7908
269,瑪家鄉,147.5843
270,泰武鄉,142.8406
271,來義鄉,138.1367
272,春日鄉,184.5691
273,獅子鄉,160.9375
274,牡丹鄉,156.2438
275,臺東市,160.4371
276,成功鎮,136.2434
277,關山鎮,130.445
278,卑南鄉,194.9462
279,鹿野鄉,154.7848
280,池上鄉,147.8945
281,東河鄉,159.9602
282,長濱鄉,159.1491
283,太麻里鄉,150.3242
284,大武鄉,134.5412
285,綠島鄉,361.2663
286,海端鄉,138.8409
287,延平鄉,129.5393
288,金峰鄉,158.2245
289,達仁鄉,128.7407
290,蘭嶼鄉,164.3142
291,花蓮市,139.0441
292,鳳林鎮,145.6389
293,玉里鎮,173.2043
294,新城鄉,204.3792
295,吉安鄉,142.2996
296,壽豐鄉,133.95
297,光復鄉,141.8508
298,豐濱鄉,173.795
299,瑞穗鄉,131.3094
300,富里鄉,134.1078
301,秀林鄉,139.5912
302,萬榮鄉,124.5817
303,卓溪鄉,135.403
304,馬公市,192.7524
305,湖西鄉,262.3953
306,白沙鄉,141.4973
307,西嶼鄉,143.6995
308,望安鄉,151.497
309,七美鄉,137.7215
310,中正區,148.8123
311,七堵區,120.6585
312,暖暖區,129.0375
313,仁愛區,117.8463
314,中山區,125.4167
315,安樂區,117.9029
316,信義區,119.7461
317,東區,141.1203
318,北區,135.2932
319,香山區,123.398
320,中區,106.8505
321,東區,119.9028
322,南區,113.7922
323,西區,117.1015
324,北區,109.6508
325,西屯區,120.4178
326,南屯區,132.8292
327,北屯區,115.8242
328,東區,114.8924
329,西區,114.9893
330,東區,122.1124
331,南區,121.9799
332,西區,110.8791
333,北區,110.4738
334,中區,105.0395
335,安南區,117.3686
336,安平區,120.046
337,松山區,108.3436
338,信義區,114.5832
339,大安區,108.0313
340,中山區,109.1447
341,中正區,123.3965
342,大同區,111.916
343,萬華區,114.8482
344,文山區,119.4882
345,南港區,116.1719
346,內湖區,109.2851
347,士林區,109.1116
348,北投區,117.498
349,鹽埕區,117.3172
350,鼓山區,132.3128
351,左營區,226.8841
352,楠梓區,118.8676
353,三民區,113.7086
354,新興區,108.6888
355,前金區,112.8483
356,苓雅區,112.676
357,前鎮區,117.1312
358,旗津區,133.4797
359,小港區,122.6202
