OBJECTID,town,widow
1,板橋市,4.75
2,三重市,5.59
3,中和市,5.04
4,永和市,6.13
5,新莊市,4.07
6,新店市,6.19
7,樹林市,5.32
8,鶯歌鎮,6.39
9,三峽鎮,8.82
10,淡水鎮,6.86
11,汐止市,7.07
12,瑞芳鎮,12.43
13,土城市,4.64
14,蘆洲市,4.83
15,五股鄉,5.53
16,泰山鄉,4.64
17,林口鄉,6.14
18,深坑鄉,7.95
19,石碇鄉,12.06
20,坪林鄉,9.98
21,三芝鄉,9.25
22,石門鄉,11.66
23,八里鄉,9.07
24,平溪鄉,13.94
25,雙溪鄉,15.01
26,貢寮鄉,12.55
27,金山鄉,9.83
28,萬里鄉,11.16
29,烏來鄉,9.38
30,宜蘭市,8.82
31,羅東鎮,8.53
32,蘇澳鎮,9.17
33,頭城鎮,10.47
34,礁溪鄉,9.8
35,壯圍鄉,10.27
36,員山鄉,10.25
37,冬山鄉,8.88
38,五結鄉,9.75
39,三星鄉,11.02
40,大同鄉,13.21
41,南澳鄉,12.78
42,桃園市,5.97
43,中壢市,5.64
44,大溪鎮,7.87
45,楊梅鎮,6.82
46,蘆竹鄉,6.64
47,大園鄉,7.26
48,龜山鄉,5.71
49,八德市,5.42
50,龍潭鄉,5.81
51,平鎮市,5.56
52,新屋鄉,8.61
53,觀音鄉,8.25
54,復興鄉,9.79
55,竹北市,7.72
56,竹東鎮,7.78
57,新埔鎮,8.93
58,關西鎮,9.73
59,湖口鄉,6.66
60,新豐鄉,7.66
61,芎林鄉,9.21
62,橫山鄉,10.51
63,北埔鄉,10.04
64,寶山鄉,9.45
65,峨眉鄉,9.62
66,尖石鄉,11.46
67,五峰鄉,9.05
68,苗栗市,7.97
69,苑裡鎮,8.86
70,通霄鎮,9.17
71,竹南鎮,7.69
72,頭份鎮,7.71
73,後龍鎮,10.53
74,卓蘭鎮,8.8
75,大湖鄉,9.58
76,公館鄉,10.01
77,銅鑼鄉,10
78,南庄鄉,12.62
79,頭屋鄉,10.69
80,三義鄉,8.72
81,西湖鄉,12.08
82,造橋鄉,8.58
83,三灣鄉,10.29
84,獅潭鄉,11.7
85,泰安鄉,11.44
86,豐原市,6.8
87,東勢鎮,8.5
88,大甲鎮,8.15
89,清水鎮,8.7
90,沙鹿鎮,6.59
91,梧棲鎮,7.2
92,后里鄉,8.03
93,神岡鄉,7.18
94,潭子鄉,6.69
95,大雅鄉,6.57
96,新社鄉,8.66
97,石岡鄉,10.1
98,外埔鄉,8.49
99,大安鄉,9.59
100,烏日鄉,6.64
101,大肚鄉,7.3
102,龍井鄉,7.03
103,霧峰鄉,7.7
104,太平市,5.68
105,大里市,5.57
106,和平鄉,8.29
107,彰化市,6.83
108,鹿港鎮,8.63
109,和美鎮,7.52
110,線西鄉,8.35
111,伸港鄉,8.32
112,福興鄉,8.16
113,秀水鄉,8.6
114,花壇鄉,8.33
115,芬園鄉,10.42
116,員林鎮,7.63
117,溪湖鎮,8.4
118,田中鎮,9.58
119,大村鄉,9.72
120,埔鹽鄉,8.66
121,埔心鄉,9.85
122,永靖鄉,9.84
123,社頭鄉,9.4
124,二水鄉,11.02
125,北斗鎮,9.81
126,二林鎮,9.14
127,田尾鄉,10.78
128,埤頭鄉,9.75
129,芳苑鄉,9.87
130,大城鄉,10.02
131,竹塘鄉,10.36
132,溪州鄉,10.37
133,南投市,7.85
134,埔里鎮,9.1
135,草屯鎮,8.47
136,竹山鎮,9.55
137,集集鎮,11.69
138,名間鄉,9.67
139,鹿谷鄉,9.94
140,中寮鄉,10.69
141,魚池鄉,10.64
142,國姓鄉,10.27
143,水里鄉,9.3
144,信義鄉,9.57
145,仁愛鄉,11.42
146,斗六市,8.31
147,斗南鎮,9.57
148,虎尾鎮,9.06
149,西螺鎮,9.45
150,土庫鎮,9.77
151,北港鎮,9.77
152,古坑鄉,10.06
153,大埤鄉,10.96
154,莿桐鄉,9.94
155,林內鄉,10.04
